MetaTest/Average/TerminationRate,MetaTest/Average/Iteration,MetaTrain/Average/Alpha,MetaTest/button-press-topdown-v1/SuccessRate,MetaTest/Average/MaxReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/button-press-topdown-v1/NumTrajs,MetaTest/button-press-topdown-v1/AverageDiscountedReturn,MetaTest/button-press-topdown-v1/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/button-press-topdown-v1/TerminationRate,MetaTest/Average/StdReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/NumTrajs,MetaTest/Average/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/button-press-topdown-v1/MinReturn,MetaTrain/Average/AlphaLoss,MetaTrain/Average/QfLoss,MetaTest/button-press-topdown-v1/StdReturn,MetaTest/button-press-topdown-v1/MaxReturn,MetaTest/Average/MinReturn,MetaTest/button-press-topdown-v1/Iteration,TotalEnvSteps
0.0,0,nan,0.0,-45.97300720473727,8.411772,10,-55.62875120141499,-55.628751201415,-55.62875120141499,0.0,6.793032249884733,18.33112,10,0.0,-55.628751201415,-64.9547876474569,6.72868,2.4206667,6.793032249884733,-45.97300720473727,-64.9547876474569,0,224000
0.0,1,nan,0.0,-28.701366587080113,7.544789,10,-39.9772245285469,-39.9772245285469,-39.9772245285469,0.0,8.183029211274665,51.851048,10,0.0,-39.9772245285469,-53.574716817093694,6.7201815,2.7757564,8.183029211274665,-28.701366587080113,-53.574716817093694,1,248000
0.0,2,nan,0.4,132840.8312562438,7.37143,10,26060.257420916576,26060.257420916554,26060.257420916576,0.0,41578.39730482544,75.730705,10,0.4,26060.257420916554,-32.12695610393198,6.7047453,5.8261576,41578.39730482544,132840.8312562438,-32.12695610393198,2,272000
0.0,3,nan,0.0,-128.45346057027209,115.58808,10,-140.12295884227836,-140.12295884227834,-140.12295884227836,0.0,7.148605719387219,-34.602688,10,0.0,-140.12295884227834,-153.87332100823247,1.4041752,276550.2,7.148605719387219,-128.45346057027209,-153.87332100823247,3,296000
0.0,4,nan,0.0,-126.09891183808136,7.624632,10,-136.703998091962,-136.70399809196203,-136.703998091962,0.0,7.319209295602576,-1113.5062,10,0.0,-136.70399809196203,-146.48435471543877,-4.6750402,272423.0,7.319209295602576,-126.09891183808136,-146.48435471543877,4,320000
0.0,5,nan,0.0,-38.02470389615843,7.624632,10,-40.42317826162067,-40.42317826162066,-40.42317826162067,0.0,1.2900955570438382,-2382.719,10,0.0,-40.42317826162066,-42.73477921974406,-1.9267268,283691.47,1.2900955570438382,-38.02470389615843,-42.73477921974406,5,344000
0.0,6,nan,0.0,-21.524437420346395,7.624632,10,-28.754935052003418,-28.754935052003425,-28.754935052003418,0.0,5.369785006690821,-4585.83,10,0.0,-28.754935052003425,-41.50495941495451,-3.110019,358145.16,5.369785006690821,-21.524437420346395,-41.50495941495451,6,368000
0.0,7,nan,0.0,-53.70836260915144,7.624632,10,-54.63912715775157,-54.63912715775158,-54.63912715775157,0.0,0.4890452975697027,-8013.8667,10,0.0,-54.63912715775158,-55.25377080457978,-5.655516,661646.3,0.4890452975697027,-53.70836260915144,-55.25377080457978,7,392000
0.0,8,nan,0.1,141826.38397832168,7.624632,10,19190.00416764408,19190.0041676441,19190.00416764408,0.0,42741.45628480785,-18571.64,10,0.1,19190.0041676441,-27.560066310613344,-8.997476,1345995.5,42741.45628480785,141826.38397832168,-27.560066310613344,8,416000
0.0,9,nan,0.0,-23.076647447338466,7.624632,10,-25.547363083900187,-25.547363083900184,-25.547363083900187,0.0,1.383570156444713,-46608.71,10,0.0,-25.547363083900184,-27.477694716385006,-12.576056,4324081.5,1.383570156444713,-23.076647447338466,-27.477694716385006,9,440000
0.0,10,nan,0.2,262191.394328143,7.624632,10,178947.2126871639,178947.2126871639,178947.2126871639,0.0,92222.2458829197,-91384.305,10,0.2,178947.2126871639,-16.755716322217616,-16.322401,7218922.0,92222.2458829197,262191.394328143,-16.755716322217616,10,464000
0.0,11,nan,0.3,344651.24872802605,7.624632,10,70495.43304656686,70495.43304656688,70495.43304656686,0.0,135299.42828921796,-139822.38,10,0.3,70495.43304656688,-40.654248836371615,-18.833942,11228946.0,135299.42828921796,344651.24872802605,-40.654248836371615,11,488000
0.0,12,nan,0.5,337389.46222765726,7.624632,10,153029.88411959587,153029.88411959587,153029.88411959587,0.0,151387.41829708047,-187864.77,10,0.5,153029.88411959587,-19.13728486430712,-18.513105,17039560.0,151387.41829708047,337389.46222765726,-19.13728486430712,12,512000
