MetaTest/Average/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/Alpha,MetaTest/button-press-v1/Iteration,MetaTrain/Average/QfLoss,MetaTest/button-press-v1/AverageReturn,MetaTest/Average/Iteration,TotalEnvSteps,MetaTest/button-press-v1/AverageDiscountedReturn,MetaTest/button-press-v1/MaxReturn,MetaTest/button-press-v1/SuccessRate,MetaTest/button-press-v1/StdReturn,MetaTest/Average/MinReturn,MetaTest/Average/MaxReturn,MetaTest/button-press-v1/TerminationRate,MetaTest/button-press-v1/NumTrajs,MetaTrain/Average/AlphaLoss,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/TerminationRate,MetaTest/button-press-v1/MinReturn,MetaTest/Average/SuccessRate
10,12618.642337549447,nan,0,9825974.0,12618.642337549447,0,224000,12618.642337549447,97688.37679725644,0.3,28845.504818630132,-75.63501120997289,97688.37679725644,0.0,10,-0.027233612,2334.303,12618.642337549447,28845.504818630132,-4125.372,0.0,-75.63501120997289,0.3
10,62205.151518331535,nan,1,14497636.0,62205.151518331535,1,248000,62205.151518331535,308022.70326540945,0.2,122839.08667030065,-106.37464338351806,308022.70326540945,0.0,10,-12.782345,3899.4714,62205.151518331535,122839.08667030065,-15570.972,0.0,-106.37464338351806,0.2
10,44608.24601623897,nan,2,15428258.0,44608.246016238976,2,272000,44608.24601623897,335418.1205544657,0.4,100066.35783003944,-102.5431088965053,335418.1205544657,0.0,10,-26.995844,12937.334,44608.246016238976,100066.35783003944,-44483.31,0.0,-102.5431088965053,0.4
10,14128.431485483097,nan,3,16810718.0,14128.431485483108,3,296000,14128.431485483097,119928.50158987654,0.1,35294.05120709569,-42.59882235593981,119928.50158987654,0.0,10,-26.577145,22404.994,14128.431485483108,35294.05120709569,-62112.746,0.0,-42.59882235593981,0.1
10,12998.67001733182,nan,4,20341982.0,12998.670017331822,4,320000,12998.67001733182,71488.98887474163,0.1,20507.89068002473,-67.84188500823358,71488.98887474163,0.0,10,-27.906076,1652.3362,12998.670017331822,20507.89068002473,-93358.9,0.0,-67.84188500823358,0.1
10,93369.66621344734,nan,5,24495976.0,93369.66621344734,5,344000,93369.66621344734,328280.0800135439,0.3,121602.74932918446,-13.623905581523033,328280.0800135439,0.0,10,-29.514297,632.89435,93369.66621344734,121602.74932918446,-131785.66,0.0,-13.623905581523033,0.3
10,1877.448808717753,nan,6,32696890.0,1877.448808717753,6,368000,1877.448808717753,6308.366680704634,0.0,2589.4479609455725,-105.98637884980936,6308.366680704634,0.0,10,-33.985085,3308.743,1877.448808717753,2589.4479609455725,-157563.38,0.0,-105.98637884980936,0.0
10,41609.008324833565,nan,7,41482700.0,41609.00832483355,7,392000,41609.008324833565,362164.02596841083,0.5,106970.83232916186,2562.8348390785504,362164.02596841083,0.0,10,-35.772236,1650.766,41609.00832483355,106970.83232916186,-179595.55,0.0,2562.8348390785504,0.5
10,70058.60090452424,nan,8,54990544.0,70058.60090452424,8,416000,70058.60090452424,370598.38083898445,0.2,133069.7460572539,-31.583465713853858,370598.38083898445,0.0,10,-33.028904,966.1771,70058.60090452424,133069.7460572539,-211926.19,0.0,-31.583465713853858,0.2
10,541.5188937021908,nan,9,81378290.0,541.518893702191,9,440000,541.5188937021908,6057.066433723764,0.0,1838.5565187044472,-80.5993163548962,6057.066433723764,0.0,10,-30.80691,653.439,541.518893702191,1838.5565187044472,-274085.0,0.0,-80.5993163548962,0.0
10,2932.880465039789,nan,10,113938530.0,2932.880465039789,10,464000,2932.880465039789,21140.748306241527,0.0,6410.828087473289,-75.95667708767488,21140.748306241527,0.0,10,-30.992788,644.985,2932.880465039789,6410.828087473289,-328713.78,0.0,-75.95667708767488,0.0
10,101743.46461096869,nan,11,155257800.0,101743.46461096869,11,488000,101743.46461096869,360274.2367108749,0.3,135842.37894124238,-16.33101421743028,360274.2367108749,0.0,10,-34.394592,1097.6232,101743.46461096869,135842.37894124238,-409410.56,0.0,-16.33101421743028,0.3
10,117485.45950662353,nan,12,183670340.0,117485.45950662349,12,512000,117485.45950662353,368431.64428631624,0.3,136519.05041037776,-73.91223836428917,368431.64428631624,0.0,10,-36.84564,1069.5028,117485.45950662349,136519.05041037776,-514570.44,0.0,-73.91223836428917,0.3
10,93779.09465570122,nan,13,90012744.0,93779.09465570115,13,536000,93779.09465570122,355266.39714263694,0.6,143092.9835392949,-14.479879845679122,355266.39714263694,0.0,10,-37.43368,5765.033,93779.09465570115,143092.9835392949,-227508.12,0.0,-14.479879845679122,0.6
10,202034.13296837456,nan,14,76681150.0,202034.13296837447,14,560000,202034.13296837456,367611.45928102505,0.5,150311.4949315633,-15.205064717377999,367611.45928102505,0.0,10,-35.708828,3947.2993,202034.13296837447,150311.4949315633,-224476.0,0.0,-15.205064717377999,0.5
10,39164.72213090812,nan,15,91458140.0,39164.72213090815,15,584000,39164.72213090812,362621.70227855624,0.2,107845.23951104599,-38.838276855498265,362621.70227855624,0.0,10,-34.533867,377692.72,39164.72213090815,107845.23951104599,-210702.47,0.0,-38.838276855498265,0.2
10,140639.83405399162,nan,16,154256860.0,140639.8340539916,16,608000,140639.83405399162,361329.69116852136,0.4,171145.3502398171,-16.161126588634545,361329.69116852136,0.0,10,-31.913157,1960.5236,140639.8340539916,171145.3502398171,-486160.44,0.0,-16.161126588634545,0.4
10,185977.33741837897,nan,17,153138450.0,185977.33741837897,17,632000,185977.33741837897,362862.2212955171,0.4,159060.10548767512,-20.696757948117305,362862.2212955171,0.0,10,-30.970722,876.8405,185977.33741837897,159060.10548767512,-483573.62,0.0,-20.696757948117305,0.4
10,35440.69513395568,nan,18,167679790.0,35440.695133955705,18,656000,35440.69513395568,354900.82951224444,0.1,106486.71950186188,-109.35014274997506,354900.82951224444,0.0,10,-31.538122,2366.7366,35440.695133955705,106486.71950186188,-518510.16,0.0,-109.35014274997506,0.1
10,186188.50438467498,nan,19,244131300.0,186188.50438467498,19,680000,186188.50438467498,367585.6315515992,0.4,161093.4182438463,-17.910344077264142,367585.6315515992,0.0,10,-31.57977,700.0348,186188.50438467498,161093.4182438463,-875878.8,0.0,-17.910344077264142,0.4
