TotalEnvSteps,MetaTest/Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/NumTrajs,MetaTest/coffee-push-v1/NumTrajs,MetaTrain/Average/PolicyLoss,MetaTest/Average/MinReturn,MetaTrain/Average/Alpha,MetaTrain/Average/AlphaLoss,MetaTest/coffee-push-v1/MaxReturn,MetaTest/coffee-push-v1/Iteration,MetaTrain/Average/QfLoss,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/coffee-push-v1/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/coffee-push-v1/TerminationRate,MetaTest/coffee-push-v1/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/coffee-push-v1/SuccessRate,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/Iteration,MetaTest/coffee-push-v1/MinReturn,MetaTest/coffee-push-v1/StdReturn
224000,-26.671596824960123,-43.76733346718176,10,10,-129.9801,-58.62929851496845,nan,4.1177354,-26.671596824960123,0,32364.363,0.0,-43.76733346718176,-43.76733346718176,0.0,0.0,-43.76733346718176,8.816478790408718,0.0,18.037035,0,-58.62929851496845,8.816478790408718
248000,11556.817174854437,2796.8833080223585,10,10,-784.20135,-43.87894209119661,nan,-2.4542716,11556.817174854437,1,41002.734,0.0,2796.8833080223576,2796.8833080223576,0.0,0.0,2796.8833080223585,4139.019993351728,0.0,56.320946,1,-43.87894209119661,4139.019993351728
272000,9339.943272918365,1265.155818302797,10,10,-5228.153,-47.61696034104974,nan,-8.698734,9339.943272918365,2,210080.53,0.0,1265.1558183027978,1265.1558183027978,0.0,0.0,1265.155818302797,2822.2877564599767,0.0,49.43417,2,-47.61696034104974,2822.2877564599767
296000,-13.365802353987611,-17.393158493187073,10,10,-17261.95,-23.846931714219647,nan,-20.312199,-13.365802353987611,3,320987.0,0.0,-17.393158493187073,-17.393158493187073,0.0,0.0,-17.393158493187073,3.503240848846879,0.0,24.02586,3,-23.846931714219647,3.503240848846879
320000,22.344763926835473,-18.051647622424888,10,10,-17218.266,-32.446988793492956,nan,-13.243738,22.344763926835473,4,341079.72,0.0,-18.051647622424888,-18.051647622424888,0.0,0.0,-18.051647622424888,17.586220086064483,0.0,14.085245,4,-32.446988793492956,17.586220086064483
344000,987.259159940674,144.4756425642571,10,10,-22458.787,-37.27395117866115,nan,-13.004887,987.259159940674,5,602444.56,0.0,144.47564256425716,144.47564256425716,0.0,0.0,144.4756425642571,319.10153871620423,0.0,16.123371,5,-37.27395117866115,319.10153871620423
368000,527.8446721269419,12.74393565206073,10,10,-16924.648,-94.61116828916202,nan,-10.548248,527.8446721269419,6,487559.44,0.0,12.74393565206071,12.74393565206071,0.0,0.0,12.74393565206073,173.66295639568833,0.0,23.264544,6,-94.61116828916202,173.66295639568833
392000,895.1505950206036,59.79816788223762,10,10,-27968.668,-57.82373483756288,nan,-12.9145,895.1505950206036,7,903268.06,0.0,59.79816788223762,59.79816788223762,0.0,0.0,59.79816788223762,278.92398822427117,0.0,19.07711,7,-57.82373483756288,278.92398822427117
416000,-22.601982785217885,-45.87762460604728,10,10,-8667.472,-67.19717691672349,nan,-3.697368,-22.601982785217885,8,616339.2,0.0,-45.87762460604729,-45.87762460604729,0.0,0.0,-45.87762460604728,11.322384915686246,0.0,324.53568,8,-67.19717691672349,11.322384915686246
440000,-44.37136521922618,-84.43541506375725,10,10,-3058.0344,-103.18569130283703,nan,-2.8294146,-44.37136521922618,9,250853.47,0.0,-84.43541506375728,-84.43541506375728,0.0,0.0,-84.43541506375725,17.67883321890089,0.0,153.44139,9,-103.18569130283703,17.67883321890089
464000,-63.91285216110065,-82.03655456560969,10,10,-483.49796,-107.9530828782134,nan,2.8404179,-63.91285216110065,10,105247.51,0.0,-82.03655456560965,-82.03655456560965,0.0,0.0,-82.03655456560969,11.519771244185558,0.0,201.96729,10,-107.9530828782134,11.519771244185558
488000,607.053702728102,65.80297730706941,10,10,476.2488,-42.95479056291266,nan,4.0020494,607.053702728102,11,454068.2,0.0,65.80297730706941,65.80297730706941,0.0,0.0,65.80297730706941,213.5754560667236,0.0,2015.1906,11,-42.95479056291266,213.5754560667236
512000,-86.2382310205405,-99.64082905313136,10,10,826.63873,-109.94876546461866,nan,3.8800004,-86.2382310205405,12,79438.336,0.0,-99.64082905313134,-99.64082905313134,0.0,0.0,-99.64082905313136,8.803109546839826,0.0,2855.9902,12,-109.94876546461866,8.803109546839826
536000,-45.75275953710657,-56.02835682014578,10,10,692.45667,-69.9305192839527,nan,2.8430088,-45.75275953710657,13,128520.68,0.0,-56.02835682014576,-56.02835682014576,0.0,0.0,-56.02835682014578,7.03621229213608,0.0,1153.4839,13,-69.9305192839527,7.03621229213608
560000,-12.955075726632924,-29.823584204007545,10,10,594.98004,-47.43096853694367,nan,3.3994443,-12.955075726632924,14,53816.508,0.0,-29.823584204007556,-29.823584204007556,0.0,0.0,-29.823584204007545,9.896332793475585,0.0,332.47635,14,-47.43096853694367,9.896332793475585
584000,178.75504252981403,-13.132081887122855,10,10,30.553406,-96.57562322768663,nan,2.7424152,178.75504252981403,15,44324.34,0.0,-13.132081887122848,-13.132081887122848,0.0,0.0,-13.132081887122855,73.26019379359137,0.0,46.37951,15,-96.57562322768663,73.26019379359137
608000,7288.955268191903,919.944272911561,10,10,-2343.4177,-33.83814981807947,nan,-3.743309,7288.955268191903,16,72033.42,0.0,919.9442729115608,919.9442729115608,0.0,0.0,919.944272911561,2170.1219955994475,0.0,27.455122,16,-33.83814981807947,2170.1219955994475
632000,6937.366365980704,944.9357656962877,10,10,-5735.3403,-95.40297141117091,nan,-6.076264,6937.366365980704,17,334494.2,0.0,944.9357656962873,944.9357656962873,0.0,0.0,944.9357656962877,2111.373412719432,0.0,36.683846,17,-95.40297141117091,2111.373412719432
656000,171.0339972759195,-30.80712453443241,10,10,-3097.6665,-98.47093591125738,nan,-1.0260905,171.0339972759195,18,346292.56,0.0,-30.807124534432393,-30.807124534432393,0.0,0.0,-30.80712453443241,69.44335490028853,0.0,185.2987,18,-98.47093591125738,69.44335490028853
680000,-19.077398812611218,-50.49102816306581,10,10,681.44434,-75.88377648050948,nan,4.7496386,-19.077398812611218,19,226133.8,0.0,-50.49102816306581,-50.49102816306581,0.0,0.0,-50.49102816306581,15.864882863181148,0.0,3226.946,19,-75.88377648050948,15.864882863181148
704000,496.2014623942077,20.03190843901036,10,10,-4386.642,-58.011272939613804,nan,1.1835805,496.2014623942077,20,504996.12,0.0,20.031908439010387,20.031908439010387,0.0,0.0,20.03190843901036,161.84950150513296,0.0,1768.1316,20,-58.011272939613804,161.84950150513296
728000,-39.114266673648416,-58.340419591324874,10,10,-214.02406,-69.71103003494862,nan,4.761632,-39.114266673648416,21,162014.94,0.0,-58.34041959132488,-58.34041959132488,0.0,0.0,-58.340419591324874,7.905788431798202,0.0,3059.844,21,-69.71103003494862,7.905788431798202
752000,-24.659505375424036,-41.5150429234145,10,10,286.57477,-55.70199760959752,nan,3.3721445,-24.659505375424036,22,72266.43,0.0,-41.5150429234145,-41.5150429234145,0.0,0.0,-41.5150429234145,7.774418583120515,0.0,464.2585,22,-55.70199760959752,7.774418583120515
776000,93.09745259363247,-14.953546054644274,10,10,-4.0161076,-46.69291918388157,nan,3.2373555,93.09745259363247,23,31440.045,0.0,-14.953546054644278,-14.953546054644278,0.0,0.0,-14.953546054644274,37.99389260867613,0.0,164.6081,23,-46.69291918388157,37.99389260867613
800000,2930.681706480403,501.65354368030813,10,10,-239.60507,-18.359440907617103,nan,1.7207869,2930.681706480403,24,36841.68,0.0,501.65354368030796,501.65354368030796,0.0,0.0,501.65354368030813,943.3941006137222,0.0,183.20232,24,-18.359440907617103,943.3941006137222
824000,14735.097528332533,1580.7260274724165,10,10,-834.30396,-60.68886122893543,nan,-0.27421284,14735.097528332533,25,60353.008,0.0,1580.7260274724158,1580.7260274724158,0.0,0.0,1580.7260274724165,4389.598736232477,0.0,182.2538,25,-60.68886122893543,4389.598736232477
848000,371.1050413627018,16.416443017293357,10,10,-1830.2982,-56.8409958409599,nan,-2.4226432,371.1050413627018,26,142884.67,0.0,16.416443017293396,16.416443017293396,0.0,0.0,16.416443017293357,121.02901468169713,0.0,516.09204,26,-56.8409958409599,121.02901468169713
