MetaTrain/Average/AlphaLoss,MetaTest/door-unlock-v1/AverageReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/door-unlock-v1/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/door-unlock-v1/SuccessRate,MetaTest/Average/StdReturn,TotalEnvSteps,MetaTest/door-unlock-v1/NumTrajs,MetaTest/door-unlock-v1/Iteration,MetaTrain/Average/Alpha,MetaTest/door-unlock-v1/MinReturn,MetaTest/door-unlock-v1/MaxReturn,MetaTrain/Average/QfLoss,MetaTrain/Average/ContrastiveLoss,MetaTest/door-unlock-v1/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/NumTrajs,MetaTest/Average/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/door-unlock-v1/StdReturn
6.032557,20.984022795040698,-29.352201,0,0.0,0.0,457.89583134777314,0.1,145.66833486197356,224000,10,0,nan,-32.85066337134584,457.89583134777314,3255.1084,7.928808,20.98402279504071,-32.85066337134584,20.98402279504071,10,0.1,20.984022795040698,145.66833486197356
4.069534,1227.6506780322648,-217.58682,1,0.0,0.0,6877.908878475208,0.8,2342.430723751412,248000,10,1,nan,-43.23166453766803,6877.908878475208,9230.102,7.82689,1227.650678032264,-43.23166453766803,1227.650678032264,10,0.8,1227.6506780322648,2342.430723751412
-0.89344496,562.0897799113957,-927.74976,2,0.0,0.0,3969.098984714408,0.5,1195.3597916134247,272000,10,2,nan,-38.32755364929578,3969.098984714408,38267.6,8.43063,562.089779911396,-38.32755364929578,562.089779911396,10,0.5,562.0897799113957,1195.3597916134247
-6.622057,2343.669331448306,-4837.872,3,0.0,0.0,16090.27687807463,0.4,5019.315394996224,296000,10,3,nan,-34.670930948495446,16090.27687807463,273013.2,8.27786,2343.669331448305,-34.670930948495446,2343.669331448305,10,0.4,2343.669331448306,5019.315394996224
-8.342057,3630.6474075573033,-8257.83,4,0.0,0.0,9707.902602851726,0.7,3731.012690512655,320000,10,4,nan,-33.01168211895568,9707.902602851726,502275.9,9.213082,3630.6474075573046,-33.01168211895568,3630.6474075573046,10,0.7,3630.6474075573033,3731.012690512655
-10.49978,22.745094780044983,-10454.308,5,0.0,0.0,245.58364006582096,0.1,90.87710456799637,344000,10,5,nan,-30.956291294289873,245.58364006582096,713809.0,11.127311,22.745094780044983,-30.956291294289873,22.745094780044983,10,0.1,22.745094780044983,90.87710456799637
-10.199133,4507.887692864296,-11353.444,6,0.0,0.0,20349.466081939714,0.5,6547.806496550543,368000,10,6,nan,-39.86602925174085,20349.466081939714,782232.06,15.287965,4507.8876928642985,-39.86602925174085,4507.8876928642985,10,0.5,4507.887692864296,6547.806496550543
-9.761985,9532.174505999896,-14831.716,7,0.0,0.0,16091.112589512179,0.4,7039.701385602854,392000,10,7,nan,-26.76113193489739,16091.112589512179,1111822.4,18.276146,9532.174505999894,-26.76113193489739,9532.174505999894,10,0.4,9532.174505999896,7039.701385602854
-10.343861,6548.2363141963415,-16720.89,8,0.0,0.0,16357.206568858888,0.5,7107.38040855769,416000,10,8,nan,-35.359156238233666,16357.206568858888,1299543.5,21.115812,6548.236314196342,-35.359156238233666,6548.236314196342,10,0.5,6548.2363141963415,7107.38040855769
-10.125339,8703.33965755672,-19763.535,9,0.0,0.0,18114.86575693331,0.6,6373.9531860246525,440000,10,9,nan,-28.558416217681696,18114.86575693331,1655146.1,20.652348,8703.339657556717,-28.558416217681696,8703.339657556717,10,0.6,8703.33965755672,6373.9531860246525
