TotalEnvSteps,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/Alpha,MetaTest/Average/NumTrajs,MetaTest/Average/Iteration,MetaTest/hammer-v1/Iteration,MetaTest/hammer-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/hammer-v1/AverageReturn,MetaTest/hammer-v1/StdReturn,MetaTest/hammer-v1/MaxReturn,MetaTest/Average/MinReturn,MetaTrain/Average/PolicyLoss,MetaTest/hammer-v1/NumTrajs,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,MetaTest/hammer-v1/SuccessRate,MetaTest/hammer-v1/TerminationRate,MetaTest/hammer-v1/AverageDiscountedReturn,MetaTrain/Average/QfLoss
224000,8.610344,nan,10,0,0,-23.48047971763699,-20.687391980018166,-18.48314115024985,6.7309794,-20.68739198001817,0.0,-20.68739198001817,1.8890973461827643,-18.48314115024985,-23.48047971763699,-11.353983,10,1.8890973461827643,0.0,0.0,0.0,-20.687391980018166,3.5423048
248000,7.8131347,nan,10,1,1,-15.753801526454867,-12.799253205308359,-9.960658534313096,6.7210526,-12.799253205308357,0.0,-12.799253205308357,2.176434885550404,-9.960658534313096,-15.753801526454867,-21.583326,10,2.176434885550404,0.0,0.0,0.0,-12.799253205308359,4.1291766
272000,8.189775,nan,10,2,2,-9.785816421007048,-8.245721936823955,-7.093914115937226,6.7031717,-8.245721936823955,0.0,-8.245721936823955,1.071681678483976,-7.093914115937226,-9.785816421007048,-33.2583,10,1.071681678483976,0.0,0.0,0.0,-8.245721936823955,5.415495
296000,7.8368206,nan,10,3,3,-8.389818663239302,-7.282925888095103,-6.017303473348122,6.6763005,-7.282925888095102,0.0,-7.282925888095102,0.6859884606626527,-6.017303473348122,-8.389818663239302,-46.109516,10,0.6859884606626527,0.0,0.0,0.0,-7.282925888095103,7.7669797
320000,7.459795,nan,10,4,4,-8.786631409331854,-6.371105391295267,-4.373784383705765,6.6418066,-6.371105391295268,0.0,-6.371105391295268,1.5454951838425182,-4.373784383705765,-8.786631409331854,-59.50949,10,1.5454951838425182,0.0,0.0,0.0,-6.371105391295267,11.828637
344000,7.442251,nan,10,5,5,-9.856258034533836,-6.860701986397094,-5.478175550068981,6.597749,-6.860701986397096,0.0,-6.860701986397096,1.2126428389696138,-5.478175550068981,-9.856258034533836,-75.25062,10,1.2126428389696138,0.0,0.0,0.0,-6.860701986397094,17.916634
368000,7.3285336,nan,10,6,6,-7.521377383981199,-6.3213821027605315,-5.220677186653798,6.5437713,-6.321382102760531,0.0,-6.321382102760531,0.6941274254081596,-5.220677186653798,-7.521377383981199,-90.33804,10,0.6941274254081596,0.0,0.0,0.0,-6.3213821027605315,27.892874
392000,7.4249883,nan,10,7,7,-9.537722661440554,-7.141967565148413,-5.224874336841903,6.470118,-7.141967565148413,0.0,-7.141967565148413,1.427275223106842,-5.224874336841903,-9.537722661440554,-103.139725,10,1.427275223106842,0.0,0.0,0.0,-7.141967565148413,66.62531
416000,7.444795,nan,10,8,8,-12.59977058586358,-8.367676923412127,-4.227226159480565,6.39851,-8.367676923412127,0.0,-8.367676923412127,2.4560021135004932,-4.227226159480565,-12.59977058586358,-114.92405,10,2.4560021135004932,0.0,0.0,0.0,-8.367676923412127,187.09875
440000,7.6213956,nan,10,9,9,-14.923581668086879,-9.15703246795638,-7.026672308720844,6.17316,-9.15703246795638,0.0,-9.15703246795638,2.18432799621667,-7.026672308720844,-14.923581668086879,-126.60119,10,2.18432799621667,0.0,0.0,0.0,-9.15703246795638,971.71497
464000,7.6397696,nan,10,10,10,-13.947177971399618,-9.567882191288813,-7.341180614692899,5.9253397,-9.567882191288811,0.0,-9.567882191288811,1.9465636710911443,-7.341180614692899,-13.947177971399618,-144.6606,10,1.9465636710911443,0.0,0.0,0.0,-9.567882191288813,3429.6145
488000,11.36186,nan,10,11,11,-52.809749196681125,-19.284131154166182,-3.7344191832857385,5.5087686,-19.284131154166193,0.0,-19.284131154166193,18.979083981594826,-3.7344191832857385,-52.809749196681125,-175.92319,10,18.979083981594826,0.0,0.0,0.0,-19.284131154166182,9115.124
512000,11.164468,nan,10,12,12,-80.05882707178975,-71.8936450251222,-45.876390543468524,5.2455673,-71.8936450251222,0.0,-71.8936450251222,9.420554038826761,-45.876390543468524,-80.05882707178975,-217.69275,10,9.420554038826761,0.0,0.0,0.0,-71.8936450251222,19770.037
536000,9.866672,nan,10,13,13,-17.649488167954093,-4.0348266645914945,18.487139813013513,4.6784506,-4.034826664591489,0.0,-4.034826664591489,10.782255688838072,18.487139813013513,-17.649488167954093,-250.34946,10,10.782255688838072,0.0,0.0,0.0,-4.0348266645914945,25137.8
560000,9.317352,nan,10,14,14,-15.93706490434066,28.27052834231239,129.64045569183517,3.2529922,28.270528342312407,0.0,28.270528342312407,56.69428858156675,129.64045569183517,-15.93706490434066,-425.6903,10,56.69428858156675,0.0,0.0,0.0,28.27052834231239,52184.336
584000,14.300122,nan,10,15,15,-46.14487717684106,67.7932436714584,125.34349072131681,1.7098781,67.79324367145841,0.0,67.79324367145841,52.8300035247377,125.34349072131681,-46.14487717684106,-945.4564,10,52.8300035247377,0.0,0.0,0.0,67.7932436714584,77942.7
608000,56.817554,nan,10,16,16,-85.6852447629362,-81.38477693852465,-79.39873009111122,0.6123283,-81.38477693852465,0.0,-81.38477693852465,1.9969705694479492,-79.39873009111122,-85.6852447629362,-1508.5458,10,1.9969705694479492,0.0,0.0,0.0,-81.38477693852465,100571.15
632000,497.06415,nan,10,17,17,-115.3093225593547,-103.92443787386722,-84.76498851386432,0.95105577,-103.92443787386722,0.0,-103.92443787386722,7.71738684613484,-84.76498851386432,-115.3093225593547,-1842.5488,10,7.71738684613484,0.0,0.0,0.0,-103.92443787386722,104149.88
656000,1280.1208,nan,10,18,18,-72.58333052228335,-49.978915181303904,-6.710313009752055,3.6788461,-49.978915181303904,0.0,-49.978915181303904,20.640219907973393,-6.710313009752055,-72.58333052228335,-1723.1564,10,20.640219907973393,0.0,0.0,0.0,-49.978915181303904,35292.06
680000,472.47998,nan,10,19,19,-76.6231333580344,-33.054156674328546,-7.257638238734124,2.4958665,-33.054156674328546,0.0,-33.054156674328546,21.219115630045515,-7.257638238734124,-76.6231333580344,-3307.4294,10,21.219115630045515,0.0,0.0,0.0,-33.054156674328546,35064.574
704000,88.31167,nan,10,20,20,-16.087538386620025,-9.532358213462297,-4.008181879915536,-2.4557176,-9.532358213462299,0.0,-9.532358213462299,3.856703981410067,-4.008181879915536,-16.087538386620025,-8838.528,10,3.856703981410067,0.0,0.0,0.0,-9.532358213462297,48786.234
728000,30.372984,nan,10,21,21,-74.30522594990228,-15.757955237117859,-3.0158337423856665,-5.9461637,-15.757955237117864,0.0,-15.757955237117864,19.917792161072843,-3.0158337423856665,-74.30522594990228,-12392.397,10,19.917792161072843,0.0,0.0,0.0,-15.757955237117859,51199.492
752000,135.0087,nan,10,22,22,-89.22943248558111,-33.3605084599451,-0.09702941542352958,-4.3179426,-33.36050845994509,0.0,-33.36050845994509,23.19492845957144,-0.09702941542352958,-89.22943248558111,-10817.104,10,23.19492845957144,0.0,0.0,0.0,-33.3605084599451,34938.957
776000,395.271,nan,10,23,23,-32.28298033684241,-19.990770869094636,-7.182185397572569,-0.10627904,-19.99077086909464,0.0,-19.99077086909464,6.832350906673987,-7.182185397572569,-32.28298033684241,-6761.788,10,6.832350906673987,0.0,0.0,0.0,-19.990770869094636,18191.883
800000,536.42065,nan,10,24,24,-33.68887952012544,-21.390076472621423,-7.591682260537965,0.48577812,-21.390076472621423,0.0,-21.390076472621423,8.499610465512085,-7.591682260537965,-33.68887952012544,-6143.514,10,8.499610465512085,0.0,0.0,0.0,-21.390076472621423,13907.104
