MetaTrain/Average/ContrastiveLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTest/Average/MinReturn,MetaTrain/Average/QfLoss,MetaTest/window-close-v1/MaxReturn,MetaTest/window-close-v1/Iteration,MetaTest/window-close-v1/MinReturn,MetaTest/Average/MaxReturn,MetaTest/window-close-v1/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/window-close-v1/TerminationRate,MetaTrain/Average/PolicyLoss,MetaTrain/Average/AlphaLoss,MetaTest/window-close-v1/StdReturn,TotalEnvSteps,MetaTest/Average/NumTrajs,MetaTest/Average/StdReturn,MetaTest/window-close-v1/SuccessRate,MetaTest/window-close-v1/NumTrajs,MetaTest/window-close-v1/AverageReturn,MetaTest/Average/Iteration,MetaTrain/Average/Alpha,MetaTest/Average/TerminationRate
8.751188,-26.814666732752492,0.0,-34.83352754774629,8.678217,-17.062465632197807,0,-34.83352754774629,-17.062465632197807,-26.814666732752492,-26.81466673275249,0.0,2.79123,6.727167,5.332066477106652,224000,10,5.332066477106652,0.0,10,-26.81466673275249,0,nan,0.0
8.50689,-27.99546179616969,0.0,-34.97542953906623,259.72122,-23.141971138323395,1,-34.97542953906623,-23.141971138323395,-27.99546179616969,-27.99546179616969,0.0,5.9360733,6.566887,4.112843557673953,248000,10,4.112843557673953,0.0,10,-27.99546179616969,1,nan,0.0
11.524191,-21.220236422882408,0.0,-25.284021210807985,34780.72,-16.292170056333465,2,-25.284021210807985,-16.292170056333465,-21.220236422882408,-21.220236422882415,0.0,-339.81305,1.0880201,2.6852664490913214,272000,10,2.6852664490913214,0.0,10,-21.220236422882415,2,nan,0.0
14.812056,-30.32215682966291,0.0,-31.78484961310239,60912.344,-27.549062403861786,3,-31.78484961310239,-27.549062403861786,-30.32215682966291,-30.322156829662912,0.0,-1277.4753,-0.7711609,1.1261775644588727,296000,10,1.1261775644588727,0.0,10,-30.322156829662912,3,nan,0.0
14.527757,-55.54998653175353,0.0,-61.54855354575085,111457.44,-50.015025694008614,4,-61.54855354575085,-50.015025694008614,-55.54998653175353,-55.549986531753504,0.0,-3414.176,-5.570874,4.57117949036942,320000,10,4.57117949036942,0.0,10,-55.549986531753504,4,nan,0.0
16.515215,-52.72118768315174,0.0,-57.70041412449071,228401.3,-38.754741317006086,5,-57.70041412449071,-38.754741317006086,-52.72118768315174,-52.721187683151754,0.0,-8202.905,-9.201016,5.597491616869571,344000,10,5.597491616869571,0.0,10,-52.721187683151754,5,nan,0.0
34.838406,-57.12540942634913,0.0,-58.77234265624981,369039.6,-55.1957485551751,6,-58.77234265624981,-55.1957485551751,-57.12540942634913,-57.125409426349144,0.0,-16458.3,-12.466766,1.3586627973458327,368000,10,1.3586627973458327,0.0,10,-57.125409426349144,6,nan,0.0
52.85892,-37.25147648281325,0.0,-52.49555002825591,618852.25,-23.141227858789936,7,-52.49555002825591,-23.141227858789936,-37.25147648281325,-37.251476482813246,0.0,-23916.256,-14.135586,11.33895979471214,392000,10,11.33895979471214,0.0,10,-37.251476482813246,7,nan,0.0
134.03835,-46.59988499846515,0.0,-63.42841108853681,1544665.1,-27.111674363801992,8,-63.42841108853681,-27.111674363801992,-46.59988499846515,-46.59988499846516,0.0,-26547.191,-14.333673,16.084099536993584,416000,10,16.084099536993584,0.0,10,-46.59988499846516,8,nan,0.0
741.2465,-36.23220337031429,0.0,-51.82133890366793,857441.4,-13.605834151163283,9,-51.82133890366793,-13.605834151163283,-36.23220337031429,-36.23220337031429,0.0,-24175.707,-12.701848,12.12423059436414,440000,10,12.12423059436414,0.0,10,-36.23220337031429,9,nan,0.0
139.0571,19219.58671407658,0.2,-11.560001043531111,2546954.0,96710.11539554302,10,-11.560001043531111,96710.11539554302,19219.58671407658,19219.58671407657,0.0,-35027.4,-15.67722,36422.132189144824,464000,10,36422.132189144824,0.2,10,19219.58671407657,10,nan,0.0
334.62616,17855.678311076448,0.2,-91.57288127159268,3524622.0,86945.04095985486,11,-91.57288127159268,86945.04095985486,17855.678311076448,17855.678311076445,0.0,-48687.96,-15.611694,34510.36155301272,488000,10,34510.36155301272,0.2,10,17855.678311076445,11,nan,0.0
356.30057,23079.85903774687,0.3,-131.43396709797634,5991985.5,77488.68317897108,12,-131.43396709797634,77488.68317897108,23079.85903774687,23079.859037746886,0.0,-55235.42,-19.952131,35172.70190949537,512000,10,35172.70190949537,0.3,10,23079.859037746886,12,nan,0.0
52.967373,-25.467014864110304,0.1,-31.021755877882146,10995294.0,-17.569881939680116,13,-31.021755877882146,-17.569881939680116,-25.467014864110304,-25.467014864110304,0.0,-77352.84,-20.619053,3.4880333399241685,536000,10,3.4880333399241685,0.1,10,-25.467014864110304,13,nan,0.0
40.343517,12.876995200075072,0.0,-31.183137299588058,18315330.0,331.95999372991935,14,-31.183137299588058,331.95999372991935,12.876995200075072,12.876995200075086,0.0,-88293.89,-20.24775,106.54253520075483,560000,10,106.54253520075483,0.0,10,12.876995200075086,14,nan,0.0
45.947273,29261.936651983113,0.4,-35.88298503905044,20070408.0,167069.68180004717,15,-35.88298503905044,167069.68180004717,29261.936651983113,29261.936651983116,0.0,-92621.84,-16.251747,59307.23214804756,584000,10,59307.23214804756,0.4,10,29261.936651983116,15,nan,0.0
