MetaTest/Average/TerminationRate,MetaTest/Average/StdReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/PolicyLoss,TotalEnvSteps,MetaTrain/Average/QfLoss,MetaTest/button-press-topdown-wall-v1/NumTrajs,MetaTest/Average/MaxReturn,MetaTest/button-press-topdown-wall-v1/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/button-press-topdown-wall-v1/MaxReturn,MetaTest/Average/MinReturn,MetaTrain/Average/Alpha,MetaTest/Average/Iteration,MetaTest/button-press-topdown-wall-v1/SuccessRate,MetaTest/Average/NumTrajs,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/AlphaLoss,MetaTest/button-press-topdown-wall-v1/MinReturn,MetaTest/button-press-topdown-wall-v1/Iteration,MetaTest/button-press-topdown-wall-v1/TerminationRate,MetaTest/button-press-topdown-wall-v1/AverageReturn,MetaTest/Average/AverageReturn,MetaTest/button-press-topdown-wall-v1/AverageDiscountedReturn
0.0,4.619420945906648,0.0,9.466218,224000,1.5255483,10,-42.99892256501177,4.619420945906648,-51.09282395884693,-42.99892256501177,-58.273327457122384,nan,0,0.0,10,8.5263405,6.729056,-58.273327457122384,0,0.0,-51.09282395884693,-51.09282395884693,-51.09282395884693
0.0,24.568103779589354,0.0,33.5247,248000,12826.703,10,-26.50893632381602,24.568103779589354,-54.99507665344809,-26.50893632381602,-84.48958919738202,nan,1,0.0,10,12.95057,6.0927887,-84.48958919738202,1,0.0,-54.99507665344807,-54.99507665344807,-54.99507665344809
0.0,5.293986170741086,0.0,-26.36913,272000,46342.055,10,-44.996722071664834,5.293986170741086,-51.98238096317111,-44.996722071664834,-63.44097092859921,nan,2,0.0,10,37.522087,4.9539223,-63.44097092859921,2,0.0,-51.98238096317111,-51.98238096317111,-51.98238096317111
0.0,3.6327383087810388,0.0,-1277.3784,296000,3910947.2,10,-41.90904439314852,3.6327383087810388,-46.40479719617716,-41.90904439314852,-52.57987312961743,nan,3,0.0,10,288.89346,-0.60277575,-52.57987312961743,3,0.0,-46.40479719617715,-46.40479719617715,-46.40479719617716
0.0,5.069949528191902,0.0,-16528.887,320000,777821.0,10,-67.44969134380878,5.069949528191902,-73.12105076296508,-67.44969134380878,-85.10571427987685,nan,4,0.0,10,93.00859,-7.797214,-85.10571427987685,4,0.0,-73.1210507629651,-73.1210507629651,-73.12105076296508
0.0,2639.6291302275927,0.0,-7847.5967,344000,9441278.0,10,7731.2252749760455,2639.6291302275927,1311.7566152822237,7731.2252749760455,-93.59582383982483,nan,5,0.0,10,117.74829,-4.0187435,-93.59582383982483,5,0.0,1311.7566152822237,1311.7566152822237,1311.7566152822237
0.0,63996.07478702947,0.2,-6605.385,368000,509522.06,10,214620.81829947044,63996.07478702947,23838.42071420039,214620.81829947044,-41.60580847288569,nan,6,0.2,10,196.9242,-4.021441,-41.60580847288569,6,0.0,23838.42071420039,23838.42071420039,23838.42071420039
0.0,29.942199016381686,0.0,-9708.363,392000,1925085.1,10,-21.492293963734955,29.942199016381686,-59.12977132455685,-21.492293963734955,-137.60434587151605,nan,7,0.0,10,834.1857,-4.91512,-137.60434587151605,7,0.0,-59.12977132455687,-59.12977132455687,-59.12977132455685
0.0,22.862282491626555,0.0,-18824.424,416000,2345236.5,10,-32.396639789170635,22.862282491626555,-60.045565891774835,-32.396639789170635,-91.07038212969263,nan,8,0.0,10,351.285,-9.499848,-91.07038212969263,8,0.0,-60.04556589177484,-60.04556589177484,-60.045565891774835
0.0,74839.91850714499,0.3,-29133.832,440000,3456232.5,10,252963.28343525145,74839.91850714499,31417.40653245311,252963.28343525145,-45.086696641077,nan,9,0.3,10,298.05026,-13.510703,-45.086696641077,9,0.0,31417.406532453104,31417.406532453104,31417.40653245311
