MetaTrain/Average/Alpha,MetaTest/Average/Iteration,MetaTrain/Average/AlphaLoss,MetaTest/coffee-pull-v1/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/coffee-pull-v1/Iteration,MetaTrain/Average/QfLoss,MetaTest/coffee-pull-v1/MinReturn,MetaTest/coffee-pull-v1/StdReturn,MetaTrain/Average/PolicyLoss,MetaTest/coffee-pull-v1/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/AverageReturn,MetaTest/coffee-pull-v1/MaxReturn,MetaTest/coffee-pull-v1/TerminationRate,MetaTest/Average/StdReturn,MetaTest/Average/SuccessRate,TotalEnvSteps,MetaTest/coffee-pull-v1/NumTrajs,MetaTest/coffee-pull-v1/AverageReturn,MetaTest/Average/NumTrajs,MetaTest/Average/MinReturn,MetaTest/Average/AverageDiscountedReturn
nan,0,6.73021,0.0,-20.90897593102432,0,1.4730879,-27.748982291821292,2.0590323036713802,-3.5147736,-24.05315490652927,0.0,8.022769,-24.053154906529272,-20.90897593102432,0.0,2.0590323036713802,0.0,224000,10,-24.053154906529272,10,-27.748982291821292,-24.05315490652927
nan,1,6.6284537,0.0,-15.787776645391649,1,237.3993,-44.60897996599772,11.624215060066602,-8.991164,-26.763823433816935,0.0,12.490381,-26.763823433816924,-15.787776645391649,0.0,11.624215060066602,0.0,248000,10,-26.763823433816924,10,-44.60897996599772,-26.763823433816935
nan,2,6.3308434,0.0,24344.233560593337,2,476.95172,-44.69721798168139,7313.681767169725,-36.698093,2403.2550078213762,0.0,7.8014317,2403.255007821376,24344.233560593337,0.0,7313.681767169725,0.0,272000,10,2403.255007821376,10,-44.69721798168139,2403.2550078213762
nan,3,4.108372,0.0,736.0547617698893,3,6592.9507,-34.379706500311215,278.8380428004042,-331.8001,215.6527486847246,0.0,7.9762883,215.6527486847248,736.0547617698893,0.0,278.8380428004042,0.0,296000,10,215.6527486847248,10,-34.379706500311215,215.6527486847246
nan,4,-3.601353,0.0,3697.1746262817405,4,32938.453,-86.66730638171323,1292.1552382164496,-2203.3772,799.3824432752157,0.0,12.842725,799.3824432752157,3697.1746262817405,0.0,1292.1552382164496,0.0,320000,10,799.3824432752157,10,-86.66730638171323,799.3824432752157
nan,5,-13.975649,0.0,-34.51061077146453,5,374061.8,-41.27751898736572,1.9224319519791688,-12285.588,-39.142573275829946,0.0,55.47515,-39.14257327582993,-34.51061077146453,0.0,1.9224319519791688,0.0,344000,10,-39.14257327582993,10,-41.27751898736572,-39.142573275829946
nan,6,-16.216602,0.0,-48.67507389515734,6,2270071.2,-87.60864906709841,15.168160895637696,-19971.37,-67.38574818526124,0.0,1743.0984,-67.38574818526124,-48.67507389515734,0.0,15.168160895637696,0.0,368000,10,-67.38574818526124,10,-87.60864906709841,-67.38574818526124
nan,7,-6.7839394,0.0,628.4360639136556,7,349710.6,-49.961605618389314,206.26590986105705,-1848.6372,81.30350775600833,0.0,2563.7292,81.30350775600837,628.4360639136556,0.0,206.26590986105705,0.0,392000,10,81.30350775600837,10,-49.961605618389314,81.30350775600833
nan,8,-18.716188,0.0,-40.92859655906937,8,1056547.4,-62.68041076796733,8.251680515655389,-35488.934,-49.03296816312182,0.0,62.640697,-49.03296816312182,-40.92859655906937,0.0,8.251680515655389,0.0,416000,10,-49.03296816312182,10,-62.68041076796733,-49.03296816312182
nan,9,-14.780377,0.0,-46.98744144047747,9,985016.75,-80.27514955973776,11.023179940107825,-42357.895,-67.40264753135374,0.0,84.367645,-67.40264753135374,-46.98744144047747,0.0,11.023179940107825,0.0,440000,10,-67.40264753135374,10,-80.27514955973776,-67.40264753135374
