MetaTrain/Average/AlphaLoss,MetaTest/door-close-v1/TerminationRate,MetaTest/door-close-v1/SuccessRate,MetaTest/door-close-v1/AverageReturn,MetaTest/door-close-v1/MinReturn,MetaTest/door-close-v1/StdReturn,TotalEnvSteps,MetaTest/door-close-v1/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/Average/MinReturn,MetaTest/Average/NumTrajs,MetaTest/door-close-v1/NumTrajs,MetaTest/Average/StdReturn,MetaTest/door-close-v1/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/Alpha,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/PolicyLoss,MetaTest/door-close-v1/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,MetaTrain/Average/QfLoss
6.7003493,0.0,0.2,-50.35680559903963,-83.06472687865201,14.48240876351875,224000,-50.356805599039625,0,0.0,-83.06472687865201,10,10,14.48240876351875,0,-50.356805599039625,0.2,nan,7.96675,1.9697275,-38.75993955056979,-50.35680559903963,-38.75993955056979,267.5905
6.4949126,0.0,0.0,-41.547693299400066,-44.63867225057084,1.8325961649549765,248000,-41.54769329940006,1,0.0,-44.63867225057084,10,10,1.8325961649549765,1,-41.54769329940006,0.0,nan,7.6619368,8.9562645,-38.65645559883889,-41.547693299400066,-38.65645559883889,267.66818
6.2941175,0.0,0.7,-46.43771850530966,-50.1478924988309,3.39168495794603,272000,-46.43771850530967,2,0.0,-50.1478924988309,10,10,3.39168495794603,2,-46.43771850530967,0.7,nan,15.735092,2.5553973,-40.4091658216875,-46.43771850530966,-40.4091658216875,332.64432
5.6158414,0.0,0.6,-62.30649293872237,-72.39284323955954,6.4937038318349005,296000,-62.30649293872237,3,0.0,-72.39284323955954,10,10,6.4937038318349005,3,-62.30649293872237,0.6,nan,22.066704,-46.35457,-48.61772845181751,-62.30649293872237,-48.61772845181751,682.3838
3.6846654,0.0,0.0,-85.35410006112212,-142.51947417322938,37.806362153480144,320000,-85.35410006112212,4,0.0,-142.51947417322938,10,10,37.806362153480144,4,-85.35410006112212,0.0,nan,28.598751,-201.98447,-41.81240445070408,-85.35410006112212,-41.81240445070408,25344.1
2.118287,0.0,0.0,-64.7658879407075,-72.5686166080412,4.1176274803798,344000,-64.76588794070749,5,0.0,-72.5686166080412,10,10,4.1176274803798,5,-64.76588794070749,0.0,nan,59.00746,-640.7073,-57.951373404518954,-64.7658879407075,-57.951373404518954,29174.207
-7.2007284,0.0,0.0,-46.91228932788971,-53.5697494648402,3.948488302655085,368000,-46.91228932788969,6,0.0,-53.5697494648402,10,10,3.948488302655085,6,-46.91228932788969,0.0,nan,10.364159,-3706.5881,-40.81153269505252,-46.91228932788971,-40.81153269505252,34109.727
-11.354155,0.0,0.0,-80.19041624334247,-156.68070672230456,35.38172930467482,392000,-80.19041624334243,7,0.0,-156.68070672230456,10,10,35.38172930467482,7,-80.19041624334243,0.0,nan,14.7280245,-7279.264,-56.94636823783692,-80.19041624334247,-56.94636823783692,41128.56
-10.665045,0.0,0.1,-37.43790192899847,-62.24313158742104,15.431553388057665,416000,-37.43790192899848,8,0.0,-62.24313158742104,10,10,15.431553388057665,8,-37.43790192899848,0.1,nan,21.961906,-9578.627,-19.901369667981175,-37.43790192899847,-19.901369667981175,39150.24
-3.8462102,0.0,0.0,-95.82156556480179,-156.3642738352765,20.40443242515117,440000,-95.82156556480179,9,0.0,-156.3642738352765,10,10,20.40443242515117,9,-95.82156556480179,0.0,nan,923.95776,-1659.1868,-83.3437617726429,-95.82156556480179,-83.3437617726429,28935.328
4.377358,0.0,0.1,-103.44655518565762,-148.68048582863372,38.98775355319643,464000,-103.44655518565764,10,0.0,-148.68048582863372,10,10,38.98775355319643,10,-103.44655518565764,0.1,nan,3180.5383,209.29965,-58.24790828610375,-103.44655518565762,-58.24790828610375,3404165.0
-7.9051723,0.0,0.3,-70.43736041510158,-113.07387585773874,20.47112471456177,488000,-70.43736041510157,11,0.0,-113.07387585773874,10,10,20.47112471456177,11,-70.43736041510157,0.3,nan,4846.884,-6501.821,-50.50126184058493,-70.43736041510158,-50.50126184058493,497230.4
-5.9880285,0.0,0.0,-39.87869564762343,-43.43786429977532,2.282236513628992,512000,-39.87869564762343,12,0.0,-43.43786429977532,10,10,2.282236513628992,12,-39.87869564762343,0.0,nan,4907.931,-10634.333,-36.81287701850759,-39.87869564762343,-36.81287701850759,57502.984
3.7465925,0.0,0.0,-76.80887446833677,-96.42815199667662,9.421041990247343,536000,-76.80887446833677,13,0.0,-96.42815199667662,10,10,9.421041990247343,13,-76.80887446833677,0.0,nan,567.8741,588.289,-62.58375151982534,-76.80887446833677,-62.58375151982534,21726.527
4.6851983,0.0,0.0,-55.589570827429064,-60.700677551965136,5.676482578398237,560000,-55.589570827429064,14,0.0,-60.700677551965136,10,10,5.676482578398237,14,-55.589570827429064,0.0,nan,388.49335,283.3055,-44.13845914503771,-55.589570827429064,-44.13845914503771,18899.984
3.6235247,0.0,0.0,-66.67572552995293,-122.93048452001662,26.56531733900753,584000,-66.67572552995296,15,0.0,-122.93048452001662,10,10,26.56531733900753,15,-66.67572552995296,0.0,nan,42193.285,18175.908,-47.074583893858666,-66.67572552995293,-47.074583893858666,524379.94
