MetaTest/door-close-v1/SuccessRate,TotalEnvSteps,MetaTest/door-close-v1/NumTrajs,MetaTest/door-close-v1/TerminationRate,MetaTest/door-close-v1/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/QfLoss,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/door-close-v1/MinReturn,MetaTrain/Average/PolicyLoss,MetaTest/door-close-v1/Iteration,MetaTrain/Average/Alpha,MetaTrain/Average/AlphaLoss,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/Average/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/door-close-v1/MaxReturn,MetaTest/door-close-v1/StdReturn,MetaTest/door-close-v1/AverageReturn,MetaTest/Average/NumTrajs,MetaTest/Average/MaxReturn
0.0,224000,10,0.0,-40.409047381209845,2.070388040126471,9.2957735,169.26447,-40.409047381209845,-44.11997401013595,-44.11997401013595,-1.0546266,0,nan,6.7092175,0,0.0,0.0,-40.409047381209845,-37.951346756946165,2.070388040126471,-40.409047381209845,10,-37.951346756946165
0.5,248000,10,0.0,-47.29226940128331,7.245264199754859,7.7939777,170.26103,-47.29226940128332,-57.744118341367155,-57.744118341367155,6.6416826,1,nan,6.6014404,1,0.0,0.5,-47.29226940128331,-38.12242677746164,7.245264199754859,-47.29226940128332,10,-38.12242677746164
0.9,272000,10,0.0,-47.991321130834216,2.5456857053911124,7.6572814,186.86642,-47.991321130834216,-51.54378300237577,-51.54378300237577,-7.1782207,2,nan,6.2062263,2,0.0,0.9,-47.991321130834216,-42.49613713912842,2.5456857053911124,-47.991321130834216,10,-42.49613713912842
0.9,296000,10,0.0,-60.765228617727914,7.6871710155452515,8.838347,515.3552,-60.76522861772793,-67.84607301578669,-67.84607301578669,-46.555134,3,nan,5.248405,3,0.0,0.9,-60.765228617727914,-40.354644605865296,7.6871710155452515,-60.76522861772793,10,-40.354644605865296
0.8,320000,10,0.0,-73.00785415244701,23.369224630341133,11.960149,1341.3645,-73.00785415244702,-103.71190174976292,-103.71190174976292,-104.1038,4,nan,4.16347,4,0.0,0.8,-73.00785415244701,-27.01320388539845,23.369224630341133,-73.00785415244702,10,-27.01320388539845
0.9,344000,10,0.0,-73.17197889503606,15.345558045230634,23.029531,1860.0808,-73.17197889503609,-87.82105477437209,-87.82105477437209,-123.48775,5,nan,4.199508,5,0.0,0.9,-73.17197889503606,-37.74612313264061,15.345558045230634,-73.17197889503609,10,-37.74612313264061
0.0,368000,10,0.0,-43.891559769240374,5.212878943100382,59.67068,2903.9197,-43.891559769240374,-53.842563230528896,-53.842563230528896,-181.4225,6,nan,3.5386631,6,0.0,0.0,-43.891559769240374,-35.69754714606879,5.212878943100382,-43.891559769240374,10,-35.69754714606879
0.0,392000,10,0.0,-124.11568462436944,9.112523174193228,318.1764,31283.848,-124.11568462436944,-135.98054511420023,-135.98054511420023,17.716097,7,nan,4.4246693,7,0.0,0.0,-124.11568462436944,-110.99409825606517,9.112523174193228,-124.11568462436944,10,-110.99409825606517
0.1,416000,10,0.0,-47.419946102800985,7.838409386270951,182.02858,49043.0,-47.41994610280099,-59.00811881631057,-59.00811881631057,-237.02997,8,nan,3.1080403,8,0.0,0.1,-47.419946102800985,-32.17899704565525,7.838409386270951,-47.41994610280099,10,-32.17899704565525
0.0,440000,10,0.0,-55.86540999463881,9.746755859735478,307.13095,40247.754,-55.865409994638824,-71.13375068716793,-71.13375068716793,-785.52,9,nan,1.3365691,9,0.0,0.0,-55.86540999463881,-42.717233522471574,9.746755859735478,-55.865409994638824,10,-42.717233522471574
0.1,464000,10,0.0,-56.30477739176017,11.347814139209977,49.779507,40159.36,-56.30477739176016,-82.63784764609582,-82.63784764609582,-2124.2441,10,nan,-2.1733513,10,0.0,0.1,-56.30477739176017,-37.39453496455254,11.347814139209977,-56.30477739176016,10,-37.39453496455254
0.0,488000,10,0.0,-59.40482501749525,31.425280983379967,130.80663,73139.1,-59.40482501749527,-141.98678545783773,-141.98678545783773,-3634.5144,11,nan,-4.2528706,11,0.0,0.0,-59.40482501749525,-30.81896899597246,31.425280983379967,-59.40482501749527,10,-30.81896899597246
0.2,512000,10,0.0,1976.7614253482504,5873.848417779662,110.34273,119471.266,1976.761425348249,-58.374883053179914,-58.374883053179914,-7305.401,12,nan,-7.2143116,12,0.0,0.2,1976.7614253482504,19593.993448801823,5873.848417779662,1976.761425348249,10,19593.993448801823
0.0,536000,10,0.0,-49.64827945965408,9.785109989368811,959.2947,338044.8,-49.64827945965409,-59.30853778009524,-59.30853778009524,-13572.827,13,nan,-10.048603,13,0.0,0.0,-49.64827945965408,-24.51847879340799,9.785109989368811,-49.64827945965409,10,-24.51847879340799
0.4,560000,10,0.0,-55.53330389439541,43.32670497100593,537.58124,815555.3,-55.533303894395395,-146.1582019170707,-146.1582019170707,-14076.709,14,nan,-8.675146,14,0.0,0.4,-55.53330389439541,-25.840993751958468,43.32670497100593,-55.533303894395395,10,-25.840993751958468
0.0,584000,10,0.0,-64.52411402463648,12.545606794395086,2334.85,260021.56,-64.52411402463648,-87.42750871301132,-87.42750871301132,-5649.904,15,nan,-2.7418096,15,0.0,0.0,-64.52411402463648,-45.49701791919679,12.545606794395086,-64.52411402463648,10,-45.49701791919679
0.2,608000,10,0.0,-44.43952755794081,15.215676701403138,3339.8584,266819.97,-44.43952755794079,-70.02730905177873,-70.02730905177873,-1643.7517,16,nan,0.9403428,16,0.0,0.2,-44.43952755794081,-19.32427660125134,15.215676701403138,-44.43952755794079,10,-19.32427660125134
0.3,632000,10,0.0,4296.705148489439,13039.914388687903,1554.2097,341631.97,4296.705148489441,-69.47408796619473,-69.47408796619473,-4985.582,17,nan,-1.86908,17,0.0,0.3,4296.705148489439,43416.429985740535,13039.914388687903,4296.705148489441,10,43416.429985740535
0.1,656000,10,0.0,-37.650145345846305,6.570385285934948,181.3943,590771.44,-37.65014534584631,-46.27328687393998,-46.27328687393998,-13261.419,18,nan,-8.328863,18,0.0,0.1,-37.650145345846305,-25.309949627520847,6.570385285934948,-37.65014534584631,10,-25.309949627520847
0.2,680000,10,0.0,12789.32010522343,25656.452761663666,120.46458,822029.25,12789.320105223436,-32.47909247155495,-32.47909247155495,-17298.418,19,nan,-9.257401,19,0.0,0.2,12789.32010522343,66430.1453686154,25656.452761663666,12789.320105223436,10,66430.1453686154
0.0,704000,10,0.0,-45.17305083693937,28.751357635789905,182.17993,1018294.75,-45.17305083693937,-106.73062098534771,-106.73062098534771,-14354.034,20,nan,-8.709934,20,0.0,0.0,-45.17305083693937,-20.139124388272386,28.751357635789905,-45.17305083693937,10,-20.139124388272386
0.1,728000,10,0.0,-105.8360673000328,41.3256503374822,5310.992,1146438.4,-105.83606730003285,-148.0524022604062,-148.0524022604062,-8124.583,21,nan,-4.374119,21,0.0,0.1,-105.8360673000328,-47.598700904196036,41.3256503374822,-105.83606730003285,10,-47.598700904196036
0.2,752000,10,0.0,-69.74309953273166,39.072153524482395,5577.271,638393.25,-69.74309953273169,-143.35384370078663,-143.35384370078663,-4922.459,22,nan,-4.678036,22,0.0,0.2,-69.74309953273166,-24.329841100811553,39.072153524482395,-69.74309953273169,10,-24.329841100811553
0.1,776000,10,0.0,-61.964460264720756,23.146190235995867,3372.7688,999741.2,-61.96446026472076,-114.84145601961814,-114.84145601961814,-12998.414,23,nan,-8.198942,23,0.0,0.1,-61.964460264720756,-28.384431673564883,23.146190235995867,-61.96446026472076,10,-28.384431673564883
0.0,800000,10,0.0,-63.350562085867466,10.155536606845425,2346.6826,948480.75,-63.350562085867466,-76.04883346997455,-76.04883346997455,-11248.999,24,nan,-7.79114,24,0.0,0.0,-63.350562085867466,-48.677742192737796,10.155536606845425,-63.350562085867466,10,-48.677742192737796
