MetaTest/Average/TerminationRate,MetaTest/faucet-close-v1/AverageReturn,MetaTest/faucet-close-v1/TerminationRate,MetaTest/faucet-close-v1/MaxReturn,MetaTest/faucet-close-v1/Iteration,MetaTest/Average/SuccessRate,TotalEnvSteps,MetaTest/faucet-close-v1/StdReturn,MetaTest/faucet-close-v1/NumTrajs,MetaTest/faucet-close-v1/SuccessRate,MetaTrain/Average/PolicyLoss,MetaTest/Average/StdReturn,MetaTest/Average/NumTrajs,MetaTest/Average/AverageReturn,MetaTrain/Average/Alpha,MetaTrain/Average/ContrastiveLoss,MetaTest/faucet-close-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/Average/Iteration,MetaTrain/Average/QfLoss,MetaTrain/Average/AlphaLoss,MetaTest/faucet-close-v1/AverageDiscountedReturn,MetaTest/Average/MinReturn
0.0,-69.75368579372996,0.0,-61.96722995090159,0,0.0,224000,3.62572778861162,10,0.0,-76.76067,3.62572778861162,10,-69.75368579372996,nan,8.247982,-73.59550429698456,-69.75368579372994,-61.96722995090159,0,10164.502,5.407066,-69.75368579372994,-73.59550429698456
0.0,926.0762225888127,0.0,3473.383420986159,1,0.0,248000,1308.090416988226,10,0.0,-321.58725,1308.090416988226,10,926.0762225888127,nan,29.47629,-32.90081665050743,926.0762225888127,3473.383420986159,1,13868.076,3.6755621,926.0762225888127,-32.90081665050743
0.0,2567.1933100852025,0.0,18813.743536272435,2,0.1,272000,5580.515106161358,10,0.1,-440.64316,5580.515106161358,10,2567.1933100852025,nan,2197.5315,-88.83568059186054,2567.1933100852016,18813.743536272435,2,111076.3,0.8373668,2567.1933100852016,-88.83568059186054
0.0,6270.944884792231,0.0,33495.62315817005,3,0.1,296000,11506.179513963098,10,0.1,1507.8073,11506.179513963098,10,6270.944884792231,nan,929.5781,-63.0457148821354,6270.944884792234,33495.62315817005,3,75817.266,0.48778632,6270.944884792234,-63.0457148821354
0.0,490.46914472763757,0.0,3390.5471119067083,4,0.0,320000,1048.4855541714162,10,0.0,-1457.2332,1048.4855541714162,10,490.46914472763757,nan,1151.1365,-58.9468580429152,490.46914472763746,3390.5471119067083,4,253767.33,-3.284824,490.46914472763746,-58.9468580429152
0.0,256.3108672155041,0.0,1251.9180971103258,5,0.0,344000,462.5102468737087,10,0.0,-10185.07,462.5102468737087,10,256.3108672155041,nan,1164.5276,-40.0710511088908,256.3108672155043,1251.9180971103258,5,556630.8,-9.15095,256.3108672155043,-40.0710511088908
0.0,961.7676322731589,0.0,1356.1617602938793,6,0.2,368000,504.73928723293784,10,0.2,-15332.849,504.73928723293784,10,961.7676322731589,nan,1409.8005,-31.8554601310059,961.7676322731592,1356.1617602938793,6,875319.56,-11.538932,961.7676322731592,-31.8554601310059
0.0,2117.873351053528,0.0,8651.085360875639,7,0.0,392000,3330.3670632773224,10,0.0,-28484.523,3330.3670632773224,10,2117.873351053528,nan,547.983,-60.82662076418364,2117.8733510535294,8651.085360875639,7,1475167.0,-14.6670475,2117.8733510535294,-60.82662076418364
0.0,2560.2008756585324,0.0,16238.766540051643,8,0.0,416000,4710.295219893655,10,0.0,-29940.852,4710.295219893655,10,2560.2008756585324,nan,191.17644,-52.76401247078094,2560.2008756585337,16238.766540051643,8,1566927.4,-16.054731,2560.2008756585337,-52.76401247078094
0.0,15461.150662585385,0.0,51571.45669268355,9,0.0,440000,16445.89997063439,10,0.0,-35833.61,16445.89997063439,10,15461.150662585385,nan,94.89073,1474.0920071153284,15461.15066258539,51571.45669268355,9,1877429.2,-17.113821,15461.15066258539,1474.0920071153284
