MetaTest/Average/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/pick-out-of-hole-v1/AverageReturn,MetaTrain/Average/ContrastiveLoss,TotalEnvSteps,MetaTest/Average/NumTrajs,MetaTest/pick-out-of-hole-v1/MinReturn,MetaTest/pick-out-of-hole-v1/MaxReturn,MetaTest/pick-out-of-hole-v1/TerminationRate,MetaTrain/Average/QfLoss,MetaTest/Average/Iteration,MetaTest/Average/AverageReturn,MetaTest/pick-out-of-hole-v1/NumTrajs,MetaTest/Average/MinReturn,MetaTrain/Average/PolicyLoss,MetaTest/pick-out-of-hole-v1/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/AlphaLoss,MetaTrain/Average/Alpha,MetaTest/pick-out-of-hole-v1/StdReturn,MetaTest/pick-out-of-hole-v1/SuccessRate,MetaTest/pick-out-of-hole-v1/Iteration,MetaTest/Average/StdReturn
0.0,-39.520636004792614,-42.73900629968105,8.302332,224000,10,-45.32591940284953,-39.520636004792614,0.0,2.2495396,0,-42.73900629968105,10,-45.32591940284953,15.461273,-42.73900629968105,-42.73900629968105,0.0,6.723382,nan,1.8164723890491454,0.0,0,1.8164723890491454
0.0,-33.05670008163208,-33.410640274721445,7.6649537,248000,10,-33.65038223287496,-33.05670008163208,0.0,5.4575872,1,-33.410640274721445,10,-33.65038223287496,47.44854,-33.410640274721445,-33.410640274721445,0.0,6.675214,nan,0.2147291993282403,0.0,1,0.2147291993282403
0.0,-25.94875993934474,-29.09415664996943,7.524822,272000,10,-32.553270693276126,-25.94875993934474,0.0,10.489548,2,-29.09415664996943,10,-32.553270693276126,69.12953,-29.094156649969438,-29.094156649969438,0.0,6.5927587,nan,2.288202612338504,0.0,2,2.288202612338504
0.0,-23.79989973068254,-26.51384852105528,7.413537,296000,10,-29.444146994278338,-23.79989973068254,0.0,16.165894,3,-26.51384852105528,10,-29.444146994278338,81.589066,-26.51384852105528,-26.51384852105528,0.0,6.4957714,nan,1.57670979951225,0.0,3,1.57670979951225
0.0,-23.551903513594883,-25.55917852254445,7.3472857,320000,10,-27.280890093383853,-23.551903513594883,0.0,21.56746,4,-25.55917852254445,10,-27.280890093383853,86.28184,-25.559178522544443,-25.559178522544443,0.0,6.405131,nan,1.1370519357154736,0.0,4,1.1370519357154736
0.0,-25.76648572027205,-26.280178161980228,7.3571014,344000,10,-26.688585277955177,-25.76648572027205,0.0,26.405489,5,-26.280178161980228,10,-26.688585277955177,84.39162,-26.280178161980228,-26.280178161980228,0.0,6.327884,nan,0.2583685816676093,0.0,5,0.2583685816676093
0.0,-29.667246976307965,-30.031595437403258,7.341376,368000,10,-30.2755488522876,-29.667246976307965,0.0,31.408018,6,-30.031595437403258,10,-30.2755488522876,82.36978,-30.03159543740325,-30.03159543740325,0.0,6.259405,nan,0.19233534085565432,0.0,6,0.19233534085565432
0.0,-26.241395418313434,-26.657857382640458,7.364013,392000,10,-27.038483858229498,-26.241395418313434,0.0,36.746,7,-26.657857382640458,10,-27.038483858229498,77.81372,-26.65785738264045,-26.65785738264045,0.0,6.2086096,nan,0.25092487891271203,0.0,7,0.25092487891271203
0.0,-29.704707266785125,-29.88099564361433,7.417464,416000,10,-30.168451257551578,-29.704707266785125,0.0,40.966125,8,-29.88099564361433,10,-30.168451257551578,72.15221,-29.88099564361433,-29.88099564361433,0.0,6.169271,nan,0.1393086741374158,0.0,8,0.1393086741374158
0.0,-28.533265944007596,-28.768011203312835,7.444487,440000,10,-28.88178708432232,-28.533265944007596,0.0,44.35078,9,-28.768011203312835,10,-28.88178708432232,67.02302,-28.768011203312835,-28.768011203312835,0.0,6.150916,nan,0.10037468522705506,0.0,9,0.10037468522705506
0.0,-25.861495417863928,-26.123982728689832,7.492013,464000,10,-26.388738204636027,-25.861495417863928,0.0,45.547398,10,-26.123982728689832,10,-26.388738204636027,59.563488,-26.12398272868984,-26.12398272868984,0.0,6.1519413,nan,0.14971127916078233,0.0,10,0.14971127916078233
0.0,-24.92661559239446,-25.064620961997928,7.503744,488000,10,-25.251595254536326,-24.92661559239446,0.0,45.982113,11,-25.064620961997928,10,-25.251595254536326,52.97743,-25.064620961997925,-25.064620961997925,0.0,6.1579466,nan,0.09238903610148684,0.0,11,0.09238903610148684
0.0,-25.028202391457068,-25.329447937388935,7.5793514,512000,10,-25.697380154184053,-25.028202391457068,0.0,46.404755,12,-25.329447937388935,10,-25.697380154184053,44.88811,-25.329447937388927,-25.329447937388927,0.0,6.1633663,nan,0.19441386143411077,0.0,12,0.19441386143411077
0.0,-24.307886892941788,-24.589634722201176,7.5912414,536000,10,-24.762686889083273,-24.307886892941788,0.0,47.069786,13,-24.589634722201176,10,-24.762686889083273,39.46035,-24.589634722201172,-24.589634722201172,0.0,6.1682124,nan,0.12486003928943554,0.0,13,0.12486003928943554
0.0,-23.43633418163178,-23.55514157907161,7.593782,560000,10,-23.62422945410989,-23.43633418163178,0.0,46.829185,14,-23.55514157907161,10,-23.62422945410989,32.99367,-23.55514157907161,-23.55514157907161,0.0,6.17632,nan,0.055376939878651645,0.0,14,0.055376939878651645
0.0,-24.664903659732786,-24.835519114194483,7.5809383,584000,10,-25.256770474180005,-24.664903659732786,0.0,46.45824,15,-24.835519114194483,10,-25.256770474180005,27.918293,-24.83551911419449,-24.83551911419449,0.0,6.1863127,nan,0.1794030521505861,0.0,15,0.1794030521505861
0.0,-23.81466480514645,-24.613952123192142,7.572697,608000,10,-25.54195010001376,-23.81466480514645,0.0,45.87375,16,-24.613952123192142,10,-25.54195010001376,22.177034,-24.61395212319215,-24.61395212319215,0.0,6.19592,nan,0.44706752017974005,0.0,16,0.44706752017974005
