MetaTest/pick-out-of-hole-v1/Iteration,TotalEnvSteps,MetaTest/pick-out-of-hole-v1/StdReturn,MetaTest/Average/StdReturn,MetaTest/pick-out-of-hole-v1/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/pick-out-of-hole-v1/SuccessRate,MetaTest/pick-out-of-hole-v1/NumTrajs,MetaTrain/Average/Alpha,MetaTest/pick-out-of-hole-v1/MaxReturn,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/QfLoss,MetaTest/Average/SuccessRate,MetaTest/Average/NumTrajs,MetaTrain/Average/AlphaLoss,MetaTest/pick-out-of-hole-v1/AverageDiscountedReturn,MetaTest/pick-out-of-hole-v1/TerminationRate,MetaTest/pick-out-of-hole-v1/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/MaxReturn
0,224000,2.451398713901941,2.451398713901941,-46.24328903029161,8.117611,0.0,10,nan,-36.524410468233626,-46.24328903029161,0.0,2.4404464,0.0,10,6.7238965,-41.62031567897009,0.0,-41.62031567897009,0,-41.62031567897009,-41.62031567897009,11.368297,-36.524410468233626
1,248000,0.7158589586262171,0.7158589586262171,-36.35257160183403,7.72963,0.0,10,nan,-34.11829998746254,-36.35257160183403,0.0,6.1880803,0.0,10,6.6726875,-35.41384094386261,0.0,-35.41384094386261,1,-35.41384094386261,-35.41384094386261,36.600163,-34.11829998746254
2,272000,1.0531885881979033,1.0531885881979033,-34.88466046473812,7.6766386,0.0,10,nan,-31.28399818313875,-34.88466046473812,0.0,11.1153345,0.0,10,6.588641,-33.002869691761546,0.0,-33.002869691761546,2,-33.002869691761546,-33.002869691761546,53.131695,-31.28399818313875
3,296000,0.9108951075881173,0.9108951075881173,-32.200536962909226,7.4628906,0.0,10,nan,-29.241632867616136,-32.200536962909226,0.0,17.18718,0.0,10,6.4929047,-30.64817053610833,0.0,-30.648170536108335,3,-30.648170536108335,-30.64817053610833,61.41437,-29.241632867616136
4,320000,0.3566439904915268,0.3566439904915268,-24.629119386138665,7.3760247,0.0,10,nan,-23.265146614222505,-24.629119386138665,0.0,23.480927,0.0,10,6.403079,-23.9723143080862,0.0,-23.972314308086204,4,-23.972314308086204,-23.9723143080862,62.9255,-23.265146614222505
5,344000,0.37529426681716554,0.37529426681716554,-28.53779392026455,7.3863177,0.0,10,nan,-27.307968213028055,-28.53779392026455,0.0,28.893871,0.0,10,6.3304725,-27.88217644560989,0.0,-27.882176445609893,5,-27.882176445609893,-27.88217644560989,58.473743,-27.307968213028055
6,368000,0.20737592601099125,0.20737592601099125,-28.403338762751748,7.44302,0.0,10,nan,-27.615139625112207,-28.403338762751748,0.0,33.759174,0.0,10,6.2723966,-28.06650118073954,0.0,-28.066501180739532,6,-28.066501180739532,-28.06650118073954,52.13689,-27.615139625112207
7,392000,0.1306506202459772,0.1306506202459772,-27.695227630681337,7.48316,0.0,10,nan,-27.252595583529498,-27.695227630681337,0.0,37.664467,0.0,10,6.228318,-27.435721246818407,0.0,-27.4357212468184,7,-27.4357212468184,-27.435721246818407,46.094727,-27.252595583529498
8,416000,0.0806849702672918,0.0806849702672918,-29.42923957825053,7.492258,0.0,10,nan,-29.138778288741324,-29.42923957825053,0.0,40.82312,0.0,10,6.194707,-29.26491069240571,0.0,-29.264910692405714,8,-29.264910692405714,-29.26491069240571,38.29337,-29.138778288741324
9,440000,0.08331507431983146,0.08331507431983146,-27.807418839013252,7.4944816,0.0,10,nan,-27.492777674221042,-27.807418839013252,0.0,43.31505,0.0,10,6.1705313,-27.61888622534961,0.0,-27.61888622534962,9,-27.61888622534962,-27.61888622534961,32.56645,-27.492777674221042
