MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/button-press-topdown-wall-v1/StdReturn,MetaTest/Average/Iteration,MetaTest/Average/AverageReturn,MetaTest/button-press-topdown-wall-v1/MaxReturn,MetaTest/button-press-topdown-wall-v1/MinReturn,MetaTest/button-press-topdown-wall-v1/AverageDiscountedReturn,MetaTest/button-press-topdown-wall-v1/AverageReturn,MetaTest/button-press-topdown-wall-v1/TerminationRate,MetaTest/Average/StdReturn,MetaTest/button-press-topdown-wall-v1/NumTrajs,MetaTest/Average/MinReturn,MetaTest/Average/SuccessRate,TotalEnvSteps,MetaTest/button-press-topdown-wall-v1/Iteration,MetaTest/button-press-topdown-wall-v1/SuccessRate,MetaTest/Average/NumTrajs
-49.606457620823186,0.0,-57.04623547700678,4.054289040717353,0,-57.04623547700679,-49.606457620823186,-62.96242364144545,-57.04623547700678,-57.04623547700679,0.0,4.054289040717353,10,-62.96242364144545,0.0,224000,0,0.0,10
-72.71375765493245,0.0,-89.34944375596083,6.444703205887941,1,-89.34944375596082,-72.71375765493245,-98.9974367829543,-89.34944375596083,-89.34944375596082,0.0,6.444703205887941,10,-98.9974367829543,0.0,248000,1,0.0,10
-41.040918641710164,0.0,-72.49038734512997,26.29650931797848,2,-72.49038734512996,-41.040918641710164,-116.00872128522734,-72.49038734512997,-72.49038734512996,0.0,26.29650931797848,10,-116.00872128522734,0.0,272000,2,0.0,10
-42.33526223629014,0.0,-82.44551078130623,14.656394546252333,3,-82.44551078130624,-42.33526223629014,-95.12088546977483,-82.44551078130623,-82.44551078130624,0.0,14.656394546252333,10,-95.12088546977483,0.0,296000,3,0.0,10
-45.112121235908496,0.0,-65.57856340589373,12.815666654628998,4,-65.57856340589373,-45.112121235908496,-81.9585342049057,-65.57856340589373,-65.57856340589373,0.0,12.815666654628998,10,-81.9585342049057,0.0,320000,4,0.0,10
-78.87763997348422,0.0,-86.85307367439039,4.56654113128344,5,-86.85307367439036,-78.87763997348422,-92.22803625643614,-86.85307367439039,-86.85307367439036,0.0,4.56654113128344,10,-92.22803625643614,0.0,344000,5,0.0,10
-34.962367607357635,0.0,-40.24045290800097,3.293320564679196,6,-40.24045290800096,-34.962367607357635,-45.131301320336476,-40.24045290800097,-40.24045290800096,0.0,3.293320564679196,10,-45.131301320336476,0.0,368000,6,0.0,10
-45.235579012649836,0.0,-52.23057294766236,4.887245971277443,7,-52.23057294766237,-45.235579012649836,-60.55823020587893,-52.23057294766236,-52.23057294766237,0.0,4.887245971277443,10,-60.55823020587893,0.0,392000,7,0.0,10
-23.724600300524628,0.0,-43.34828586464798,32.137496231593,8,-43.348285864647984,-23.724600300524628,-137.02546893112896,-43.34828586464798,-43.348285864647984,0.0,32.137496231593,10,-137.02546893112896,0.0,416000,8,0.0,10
-56.50840546261741,0.0,-58.87918673750879,2.081806978031953,9,-58.87918673750879,-56.50840546261741,-62.36737427760898,-58.87918673750879,-58.87918673750879,0.0,2.081806978031953,10,-62.36737427760898,0.0,440000,9,0.0,10
9012.113959810355,0.0,2162.021215774514,3509.096486924905,10,2162.0212157745145,9012.113959810355,-92.78155576025917,2162.021215774514,2162.0212157745145,0.0,3509.096486924905,10,-92.78155576025917,0.1,464000,10,0.1,10
-26.570369904403567,0.0,-36.280038389134226,7.439828918248862,11,-36.28003838913425,-26.570369904403567,-48.20309613291191,-36.280038389134226,-36.28003838913425,0.0,7.439828918248862,10,-48.20309613291191,0.0,488000,11,0.0,10
-18.214575089865875,0.0,-49.68517225936317,37.848204225709736,12,-49.68517225936317,-18.214575089865875,-106.00296108996662,-49.68517225936317,-49.68517225936317,0.0,37.848204225709736,10,-106.00296108996662,0.0,512000,12,0.0,10
236449.34550847707,0.0,23753.680475396894,70900.53021726556,13,23753.68047539689,236449.34550847707,-146.77866681896836,23753.680475396894,23753.68047539689,0.0,70900.53021726556,10,-146.77866681896836,0.1,536000,13,0.1,10
-124.82417818665189,0.0,-137.29261448995322,6.671189736814474,14,-137.29261448995322,-124.82417818665189,-145.99255176922387,-137.29261448995322,-137.29261448995322,0.0,6.671189736814474,10,-145.99255176922387,0.0,560000,14,0.0,10
-92.69478784788387,0.0,-105.34678497928735,7.231780217411354,15,-105.34678497928738,-92.69478784788387,-114.32017331103685,-105.34678497928735,-105.34678497928738,0.0,7.231780217411354,10,-114.32017331103685,0.0,584000,15,0.0,10
-38.36929442688649,0.0,-81.18908751748477,27.41691343476855,16,-81.18908751748478,-38.36929442688649,-140.54329647544844,-81.18908751748477,-81.18908751748478,0.0,27.41691343476855,10,-140.54329647544844,0.0,608000,16,0.0,10
