MetaTest/push-wall-v1/Iteration,MetaTest/push-wall-v1/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,MetaTest/push-wall-v1/NumTrajs,TotalEnvSteps,MetaTest/Average/Iteration,MetaTest/push-wall-v1/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/push-wall-v1/StdReturn,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/push-wall-v1/AverageDiscountedReturn,MetaTest/push-wall-v1/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/push-wall-v1/TerminationRate,MetaTest/Average/NumTrajs,MetaTest/Average/SuccessRate,MetaTest/push-wall-v1/MinReturn
0,0.0,106.70351398967155,124.04183835099042,10,224000,0,106.70351398967155,106.70351398967155,124.04183835099042,-17.368383706901422,0.0,106.70351398967155,418.0837482647442,418.0837482647442,0.0,10,0.0,-17.368383706901422
1,0.0,3.5731911282903766,36.42654516925074,10,248000,1,3.5731911282903766,3.5731911282903837,36.42654516925074,-22.99950655135494,0.0,3.5731911282903837,99.500815040638,99.500815040638,0.0,10,0.0,-22.99950655135494
2,0.0,10.995135722920853,64.51633329813241,10,272000,2,10.995135722920853,10.995135722920828,64.51633329813241,-48.599101644587364,0.0,10.995135722920828,146.81166883698108,146.81166883698108,0.0,10,0.0,-48.599101644587364
3,0.0,3041.972096163055,6669.934133511695,10,296000,3,3041.972096163055,3041.972096163058,6669.934133511695,-20.736436942920065,0.0,3041.972096163058,21863.641063825,21863.641063825,0.0,10,0.0,-20.736436942920065
4,0.1,13846.400342259036,25948.482257433752,10,320000,4,13846.400342259036,13846.400342259043,25948.482257433752,-83.5353690372334,0.0,13846.400342259043,85328.5279195568,85328.5279195568,0.0,10,0.1,-83.5353690372334
5,0.1,6066.027741998507,9641.866217745881,10,344000,5,6066.027741998507,6066.027741998507,9641.866217745881,-36.62830042050314,0.0,6066.027741998507,27416.335818430467,27416.335818430467,0.0,10,0.1,-36.62830042050314
6,0.2,5125.5429607401275,7938.169380926826,10,368000,6,5125.5429607401275,5125.542960740128,7938.169380926826,-59.35894639456719,0.0,5125.542960740128,20289.268940083435,20289.268940083435,0.0,10,0.2,-59.35894639456719
7,0.0,-100.15844473604771,38.596058327241174,10,392000,7,-100.15844473604771,-100.15844473604773,38.596058327241174,-134.59890933488168,0.0,-100.15844473604773,-15.838656046961972,-15.838656046961972,0.0,10,0.0,-134.59890933488168
8,0.1,2909.7216511736274,6595.955843715128,10,416000,8,2909.7216511736274,2909.721651173628,6595.955843715128,-82.79005254442366,0.0,2909.721651173628,21355.454136357475,21355.454136357475,0.0,10,0.1,-82.79005254442366
9,0.0,3849.5148403235894,8170.3844604962205,10,440000,9,3849.5148403235894,3849.51484032359,8170.3844604962205,-73.61907459264808,0.0,3849.51484032359,25580.803903001113,25580.803903001113,0.0,10,0.0,-73.61907459264808
10,0.0,8366.073823579969,12062.886029443087,10,464000,10,8366.073823579969,8366.073823579965,12062.886029443087,-55.86076942087817,0.0,8366.073823579965,34777.594048279134,34777.594048279134,0.0,10,0.0,-55.86076942087817
11,0.2,852.7679814810759,2444.5110077935565,10,488000,11,852.7679814810759,852.7679814810763,2444.5110077935565,-234.2370670001898,0.0,852.7679814810763,8139.1317460254195,8139.1317460254195,0.0,10,0.2,-234.2370670001898
12,0.0,652.3644904438369,2291.485493576259,10,512000,12,652.3644904438369,652.3644904438377,2291.485493576259,-120.4329936727754,0.0,652.3644904438377,7526.778951619153,7526.778951619153,0.0,10,0.0,-120.4329936727754
13,0.2,14837.198091320151,33445.89197707597,10,536000,13,14837.198091320151,14837.19809132014,33445.89197707597,-202.48148275845003,0.0,14837.19809132014,113550.22898885449,113550.22898885449,0.0,10,0.2,-202.48148275845003
