MetaTest/button-press-topdown-v1/Iteration,MetaTest/Average/SuccessRate,MetaTest/button-press-topdown-v1/SuccessRate,MetaTest/Average/Iteration,MetaTest/button-press-topdown-v1/AverageReturn,MetaTest/button-press-topdown-v1/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/button-press-topdown-v1/MaxReturn,MetaTest/Average/MinReturn,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/NumTrajs,TotalEnvSteps,MetaTest/Average/MaxReturn,MetaTest/button-press-topdown-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/button-press-topdown-v1/MinReturn,MetaTest/button-press-topdown-v1/NumTrajs,MetaTest/button-press-topdown-v1/StdReturn
0,0.0,0.0,0,-48.67150328150251,-48.67150328150251,-48.67150328150251,-38.50015634344111,-58.05491013420995,7.124604665386416,0.0,10,224000,-38.50015634344111,0.0,-48.67150328150251,-58.05491013420995,10,7.124604665386416
1,0.0,0.0,1,2612.9163501362036,2612.916350136206,2612.9163501362036,26453.789308111598,-43.41660179209009,7946.958803024537,0.0,10,248000,26453.789308111598,0.0,2612.916350136206,-43.41660179209009,10,7946.958803024537
2,0.0,0.0,2,-65.89465979525707,-65.89465979525708,-65.89465979525707,-62.24082153177973,-75.45762904320347,4.0374408238917665,0.0,10,272000,-62.24082153177973,0.0,-65.89465979525708,-75.45762904320347,10,4.0374408238917665
3,0.0,0.0,3,-77.90465614211573,-77.90465614211573,-77.90465614211573,-63.21942218498078,-96.35195353218846,11.271311548151612,0.0,10,296000,-63.21942218498078,0.0,-77.90465614211573,-96.35195353218846,10,11.271311548151612
4,0.0,0.0,4,-81.85256244219605,-81.85256244219605,-81.85256244219605,-50.97468418079212,-111.16125313831878,19.694940820776246,0.0,10,320000,-50.97468418079212,0.0,-81.85256244219605,-111.16125313831878,10,19.694940820776246
5,0.0,0.0,5,-59.21757774583123,-59.217577745831235,-59.21757774583123,-51.44557841400462,-68.03417087791959,4.689882391301443,0.0,10,344000,-51.44557841400462,0.0,-59.217577745831235,-68.03417087791959,10,4.689882391301443
6,0.0,0.0,6,-115.24939372170311,-115.24939372170311,-115.24939372170311,-78.90742138269947,-144.88127324282928,25.55456901004173,0.0,10,368000,-78.90742138269947,0.0,-115.24939372170311,-144.88127324282928,10,25.55456901004173
7,0.0,0.0,7,-64.65378461147687,-64.65378461147688,-64.65378461147687,-55.136500703627455,-76.77946751165935,6.468737382658404,0.0,10,392000,-55.136500703627455,0.0,-64.65378461147688,-76.77946751165935,10,6.468737382658404
8,0.0,0.0,8,-79.78361516172934,-79.78361516172936,-79.78361516172934,-40.82554609797404,-116.12888383900408,30.33093641979655,0.0,10,416000,-40.82554609797404,0.0,-79.78361516172936,-116.12888383900408,10,30.33093641979655
9,0.0,0.0,9,-50.126463349189734,-50.126463349189734,-50.126463349189734,-36.540812435415795,-83.73360672199487,15.552238124019206,0.0,10,440000,-36.540812435415795,0.0,-50.126463349189734,-83.73360672199487,10,15.552238124019206
10,0.0,0.0,10,-47.085086225579076,-47.085086225579076,-47.085086225579076,-37.288638126776384,-54.142548512050936,4.8117716948105915,0.0,10,464000,-37.288638126776384,0.0,-47.085086225579076,-54.142548512050936,10,4.8117716948105915
11,0.0,0.0,11,-140.2404712544427,-140.24047125444264,-140.2404712544427,-94.01602628299005,-159.41737107215582,19.06961300676067,0.0,10,488000,-94.01602628299005,0.0,-140.24047125444264,-159.41737107215582,10,19.06961300676067
12,0.0,0.0,12,-63.58991660997989,-63.58991660997989,-63.58991660997989,-27.703386796941754,-133.61828874979315,31.382056791154415,0.0,10,512000,-27.703386796941754,0.0,-63.58991660997989,-133.61828874979315,10,31.382056791154415
13,0.0,0.0,13,-49.830952240664246,-49.830952240664246,-49.830952240664246,-40.05128784008983,-71.9091958192658,7.946074739243575,0.0,10,536000,-40.05128784008983,0.0,-49.830952240664246,-71.9091958192658,10,7.946074739243575
14,0.0,0.0,14,-49.5697242063794,-49.569724206379405,-49.5697242063794,-23.20072448257426,-93.33467203734104,20.06636690990605,0.0,10,560000,-23.20072448257426,0.0,-49.569724206379405,-93.33467203734104,10,20.06636690990605
15,0.0,0.0,15,-93.88177440779711,-93.88177440779715,-93.88177440779711,-52.52035513315968,-149.1861784965,23.26529035432677,0.0,10,584000,-52.52035513315968,0.0,-93.88177440779715,-149.1861784965,10,23.26529035432677
16,0.0,0.0,16,-140.53996746127558,-140.53996746127558,-140.53996746127558,-54.59122986669743,-163.45454835743547,29.587075508394673,0.0,10,608000,-54.59122986669743,0.0,-140.53996746127558,-163.45454835743547,10,29.587075508394673
17,0.0,0.0,17,-68.72708506764862,-68.72708506764862,-68.72708506764862,-29.979525363000047,-138.35553897709354,35.35761846314823,0.0,10,632000,-29.979525363000047,0.0,-68.72708506764862,-138.35553897709354,10,35.35761846314823
18,0.0,0.0,18,-140.266161437954,-140.266161437954,-140.266161437954,-105.4921488287876,-161.10631992559416,18.518735951993897,0.0,10,656000,-105.4921488287876,0.0,-140.266161437954,-161.10631992559416,10,18.518735951993897
19,0.0,0.0,19,-55.66758600269867,-55.66758600269865,-55.66758600269867,-17.98943401752625,-74.5074075471861,16.098192351410646,0.0,10,680000,-17.98943401752625,0.0,-55.66758600269865,-74.5074075471861,10,16.098192351410646
20,0.0,0.0,20,-42.261118347686,-42.26111834768601,-42.261118347686,-24.577644767221525,-82.74787459082486,14.721564021809735,0.0,10,704000,-24.577644767221525,0.0,-42.26111834768601,-82.74787459082486,10,14.721564021809735
21,0.0,0.0,21,1259.335198523275,1259.335198523274,1259.335198523275,13007.78580791997,-85.17869821157709,3916.1929863893615,0.0,10,728000,13007.78580791997,0.0,1259.335198523274,-85.17869821157709,10,3916.1929863893615
22,0.1,0.1,22,47945.6237247411,47945.623724741075,47945.6237247411,262910.6118763632,-87.72358900971498,96555.00991802999,0.0,10,752000,262910.6118763632,0.0,47945.623724741075,-87.72358900971498,10,96555.00991802999
23,0.0,0.0,23,-59.27489176678678,-59.2748917667868,-59.27489176678678,-33.64139690642573,-67.80167717674463,8.928926525690066,0.0,10,776000,-33.64139690642573,0.0,-59.2748917667868,-67.80167717674463,10,8.928926525690066
24,0.0,0.0,24,12912.738564183504,12912.738564183512,12912.738564183504,122985.15342671117,-92.31307748284513,36744.26078758717,0.0,10,800000,122985.15342671117,0.0,12912.738564183512,-92.31307748284513,10,36744.26078758717
25,0.2,0.2,25,50903.71666233371,50903.71666233371,50903.71666233371,301659.4224282863,-78.83488143665556,104043.60502776621,0.0,10,824000,301659.4224282863,0.0,50903.71666233371,-78.83488143665556,10,104043.60502776621
