MetaTest/dissassemble-v1/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/dissassemble-v1/TerminationRate,MetaTest/Average/MinReturn,MetaTest/Average/SuccessRate,MetaTest/dissassemble-v1/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTest/dissassemble-v1/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,MetaTest/dissassemble-v1/Iteration,MetaTest/Average/Iteration,MetaTest/dissassemble-v1/StdReturn,TotalEnvSteps,MetaTest/Average/AverageReturn,MetaTest/dissassemble-v1/MinReturn,MetaTest/Average/NumTrajs,MetaTest/dissassemble-v1/AverageReturn,MetaTest/dissassemble-v1/MaxReturn
0.0,-39.085937794160316,0.0,-54.603359569229504,0.0,10,-45.62845847361659,-45.62845847361659,5.300971531574339,0.0,0,0,5.300971531574339,224000,-45.62845847361659,-54.603359569229504,10,-45.62845847361659,-39.085937794160316
0.0,-28.092624836807772,0.0,-31.746587772840616,0.0,10,-29.794062541784843,-29.794062541784843,1.1763030545136557,0.0,1,1,1.1763030545136557,248000,-29.794062541784847,-31.746587772840616,10,-29.794062541784847,-28.092624836807772
0.0,-17.85484258683402,0.0,-31.20831241553487,0.0,10,-24.465003634667216,-24.465003634667216,4.189894399848068,0.0,2,2,4.189894399848068,272000,-24.46500363466722,-31.20831241553487,10,-24.46500363466722,-17.85484258683402
0.0,-22.4877493893529,0.0,-30.344462302694993,0.0,10,-26.882955086438244,-26.882955086438244,2.563455773222694,0.0,3,3,2.563455773222694,296000,-26.882955086438244,-30.344462302694993,10,-26.882955086438244,-22.4877493893529
0.0,-24.66504353647884,0.0,-28.68159404286928,0.0,10,-27.011803657175257,-27.011803657175257,1.530116469056636,0.0,4,4,1.530116469056636,320000,-27.011803657175257,-28.68159404286928,10,-27.011803657175257,-24.66504353647884
0.0,-19.003920042861232,0.0,-28.625790084766784,0.0,10,-25.733735209914023,-25.733735209914023,3.064926411961548,0.0,5,5,3.064926411961548,344000,-25.733735209914023,-28.625790084766784,10,-25.733735209914023,-19.003920042861232
0.0,-22.211359823139546,0.0,-28.825262571985167,0.0,10,-25.43876103688092,-25.43876103688092,1.852125034518304,0.0,6,6,1.852125034518304,368000,-25.43876103688092,-28.825262571985167,10,-25.43876103688092,-22.211359823139546
0.0,-22.412424217559018,0.0,-31.626608056573534,0.0,10,-27.409331903101172,-27.409331903101172,2.7447080162344384,0.0,7,7,2.7447080162344384,392000,-27.409331903101172,-31.626608056573534,10,-27.409331903101172,-22.412424217559018
0.0,-25.192071440632343,0.0,-31.006860514156976,0.0,10,-28.967448410649745,-28.967448410649745,1.7772296829776264,0.0,8,8,1.7772296829776264,416000,-28.96744841064975,-31.006860514156976,10,-28.96744841064975,-25.192071440632343
0.0,-15.536405295063284,0.0,-29.523097774117513,0.0,10,-24.922729754575425,-24.922729754575425,3.7199296615927637,0.0,9,9,3.7199296615927637,440000,-24.922729754575425,-29.523097774117513,10,-24.922729754575425,-15.536405295063284
0.0,-19.550334388546993,0.0,-29.145476899870783,0.0,10,-24.08612778929618,-24.08612778929618,2.568681331146329,0.0,10,10,2.568681331146329,464000,-24.086127789296178,-29.145476899870783,10,-24.086127789296178,-19.550334388546993
0.0,-18.453491646263704,0.0,-26.656518769750203,0.0,10,-22.89114702514095,-22.89114702514095,2.604278711512501,0.0,11,11,2.604278711512501,488000,-22.891147025140945,-26.656518769750203,10,-22.891147025140945,-18.453491646263704
0.0,-16.469036701698577,0.0,-29.333972646972455,0.0,10,-22.186976805112014,-22.186976805112014,3.5010860356511246,0.0,12,12,3.5010860356511246,512000,-22.18697680511201,-29.333972646972455,10,-22.18697680511201,-16.469036701698577
0.0,-20.18304109363547,0.0,-30.095544035631868,0.0,10,-26.869496365754195,-26.869496365754195,2.7097293411940044,0.0,13,13,2.7097293411940044,536000,-26.869496365754184,-30.095544035631868,10,-26.869496365754184,-20.18304109363547
0.0,-20.77858960558679,0.0,-28.28455282417362,0.0,10,-24.35147372821991,-24.35147372821991,2.161564853910446,0.0,14,14,2.161564853910446,560000,-24.351473728219908,-28.28455282417362,10,-24.351473728219908,-20.77858960558679
0.0,-20.640123873681937,0.0,-29.829967884498775,0.0,10,-25.895280829684303,-25.895280829684303,2.4629295926027113,0.0,15,15,2.4629295926027113,584000,-25.895280829684303,-29.829967884498775,10,-25.895280829684303,-20.640123873681937
0.0,-18.47293853210787,0.0,-28.97367149674748,0.0,10,-24.480648540619235,-24.480648540619235,3.4991073822849503,0.0,16,16,3.4991073822849503,608000,-24.48064854061923,-28.97367149674748,10,-24.48064854061923,-18.47293853210787
0.0,-22.927426811900666,0.0,-30.603132056998206,0.0,10,-25.872853466369207,-25.872853466369207,2.3873420349028778,0.0,17,17,2.3873420349028778,632000,-25.872853466369207,-30.603132056998206,10,-25.872853466369207,-22.927426811900666
0.0,-18.824017118741015,0.0,-29.094223755438236,0.0,10,-25.159029093712316,-25.159029093712316,3.2438073391046665,0.0,18,18,3.2438073391046665,656000,-25.159029093712324,-29.094223755438236,10,-25.159029093712324,-18.824017118741015
