MetaTest/Average/MinReturn,MetaTest/handle-pull-side-v1/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/handle-pull-side-v1/MaxReturn,MetaTest/handle-pull-side-v1/AverageReturn,TotalEnvSteps,MetaTest/handle-pull-side-v1/StdReturn,MetaTest/Average/MaxReturn,MetaTest/handle-pull-side-v1/AverageDiscountedReturn,MetaTest/handle-pull-side-v1/NumTrajs,MetaTest/Average/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/handle-pull-side-v1/MinReturn,MetaTest/Average/SuccessRate,MetaTest/handle-pull-side-v1/TerminationRate,MetaTest/handle-pull-side-v1/Iteration,MetaTest/Average/NumTrajs,MetaTest/Average/Iteration
-87.74565114887866,0.0,5827.5235512695435,32894.12739491898,5827.5235512695435,224000,11876.970608570195,32894.12739491898,5827.5235512695435,10,11876.970608570195,5827.5235512695435,0.0,-87.74565114887866,0.0,0.0,0,10,0
-83.47689573016751,0.0,-73.48382123169239,-63.40329349814094,-73.48382123169236,248000,6.195435357502752,-63.40329349814094,-73.48382123169239,10,6.195435357502752,-73.48382123169236,0.0,-83.47689573016751,0.0,0.0,1,10,1
-74.03601980358508,0.0,-64.68041776083018,-57.92594022182492,-64.68041776083018,272000,4.613237314288956,-57.92594022182492,-64.68041776083018,10,4.613237314288956,-64.68041776083018,0.0,-74.03601980358508,0.0,0.0,2,10,2
-89.16861758811254,0.0,6202.607599320681,34088.96556457587,6202.6075993206805,296000,12602.056591467774,34088.96556457587,6202.607599320681,10,12602.056591467774,6202.6075993206805,0.0,-89.16861758811254,0.0,0.0,3,10,3
-53.83802416689412,0.0,10269.886979927363,45995.17222128325,10269.886979927367,320000,17801.8622443841,45995.17222128325,10269.886979927363,10,17801.8622443841,10269.886979927367,0.0,-53.83802416689412,0.0,0.0,4,10,4
-19.312383296354046,0.0,23196.541305596686,45751.024061116455,23196.541305596686,344000,22067.323043569522,45751.024061116455,23196.541305596686,10,22067.323043569522,23196.541305596686,0.0,-19.312383296354046,0.0,0.0,5,10,5
-20.498502203098273,0.0,8729.613823343181,45815.36375609086,8729.613823343183,368000,14863.944387495427,45815.36375609086,8729.613823343181,10,14863.944387495427,8729.613823343183,0.0,-20.498502203098273,0.0,0.0,6,10,6
-24.92525882491223,0.0,25417.16925707871,45752.131145451865,25417.169257078716,392000,17893.79068502913,45752.131145451865,25417.16925707871,10,17893.79068502913,25417.169257078716,0.0,-24.92525882491223,0.0,0.0,7,10,7
16265.925484400403,0.0,38405.52751597758,46069.35117910191,38405.52751597758,416000,11080.530123318922,46069.35117910191,38405.52751597758,10,11080.530123318922,38405.52751597758,0.0,16265.925484400403,0.0,0.0,8,10,8
-16.342552423504852,0.0,32488.946025731042,46064.7430367822,32488.946025731042,440000,19637.766470324714,46064.7430367822,32488.946025731042,10,19637.766470324714,32488.946025731042,0.0,-16.342552423504852,0.0,0.0,9,10,9
-41.078183508402766,0.0,21223.632929302992,45813.08786510435,21223.632929302992,464000,20479.859961625185,45813.08786510435,21223.632929302992,10,20479.859961625185,21223.632929302992,0.0,-41.078183508402766,0.0,0.0,10,10,10
-15.365305458416765,0.0,30455.8600589052,46073.64043930455,30455.860058905197,488000,19337.07340153565,46073.64043930455,30455.8600589052,10,19337.07340153565,30455.860058905197,0.0,-15.365305458416765,0.0,0.0,11,10,11
-15.4257041362183,0.0,16124.60221349851,45831.02283388182,16124.602213498507,512000,19177.936066570015,45831.02283388182,16124.60221349851,10,19177.936066570015,16124.602213498507,0.0,-15.4257041362183,0.0,0.0,12,10,12
-15.132685459192114,0.0,22198.39051332193,45738.42084225066,22198.39051332193,536000,19064.321218924993,45738.42084225066,22198.39051332193,10,19064.321218924993,22198.39051332193,0.0,-15.132685459192114,0.0,0.0,13,10,13
44354.42794926129,0.0,45702.42216144611,46076.84352925239,45702.422161446106,560000,538.2622636059572,46076.84352925239,45702.42216144611,10,538.2622636059572,45702.422161446106,0.0,44354.42794926129,0.0,0.0,14,10,14
-14.973571614051513,0.0,24321.008228547285,56430.55748237065,24321.008228547293,584000,23308.11929180729,56430.55748237065,24321.008228547285,10,23308.11929180729,24321.008228547293,0.0,-14.973571614051513,0.0,0.0,15,10,15
4129.295244605907,0.0,34327.44841894236,46063.93277138492,34327.44841894236,608000,17587.024138507066,46063.93277138492,34327.44841894236,10,17587.024138507066,34327.44841894236,0.0,4129.295244605907,0.0,0.0,16,10,16
-17.608465209433806,0.1,33902.59099999821,46794.93025001162,33902.590999998225,632000,16859.706269349022,46794.93025001162,33902.59099999821,10,16859.706269349022,33902.590999998225,0.0,-17.608465209433806,0.1,0.0,17,10,17
9002.398867782822,0.0,54058.08866754741,85906.15809073186,54058.088667547425,656000,21783.58343142784,85906.15809073186,54058.08866754741,10,21783.58343142784,54058.088667547425,0.0,9002.398867782822,0.0,0.0,18,10,18
16556.77315493065,0.0,59143.45456991896,100156.94688769909,59143.45456991896,680000,23616.541444101484,100156.94688769909,59143.45456991896,10,23616.541444101484,59143.45456991896,0.0,16556.77315493065,0.0,0.0,19,10,19
43108.951608729054,0.0,45112.117513072604,45964.233283941634,45112.1175130726,704000,808.2442958594802,45964.233283941634,45112.117513072604,10,808.2442958594802,45112.1175130726,0.0,43108.951608729054,0.0,0.0,20,10,20
44570.83321256898,0.0,45438.90394940866,46073.64452659491,45438.903949408654,728000,406.35469404460434,46073.64452659491,45438.90394940866,10,406.35469404460434,45438.903949408654,0.0,44570.83321256898,0.0,0.0,21,10,21
