GaussianMLPPolicy/KLBefore,Iteration,coffee-button-v1/AverageDiscountedReturn,GaussianMLPPolicy/Entropy,coffee-button-v1/MaxReturn,MetaTest/coffee-button-v1/AverageDiscountedReturn,MetaTest/coffee-button-v1/SuccessRate,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,coffee-button-v1/TerminationRate,Average/AverageReturn,MetaTest/coffee-button-v1/StdReturn,MetaTest/Average/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/Iteration,Average/AverageDiscountedReturn,Average/Iteration,Average/MinReturn,GaussianMLPPolicy/LossAfter,GaussianMLPPolicy/KLAfter,MetaTest/coffee-button-v1/NumEpisodes,GaussianMLPPolicy/LossBefore,GaussianMLPPolicy/dLoss,MetaTest/Average/NumEpisodes,TotalEnvSteps,coffee-button-v1/MinReturn,MetaTest/coffee-button-v1/MaxReturn,MetaTest/Average/StdReturn,Average/MaxReturn,Average/SuccessRate,coffee-button-v1/StdReturn,MetaTest/Average/MaxReturn,coffee-button-v1/NumEpisodes,Average/NumEpisodes,MetaTest/coffee-button-v1/MinReturn,MetaTest/coffee-button-v1/Iteration,coffee-button-v1/AverageReturn,coffee-button-v1/SuccessRate,MetaTest/Average/MinReturn,Average/TerminationRate,MetaTest/coffee-button-v1/TerminationRate,coffee-button-v1/Iteration,MetaTest/coffee-button-v1/AverageReturn,Average/StdReturn
0.0,0,-22.317950988556152,5.676856517791748,-35.023174920429895,291.8528616336807,0.06,0.0,291.8528616336807,0.0,-56.63734205560357,1670.4142054060592,0.06,291.8528616336807,0,-22.317950988556152,0,-80.57257615589897,-0.0006246577249839902,0.006457234732806683,50,3.2014260796131566e-05,0.0006566719857801218,50,80000,-80.57257615589897,8978.962822618194,1670.4142054060592,-35.023174920429895,0.02,8.591087134379304,8978.962822618194,200,200,-80.54180126885825,0,-56.63734205560357,0.02,-80.54180126885825,0.0,0.0,0,291.8528616336807,8.591087134379304
0.0,1,35.238031431994635,5.683733940124512,10153.714373808174,,,,,0.0,77.15200541316865,,,,,35.238031431994635,1,-71.01152019992699,-0.000917591736651957,0.009791762568056583,,0.00019670053734444082,0.0011142922739963979,,160000,-71.01152019992699,,,10153.714373808174,0.08,1020.9732672181517,,200,200,,,77.15200541316865,0.08,,0.0,,1,,1020.9732672181517
0.0,2,605.4885322672685,5.678313255310059,69323.5737782498,,,,,0.0,1667.3280224055025,,,,,605.4885322672685,2,-67.06653751580245,-0.0011454677442088723,0.006486880127340555,,-0.0003206659166608006,0.0008248018275480717,,240000,-67.06653751580245,,,69323.5737782498,0.04,8072.72118229047,,200,200,,,1667.3280224055025,0.04,,0.0,,2,,8072.72118229047
0.0,3,1861.200594674031,5.675600528717041,95186.52584294313,,,,,0.0,6347.279025895333,,,,,1861.200594674031,3,-53.382252493291034,-0.0004083155654370785,0.009797448292374611,,-0.00011643666948657483,0.00029187889595050365,,320000,-53.382252493291034,,,95186.52584294313,0.085,14795.259446792172,,200,200,,,6347.279025895333,0.085,,0.0,,3,,14795.259446792172
0.0,4,2442.4576602855614,5.5925679206848145,113703.20981337488,,,,,0.0,7382.231537691073,,,,,2442.4576602855614,4,-54.75458959374552,-0.0010179646778851748,0.008673375472426414,,-0.0008397549390792847,0.00017820973880589008,,400000,-54.75458959374552,,,113703.20981337488,0.125,16778.776446273852,,200,200,,,7382.231537691073,0.125,,0.0,,4,,16778.776446273852
0.0,5,3124.6514864642486,5.59187126159668,117139.93724953015,,,,,0.0,8942.614405497234,,,,,3124.6514864642486,5,-51.10866387872693,-7.316575079130416e-07,4.270552744856104e-05,,-6.711735522912932e-07,6.048395562174846e-08,,480000,-51.10866387872693,,,117139.93724953015,0.105,18876.3851102598,,200,200,,,8942.614405497234,0.105,,0.0,,5,,18876.3851102598
0.0,6,2901.2588339274025,5.592496395111084,163898.2574018415,,,,,0.0,9203.631656623631,,,,,2901.2588339274025,6,-51.973588879315784,8.967368785306462e-07,1.9432442059041932e-05,,9.242347118743055e-07,2.7497833343659295e-08,,560000,-51.973588879315784,,,163898.2574018415,0.175,21642.168145505693,,200,200,,,9203.631656623631,0.175,,0.0,,6,,21642.168145505693
0.0,7,3583.0476599286585,5.587759017944336,129010.04588638383,,,,,0.0,10137.325290923283,,,,,3583.0476599286585,7,-50.69414219031833,-4.11050768889254e-06,4.355880446382798e-05,,-4.048775281262351e-06,6.173240763018839e-08,,640000,-50.69414219031833,,,129010.04588638383,0.14,21716.385395451107,,200,200,,,10137.325290923283,0.14,,0.0,,7,,21716.385395451107
0.0,8,3380.30247703304,5.588805675506592,143931.342008749,,,,,0.0,9765.229669047596,,,,,3380.30247703304,8,-52.32535869536173,1.2151839428042877e-06,1.177416015707422e-05,,1.2318497510932502e-06,1.666580828896258e-08,,720000,-52.32535869536173,,,143931.342008749,0.105,20231.640597077425,,200,200,,,9765.229669047596,0.105,,0.0,,8,,20231.640597077425
0.0,9,2681.608676876987,5.5635528564453125,96841.50542386022,,,,,0.0,7441.695194621478,,,,,2681.608676876987,9,-52.06379140885347,-0.0005328524857759476,0.009207145310938358,,-0.00027621237677522004,0.00025664010900072753,,800000,-52.06379140885347,,,96841.50542386022,0.125,16322.25678676932,,200,200,,,7441.695194621478,0.125,,0.0,,9,,16322.25678676932
