MetaTest/Average/Iteration,Average/Iteration,Average/NumEpisodes,MetaTest/push-v1/MaxReturn,MetaTest/push-v1/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/push-v1/Iteration,Iteration,Average/SuccessRate,push-v1/MaxReturn,push-v1/AverageReturn,Average/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/push-v1/TerminationRate,push-v1/AverageDiscountedReturn,MetaTest/push-v1/AverageDiscountedReturn,push-v1/MinReturn,Average/AverageReturn,Average/TerminationRate,MetaTest/push-v1/SuccessRate,GaussianMLPPolicy/KLAfter,Average/MinReturn,MetaTest/Average/MinReturn,GaussianMLPPolicy/dLoss,GaussianMLPPolicy/Entropy,GaussianMLPPolicy/LossBefore,MetaTest/Average/NumEpisodes,Average/MaxReturn,push-v1/NumEpisodes,push-v1/StdReturn,TotalEnvSteps,push-v1/TerminationRate,MetaTest/Average/MaxReturn,GaussianMLPPolicy/KLBefore,MetaTest/push-v1/StdReturn,MetaTest/Average/SuccessRate,push-v1/Iteration,MetaTest/push-v1/NumEpisodes,GaussianMLPPolicy/LossAfter,MetaTest/push-v1/AverageReturn,MetaTest/Average/StdReturn,push-v1/SuccessRate,Average/AverageDiscountedReturn
0,0,200,-27.20132633834786,-50.017391247577514,0.0,-36.67142126317687,0,0,0.0,-17.828790698946182,-54.034629974718484,11.419162530827872,-36.67142126317687,0.0,-20.281100524169325,-36.67142126317687,-81.55633770144694,-54.034629974718484,0.0,0.0,0.00990753062069416,-81.55633770144694,-50.017391247577514,0.0010858135065063834,5.658966064453125,-0.0009405437158420682,10,-17.828790698946182,200,11.419162530827872,80000,0.0,-27.20132633834786,0.0,8.54747012999549,0.0,0,10,-0.0020263572223484516,-36.67142126317687,8.54747012999549,0.0,-20.281100524169325
,1,200,,,,,,1,0.0,2958.0737418465815,-2.58199347522494,255.99452814959045,,,-3.8151724575617028,,-71.96162901324337,-2.58199347522494,0.0,,0.006442471407353878,-71.96162901324337,,0.0007693218649365008,5.658005714416504,-8.722027996554971e-05,,2958.0737418465815,200,255.99452814959045,160000,0.0,,0.0,,,1,,-0.0008565421449020505,,,0.0,-3.8151724575617028
,2,200,,,,,,2,0.01,4371.079846362231,134.86026735202435,501.7005420108636,,,40.15971012771686,,-60.29253869796411,134.86026735202435,0.0,,0.007591356988996267,-60.29253869796411,,0.0006229014688869938,5.654475212097168,-0.00012376248196233064,,4371.079846362231,200,501.7005420108636,240000,0.0,,0.0,,,2,,-0.0007466639508493245,,,0.01,40.15971012771686
,3,200,,,,,,3,0.015,10740.229994040677,367.09249414748336,1226.151313870497,,,118.26514913270616,,-46.220776932722146,367.09249414748336,0.0,,0.0065989186987280846,-46.220776932722146,,0.00028572784503921866,5.6447906494140625,-0.0001590520842000842,,10740.229994040677,200,1226.151313870497,320000,0.0,,0.0,,,3,,-0.0004447799292393029,,,0.015,118.26514913270616
,4,200,,,,,,4,0.01,24932.593964752792,675.0523452694175,2632.2991846854748,,,259.31019906721156,,-39.3831113606692,675.0523452694175,0.0,,0.007249321788549423,-39.3831113606692,,0.00025723892031237483,5.6327805519104,-0.00034467579098418355,,24932.593964752792,200,2632.2991846854748,400000,0.0,,0.0,,,4,,-0.0006019147112965584,,,0.01,259.31019906721156
,5,200,,,,,,5,0.01,38149.40659350529,577.3143638511325,2856.321911114195,,,157.79940783794484,,-35.62507838208569,577.3143638511325,0.0,,0.0068486472591757774,-35.62507838208569,,0.00017042324179783463,5.615609169006348,-0.00018035669927485287,,38149.40659350529,200,2856.321911114195,480000,0.0,,0.0,,,5,,-0.0003507799410726875,,,0.01,157.79940783794484
,6,200,,,,,,6,0.02,25757.021029832107,1028.8846193151446,2596.554692617921,,,327.19561467381294,,-31.424013424137314,1028.8846193151446,0.0,,0.009519388899207115,-31.424013424137314,,3.2498892323928885e-05,5.629880905151367,2.074538861052133e-05,,25757.021029832107,200,2596.554692617921,560000,0.0,,0.0,,,6,,-1.1753503713407554e-05,,,0.02,327.19561467381294
,7,200,,,,,,7,0.035,55946.368727751214,1901.0569538235611,6106.759816901546,,,519.6398173924728,,-33.66070860342231,1901.0569538235611,0.0,,0.004221330396831036,-33.66070860342231,,1.0422793820907827e-05,5.616877555847168,-1.2020168469462078e-05,,55946.368727751214,200,6106.759816901546,640000,0.0,,0.0,,,7,,-2.2442962290369906e-05,,,0.035,519.6398173924728
,8,200,,,,,,8,0.035,53147.376730930824,2691.6452333731436,6412.199872370223,,,803.8934704980453,,-25.603458843127274,2691.6452333731436,0.0,,0.002446981845423579,-25.603458843127274,,4.132512913201936e-06,5.598344326019287,-1.5334597264882177e-05,,53147.376730930824,200,6412.199872370223,720000,0.0,,0.0,,,8,,-1.9467110178084113e-05,,,0.035,803.8934704980453
,9,200,,,,,,9,0.03,93592.23544614727,2750.237928500713,8273.983779130089,,,791.2072156928307,,-38.838064181228354,2750.237928500713,0.0,,0.0016785910120233893,-38.838064181228354,,2.7358378247299697e-06,5.608874320983887,8.095843440969475e-06,,93592.23544614727,200,8273.983779130089,800000,0.0,,0.0,,,9,,5.360005616239505e-06,,,0.03,791.2072156928307
