MetaTest/push-v1/StdReturn,MetaTest/Average/AverageReturn,MetaTest/push-v1/MinReturn,MetaTest/push-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/push-v1/SuccessRate,Iteration,MetaTest/push-v1/MaxReturn,push-v1/StdReturn,Average/Iteration,Average/StdReturn,MetaTest/push-v1/NumEpisodes,MetaTest/Average/Iteration,MetaTest/Average/StdReturn,GaussianMLPPolicy/LossAfter,MetaTest/Average/SuccessRate,Average/NumEpisodes,MetaTest/Average/MinReturn,Average/MinReturn,Average/MaxReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/MaxReturn,GaussianMLPPolicy/KLAfter,push-v1/AverageReturn,Average/TerminationRate,push-v1/TerminationRate,MetaTest/push-v1/AverageReturn,push-v1/MinReturn,push-v1/NumEpisodes,GaussianMLPPolicy/Entropy,Average/AverageReturn,Average/AverageDiscountedReturn,GaussianMLPPolicy/dLoss,push-v1/MaxReturn,MetaTest/push-v1/Iteration,Average/SuccessRate,MetaTest/Average/TerminationRate,push-v1/SuccessRate,GaussianMLPPolicy/LossBefore,GaussianMLPPolicy/KLBefore,push-v1/Iteration,MetaTest/push-v1/AverageDiscountedReturn,push-v1/AverageDiscountedReturn,TotalEnvSteps
2290.750093788669,306.08157606671443,-72.01281810007464,0.0,306.08157606671443,0.0,0,16329.017666340134,12.547773765301693,0,12.547773765301693,50,0,2290.750093788669,-0.0009240373037755489,0.0,200,-72.01281810007464,-83.39470062708384,-24.755473769702903,50,16329.017666340134,0.008060531690716743,-54.12142348340409,0.0,0.0,306.08157606671443,-83.39470062708384,200,5.675865173339844,-54.12142348340409,-20.09895598132623,0.0008870600868249312,-24.755473769702903,0,0.0,0.0,0.0,-3.697721695061773e-05,0.0,0,306.08157606671443,-20.09895598132623,80000
,,,,,,1,,477.3211606164292,1,477.3211606164292,,,,-0.0001538096839794889,,200,,-75.75954680691389,4831.184794740611,,,0.009456977248191833,50.634164322573724,0.0,0.0,,-75.75954680691389,200,5.691455364227295,50.634164322573724,9.721873071205751,0.0005614284746116027,4831.184794740611,,0.0,,0.0,0.0004076187906321138,0.0,1,,9.721873071205751,160000
,,,,,,2,,921.3104907529495,2,921.3104907529495,,,,-0.00017352266877423972,,200,,-57.42016771532224,8089.225665095262,,,0.006742139346897602,216.35439947394426,0.0,0.0,,-57.42016771532224,200,5.68977165222168,216.35439947394426,57.2197347687794,0.00015884363347140606,8089.225665095262,,0.0,,0.0,-1.4679035302833654e-05,0.0,2,,57.2197347687794,240000
,,,,,,3,,4917.01900840756,3,4917.01900840756,,,,2.3089520254870877e-05,,200,,-41.478444703333864,53302.90155948696,,,0.005039016716182232,1374.4343737984962,0.0,0.0,,-41.478444703333864,200,5.724128246307373,1374.4343737984962,359.56603092584425,1.086858901544474e-05,53302.90155948696,,0.02,,0.02,3.395810927031562e-05,0.0,3,,359.56603092584425,320000
,,,,,,4,,5664.916669686786,4,5664.916669686786,,,,-0.00011770190030802041,,200,,-34.14075002277277,50675.974173740906,,,0.006773416884243488,2274.461348489445,0.0,0.0,,-34.14075002277277,200,5.678374767303467,2274.461348489445,645.1242747194017,2.6505265850573778e-05,50675.974173740906,,0.025,,0.025,-9.119663445744663e-05,0.0,4,,645.1242747194017,400000
,,,,,,5,,5383.569503161532,5,5383.569503161532,,,,-1.1179241482750513e-05,,200,,-31.042775680131985,32780.92087615773,,,0.003384751733392477,2597.344956868348,0.0,0.0,,-31.042775680131985,200,5.673549175262451,2597.344956868348,725.4257252837249,6.344429039017996e-06,32780.92087615773,,0.03,,0.03,-4.834812443732517e-06,0.0,5,,725.4257252837249,480000
,,,,,,6,,8153.877117517062,6,8153.877117517062,,,,-2.516544327590964e-06,,200,,-28.840288195499536,58917.1264618946,,,0.0013920767232775688,3796.166753813934,0.0,0.0,,-28.840288195499536,200,5.672850608825684,3796.166753813934,1074.5222056033876,2.3864149198971063e-06,58917.1264618946,,0.03,,0.03,-1.301294076938575e-07,0.0,6,,1074.5222056033876,560000
,,,,,,7,,9826.088242328822,7,9826.088242328822,,,,-8.34999718790641e-06,,200,,-24.4864728982356,81155.17570827196,,,0.0001847454987000674,4987.240837210359,0.0,0.0,,-24.4864728982356,200,5.663207054138184,4987.240837210359,1345.227828988948,2.636088538565673e-07,81155.17570827196,,0.03,,0.03,-8.086388334049843e-06,0.0,7,,1345.227828988948,640000
,,,,,,8,,7820.807893004509,8,7820.807893004509,,,,-4.889759111392777e-06,,200,,-25.297128174191407,37029.44204193371,,,5.813343886984512e-05,4447.4235309578635,0.0,0.0,,-25.297128174191407,200,5.656944274902344,4447.4235309578635,1271.1267342104595,8.232200343627483e-08,37029.44204193371,,0.04,,0.04,-4.807437107956503e-06,0.0,8,,1271.1267342104595,720000
,,,,,,9,,10369.675306874415,9,10369.675306874415,,,,-5.4942211136221886e-06,,200,,-23.15828121566998,61365.71047354319,,,7.421652844641358e-05,4972.10414437165,0.0,0.0,,-23.15828121566998,200,5.65009069442749,4972.10414437165,1313.1396087731111,1.0516669135540724e-07,61365.71047354319,,0.05,,0.05,-5.389054422266781e-06,0.0,9,,1313.1396087731111,800000
