MetaTest/Average/SuccessRate,drawer-close-v1/StdReturn,GaussianMLPPolicy/dLoss,Average/SuccessRate,GaussianMLPPolicy/LossAfter,Average/MinReturn,MetaTest/drawer-close-v1/Iteration,MetaTest/Average/TerminationRate,MetaTest/drawer-close-v1/MinReturn,GaussianMLPPolicy/KLAfter,MetaTest/drawer-close-v1/MaxReturn,drawer-close-v1/NumEpisodes,Average/MaxReturn,Average/StdReturn,MetaTest/drawer-close-v1/AverageReturn,MetaTest/Average/NumEpisodes,Average/Iteration,drawer-close-v1/MinReturn,MetaTest/Average/MaxReturn,drawer-close-v1/Iteration,TotalEnvSteps,drawer-close-v1/AverageReturn,Average/NumEpisodes,MetaTest/Average/StdReturn,drawer-close-v1/AverageDiscountedReturn,drawer-close-v1/MaxReturn,MetaTest/drawer-close-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/drawer-close-v1/AverageDiscountedReturn,Average/AverageReturn,drawer-close-v1/SuccessRate,MetaTest/drawer-close-v1/SuccessRate,GaussianMLPPolicy/Entropy,MetaTest/Average/AverageReturn,MetaTest/drawer-close-v1/NumEpisodes,drawer-close-v1/TerminationRate,Average/TerminationRate,GaussianMLPPolicy/LossBefore,Average/AverageDiscountedReturn,MetaTest/drawer-close-v1/StdReturn,MetaTest/Average/Iteration,Iteration,MetaTest/Average/MinReturn,GaussianMLPPolicy/KLBefore
0.0,14.14319761382752,0.0008234330452978611,0.035,0.002091645961627364,-84.68198809916943,0,0.0,-28.232557172840625,0.006631575524806976,-28.232557172840625,200,-18.177438607410394,14.14319761382752,-28.232557172840625,1,0,-84.68198809916943,-28.232557172840625,0,80000,-50.4056048264431,200,0.0,-17.962665503697398,-18.177438607410394,0.0,-28.23255717284062,-28.23255717284062,-50.4056048264431,0.035,0.0,5.720175743103027,-28.232557172840625,1,0.0,0.0,0.0029150790069252253,-17.962665503697398,0.0,0,0,-28.232557172840625,0.0
0.0,182.09804190944038,0.0010535685578361154,0.035,-0.0015896838158369064,-75.48221904091133,1,0.0,-19.890927709613372,0.006937732454389334,-19.890927709613372,200,1717.4526659228015,182.09804190944038,-19.890927709613372,1,1,-75.48221904091133,-19.890927709613372,1,160000,-13.230221883227982,200,0.0,-5.790313625083778,1717.4526659228015,0.0,-19.890927709613383,-19.890927709613383,-13.230221883227982,0.035,0.0,5.715209484100342,-19.890927709613372,1,0.0,0.0,-0.0005361152580007911,-5.790313625083778,0.0,1,1,-19.890927709613372,0.0
0.0,319.9312887008005,0.001033980050124228,0.03,6.0677295550704e-05,-67.948072834898,2,0.0,1540.385416107451,0.0067904493771493435,1540.385416107451,200,2525.4630471717796,319.9312887008005,1540.385416107451,1,2,-67.948072834898,1540.385416107451,2,240000,46.77512678332496,200,0.0,15.690882782591622,2525.4630471717796,0.0,1540.3854161074512,1540.3854161074512,46.77512678332496,0.03,0.0,5.733240604400635,1540.385416107451,1,0.0,0.0,0.001094657345674932,15.690882782591622,0.0,2,2,1540.385416107451,0.0
0.0,3598.7510173451374,0.0005476707592606544,0.03,-0.0011324555380269885,-49.751798182220604,3,0.0,-18.69202330509837,0.006847487296909094,-18.69202330509837,200,42951.542045345814,3598.7510173451374,-18.69202330509837,1,3,-49.751798182220604,-18.69202330509837,3,320000,454.3163691178553,200,0.0,116.32368932743834,42951.542045345814,0.0,-18.692023305098356,-18.692023305098356,454.3163691178553,0.03,0.0,5.7177348136901855,-18.69202330509837,1,0.0,0.0,-0.0005847847787663341,116.32368932743834,0.0,3,3,-18.69202330509837,0.0
0.0,569.8468036756325,0.0009241963853128254,0.015,-0.00023944186978042126,-34.61440549971493,4,0.0,-21.921558490580875,0.008373345248401165,-21.921558490580875,200,4147.5414987722015,569.8468036756325,-21.921558490580875,1,4,-34.61440549971493,-21.921558490580875,4,400000,160.35964382291698,200,0.0,57.139830248492764,4147.5414987722015,0.0,-21.92155849058086,-21.92155849058086,160.35964382291698,0.015,0.0,5.730567932128906,-21.921558490580875,1,0.0,0.0,0.0006847545155324042,57.139830248492764,0.0,4,4,-21.921558490580875,0.0
0.0,6232.502057055333,0.00044848397374153137,0.015,0.0010988458525389433,-31.386935275857443,5,0.0,-16.054539993524113,0.009880169294774532,-16.054539993524113,200,79493.57500329157,6232.502057055333,-16.054539993524113,1,5,-31.386935275857443,-16.054539993524113,5,480000,866.1439041805579,200,0.0,201.82960083951926,79493.57500329157,0.0,-16.054539993524127,-16.054539993524127,866.1439041805579,0.015,0.0,5.808930397033691,-16.054539993524113,1,0.0,0.0,0.0015473298262804747,201.82960083951926,0.0,5,5,-16.054539993524113,0.0
0.0,1117.4587284561799,0.0012114152777940035,0.0,-0.0038768909871578217,-29.406138807134447,6,0.0,-18.98681624871964,0.007702297531068325,-18.98681624871964,200,13903.413239352358,1117.4587284561799,-18.98681624871964,1,6,-29.406138807134447,-18.98681624871964,6,560000,202.9103534560946,200,0.0,70.50213210579224,13903.413239352358,0.0,-18.986816248719624,-18.986816248719624,202.9103534560946,0.0,0.0,5.769538402557373,-18.98681624871964,1,0.0,0.0,-0.002665475709363818,70.50213210579224,0.0,6,6,-18.98681624871964,0.0
0.0,1529.5428986204715,0.00045178248547017574,0.02,-0.002727727871388197,-27.466012499856234,7,0.0,-13.583429429180422,0.006878012325614691,-13.583429429180422,200,15184.896325046677,1529.5428986204715,-13.583429429180422,1,7,-27.466012499856234,-13.583429429180422,7,640000,422.6738690578137,200,0.0,142.35136257858855,15184.896325046677,0.0,-13.58342942918042,-13.58342942918042,422.6738690578137,0.02,0.0,5.696246147155762,-13.583429429180422,1,0.0,0.0,-0.002275945385918021,142.35136257858855,0.0,7,7,-13.583429429180422,0.0
0.0,2683.6069834113528,0.0006959126912988722,0.01,0.00033337139757350087,-23.232739449995233,8,0.0,-13.594271775699676,0.009059149771928787,-13.594271775699676,200,31964.411413149286,2683.6069834113528,-13.594271775699676,1,8,-23.232739449995233,-13.594271775699676,8,720000,446.6614626291612,200,0.0,149.7945943854181,31964.411413149286,0.0,-13.59427177569967,-13.59427177569967,446.6614626291612,0.01,0.0,5.722784996032715,-13.594271775699676,1,0.0,0.0,0.001029284088872373,149.7945943854181,0.0,8,8,-13.594271775699676,0.0
0.0,769.4423546684692,0.0008674012497067451,0.0,0.0023192730732262135,-24.678587052306543,9,0.0,-18.38414842543072,0.007208419032394886,-18.38414842543072,200,6713.711485040477,769.4423546684692,-18.38414842543072,1,9,-24.678587052306543,-18.38414842543072,9,800000,174.44132306164013,200,0.0,63.91289119842184,6713.711485040477,0.0,-18.384148425430713,-18.384148425430713,174.44132306164013,0.0,0.0,5.800112724304199,-18.38414842543072,1,0.0,0.0,0.0031866743229329586,63.91289119842184,0.0,9,9,-18.38414842543072,0.0
