MetaTest/Average/TerminationRate,push-v1/SuccessRate,Average/NumEpisodes,MetaTest/Average/StdReturn,push-v1/NumEpisodes,push-v1/StdReturn,GaussianMLPPolicy/LossAfter,GaussianMLPPolicy/KLAfter,MetaTest/push-v1/StdReturn,MetaTest/Average/AverageReturn,Average/TerminationRate,Average/MinReturn,MetaTest/push-v1/TerminationRate,MetaTest/push-v1/MinReturn,MetaTest/push-v1/MaxReturn,Average/Iteration,MetaTest/push-v1/AverageDiscountedReturn,Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,push-v1/Iteration,GaussianMLPPolicy/LossBefore,MetaTest/Average/Iteration,TotalEnvSteps,Average/AverageReturn,Iteration,MetaTest/push-v1/AverageReturn,MetaTest/Average/NumEpisodes,GaussianMLPPolicy/dLoss,MetaTest/push-v1/Iteration,push-v1/MaxReturn,Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,Average/SuccessRate,push-v1/MinReturn,GaussianMLPPolicy/KLBefore,MetaTest/push-v1/SuccessRate,Average/StdReturn,push-v1/AverageReturn,MetaTest/push-v1/NumEpisodes,MetaTest/Average/MinReturn,GaussianMLPPolicy/Entropy,MetaTest/Average/SuccessRate,push-v1/TerminationRate,push-v1/AverageDiscountedReturn
0.0,0.0,200,2687.424266307244,200,406.7661272814709,0.0006066284840926528,0.007392451167106628,2687.424266307244,605.1891227175707,0.0,-65.28685653210827,0.0,-56.73083143859077,18501.188045140905,0,605.18912271757,5234.013774601489,605.18912271757,0,0.0016100152861326933,0,80000,8.924155713359598,0,605.1891227175707,50,0.0010033868020400405,0,5234.013774601489,9.470177706119864,18501.188045140905,0.0,-65.28685653210827,0.0,0.0,406.7661272814709,8.924155713359598,50,-56.73083143859077,5.716009140014648,0.0,0.0,9.470177706119864
,0.02,200,,200,6061.343128532644,-0.0004853896680288017,0.006831740029156208,,,0.0,-53.50712187138715,,,,1,,82401.8590103795,,1,-0.00011020749661838636,,160000,826.2713434612447,1,,,0.0003751821714104153,,82401.8590103795,261.62753049958746,,0.02,-53.50712187138715,0.0,,6061.343128532644,826.2713434612447,,,5.711421012878418,,0.0,261.62753049958746
,0.04,200,,200,8822.77135856869,-2.2123076632851735e-05,0.006150959990918636,,,0.0,-47.99020251804789,,,,2,,104797.39609406704,,2,-5.37871164851822e-06,,240000,2248.871751051133,2,,,1.6744364984333515e-05,,104797.39609406704,638.4576207757276,,0.04,-47.99020251804789,0.0,,8822.77135856869,2248.871751051133,,,5.708740234375,,0.0,638.4576207757276
,0.055,200,,200,12427.806733649739,-1.0625704817357473e-05,0.0020815026946365833,,,0.0,-50.31623427217359,,,,3,,122855.67394389378,,3,-6.688977009616792e-06,,320000,3330.2944087379333,3,,,3.936727807740681e-06,,122855.67394389378,928.5555176561448,,0.055,-50.31623427217359,0.0,,12427.806733649739,3330.2944087379333,,,5.698434829711914,,0.0,928.5555176561448
,0.05,200,,200,11889.299115505803,6.369788752635941e-05,0.005502630956470966,,,0.0,-45.05804514461557,,,,4,,126238.55635810207,,4,7.614727655891329e-05,,400000,3075.328064349124,4,,,1.2449389032553881e-05,,126238.55635810207,829.5816187995041,,0.05,-45.05804514461557,0.0,,11889.299115505803,3075.328064349124,,,5.770306587219238,,0.0,829.5816187995041
,0.09,200,,200,16800.481792858216,-1.7408507119398564e-05,0.004410003777593374,,,0.0,-38.4136325653337,,,,5,,112439.03391723437,,5,-8.187771527445875e-06,,480000,5389.648750100497,5,,,9.220735591952689e-06,,112439.03391723437,1395.0299119751799,,0.09,-38.4136325653337,0.0,,16800.481792858216,5389.648750100497,,,5.761727333068848,,0.0,1395.0299119751799
,0.07,200,,200,9792.059099620426,-7.75490752857877e-06,0.0019573145546019077,,,0.0,-44.510902494235296,,,,6,,92700.74719817437,,6,-5.021192009735387e-06,,560000,2683.160830059948,6,,,2.7337155188433826e-06,,92700.74719817437,798.8973647634629,,0.07,-44.510902494235296,0.0,,9792.059099620426,2683.160830059948,,,5.753021240234375,,0.0,798.8973647634629
,0.07,200,,200,14964.248165440733,-0.00018531904788687825,0.007729283068329096,,,0.0,-41.0168010455352,,,,7,,98082.15463514082,,7,-3.55229240085464e-05,,640000,4503.63276139538,7,,,0.00014979612387833185,,98082.15463514082,1220.3815165686392,,0.07,-41.0168010455352,0.0,,14964.248165440733,4503.63276139538,,,5.749369144439697,,0.0,1220.3815165686392
,0.13,200,,200,13884.599947168554,-9.187700129587029e-07,0.00014691377873532474,,,0.0,-32.214212105030995,,,,8,,74079.39255249551,,8,-7.089355449352297e-07,,720000,6229.639248419835,8,,,2.0983446802347316e-07,,74079.39255249551,1711.9198179116754,,0.13,-32.214212105030995,0.0,,13884.599947168554,6229.639248419835,,,5.74853515625,,0.0,1711.9198179116754
,0.155,200,,200,18626.05266964919,-5.498378413903993e-06,0.00010933296289294958,,,0.0,-38.48066329203611,,,,9,,120876.90495237535,,9,-5.3426601880346425e-06,,800000,8417.972950933476,9,,,1.5571822586935014e-07,,120876.90495237535,2171.536907772675,,0.155,-38.48066329203611,0.0,,18626.05266964919,8417.972950933476,,,5.741669178009033,,0.0,2171.536907772675
0.0,0.145,200,14592.435187446537,200,18405.987633694876,-2.3043617147777695e-07,5.5561446060892195e-05,14592.435187446537,8841.476301080793,0.0,-59.581074844995086,0.0,-24.63095605933519,71196.94871840434,10,8841.476301080795,112390.47964485725,8841.476301080795,10,-1.5161774058469746e-07,1,880000,8362.350277526244,10,8841.476301080793,50,7.88184308930795e-08,1,112390.47964485725,2072.2714082784332,71196.94871840434,0.145,-59.581074844995086,0.0,0.18,18405.987633694876,8362.350277526244,50,-24.63095605933519,5.7415242195129395,0.18,0.0,2072.2714082784332
,0.105,200,,200,16109.74681351624,-2.04384514290723e-06,0.00033860609983094037,,,0.0,-33.959891511249324,,,,11,,119049.43792215455,,11,-1.5557565120616346e-06,,960000,6425.1444628291865,11,,,4.880886308455956e-07,,119049.43792215455,1823.6824405325908,,0.105,-33.959891511249324,0.0,,16109.74681351624,6425.1444628291865,,,5.739813327789307,,0.0,1823.6824405325908
,0.125,200,,200,14695.905466432694,7.512905540352222e-06,0.0004990496672689915,,,0.0,-35.36709370297158,,,,12,,103151.32596637834,,12,8.221420102927368e-06,,1040000,6713.256277394965,12,,,7.085145625751466e-07,,103151.32596637834,1901.1058791953017,,0.125,-35.36709370297158,0.0,,14695.905466432694,6713.256277394965,,,5.751236915588379,,0.0,1901.1058791953017
,0.155,200,,200,16735.52052875064,-3.1064232075550535e-07,3.5962970287073404e-05,,,0.0,-78.38693459965451,,,,13,,106194.34672362191,,13,-2.596002559585031e-07,,1120000,8672.307984031877,13,,,5.104206479700224e-08,,106194.34672362191,2489.4302945592553,,0.155,-78.38693459965451,0.0,,16735.52052875064,8672.307984031877,,,5.751002311706543,,0.0,2489.4302945592553
,0.13,200,,200,15355.35757281565,2.2264293875196017e-05,0.003027563448995352,,,0.0,-44.14940528025358,,,,14,,102354.63314088003,,14,2.8158068744232878e-05,,1200000,5715.452964670842,14,,,5.893774869036861e-06,,102354.63314088003,1643.401032612571,,0.13,-44.14940528025358,0.0,,15355.35757281565,5715.452964670842,,,5.7842559814453125,,0.0,1643.401032612571
,0.18,200,,200,15648.521986553764,-6.970379672566196e-06,0.0009041688172146678,,,0.0,-36.12113565831403,,,,15,,101261.3855785339,,15,-5.546344709728146e-06,,1280000,7370.953820337935,15,,,1.42403496283805e-06,,101261.3855785339,1965.1817825333303,,0.18,-36.12113565831403,0.0,,15648.521986553764,7370.953820337935,,,5.777587890625,,0.0,1965.1817825333303
,0.135,200,,200,16642.247581562813,-1.410280674463138e-07,2.982455407618545e-05,,,0.0,-40.75362983249048,,,,16,,114387.36206158205,,16,-9.881750884233043e-08,,1360000,7807.526229320643,16,,,4.221055860398337e-08,,114387.36206158205,2176.5471058514704,,0.135,-40.75362983249048,0.0,,16642.247581562813,7807.526229320643,,,5.7775187492370605,,0.0,2176.5471058514704
,0.1,200,,200,13304.243671671124,-1.583701077834121e-06,0.00024046907492447644,,,0.0,-40.30499744429999,,,,17,,89089.36137240237,,17,-1.2360708296910161e-06,,1440000,6169.09213845222,17,,,3.4763024814310484e-07,,89089.36137240237,1941.596316439588,,0.1,-40.30499744429999,0.0,,13304.243671671124,6169.09213845222,,,5.776321887969971,,0.0,1941.596316439588
,0.215,200,,200,24141.525764127284,4.6178979573596735e-06,1.1557969628483988e-05,,,0.0,-39.088252331431896,,,,18,,117618.72616904417,,18,4.634262950276025e-06,,1520000,11739.739102126281,18,,,1.6364992916351184e-08,,117618.72616904417,3333.2712807215084,,0.215,-39.088252331431896,0.0,,24141.525764127284,11739.739102126281,,,5.779578685760498,,0.0,3333.2712807215084
,0.14,200,,200,13930.375314290939,-1.59610976879776e-06,4.253316001268104e-05,,,0.0,-33.36421498507698,,,,19,,82155.73480652353,,19,-1.5357363736256957e-06,,1600000,7213.557697863737,19,,,6.037339517206419e-08,,82155.73480652353,2139.374658905768,,0.14,-33.36421498507698,0.0,,13930.375314290939,7213.557697863737,,,5.778031826019287,,0.0,2139.374658905768
0.0,0.16,200,13871.478272756276,200,17551.944136711223,-2.340577520953957e-05,0.0031407505739480257,13871.478272756276,7884.088343012682,0.0,-35.802946661021124,0.0,-35.52097554801544,57959.72629460324,20,7884.088343012681,99106.86008048404,7884.088343012681,20,-1.8268057829118334e-05,2,1680000,9480.068195321197,20,7884.088343012682,50,5.137717380421236e-06,2,99106.86008048404,2636.1587074425584,57959.72629460324,0.16,-35.802946661021124,0.0,0.18,17551.944136711223,9480.068195321197,50,-35.52097554801544,5.756716251373291,0.18,0.0,2636.1587074425584
,0.115,200,,200,20150.154279824266,-2.9052516765659675e-06,6.141165795270354e-05,,,0.0,-37.1687069981736,,,,21,,133791.4139342971,,21,-2.818130269588437e-06,,1760000,8319.145839376133,21,,,8.712140697753057e-08,,133791.4139342971,2110.4190962796497,,0.115,-37.1687069981736,0.0,,20150.154279824266,8319.145839376133,,,5.753312110900879,,0.0,2110.4190962796497
,0.19,200,,200,19739.899896979674,-6.769664651073981e-07,1.4187920896802098e-05,,,0.0,-55.568268632573044,,,,22,,122132.24704534451,,22,-6.569110837517655e-07,,1840000,11074.44927895159,22,,,2.0055381355632562e-08,,122132.24704534451,2939.215540636012,,0.19,-55.568268632573044,0.0,,19739.899896979674,11074.44927895159,,,5.752886772155762,,0.0,2939.215540636012
,0.13,200,,200,19974.966663425737,-2.038031925621908e-05,0.0020924999844282866,,,0.0,-39.35070793321548,,,,23,,129551.2896419644,,23,-1.6742749721743166e-05,,1920000,8721.385074404374,23,,,3.637569534475915e-06,,129551.2896419644,2367.672020074668,,0.13,-39.35070793321548,0.0,,19974.966663425737,8721.385074404374,,,5.731825828552246,,0.0,2367.672020074668
