Iteration,peg-unplug-side-v1/NumEpisodes,MetaTest/Average/AverageReturn,Average/AverageReturn,MetaTest/peg-unplug-side-v1/StdReturn,peg-unplug-side-v1/SuccessRate,Average/TerminationRate,GaussianMLPPolicy/KLAfter,MetaTest/Average/SuccessRate,GaussianMLPPolicy/KLBefore,MetaTest/Average/MinReturn,peg-unplug-side-v1/Iteration,Average/AverageDiscountedReturn,GaussianMLPPolicy/dLoss,GaussianMLPPolicy/LossBefore,MetaTest/peg-unplug-side-v1/Iteration,MetaTest/peg-unplug-side-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,Average/Iteration,peg-unplug-side-v1/TerminationRate,MetaTest/peg-unplug-side-v1/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/Average/MaxReturn,TotalEnvSteps,peg-unplug-side-v1/AverageDiscountedReturn,MetaTest/peg-unplug-side-v1/TerminationRate,MetaTest/peg-unplug-side-v1/AverageDiscountedReturn,MetaTest/Average/Iteration,peg-unplug-side-v1/MaxReturn,peg-unplug-side-v1/StdReturn,Average/NumEpisodes,Average/StdReturn,Average/MinReturn,peg-unplug-side-v1/MinReturn,Average/MaxReturn,MetaTest/Average/StdReturn,MetaTest/peg-unplug-side-v1/NumEpisodes,Average/SuccessRate,MetaTest/peg-unplug-side-v1/SuccessRate,GaussianMLPPolicy/Entropy,peg-unplug-side-v1/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/peg-unplug-side-v1/MaxReturn,GaussianMLPPolicy/LossAfter
0,200,-64.20529379206548,-93.66479823449605,0.0,0.0,0.0,0.009924178943037987,0.0,0.0,-64.20529379206548,0,-32.18399832739423,0.0005108383484184742,0.0015285976696759462,0,-64.20529379206548,-64.20529379206552,0,0.0,-64.20529379206548,0.0,-64.20529379206548,80000,-32.18399832739423,0.0,-64.20529379206552,0,-37.40199644036488,13.230434686592297,200,13.230434686592297,-130.53850493347133,-130.53850493347133,-37.40199644036488,0.0,1,0.0,0.0,5.73602819442749,-93.66479823449605,1,-64.20529379206548,0.001017759321257472
1,200,-51.127533058268334,-76.76050049269668,0.0,0.0,0.0,0.007190162781625986,0.0,0.0,-51.127533058268334,1,-26.667752872254024,0.0005993024096824229,-0.0003903749748133123,1,-51.127533058268334,-51.12753305826829,1,0.0,-51.127533058268334,0.0,-51.127533058268334,160000,-26.667752872254024,0.0,-51.12753305826829,1,-36.69951165428017,14.688476897115727,200,14.688476897115727,-107.81846915349468,-107.81846915349468,-36.69951165428017,0.0,1,0.0,0.0,5.72624397277832,-76.76050049269668,1,-51.127533058268334,-0.0009896773844957352
2,200,-52.60356801278568,-38.108704626843306,0.0,0.0,0.0,0.009885631501674652,0.0,0.0,-52.60356801278568,2,-18.915529054129916,0.0005225981003604829,0.00014657352585345507,2,-52.60356801278568,-52.60356801278565,2,0.0,-52.60356801278568,0.0,-52.60356801278568,240000,-18.915529054129916,0.0,-52.60356801278565,2,2580.188436130945,207.3446403502979,200,207.3446403502979,-116.48591943428026,-116.48591943428026,2580.188436130945,0.0,1,0.0,0.0,5.731583595275879,-38.108704626843306,1,-52.60356801278568,-0.00037602457450702786
3,200,-49.817754219038875,343.5447120395911,0.0,0.0,0.0,0.009893433190882206,0.0,0.0,-49.817754219038875,3,96.28698211106003,0.0005653928528772667,0.00011713495769072324,3,-49.817754219038875,-49.81775421903885,3,0.0,-49.817754219038875,0.0,-49.817754219038875,320000,96.28698211106003,0.0,-49.81775421903885,3,14713.250936706492,1556.27368534526,200,1556.27368534526,-95.48778475478584,-95.48778475478584,14713.250936706492,0.0,1,0.0,0.0,5.735734939575195,343.5447120395911,1,-49.817754219038875,-0.00044825789518654346
4,200,-31.215135129378467,244.7400188202438,0.0,0.0,0.0,0.006720433477312326,0.0,0.0,-31.215135129378467,4,64.30610048546559,0.0008279558969661593,0.002070383168756962,4,-31.215135129378467,-31.215135129378456,4,0.0,-31.215135129378467,0.0,-31.215135129378467,400000,64.30610048546559,0.0,-31.215135129378456,4,15727.099634622056,1569.7482280620518,200,1569.7482280620518,-79.27406268537003,-79.27406268537003,15727.099634622056,0.0,1,0.0,0.0,5.770506858825684,244.7400188202438,1,-31.215135129378467,0.0012424272717908025
5,200,-39.032439845043875,356.87899689317055,0.0,0.0,0.0,0.009835333563387394,0.0,0.0,-39.032439845043875,5,104.33670135542793,0.0011370418505975977,0.0012747200671583414,5,-39.032439845043875,-39.03243984504387,5,0.0,-39.032439845043875,0.0,-39.032439845043875,480000,104.33670135542793,0.0,-39.03243984504387,5,15941.36109437531,1812.7099359395825,200,1812.7099359395825,-71.57589427445012,-71.57589427445012,15941.36109437531,0.0,1,0.0,0.0,5.791025161743164,356.87899689317055,1,-39.032439845043875,0.00013767821656074375
6,200,-42.99028138116593,180.47983773917878,0.0,0.0,0.0,0.007193657569587231,0.0,0.0,-42.99028138116593,6,43.939865565928486,0.0010461237279741908,-6.392784598574508e-06,6,-42.99028138116593,-42.990281381165914,6,0.0,-42.99028138116593,0.0,-42.99028138116593,560000,43.939865565928486,0.0,-42.990281381165914,6,13593.176875957626,1212.8239686874824,200,1212.8239686874824,-54.66834797693337,-54.66834797693337,13593.176875957626,0.0,1,0.0,0.0,5.7912445068359375,180.47983773917878,1,-42.99028138116593,-0.0010525165125727654
7,200,-33.78802393832485,11.28013131555376,0.0,0.0,0.0,0.006756852380931377,0.0,0.0,-33.78802393832485,7,2.6803756754460166,0.0007508168928325176,-0.00366393243893981,7,-33.78802393832485,-33.78802393832483,7,0.0,-33.78802393832485,0.0,-33.78802393832485,640000,2.6803756754460166,0.0,-33.78802393832483,7,3020.7994863722142,291.81631776311104,200,291.81631776311104,-46.65603804195593,-46.65603804195593,3020.7994863722142,0.0,1,0.0,0.0,5.716911792755127,11.28013131555376,1,-33.78802393832485,-0.004414749331772327
8,200,-28.45469406051021,109.9401535412462,0.0,0.0,0.0,0.007285292260348797,0.0,0.0,-28.45469406051021,8,30.67951104268367,0.0012461211299523711,0.000349593348801136,8,-28.45469406051021,-28.454694060510196,8,0.0,-28.45469406051021,0.0,-28.45469406051021,720000,30.67951104268367,0.0,-28.454694060510196,8,11313.078105235792,1136.5247904884484,200,1136.5247904884484,-47.78415238357929,-47.78415238357929,11313.078105235792,0.0,1,0.0,0.0,5.722365856170654,109.9401535412462,1,-28.45469406051021,-0.0008965277811512351
9,200,-24.102839295026943,230.18385629086632,0.0,0.0,0.0,0.00788171123713255,0.0,0.0,-24.102839295026943,9,69.0188024454231,0.0014199155266396701,0.00029221869772300124,9,-24.102839295026943,-24.102839295026936,9,0.0,-24.102839295026943,0.0,-24.102839295026943,800000,69.0188024454231,0.0,-24.102839295026936,9,16174.265831629738,1836.8240717233443,200,1836.8240717233443,-46.330284957011244,-46.330284957011244,16174.265831629738,0.0,1,0.0,0.0,5.726700305938721,230.18385629086632,1,-24.102839295026943,-0.001127696828916669
10,200,13828.009891898944,69.25253754461177,0.0,0.0,0.0,0.009467000141739845,0.0,0.0,13828.009891898944,10,16.892037848282353,0.0012470385991036892,0.0007126631098799407,10,13828.009891898944,13828.009891898937,10,0.0,13828.009891898944,0.0,13828.009891898944,880000,16.892037848282353,0.0,13828.009891898937,10,13003.708970057949,967.2004363675892,200,967.2004363675892,-48.47581295283576,-48.47581295283576,13003.708970057949,0.0,1,0.0,0.0,5.742253303527832,69.25253754461177,1,13828.009891898944,-0.0005343754892237484
11,200,-24.613297383384488,206.80829402252508,0.0,0.0,0.0,0.007271528244018555,0.0,0.0,-24.613297383384488,11,77.02274202669216,0.0015998370945453644,0.0008894388447515666,11,-24.613297383384488,-24.613297383384495,11,0.0,-24.613297383384488,0.0,-24.613297383384488,960000,77.02274202669216,0.0,-24.613297383384495,11,19343.295629748663,1946.605437900934,200,1946.605437900934,-49.57271166085094,-49.57271166085094,19343.295629748663,0.0,1,0.0,0.0,5.755675315856934,206.80829402252508,1,-24.613297383384488,-0.0007103982497937977
12,200,-18.902272101948405,136.99964703680422,0.0,0.0,0.0,0.007363511715084314,0.0,0.0,-18.902272101948405,12,52.01313397814724,0.0012814570218324661,-0.0009891982190310955,12,-18.902272101948405,-18.902272101948398,12,0.0,-18.902272101948405,0.0,-18.902272101948405,1040000,52.01313397814724,0.0,-18.902272101948398,12,15495.325963878342,1192.1697580885952,200,1192.1697580885952,-52.38369303249431,-52.38369303249431,15495.325963878342,0.0,1,0.0,0.0,5.740349769592285,136.99964703680422,1,-18.902272101948405,-0.0022706552408635616
13,200,-17.305446140170318,201.8077437263972,0.0,0.0,0.0,0.007627185434103012,0.0,0.0,-17.305446140170318,13,71.80803511163958,0.0013195329811424017,0.000523953465744853,13,-17.305446140170318,-17.305446140170325,13,0.0,-17.305446140170318,0.0,-17.305446140170318,1120000,71.80803511163958,0.0,-17.305446140170325,13,16525.618698532664,1455.1088411648088,200,1455.1088411648088,-54.09686091425065,-54.09686091425065,16525.618698532664,0.0,1,0.0,0.0,5.752662658691406,201.8077437263972,1,-17.305446140170318,-0.0007955795153975487
14,200,-23.203824079418737,627.9151394405694,0.0,0.0,0.0,0.007503853645175695,0.0,0.0,-23.203824079418737,14,218.17309379469702,0.0009101871110033244,0.00021030628704465926,14,-23.203824079418737,-23.203824079418723,14,0.0,-23.203824079418737,0.0,-23.203824079418737,1200000,218.17309379469702,0.0,-23.203824079418723,14,19226.966627315804,2778.9017520286984,200,2778.9017520286984,-51.987289938884786,-51.987289938884786,19226.966627315804,0.0,1,0.0,0.0,5.757681846618652,627.9151394405694,1,-23.203824079418737,-0.0006998808239586651
15,200,-25.2841908955419,454.23571559827457,0.0,0.0,0.0,0.006800932344049215,0.0,0.0,-25.2841908955419,15,154.992510901248,0.0016131842858158052,0.0003005104954354465,15,-25.2841908955419,-25.284190895541926,15,0.0,-25.2841908955419,0.0,-25.2841908955419,1280000,154.992510901248,0.0,-25.284190895541926,15,14530.74021546191,2114.333327744101,200,2114.333327744101,-42.51837629777985,-42.51837629777985,14530.74021546191,0.0,1,0.0,0.0,5.760796070098877,454.23571559827457,1,-25.2841908955419,-0.0013126737903803587
16,200,-24.91423696708994,253.63692371543115,0.0,0.0,0.0,0.007224964909255505,0.0,0.0,-24.91423696708994,16,88.52096185141716,0.0015571038238704205,-0.003946527373045683,16,-24.91423696708994,-24.914236967089938,16,0.0,-24.91423696708994,0.0,-24.91423696708994,1360000,88.52096185141716,0.0,-24.914236967089938,16,19461.494341678997,1945.0701220089022,200,1945.0701220089022,-49.33355068888774,-49.33355068888774,19461.494341678997,0.0,1,0.0,0.0,5.711202144622803,253.63692371543115,1,-24.91423696708994,-0.005503631196916103
17,200,-18.438650972950626,840.7964123847039,0.0,0.0,0.0,0.0067565664649009705,0.0,0.0,-18.438650972950626,17,287.04173996847345,0.0009652564185671508,0.0012254990870133042,17,-18.438650972950626,-18.43865097295062,17,0.0,-18.438650972950626,0.0,-18.438650972950626,1440000,287.04173996847345,0.0,-18.43865097295062,17,19107.95460336916,3373.5713804315587,200,3373.5713804315587,-53.98778679024094,-53.98778679024094,19107.95460336916,0.0,1,0.0,0.0,5.7466840744018555,840.7964123847039,1,-18.438650972950626,0.0002602426684461534
