Average/Iteration,MetaTest/Average/MinReturn,MetaTest/Average/SuccessRate,GaussianMLPPolicy/LossBefore,Average/SuccessRate,GaussianMLPPolicy/KLAfter,Average/MaxReturn,pick-out-of-hole-v1/Iteration,MetaTest/pick-out-of-hole-v1/Iteration,pick-out-of-hole-v1/AverageReturn,MetaTest/pick-out-of-hole-v1/NumEpisodes,MetaTest/pick-out-of-hole-v1/SuccessRate,MetaTest/pick-out-of-hole-v1/StdReturn,MetaTest/Average/StdReturn,pick-out-of-hole-v1/SuccessRate,pick-out-of-hole-v1/NumEpisodes,GaussianMLPPolicy/LossAfter,GaussianMLPPolicy/dLoss,MetaTest/pick-out-of-hole-v1/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/pick-out-of-hole-v1/MinReturn,MetaTest/Average/MaxReturn,MetaTest/Average/Iteration,pick-out-of-hole-v1/MaxReturn,Average/StdReturn,pick-out-of-hole-v1/StdReturn,pick-out-of-hole-v1/AverageDiscountedReturn,pick-out-of-hole-v1/TerminationRate,Average/NumEpisodes,Average/AverageReturn,Average/AverageDiscountedReturn,MetaTest/pick-out-of-hole-v1/AverageDiscountedReturn,GaussianMLPPolicy/KLBefore,MetaTest/pick-out-of-hole-v1/AverageReturn,GaussianMLPPolicy/Entropy,Iteration,Average/MinReturn,MetaTest/Average/AverageReturn,pick-out-of-hole-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,Average/TerminationRate,MetaTest/pick-out-of-hole-v1/MaxReturn
0,-98.4536780370248,0.0,0.0007638611132279038,0.0,0.00993230938911438,-85.83171503778188,0,0,-131.06070442349446,1,0.0,0.0,0.0,0.0,200,0.00025698397075757384,0.00050687714247033,0.0,1,0.0,80000,-98.4536780370248,-98.4536780370248,0,-85.83171503778188,16.00697329926825,16.00697329926825,-49.12495715696843,0.0,200,-131.06070442349446,-49.12495715696843,-98.45367803702467,0.0,-98.4536780370248,5.7204155921936035,0,-158.8337488287795,-98.4536780370248,-158.8337488287795,-98.45367803702467,0.0,-98.4536780370248
1,-123.15110541950733,0.0,0.0010006390511989594,0.0,0.006668222602456808,-73.48361887386302,1,1,-113.8751978461453,1,0.0,0.0,0.0,0.0,200,0.0007851182599551976,0.00021552079124376178,0.0,1,0.0,160000,-123.15110541950733,-123.15110541950733,1,-73.48361887386302,16.38998305790631,16.38998305790631,-42.23324353265567,0.0,200,-113.8751978461453,-42.23324353265567,-123.15110541950749,0.0,-123.15110541950733,5.764084339141846,1,-160.83409151569452,-123.15110541950733,-160.83409151569452,-123.15110541950749,0.0,-123.15110541950733
2,-74.86309574743188,0.0,0.0009692786261439323,0.0,0.009467125870287418,-68.574189542614,2,2,-103.50368121386808,1,0.0,0.0,0.0,0.0,200,0.000746183330193162,0.00022309529595077038,0.0,1,0.0,240000,-74.86309574743188,-74.86309574743188,2,-68.574189542614,13.967990537221588,13.967990537221588,-39.538954452035696,0.0,200,-103.50368121386808,-39.538954452035696,-74.86309574743186,0.0,-74.86309574743188,5.806906700134277,2,-148.27252852872746,-74.86309574743188,-148.27252852872746,-74.86309574743186,0.0,-74.86309574743188
3,-54.500256659272104,0.0,-0.0004447494575288147,0.0,0.006865245755761862,-40.52563666029959,3,3,-91.28836816156685,1,0.0,0.0,0.0,0.0,200,-0.0009407360921613872,0.0004959866346325725,0.0,1,0.0,320000,-54.500256659272104,-54.500256659272104,3,-40.52563666029959,14.028369409675948,14.028369409675948,-35.7162796011435,0.0,200,-91.28836816156685,-35.7162796011435,-54.50025665927219,0.0,-54.500256659272104,5.7935590744018555,3,-120.2199265942811,-54.500256659272104,-120.2199265942811,-54.50025665927219,0.0,-54.500256659272104
4,-40.09399274361028,0.0,0.0004908151458948851,0.0,0.007466703653335571,-37.79493178672956,4,4,-70.46347720420734,1,0.0,0.0,0.0,0.0,200,-0.00017416874470654875,0.0006649838906014338,0.0,1,0.0,400000,-40.09399274361028,-40.09399274361028,4,-37.79493178672956,19.31687473800613,19.31687473800613,-29.193303693487586,0.0,200,-70.46347720420734,-29.193303693487586,-40.09399274361026,0.0,-40.09399274361028,5.8049092292785645,4,-112.61637128753183,-40.09399274361028,-112.61637128753183,-40.09399274361026,0.0,-40.09399274361028
5,-37.654583515648724,0.0,0.001704971306025982,0.0,0.006689476780593395,-33.50478398540425,5,5,-50.353614440218465,1,0.0,0.0,0.0,0.0,200,0.0009833950316533446,0.0007215762743726373,0.0,1,0.0,480000,-37.654583515648724,-37.654583515648724,5,-33.50478398540425,12.724452309467432,12.724452309467432,-22.735239771864684,0.0,200,-50.353614440218465,-22.735239771864684,-37.654583515648724,0.0,-37.654583515648724,5.847000598907471,5,-95.40614584712257,-37.654583515648724,-95.40614584712257,-37.654583515648724,0.0,-37.654583515648724
6,-37.60684744091164,0.0,0.0014937894884496927,0.0,0.009441616013646126,-33.02908108613372,6,6,-43.00917707174017,1,0.0,0.0,0.0,0.0,200,2.928262074419763e-05,0.001464506867705495,0.0,1,0.0,560000,-37.60684744091164,-37.60684744091164,6,-33.02908108613372,8.561637720805779,8.561637720805779,-19.886728400639868,0.0,200,-43.00917707174017,-19.886728400639868,-37.60684744091166,0.0,-37.60684744091164,5.872906684875488,6,-92.88075709220101,-37.60684744091164,-92.88075709220101,-37.60684744091166,0.0,-37.60684744091164
7,-36.55148014853433,0.0,5.6215190852526575e-05,0.0,0.009095435962080956,-26.54991893405574,7,7,-37.875400868392724,1,0.0,0.0,0.0,0.0,200,-0.000697874347679317,0.0007540895385318436,0.0,1,0.0,640000,-36.55148014853433,-36.55148014853433,7,-26.54991893405574,3.0697455864877377,3.0697455864877377,-17.70158845801979,0.0,200,-37.875400868392724,-17.70158845801979,-36.551480148534324,0.0,-36.55148014853433,5.874493598937988,7,-46.53644000679793,-36.55148014853433,-46.53644000679793,-36.551480148534324,0.0,-36.55148014853433
8,-36.139712381650284,0.0,-0.00116693542804569,0.0,0.009504924528300762,-28.756431893816355,8,8,-36.25401713532004,1,0.0,0.0,0.0,0.0,200,-0.002692809794098139,0.0015258743660524487,0.0,1,0.0,720000,-36.139712381650284,-36.139712381650284,8,-28.756431893816355,2.8227562308709966,2.8227562308709966,-17.004296073060814,0.0,200,-36.25401713532004,-17.004296073060814,-36.13971238165025,0.0,-36.139712381650284,5.857780933380127,8,-43.26475885070429,-36.139712381650284,-43.26475885070429,-36.13971238165025,0.0,-36.139712381650284
9,-29.14462567534111,0.0,0.002035631099715829,0.0,0.007237867917865515,-25.762252290782786,9,9,-34.20597914155764,1,0.0,0.0,0.0,0.0,200,0.0006679173675365746,0.0013677137321792543,0.0,1,0.0,800000,-29.14462567534111,-29.14462567534111,9,-25.762252290782786,3.1157878887744745,3.1157878887744745,-16.1519346928351,0.0,200,-34.20597914155764,-16.1519346928351,-29.144625675341125,0.0,-29.14462567534111,5.892959117889404,9,-42.0780493328784,-29.14462567534111,-42.0780493328784,-29.144625675341125,0.0,-29.14462567534111
