MetaTest/pick-place-v1/MinReturn,Average/StdReturn,GaussianMLPPolicy/LossBefore,GaussianMLPPolicy/KLBefore,MetaTest/Average/SuccessRate,MetaTest/Average/MinReturn,MetaTest/pick-place-v1/NumEpisodes,Average/MaxReturn,pick-place-v1/AverageReturn,GaussianMLPPolicy/KLAfter,pick-place-v1/TerminationRate,MetaTest/pick-place-v1/AverageDiscountedReturn,MetaTest/pick-place-v1/SuccessRate,Average/AverageDiscountedReturn,GaussianMLPPolicy/LossAfter,MetaTest/pick-place-v1/AverageReturn,pick-place-v1/SuccessRate,Average/Iteration,GaussianMLPPolicy/Entropy,pick-place-v1/AverageDiscountedReturn,pick-place-v1/NumEpisodes,GaussianMLPPolicy/dLoss,Average/MinReturn,MetaTest/Average/Iteration,pick-place-v1/StdReturn,pick-place-v1/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,Average/SuccessRate,TotalEnvSteps,MetaTest/Average/MaxReturn,MetaTest/pick-place-v1/TerminationRate,MetaTest/pick-place-v1/Iteration,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,Average/TerminationRate,Average/AverageReturn,Average/NumEpisodes,MetaTest/pick-place-v1/MaxReturn,MetaTest/pick-place-v1/StdReturn,pick-place-v1/MaxReturn,Iteration,pick-place-v1/MinReturn
-81.26331173315103,17.588545539020767,0.0006502660689875484,0.0,0.0,-81.26331173315103,1,-62.716941468443345,-109.01133071592139,0.0068217432126402855,0.0,-81.263311733151,0.0,-35.26116222026562,0.00024075803230516613,-81.26331173315103,0.0,0,5.699613094329834,-35.26116222026562,200,0.0004095080366823822,-161.60959329416667,0,17.588545539020767,0,-81.263311733151,1,0.0,80000,-81.26331173315103,0.0,0,0.0,0.0,-81.26331173315103,0.0,-109.01133071592139,200,-81.26331173315103,0.0,-62.716941468443345,0,-161.60959329416667
-42.47952200828439,20.693699495510938,3.797089448198676e-05,0.0,0.0,-42.47952200828439,1,-32.4999366050162,-86.86524581785801,0.006598560605198145,0.0,-42.47952200828441,0.0,-27.79841429448841,-0.0004458414332475513,-42.47952200828439,0.0,1,5.700888156890869,-27.79841429448841,200,0.0004838123277295381,-140.2139490757298,1,20.693699495510938,1,-42.47952200828441,1,0.0,160000,-42.47952200828439,0.0,1,0.0,0.0,-42.47952200828439,0.0,-86.86524581785801,200,-42.47952200828439,0.0,-32.4999366050162,1,-140.2139490757298
-44.835320670007775,21.542237650189684,0.00029326212825253606,0.0,0.0,-44.835320670007775,1,-25.067954877279746,-64.24207769102674,0.009199700318276882,0.0,-44.83532067000779,0.0,-21.539682430114752,-0.0004000106710009277,-44.835320670007775,0.0,2,5.709506034851074,-21.539682430114752,200,0.0006932727992534637,-127.61358781866205,2,21.542237650189684,2,-44.83532067000779,1,0.0,240000,-44.835320670007775,0.0,2,0.0,0.0,-44.835320670007775,0.0,-64.24207769102674,200,-44.835320670007775,0.0,-25.067954877279746,2,-127.61358781866205
-28.97075433667553,22.226896401001056,-0.0015050218207761645,0.0,0.0,-28.97075433667553,1,102.95957037417801,-49.78146362984823,0.006671304348856211,0.0,-28.97075433667553,0.0,-18.53317313063131,-0.002174465684220195,-28.97075433667553,0.0,3,5.678908824920654,-18.53317313063131,200,0.0006694438634440303,-115.3513179542671,3,22.226896401001056,3,-28.97075433667553,1,0.0,320000,-28.97075433667553,0.0,3,0.0,0.0,-28.97075433667553,0.0,-49.78146362984823,200,-28.97075433667553,0.0,102.95957037417801,3,-115.3513179542671
-39.4470019261931,15.887741103592203,-0.0008380744839087129,0.0,0.0,-39.4470019261931,1,67.25064742691248,-41.26806363669288,0.006724925246089697,0.0,-39.4470019261931,0.0,-16.266554648951363,-0.0017397468909621239,-39.4470019261931,0.0,4,5.666243076324463,-16.266554648951363,200,0.000901672407053411,-96.22323744424085,4,15.887741103592203,4,-39.4470019261931,1,0.0,400000,-39.4470019261931,0.0,4,0.0,0.0,-39.4470019261931,0.0,-41.26806363669288,200,-39.4470019261931,0.0,67.25064742691248,4,-96.22323744424085
-26.262288562974,13.570353550242642,-0.0024595020804554224,0.0,0.0,-26.262288562974,1,106.51113192833492,-35.579795880961825,0.00812100525945425,0.0,-26.262288562974003,0.0,-14.730125297507898,-0.0033960130531340837,-26.262288562974,0.0,5,5.632384777069092,-14.730125297507898,200,0.0009365109726786613,-61.01605502710432,5,13.570353550242642,5,-26.262288562974003,1,0.0,480000,-26.262288562974,0.0,5,0.0,0.0,-26.262288562974,0.0,-35.579795880961825,200,-26.262288562974,0.0,106.51113192833492,5,-61.01605502710432
-25.79336506885312,4.360386972990111,-0.0009393452783115208,0.0,0.0,-25.79336506885312,1,-22.074712945920975,-31.22690234031633,0.009305454790592194,0.0,-25.793365068853113,0.0,-13.265074564762976,-0.0020666515920311213,-25.79336506885312,0.0,6,5.6212592124938965,-13.265074564762976,200,0.0011273063137196004,-50.80533704279337,6,4.360386972990111,6,-25.793365068853113,1,0.0,560000,-25.79336506885312,0.0,6,0.0,0.0,-25.79336506885312,0.0,-31.22690234031633,200,-25.79336506885312,0.0,-22.074712945920975,6,-50.80533704279337
-26.641773197383973,3.0802811315695617,-0.0010563238756731153,0.0,0.0,-26.641773197383973,1,-21.896475957642064,-28.89830291674295,0.009382734075188637,0.0,-26.64177319738398,0.0,-12.6786659060386,-0.003004110651090741,-26.641773197383973,0.0,7,5.611480236053467,-12.6786659060386,200,0.001947786775417626,-40.86269545866737,7,3.0802811315695617,7,-26.64177319738398,1,0.0,640000,-26.641773197383973,0.0,7,0.0,0.0,-26.641773197383973,0.0,-28.89830291674295,200,-26.641773197383973,0.0,-21.896475957642064,7,-40.86269545866737
-28.64128951105125,2.1228644493606827,0.00047695660032331944,0.0,0.0,-28.64128951105125,1,-23.21274713257324,-28.323869998020026,0.007187086157500744,0.0,-28.64128951105125,0.0,-12.345584854132728,-0.0003947964869439602,-28.64128951105125,0.0,8,5.620119094848633,-12.345584854132728,200,0.0008717530872672796,-34.65750252593727,8,2.1228644493606827,8,-28.64128951105125,1,0.0,720000,-28.64128951105125,0.0,8,0.0,0.0,-28.64128951105125,0.0,-28.323869998020026,200,-28.64128951105125,0.0,-23.21274713257324,8,-34.65750252593727
-22.88184421469492,1.981079210431384,-0.0011363128433004022,0.0,0.0,-22.88184421469492,1,-21.8449225407772,-27.805927018105645,0.00673317164182663,0.0,-22.881844214694915,0.0,-12.228161541309555,-0.0020805702079087496,-22.88184421469492,0.0,9,5.6036906242370605,-12.228161541309555,200,0.0009442573646083474,-34.23848721032369,9,1.981079210431384,9,-22.881844214694915,1,0.0,800000,-22.88184421469492,0.0,9,0.0,0.0,-22.88184421469492,0.0,-27.805927018105645,200,-22.88184421469492,0.0,-21.8449225407772,9,-34.23848721032369
