plate-slide-v1/Iteration,plate-slide-v1/StdReturn,GaussianMLPPolicy/KLBefore,TotalEnvSteps,MetaTest/plate-slide-v1/AverageDiscountedReturn,plate-slide-v1/AverageDiscountedReturn,MetaTest/Average/MinReturn,GaussianMLPPolicy/KLAfter,Average/NumEpisodes,GaussianMLPPolicy/LossBefore,MetaTest/plate-slide-v1/MinReturn,MetaTest/Average/StdReturn,plate-slide-v1/MinReturn,Average/SuccessRate,plate-slide-v1/NumEpisodes,MetaTest/Average/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/plate-slide-v1/MaxReturn,plate-slide-v1/MaxReturn,MetaTest/Average/NumEpisodes,GaussianMLPPolicy/LossAfter,Average/StdReturn,MetaTest/Average/Iteration,plate-slide-v1/TerminationRate,Iteration,plate-slide-v1/SuccessRate,MetaTest/plate-slide-v1/StdReturn,MetaTest/plate-slide-v1/NumEpisodes,Average/Iteration,Average/MaxReturn,MetaTest/plate-slide-v1/AverageReturn,Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/plate-slide-v1/Iteration,plate-slide-v1/AverageReturn,Average/AverageDiscountedReturn,MetaTest/plate-slide-v1/TerminationRate,GaussianMLPPolicy/Entropy,MetaTest/Average/MaxReturn,MetaTest/plate-slide-v1/SuccessRate,MetaTest/Average/TerminationRate,GaussianMLPPolicy/dLoss,Average/MinReturn,Average/TerminationRate
0,952.8453780291468,0.0,80000,543.0116624479385,24.805735771801693,-31.454368017052317,0.006540978793054819,200,-0.00024881205172277987,-31.454368017052317,1053.4182443844768,-51.693342402309895,0.0,200,0.0,543.0116624479383,3515.8152634832504,12855.637884894473,10,-0.0010209159227088094,952.8453780291468,0,0.0,0,0.0,1053.4182443844768,10,0,12855.637884894473,543.0116624479383,112.00358483089596,543.0116624479385,0,112.00358483089596,24.805735771801693,0.0,5.671350479125977,3515.8152634832504,0.0,0.0,0.0007721038709860295,-51.693342402309895,0.0
1,2140.278243820717,0.0,160000,,134.36043338446945,,0.009915326721966267,200,8.460565004497766e-05,,,-42.82122594411337,0.005,200,,,,18907.349343596758,,4.46874946646858e-05,2140.278243820717,,0.0,1,0.005,,,1,18907.349343596758,,484.1188777275877,,,484.1188777275877,134.36043338446945,,5.7146992683410645,,,,3.9918155380291864e-05,-42.82122594411337,0.0
2,4054.6917137364094,0.0,240000,,391.04392056694815,,0.004111935384571552,200,2.17384185816627e-05,,,-40.047081751925305,0.01,200,,,,34227.66860970384,,1.3858184502169024e-05,4054.6917137364094,,0.0,2,0.01,,,2,34227.66860970384,,1442.752839061406,,,1442.752839061406,391.04392056694815,,5.7387189865112305,,,,7.880234079493675e-06,-40.047081751925305,0.0
3,3761.8506886799923,0.0,320000,,451.22909480241753,,0.0010116619523614645,200,-3.174025914631784e-05,,,-46.42925527124735,0.0,200,,,,35798.53488024833,,-3.325429861433804e-05,3761.8506886799923,,0.0,3,0.0,,,3,35798.53488024833,,1673.8430193599152,,,1673.8430193599152,451.22909480241753,,5.695974349975586,,,,1.5140394680202007e-06,-46.42925527124735,0.0
4,6116.671422310145,0.0,400000,,796.785664461317,,0.00024629547260701656,200,-2.629004711707239e-06,,,-42.31181471350838,0.01,200,,,,36746.602528505304,,-2.9815178095304873e-06,6116.671422310145,,0.0,4,0.01,,,4,36746.602528505304,,3046.8119721721823,,,3046.8119721721823,796.785664461317,,5.6918253898620605,,,,3.5251309782324824e-07,-42.31181471350838,0.0
5,4080.3205421896455,0.0,480000,,581.2940609057507,,0.0007797828875482082,200,2.2215224362298613e-06,,,-49.51763932336137,0.02,200,,,,20286.564748192664,,1.0658911833161255e-06,4080.3205421896455,,0.0,5,0.02,,,5,20286.564748192664,,2125.1824010088785,,,2125.1824010088785,581.2940609057507,,5.694784164428711,,,,1.1556312529137358e-06,-49.51763932336137,0.0
6,5674.62827416162,0.0,560000,,733.4854149549973,,0.008378313854336739,200,-1.0016123269451782e-05,,,-46.68566748995596,0.015,200,,,,37521.71869627004,,-2.550239150878042e-05,5674.62827416162,,0.0,6,0.015,,,6,37521.71869627004,,2726.6310279457307,,,2726.6310279457307,733.4854149549973,,5.685950756072998,,,,1.5486268239328638e-05,-46.68566748995596,0.0
7,7670.619754864984,0.0,640000,,928.1492732987614,,0.0005120624555274844,200,-4.282727786630858e-06,,,-40.55962260501925,0.02,200,,,,52713.47480442118,,-5.024421170674032e-06,7670.619754864984,,0.0,7,0.02,,,7,52713.47480442118,,3557.678129999643,,,3557.678129999643,928.1492732987614,,5.67959451675415,,,,7.416933840431739e-07,-40.55962260501925,0.0
8,8030.633635995608,0.0,720000,,1167.1279766480077,,0.00010466746607562527,200,-7.963481039041653e-07,,,-39.72137465695383,0.02,200,,,,39724.57029162825,,-9.449777280678973e-07,8030.633635995608,,0.0,8,0.02,,,8,39724.57029162825,,4597.571835603077,,,4597.571835603077,1167.1279766480077,,5.678659915924072,,,,1.4862962416373193e-07,-39.72137465695383,0.0
9,8800.14316523171,0.0,800000,,1322.0802484730666,,6.92708563292399e-05,200,-3.705888957483694e-06,,,-40.58341952484558,0.015,200,,,,52381.84401468122,,-3.8040284380258527e-06,8800.14316523171,,0.0,9,0.015,,,9,52381.84401468122,,5256.908237223343,,,5256.908237223343,1322.0802484730666,,5.6757683753967285,,,,9.813948054215871e-08,-40.58341952484558,0.0
