push-back-v1/MaxReturn,MetaTest/Average/AverageReturn,Average/MaxReturn,Average/MinReturn,GaussianMLPPolicy/LossAfter,GaussianMLPPolicy/dLoss,GaussianMLPPolicy/Entropy,Iteration,push-back-v1/SuccessRate,MetaTest/push-back-v1/MinReturn,MetaTest/Average/TerminationRate,Average/NumEpisodes,push-back-v1/TerminationRate,Average/AverageReturn,Average/AverageDiscountedReturn,push-back-v1/AverageReturn,MetaTest/push-back-v1/AverageDiscountedReturn,Average/StdReturn,GaussianMLPPolicy/KLAfter,Average/SuccessRate,push-back-v1/AverageDiscountedReturn,TotalEnvSteps,MetaTest/push-back-v1/NumEpisodes,GaussianMLPPolicy/LossBefore,MetaTest/push-back-v1/Iteration,MetaTest/push-back-v1/SuccessRate,MetaTest/Average/Iteration,push-back-v1/MinReturn,MetaTest/push-back-v1/AverageReturn,push-back-v1/StdReturn,MetaTest/Average/SuccessRate,MetaTest/Average/MinReturn,push-back-v1/Iteration,Average/Iteration,MetaTest/Average/NumEpisodes,push-back-v1/NumEpisodes,MetaTest/push-back-v1/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/push-back-v1/TerminationRate,Average/TerminationRate,MetaTest/Average/AverageDiscountedReturn,GaussianMLPPolicy/KLBefore,MetaTest/push-back-v1/StdReturn,MetaTest/Average/StdReturn
10786.678164919073,-47.408393579823205,10786.678164919073,-141.9605100876449,-0.0003721363318618387,0.000541528090252541,5.6850128173828125,0,0.0,-133.52992098687005,0.0,200,0.0,-56.31836501474101,-33.821961582718224,-56.31836501474101,-47.408393579823205,768.7492759472167,0.00975426658987999,0.0,-33.821961582718224,80000,50,0.0001693917583907023,0,0.0,0,-141.9605100876449,-47.408393579823205,768.7492759472167,0.0,-133.52992098687005,0,0,50,200,1584.4191399626866,1584.4191399626866,0.0,0.0,-47.408393579823205,0.0,234.5998550964237,234.5998550964237
891.4336709031573,,891.4336709031573,-135.78063755264327,-0.00031714444048702717,0.0004099607904208824,5.6912384033203125,1,0.0,,,200,0.0,-67.82063893295282,-31.248547391724845,-67.82063893295282,,113.48422297745824,0.009404475800693035,0.0,-31.248547391724845,160000,,9.281634993385524e-05,,,,-135.78063755264327,,113.48422297745824,,,1,1,,200,,,,0.0,,0.0,,
1770.7553799238099,,1770.7553799238099,-121.32917138169397,-0.0003873608948197216,0.0006659909558948129,5.702974796295166,2,0.0,,,200,0.0,-21.59813970819716,-18.822839882968566,-21.59813970819716,,220.16203105840876,0.008753261528909206,0.0,-18.822839882968566,240000,,0.00027863006107509136,,,,-121.32917138169397,,220.16203105840876,,,2,2,,200,,,,0.0,,0.0,,
546.8366664789111,,546.8366664789111,-94.62451004775399,-9.62017584242858e-05,0.000762918010877911,5.721824645996094,3,0.0,,,200,0.0,-39.712741815953194,-19.62987026288048,-39.712741815953194,,56.32645546772501,0.007135008927434683,0.0,-19.62987026288048,320000,,0.0006667162524536252,,,,-94.62451004775399,,56.32645546772501,,,3,3,,200,,,,0.0,,0.0,,
897.3827867053872,,897.3827867053872,-62.61387505521757,-0.002244542120024562,0.0009570536203682423,5.7016682624816895,4,0.0,,,200,0.0,-36.38053885758551,-17.924661441101133,-36.38053885758551,,67.96574360188976,0.007683999836444855,0.0,-17.924661441101133,400000,,-0.0012874884996563196,,,,-62.61387505521757,,67.96574360188976,,,4,4,,200,,,,0.0,,0.0,,
522.7867276117369,,522.7867276117369,-57.194637267595326,-0.0010892797727137804,0.0019016763544641435,5.710686683654785,5,0.0,,,200,0.0,-37.02184470341267,-17.742510143459526,-37.02184470341267,,40.110640972778114,0.008180965669453144,0.0,-17.742510143459526,480000,,0.0008123965817503631,,,,-57.194637267595326,,40.110640972778114,,,5,5,,200,,,,0.0,,0.0,,
-24.85981530576969,,-24.85981530576969,-43.957283718539976,-0.001269982079975307,0.0011378844938008115,5.710159778594971,6,0.0,,,200,0.0,-35.48608756425481,-16.441766887511893,-35.48608756425481,,3.2463707403276527,0.00817087572067976,0.0,-16.441766887511893,560000,,-0.00013209758617449552,,,,-43.957283718539976,,3.2463707403276527,,,6,6,,200,,,,0.0,,0.0,,
-22.781885011311953,,-22.781885011311953,-45.85797171609493,-0.002364077605307102,0.0011921341065317392,5.692841053009033,7,0.0,,,200,0.0,-32.873378364120136,-15.639254056225319,-32.873378364120136,,3.0538859012337194,0.0083588482812047,0.0,-15.639254056225319,640000,,-0.001171943498775363,,,,-45.85797171609493,,3.0538859012337194,,,7,7,,200,,,,0.0,,0.0,,
-24.324829771041813,,-24.324829771041813,-39.79305709752307,-0.0017793967854231596,0.0010607167496345937,5.678413391113281,8,0.0,,,200,0.0,-30.88148420228497,-14.867009378871572,-30.88148420228497,,2.898515014167629,0.009410593658685684,0.0,-14.867009378871572,720000,,-0.0007186800357885659,,,,-39.79305709752307,,2.898515014167629,,,8,8,,200,,,,0.0,,0.0,,
-23.664287453937416,,-23.664287453937416,-38.61292236300459,-0.004037922248244286,0.0015859224367886782,5.641237735748291,9,0.0,,,200,0.0,-30.243358896952014,-14.400634477094009,-30.243358896952014,,2.7249048012159074,0.008113603107631207,0.0,-14.400634477094009,800000,,-0.0024519998114556074,,,,-38.61292236300459,,2.7249048012159074,,,9,9,,200,,,,0.0,,0.0,,
-23.360379256470825,-29.00645692292323,-23.360379256470825,-37.27342913526291,-0.003588454332202673,0.0016733440570533276,5.61077880859375,10,0.0,-34.18722005806233,0.0,200,0.0,-29.62893776645618,-14.09270435826378,-29.62893776645618,-29.00645692292323,2.600184673625717,0.008449899964034557,0.0,-14.09270435826378,880000,50,-0.0019151102751493454,1,0.0,1,-37.27342913526291,-29.00645692292323,2.600184673625717,0.0,-34.18722005806233,10,10,50,200,-24.453735377579967,-24.453735377579967,0.0,0.0,-29.00645692292323,0.0,2.5288619292213856,2.5288619292213856
