push-v1/MinReturn,MetaTest/push-v1/AverageReturn,Average/Iteration,MetaTest/Average/SuccessRate,MetaTest/Average/Iteration,Average/TerminationRate,push-v1/NumEpisodes,push-v1/AverageDiscountedReturn,MetaTest/push-v1/MinReturn,MetaTest/push-v1/SuccessRate,MetaTest/push-v1/Iteration,push-v1/AverageReturn,Average/NumEpisodes,MetaTest/push-v1/TerminationRate,GaussianMLPPolicy/KLBefore,MetaTest/push-v1/StdReturn,MetaTest/Average/MinReturn,GaussianMLPPolicy/LossBefore,Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,Average/StdReturn,Average/AverageReturn,push-v1/StdReturn,GaussianMLPPolicy/dLoss,push-v1/SuccessRate,push-v1/MaxReturn,MetaTest/push-v1/NumEpisodes,Average/MinReturn,Average/AverageDiscountedReturn,GaussianMLPPolicy/LossAfter,MetaTest/Average/NumEpisodes,Average/SuccessRate,GaussianMLPPolicy/KLAfter,MetaTest/Average/TerminationRate,MetaTest/push-v1/MaxReturn,MetaTest/Average/AverageReturn,Iteration,MetaTest/Average/MaxReturn,GaussianMLPPolicy/Entropy,MetaTest/push-v1/AverageDiscountedReturn,push-v1/TerminationRate,MetaTest/Average/StdReturn,push-v1/Iteration,TotalEnvSteps
-67.21526223229604,-33.97750559378991,0,0.0,0,0.0,200,-13.637187601448751,-33.97750559378991,0.0,0,-33.45569866090173,200,0.0,0.0,0.0,-33.97750559378991,-0.00018532091053202748,295.2470343973982,-33.977505593789914,39.41420049466356,-33.45569866090173,39.41420049466356,0.0008959952392615378,0.0,295.2470343973982,1,-67.21526223229604,-13.637187601448751,-0.0010813161497935653,1,0.0,0.007045951671898365,0.0,-33.97750559378991,-33.97750559378991,0,-33.97750559378991,5.673492908477783,-33.977505593789914,0.0,0.0,0,80000
-65.58385476269274,253.90622589609686,1,0.0,1,0.0,200,1.3256890065695865,253.90622589609686,0.0,1,10.466101132666326,200,0.0,0.0,0.0,253.90622589609686,5.826082269777544e-05,2197.008977304703,253.90622589609714,226.82977710764524,10.466101132666326,226.82977710764524,0.0008078349237621296,0.0,2197.008977304703,1,-65.58385476269274,1.3256890065695865,-0.0007495741010643542,1,0.0,0.006992603186517954,0.0,253.90622589609686,253.90622589609686,1,253.90622589609686,5.674721717834473,253.90622589609714,0.0,0.0,1,160000
-52.43383210741382,608.6927951610843,2,0.0,2,0.0,200,95.7529907300906,608.6927951610843,0.0,2,373.92372705586604,200,0.0,0.0,0.0,608.6927951610843,-0.001124995993450284,14631.402337557109,608.6927951610837,1394.527107436917,373.92372705586604,1394.527107436917,0.00044032721780240536,0.02,14631.402337557109,1,-52.43383210741382,95.7529907300906,-0.0015653232112526894,1,0.02,0.0062568411231040955,0.0,608.6927951610843,608.6927951610843,2,608.6927951610843,5.639180660247803,608.6927951610837,0.0,0.0,2,240000
-34.84597716750323,767.9804350983324,3,0.0,3,0.0,200,118.53496199897643,767.9804350983324,0.0,3,347.9901260261063,200,0.0,0.0,0.0,767.9804350983324,9.575644071446732e-05,8811.404099705494,767.9804350983328,1109.6644321524313,347.9901260261063,1109.6644321524313,0.00026758306921692565,0.005,8811.404099705494,1,-34.84597716750323,118.53496199897643,-0.00017182662850245833,1,0.005,0.00990974623709917,0.0,767.9804350983324,767.9804350983324,3,767.9804350983324,5.64532470703125,767.9804350983328,0.0,0.0,3,320000
-30.3718695560843,5614.409546518126,4,0.0,4,0.0,200,196.70355839836884,5614.409546518126,0.0,4,583.7564416127685,200,0.0,0.0,0.0,5614.409546518126,3.137613384751603e-05,7695.091368578464,5614.409546518128,1128.9192836910047,583.7564416127685,1128.9192836910047,3.0341082265294972e-05,0.005,7695.091368578464,1,-30.3718695560843,196.70355839836884,1.0350515822210582e-06,1,0.005,0.008847259916365147,0.0,5614.409546518126,5614.409546518126,4,5614.409546518126,5.667350769042969,5614.409546518128,0.0,0.0,4,400000
-30.615733932395695,4084.176874343877,5,0.0,5,0.0,200,721.4941273877314,4084.176874343877,0.0,5,2588.924140774849,200,0.0,0.0,0.0,4084.176874343877,1.4295786968432367e-05,75694.79606238673,4084.176874343877,7929.687050299302,2588.924140774849,7929.687050299302,1.0868776826100657e-05,0.045,75694.79606238673,1,-30.615733932395695,721.4941273877314,3.42701014233171e-06,1,0.045,0.005515440367162228,0.0,4084.176874343877,4084.176874343877,5,4084.176874343877,5.682303428649902,4084.176874343877,0.0,0.0,5,480000
-24.993309724781415,585.866145669915,6,0.0,6,0.0,200,748.9945648886354,585.866145669915,0.0,6,2673.1547754563135,200,0.0,0.0,0.0,585.866145669915,4.6744689825573005e-06,41116.407095906005,585.866145669915,5415.688969187956,2673.1547754563135,5415.688969187956,1.7329532511212165e-06,0.005,41116.407095906005,1,-24.993309724781415,748.9945648886354,2.941515731436084e-06,1,0.005,0.0010822112672030926,0.0,585.866145669915,585.866145669915,6,585.866145669915,5.687034606933594,585.866145669915,0.0,0.0,6,560000
-22.307359557949574,17500.318007645343,7,0.0,7,0.0,200,907.7891808906622,17500.318007645343,0.0,7,3233.62914242554,200,0.0,0.0,0.0,17500.318007645343,-2.6328270905651152e-06,50045.87294369662,17500.318007645343,6603.17479309957,3233.62914242554,6603.17479309957,4.661295861296821e-06,0.045,50045.87294369662,1,-22.307359557949574,907.7891808906622,-7.294122951861937e-06,1,0.045,0.002786756958812475,0.0,17500.318007645343,17500.318007645343,7,17500.318007645343,5.683802604675293,17500.318007645343,0.0,0.0,7,640000
-25.800304266000243,1723.6960940858676,8,0.0,8,0.0,200,995.9345302540536,1723.6960940858676,0.0,8,3427.7414567039436,200,0.0,0.0,0.0,1723.6960940858676,-4.603250999934971e-06,49922.40232103007,1723.6960940858673,6171.619248297911,3427.7414567039436,6171.619248297911,3.6664296203525737e-06,0.065,49922.40232103007,1,-25.800304266000243,995.9345302540536,-8.269680620287545e-06,1,0.065,0.002099654171615839,0.0,1723.6960940858676,1723.6960940858676,8,1723.6960940858676,5.6779656410217285,1723.6960940858673,0.0,0.0,8,720000
-37.53974818898329,6687.907342645273,9,0.0,9,0.0,200,1701.5787251606585,6687.907342645273,0.0,9,5879.371942156602,200,0.0,0.0,0.0,6687.907342645273,4.764974619320128e-06,75009.47113658258,6687.90734264528,10882.430001070734,5879.371942156602,10882.430001070734,3.907416612491943e-07,0.085,75009.47113658258,1,-37.53974818898329,1701.5787251606585,4.374232958070934e-06,1,0.085,0.00027169170789420605,0.0,6687.907342645273,6687.907342645273,9,6687.907342645273,5.684356689453125,6687.90734264528,0.0,0.0,9,800000
