GaussianMLPPolicy/KLAfter,Average/AverageDiscountedReturn,Average/AverageReturn,GaussianMLPPolicy/Entropy,GaussianMLPPolicy/LossBefore,MetaTest/Average/SuccessRate,push-v1/MinReturn,GaussianMLPPolicy/LossAfter,push-v1/MaxReturn,MetaTest/Average/TerminationRate,GaussianMLPPolicy/dLoss,MetaTest/Average/MinReturn,push-v1/AverageReturn,Average/MaxReturn,Average/StdReturn,MetaTest/push-v1/Iteration,MetaTest/push-v1/MaxReturn,MetaTest/push-v1/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/push-v1/StdReturn,Average/NumEpisodes,push-v1/AverageDiscountedReturn,TotalEnvSteps,MetaTest/push-v1/AverageReturn,push-v1/TerminationRate,MetaTest/push-v1/NumEpisodes,push-v1/NumEpisodes,Average/SuccessRate,MetaTest/Average/MaxReturn,Average/MinReturn,MetaTest/Average/AverageReturn,GaussianMLPPolicy/KLBefore,Iteration,push-v1/Iteration,MetaTest/push-v1/MinReturn,Average/Iteration,MetaTest/push-v1/SuccessRate,MetaTest/Average/NumEpisodes,MetaTest/Average/Iteration,MetaTest/Average/StdReturn,Average/TerminationRate,push-v1/SuccessRate,push-v1/StdReturn,MetaTest/push-v1/TerminationRate
0.006800427101552486,-20.332981815353538,-54.3136360743741,5.668497085571289,-0.0005607322091236711,0.0,-85.8652106477216,-0.0014915207866579294,-22.117370662673146,0.0,0.0009307885775342584,-61.73658435424723,-54.3136360743741,-22.117370662673146,11.370272968883837,0,1811.3078838699055,22.010172463088658,22.010172463088658,279.60208817893437,200,-20.332981815353538,80000,22.010172463088676,0.0,50,200,0.0,1811.3078838699055,-85.8652106477216,22.010172463088676,0.0,0,0,-61.73658435424723,0,0.0,50,0,279.60208817893437,0.0,0.0,11.370272968883837,0.0
0.007235902361571789,-12.166866084255801,-28.848568936564256,5.66147518157959,-0.0005522988503798842,,-78.50163771554935,-0.0016866285586729646,900.0826773585374,,0.0011343297082930803,,-28.848568936564256,900.0826773585374,77.61684726723895,,,,,,200,-12.166866084255801,160000,,0.0,,200,0.0,,-78.50163771554935,,0.0,1,1,,1,,,,,0.0,0.0,77.61684726723895,
0.009510206989943981,48.32610152140794,180.92874304223864,5.64818811416626,-0.0001969398435903713,,-60.126190571874915,-0.0004065590910613537,7107.669780109666,,0.00020961924747098237,,180.92874304223864,7107.669780109666,802.2417907621684,,,,,,200,48.32610152140794,240000,,0.0,,200,0.0,,-60.126190571874915,,0.0,2,2,,2,,,,,0.0,0.0,802.2417907621684,
0.007120297756046057,186.76996019904317,674.612358006659,5.6297526359558105,-0.00018117352738045156,,-45.92729062722969,-0.0002872847835533321,17946.150697534085,,0.00010611125617288053,,674.612358006659,17946.150697534085,2294.0983381971573,,,,,,200,186.76996019904317,320000,,0.0,,200,0.0,,-45.92729062722969,,0.0,3,3,,3,,,,,0.0,0.0,2294.0983381971573,
0.006726277060806751,239.45512831995447,860.0058475780539,5.619168758392334,-2.2270489353104495e-05,,-42.51396820567537,-5.15726933372207e-05,18735.52841888317,,2.9302203984116204e-05,,860.0058475780539,18735.52841888317,2481.598973366018,,,,,,200,239.45512831995447,400000,,0.0,,200,0.035,,-42.51396820567537,,0.0,4,4,,4,,,,,0.0,0.035,2481.598973366018,
0.004867872688919306,379.33720636221267,1413.1036044482514,5.62345027923584,4.168353825662052e-06,,-28.984242743426897,-6.653017862845445e-06,31270.799630351845,,1.0821371688507497e-05,,1413.1036044482514,31270.799630351845,3700.616268310015,,,,,,200,379.33720636221267,480000,,0.0,,200,0.01,,-28.984242743426897,,0.0,5,5,,5,,,,,0.0,0.01,3700.616268310015,
8.88247523107566e-05,1153.0725111127451,4100.126582701517,5.621743202209473,-1.7574377579876455e-06,,-25.12504409721187,-1.8839203903553425e-06,81432.76109737017,,1.2648263236769708e-07,,4100.126582701517,81432.76109737017,8899.26581702618,,,,,,200,1153.0725111127451,560000,,0.0,,200,0.09,,-25.12504409721187,,0.0,6,6,,6,,,,,0.0,0.09,8899.26581702618,
0.0026552886702120304,574.3043722579882,2244.875139453936,5.66472864151001,3.585418016882613e-05,,-25.711450654822546,3.030597508768551e-05,39673.11114498314,,5.5482050811406225e-06,,2244.875139453936,39673.11114498314,5669.118680406126,,,,,,200,574.3043722579882,640000,,0.0,,200,0.035,,-25.711450654822546,,0.0,7,7,,7,,,,,0.0,0.035,5669.118680406126,
0.00023305443755816668,1374.040936817286,5095.342032821644,5.649437427520752,-1.176081696030451e-05,,-26.48168152081934,-1.20952299766941e-05,131107.75550007945,,3.3441301638958976e-07,,5095.342032821644,131107.75550007945,14010.955609618199,,,,,,200,1374.040936817286,720000,,0.0,,200,0.05,,-26.48168152081934,,0.0,8,8,,8,,,,,0.0,0.05,14010.955609618199,
0.003990115597844124,737.8935952592827,2731.126904690257,5.634452819824219,-1.3462396964314394e-05,,-24.78997309523582,-2.0947820303263143e-05,52741.14927891108,,7.485423338948749e-06,,2731.126904690257,52741.14927891108,7317.227930384151,,,,,,200,737.8935952592827,800000,,0.0,,200,0.055,,-24.78997309523582,,0.0,9,9,,9,,,,,0.0,0.055,7317.227930384151,
0.0013296809047460556,954.159181651782,3299.907832967136,5.624911785125732,-8.10198707767995e-06,0.1,-23.160097382466017,-1.0217986528004985e-05,71230.53356088199,0.0,2.1159994503250346e-06,-18.35164568713431,3299.907832967136,71230.53356088199,7794.3446545360885,1,63910.95368111532,5280.959797017599,5280.959797017599,10530.451220748935,200,954.159181651782,880000,5280.959797017599,0.0,50,200,0.04,63910.95368111532,-23.160097382466017,5280.959797017599,0.0,10,10,-18.35164568713431,10,0.1,50,1,10530.451220748935,0.0,0.04,7794.3446545360885,0.0
0.004930839408189058,1159.2799894833324,4095.8039708031074,5.579897403717041,-4.455651287571527e-05,,-27.402281236806687,-5.422005051514134e-05,70039.13678296075,,9.663537639426067e-06,,4095.8039708031074,70039.13678296075,8807.150594674808,,,,,,200,1159.2799894833324,960000,,0.0,,200,0.035,,-27.402281236806687,,0.0,11,11,,11,,,,,0.0,0.035,8807.150594674808,
7.524152897531167e-05,1164.6201596093501,4321.430859613976,5.573225975036621,-6.0426218624343164e-06,,-23.965742271539877,-6.149163709778804e-06,128556.61407384631,,1.065418473444879e-07,,4321.430859613976,128556.61407384631,10931.276979783559,,,,,,200,1164.6201596093501,1040000,,0.0,,200,0.055,,-23.965742271539877,,0.0,12,12,,12,,,,,0.0,0.055,10931.276979783559,
0.001162427244707942,1482.2056473759583,5493.302947117863,5.566747188568115,-2.149301508325152e-06,,-29.484513776062254,-3.9941132854437456e-06,81603.9720625339,,1.8448117771185935e-06,,5493.302947117863,81603.9720625339,11509.324295543234,,,,,,200,1482.2056473759583,1120000,,0.0,,200,0.06,,-29.484513776062254,,0.0,13,13,,13,,,,,0.0,0.06,11509.324295543234,
0.00014575854584109038,1750.4624252895615,6569.885190525487,5.563693046569824,-2.756013373073074e-06,,-29.412189795912948,-2.9639581953233574e-06,185714.4180410155,,2.0794482225028332e-07,,6569.885190525487,185714.4180410155,19027.540836958116,,,,,,200,1750.4624252895615,1200000,,0.0,,200,0.04,,-29.412189795912948,,0.0,14,14,,14,,,,,0.0,0.04,19027.540836958116,
0.003559320466592908,1549.3496136779813,6039.835372906955,5.552443981170654,-9.80591903498862e-06,,-21.030614682460406,-1.7366124666295946e-05,86017.96522696943,,7.560205631307326e-06,,6039.835372906955,86017.96522696943,12530.594211181708,,,,,,200,1549.3496136779813,1280000,,0.0,,200,0.05,,-21.030614682460406,,0.0,15,15,,15,,,,,0.0,0.05,12530.594211181708,
0.00017149289487861097,1527.8390274228889,5353.3699868765825,5.553530693054199,9.618004241929157e-07,,-25.132300426434686,7.178950340858137e-07,68544.34304127947,,2.43905390107102e-07,,5353.3699868765825,68544.34304127947,8839.06506155295,,,,,,200,1527.8390274228889,1360000,,0.0,,200,0.03,,-25.132300426434686,,0.0,16,16,,16,,,,,0.0,0.03,8839.06506155295,
0.0002923528663814068,1661.586565869538,6184.8559397576855,5.5546183586120605,1.1146933047712082e-06,,-28.826656910501725,6.948945951990027e-07,50219.31935456035,,4.1979870957220555e-07,,6184.8559397576855,50219.31935456035,9640.281766701792,,,,,,200,1661.586565869538,1440000,,0.0,,200,0.06,,-28.826656910501725,,0.0,17,17,,17,,,,,0.0,0.06,9640.281766701792,
