reach-v1/AverageReturn,reach-v1/TerminationRate,Average/Iteration,Average/MinReturn,MetaTest/reach-v1/StdReturn,Average/SuccessRate,Average/NumEpisodes,GaussianMLPPolicy/dLoss,reach-v1/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/reach-v1/AverageReturn,TotalEnvSteps,reach-v1/MinReturn,MetaTest/Average/NumEpisodes,MetaTest/reach-v1/NumEpisodes,MetaTest/Average/SuccessRate,MetaTest/Average/TerminationRate,reach-v1/StdReturn,Average/MaxReturn,Average/AverageDiscountedReturn,GaussianMLPPolicy/KLAfter,Average/StdReturn,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,Average/TerminationRate,reach-v1/NumEpisodes,reach-v1/AverageDiscountedReturn,MetaTest/reach-v1/Iteration,GaussianMLPPolicy/LossAfter,MetaTest/reach-v1/AverageDiscountedReturn,MetaTest/reach-v1/MaxReturn,GaussianMLPPolicy/LossBefore,MetaTest/reach-v1/MinReturn,MetaTest/reach-v1/TerminationRate,MetaTest/reach-v1/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,Iteration,reach-v1/MaxReturn,reach-v1/Iteration,GaussianMLPPolicy/Entropy,MetaTest/Average/StdReturn,GaussianMLPPolicy/KLBefore,Average/AverageReturn
8619.104376706235,0.0,0,1425.3869076983128,0.0,0.0,200,6.385466519986949e-07,0.0,19303.97040135159,19303.97040135159,80000,1425.3869076983128,1,1,0.0,0.0,6923.136019075109,49798.58956065831,5119.304269201971,0.00044359322055242956,6923.136019075109,0,19303.970401351584,0.0,200,5119.304269201971,0,4.3900982404920796e-07,19303.970401351584,19303.97040135159,1.0775564760479028e-06,19303.97040135159,0.0,0.0,19303.97040135159,19303.97040135159,0,49798.58956065831,0,5.677289962768555,0.0,0.0,8619.104376706235
10122.20754885651,0.0,1,514.5396575877604,0.0,0.0,200,6.911058108016732e-07,0.0,13411.98626731023,13411.98626731023,160000,514.5396575877604,1,1,0.0,0.0,8655.011813979323,73480.38754140415,5668.985994720881,0.0004777541325893253,8655.011813979323,1,13411.986267310238,0.0,200,5668.985994720881,1,-2.5508991257083835e-06,13411.986267310238,13411.98626731023,-1.8597933149067103e-06,13411.98626731023,0.0,0.0,13411.98626731023,13411.98626731023,1,73480.38754140415,1,5.6745991706848145,0.0,0.0,10122.20754885651
12468.869107605218,0.0,2,1148.5364741504432,0.0,0.0,200,3.9606550217285985e-07,0.0,10146.93752870549,10146.93752870549,240000,1148.5364741504432,1,1,0.0,0.0,8592.272207790786,41597.323116197396,6565.042301130227,0.0002756080648396164,8592.272207790786,2,10146.937528705497,0.0,200,6565.042301130227,2,6.499827804873348e-07,10146.937528705497,10146.93752870549,1.0460482826601947e-06,10146.93752870549,0.0,0.0,10146.93752870549,10146.93752870549,2,41597.323116197396,2,5.675574779510498,0.0,0.0,12468.869107605218
15327.862566417647,0.0,3,1135.2358919215883,0.0,0.005,200,4.3831965967910946e-07,0.005,31287.358070404018,31287.358070404018,320000,1135.2358919215883,1,1,0.0,0.0,14098.84721377184,90266.1892232617,7572.222525531926,0.0003043421602342278,14098.84721377184,3,31287.358070404047,0.0,200,7572.222525531926,3,-1.2603848063008627e-06,31287.358070404047,31287.358070404018,-8.220651466217532e-07,31287.358070404018,0.0,0.0,31287.358070404018,31287.358070404018,3,90266.1892232617,3,5.67479944229126,0.0,0.0,15327.862566417647
17165.42551095504,0.0,4,2544.834004208374,0.0,0.0,200,2.976064763515751e-07,0.0,5835.087260292059,5835.087260292059,400000,2544.834004208374,1,1,0.0,0.0,11301.23133787122,64358.53184217286,8189.517098287835,0.00020762797794304788,11301.23133787122,4,5835.087260292058,0.0,200,8189.517098287835,4,1.932743032284634e-07,5835.087260292058,5835.087260292059,4.908807795800385e-07,5835.087260292059,0.0,0.0,5835.087260292059,5835.087260292059,4,64358.53184217286,4,5.675244331359863,0.0,0.0,17165.42551095504
17043.755489069514,0.0,5,1483.6510803272865,0.0,0.005,200,2.583557261459646e-07,0.005,37302.820163922355,37302.820163922355,480000,1483.6510803272865,1,1,0.0,0.0,13087.833602208148,106359.9562620343,8146.622027633458,0.00018053619714919478,13087.833602208148,5,37302.820163922304,0.0,200,8146.622027633458,5,-9.679690720076906e-07,37302.820163922304,37302.820163922355,-7.09613345861726e-07,37302.820163922355,0.0,0.0,37302.820163922355,37302.820163922355,5,106359.9562620343,5,5.674614906311035,0.0,0.0,17043.755489069514
21650.99645491984,0.0,6,3145.332376798147,0.0,0.01,200,2.6990346668753773e-07,0.01,1619.8768705700113,1619.8768705700113,560000,3145.332376798147,1,1,0.0,0.0,15814.79911078825,125293.05475782743,9722.711308881395,0.000188548190635629,15814.79911078825,6,1619.876870570011,0.0,200,9722.711308881395,6,-2.983933427458396e-06,1619.876870570011,1619.8768705700113,-2.7140299607708585e-06,1619.8768705700113,0.0,0.0,1619.8768705700113,1619.8768705700113,6,125293.05475782743,6,5.672086715698242,0.0,0.0,21650.99645491984
22571.45584811425,0.0,7,2221.7176920143834,0.0,0.0,200,2.1018854567955714e-07,0.0,9946.881258615389,9946.881258615389,640000,2221.7176920143834,1,1,0.0,0.0,16648.576793778564,113612.18334068828,10024.192843443829,0.00014697268488816917,16648.576793778564,7,9946.881258615384,0.0,200,10024.192843443829,7,1.3273177046357887e-06,9946.881258615384,9946.881258615389,1.5375062503153458e-06,9946.881258615389,0.0,0.0,9946.881258615389,9946.881258615389,7,113612.18334068828,7,5.673490047454834,0.0,0.0,22571.45584811425
25378.31970187888,0.0,8,2389.1340185006184,0.0,0.01,200,1.2915684166614483e-07,0.01,30125.900680613344,30125.900680613344,720000,2389.1340185006184,1,1,0.0,0.0,16606.975663473753,100462.59354103344,10560.596150097024,9.067535575013608e-05,16606.975663473753,8,30125.900680613322,0.0,200,10560.596150097024,8,-9.176883253303458e-08,30125.900680613322,30125.900680613344,3.7388009133110245e-08,30125.900680613344,0.0,0.0,30125.900680613344,30125.900680613344,8,100462.59354103344,8,5.673522472381592,0.0,0.0,25378.31970187888
26730.244437387293,0.0,9,2429.219839914992,0.0,0.025,200,1.2196312582091196e-07,0.025,21450.730301834214,21450.730301834214,800000,2429.219839914992,1,1,0.0,0.0,19034.895868696953,124642.47597078311,11201.025016541344,8.562025323044509e-05,19034.895868696953,9,21450.730301834206,0.0,200,11201.025016541344,9,-4.910520488010661e-07,21450.730301834206,21450.730301834214,-3.6908892298015417e-07,21450.730301834214,0.0,0.0,21450.730301834214,21450.730301834214,9,124642.47597078311,9,5.673171520233154,0.0,0.0,26730.244437387293
