Average/MinReturn,MetaTest/reach-v1/TerminationRate,MetaTest/reach-v1/NumEpisodes,Average/NumEpisodes,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,Average/StdReturn,MetaTest/Average/NumEpisodes,GaussianMLPPolicy/KLAfter,TotalEnvSteps,Average/AverageReturn,reach-v1/MinReturn,GaussianMLPPolicy/LossBefore,GaussianMLPPolicy/LossAfter,Average/Iteration,MetaTest/Average/Iteration,MetaTest/reach-v1/MinReturn,MetaTest/Average/AverageReturn,Average/TerminationRate,GaussianMLPPolicy/Entropy,reach-v1/Iteration,reach-v1/MaxReturn,Average/AverageDiscountedReturn,GaussianMLPPolicy/dLoss,MetaTest/Average/StdReturn,MetaTest/reach-v1/MaxReturn,Average/MaxReturn,MetaTest/Average/MaxReturn,reach-v1/TerminationRate,GaussianMLPPolicy/KLBefore,MetaTest/reach-v1/AverageDiscountedReturn,MetaTest/reach-v1/StdReturn,Average/SuccessRate,MetaTest/Average/SuccessRate,reach-v1/AverageDiscountedReturn,reach-v1/NumEpisodes,MetaTest/reach-v1/AverageReturn,MetaTest/reach-v1/Iteration,Iteration,reach-v1/AverageReturn,reach-v1/StdReturn,MetaTest/reach-v1/SuccessRate,MetaTest/Average/AverageDiscountedReturn,reach-v1/SuccessRate
2076.629945387213,0.0,50,200,2208.4147295111234,0.0,16703.321878554707,50,0.00015412410721182823,80000,20811.288293938807,2076.629945387213,-2.6843233627005247e-06,-2.9046359486528672e-06,0,0,2208.4147295111234,28180.437177561096,0.0,5.6728410720825195,0,107487.64473658918,9033.177810157616,2.203125859523425e-07,19023.424584811288,108696.90209094016,107487.64473658918,108696.90209094016,0.0,0.0,28180.437177561096,19023.424584811288,0.02,0.02,9033.177810157616,200,28180.437177561096,0,0,20811.288293938807,16703.321878554707,0.02,28180.437177561096,0.02
2504.8239866455074,,,200,,,18571.103856923477,,8.950399205787107e-05,160000,23505.797777523414,2504.8239866455074,-1.226511926688545e-06,-1.353896664113563e-06,1,,,,0.0,5.671538352966309,1,139405.13553961288,10170.284378831,1.273847374250181e-07,,,139405.13553961288,,0.0,0.0,,,0.01,,10170.284378831,200,,,1,23505.797777523414,18571.103856923477,,,0.01
1863.5415886171274,,,200,,,18829.138653362203,,9.724516712594777e-05,240000,24907.81098440163,1863.5415886171274,6.616331802433706e-07,5.231630098023743e-07,2,,,,0.0,5.6722493171691895,2,112870.4014963444,10385.747430345951,1.384701704409963e-07,,,112870.4014963444,,0.0,0.0,,,0.01,,10385.747430345951,200,,,2,24907.81098440163,18829.138653362203,,,0.01
2803.719360419591,,,200,,,18401.79585026168,,6.8100773205515e-05,320000,27268.55455025957,2803.719360419591,2.8246677175047807e-06,2.727801529545104e-06,3,,,,0.0,5.675324440002441,3,100301.23411190415,11133.402129476839,9.686618795967661e-08,,,100301.23411190415,,0.0,0.0,,,0.02,,11133.402129476839,200,,,3,27268.55455025957,18401.79585026168,,,0.02
1480.2708434139768,,,200,,,20889.69314726451,,8.66594782564789e-05,400000,29550.205128984828,1480.2708434139768,1.678338549027103e-06,1.554907271383854e-06,4,,,,0.0,5.677093982696533,4,122496.31741837616,11932.106217339426,1.234312776432489e-07,,,122496.31741837616,,0.0,0.0,,,0.035,,11932.106217339426,200,,,4,29550.205128984828,20889.69314726451,,,0.035
1935.6430292506966,,,200,,,17624.077753040983,,6.98301155352965e-05,480000,28765.182582615595,1935.6430292506966,2.2371712020685663e-06,2.137862338713603e-06,5,,,,0.0,5.6795220375061035,5,102588.29767459667,11609.813974036471,9.930886335496325e-08,,,102588.29767459667,,0.0,0.0,,,0.02,,11609.813974036471,200,,,5,28765.182582615595,17624.077753040983,,,0.02
3135.8114140056805,,,200,,,25851.53771112074,,6.2931067077443e-05,560000,31746.966475885456,3135.8114140056805,-3.4934626569338434e-07,-4.388573984215327e-07,6,,,,0.0,5.679144382476807,6,142189.14798457798,12488.259992434196,8.951113272814837e-08,,,142189.14798457798,,0.0,0.0,,,0.045,,12488.259992434196,200,,,6,31746.966475885456,25851.53771112074,,,0.045
1170.8640326990985,,,200,,,27001.216929157614,,5.0924641982419416e-05,640000,36458.70101974655,1170.8640326990985,-2.3349075206624548e-07,-3.0582106091969763e-07,7,,,,0.0,5.678896427154541,7,142523.74013479805,14226.511179883082,7.233030885345215e-08,,,142523.74013479805,,0.0,0.0,,,0.055,,14226.511179883082,200,,,7,36458.70101974655,27001.216929157614,,,0.055
3680.060000311665,,,200,,,22225.107104690436,,4.097352211829275e-05,720000,33920.84424970732,3680.060000311665,6.360880888678366e-07,5.778601348538359e-07,8,,,,0.0,5.679572105407715,8,124174.50657330676,13297.743063927643,5.8227954014000716e-08,,,124174.50657330676,,0.0,0.0,,,0.035,,13297.743063927643,200,,,8,33920.84424970732,22225.107104690436,,,0.035
1195.8341034810273,,,200,,,30389.459836681297,,3.351097257109359e-05,800000,42000.586715718586,1195.8341034810273,-7.28347004042007e-07,-7.758989113426651e-07,9,,,,0.0,5.678774833679199,9,145696.42666206713,15361.525551160823,4.755190730065806e-08,,,145696.42666206713,,0.0,0.0,,,0.095,,15361.525551160823,200,,,9,42000.586715718586,30389.459836681297,,,0.095
3694.224718131194,0.0,50,200,9128.691005220808,0.0,28299.89507927634,50,2.4168199161067605e-05,880000,40196.46033955968,3694.224718131194,-7.171627771640487e-07,-7.514647677453468e-07,10,1,9128.691005220808,45388.41710538062,0.0,5.678000450134277,10,155805.00176796532,15431.46032493313,3.4301990581298014e-08,30627.44689364896,145395.4545744946,155805.00176796532,145395.4545744946,0.0,0.0,45388.41710538062,30627.44689364896,0.085,0.1,15431.46032493313,200,45388.41710538062,1,10,40196.46033955968,28299.89507927634,0.1,45388.41710538062,0.085
3535.2892213321343,,,200,,,25323.94712045728,,2.8211474273120984e-05,960000,40517.03130466414,3535.2892213321343,3.558391767910507e-07,3.1580140102960286e-07,11,,,,0.0,5.678359508514404,11,169401.04732165675,15472.37372198014,4.003777576144785e-08,,,169401.04732165675,,0.0,0.0,,,0.055,,15472.37372198014,200,,,11,40517.03130466414,25323.94712045728,,,0.055
6102.996196577767,,,200,,,30000.166288845954,,1.729714495013468e-05,1040000,48786.08709779714,6102.996196577767,-4.198772671770712e-07,-4.444005696768727e-07,12,,,,0.0,5.677900791168213,12,168213.65453714674,17928.038090757564,2.4523302499801503e-08,,,168213.65453714674,,0.0,0.0,,,0.085,,17928.038090757564,200,,,12,48786.08709779714,30000.166288845954,,,0.085
1377.3205839141706,,,200,,,24016.99424712673,,2.761154973995872e-05,1120000,37913.82615431916,1377.3205839141706,-8.341093007402378e-07,-8.733022696105763e-07,13,,,,0.0,5.6770405769348145,13,153394.2765133562,14469.091673803883,3.919296887033852e-08,,,153394.2765133562,,0.0,0.0,,,0.035,,14469.091673803883,200,,,13,37913.82615431916,24016.99424712673,,,0.035
7470.115688123596,,,200,,,29102.469541533057,,1.887992402771488e-05,1200000,44453.012768222114,7470.115688123596,-6.997159402999387e-07,-7.264800956363615e-07,14,,,,0.0,5.676300525665283,14,164615.61727401926,16266.264984849267,2.6764155336422846e-08,,,164615.61727401926,,0.0,0.0,,,0.085,,16266.264984849267,200,,,14,44453.012768222114,29102.469541533057,,,0.085
4549.049409054781,,,200,,,27765.248768886548,,2.785420474538114e-05,1280000,42167.63426812014,4549.049409054781,4.996531899337242e-08,1.0430222019408575e-08,15,,,,0.0,5.676353454589844,15,153285.24191605617,15548.973714934978,3.9535096973963846e-08,,,153285.24191605617,,0.0,0.0,,,0.06,,15548.973714934978,200,,,15,42167.63426812014,27765.248768886548,,,0.06
3859.115136235272,,,200,,,30250.95095321748,,1.1651676686597057e-05,1360000,48410.13577796968,3859.115136235272,2.2279968447946885e-07,2.0628155539270665e-07,16,,,,0.0,5.676581859588623,16,165207.2679179628,17192.70432698861,1.65181290867622e-08,,,165207.2679179628,,0.0,0.0,,,0.095,,17192.70432698861,200,,,16,48410.13577796968,30250.95095321748,,,0.095
1864.8276978039985,,,200,,,32242.30303004754,,1.8677321349969134e-05,1440000,47960.89425115816,1864.8276978039985,7.747279369141324e-07,7.482435648853425e-07,17,,,,0.0,5.6773905754089355,17,147083.38465368655,17340.769943334264,2.648437202878995e-08,,,147083.38465368655,,0.0,0.0,,,0.135,,17340.769943334264,200,,,17,47960.89425115816,32242.30303004754,,,0.135
6038.84252783441,,,200,,,33907.94194813351,,1.0464043953106739e-05,1520000,51925.5968838362,6038.84252783441,1.4639394407822692e-07,1.3156032707684062e-07,18,,,,0.0,5.6775431632995605,18,181039.33079432114,18700.28073299452,1.4833617001386301e-08,,,181039.33079432114,,0.0,0.0,,,0.145,,18700.28073299452,200,,,18,51925.5968838362,33907.94194813351,,,0.145
4195.4813467309095,,,200,,,32339.299271544132,,1.3326492990017869e-05,1600000,52803.0140032603,4195.4813467309095,-1.2503345203640492e-07,-1.439210990383799e-07,19,,,,0.0,5.6774067878723145,19,147482.9314767529,18570.218806714296,1.8887647001974983e-08,,,147482.9314767529,,0.0,0.0,,,0.17,,18570.218806714296,200,,,19,52803.0140032603,32339.299271544132,,,0.17
4595.514573734482,0.0,50,200,8714.776694735683,0.0,33155.75908554997,50,9.153938663075678e-06,1680000,48726.419419707505,4595.514573734482,7.811419209247106e-07,7.681663305447728e-07,20,2,8714.776694735683,54230.617579917336,0.0,5.6782307624816895,20,164177.21415540914,18184.60142257312,1.2975590379937785e-08,31256.91639892385,132280.0967312789,164177.21415540914,132280.0967312789,0.0,0.0,54230.61757991733,31256.91639892385,0.105,0.18,18184.60142257312,200,54230.617579917336,2,20,48726.419419707505,33155.75908554997,0.18,54230.61757991733,0.105
11826.48072861263,,,200,,,31795.89753754426,,9.471010343986563e-06,1760000,54453.41222450593,11826.48072861263,3.839278974737681e-07,3.705027609157696e-07,21,,,,0.0,5.6786346435546875,21,172773.4291891783,19852.490064137597,1.3425136557998485e-08,,,172773.4291891783,,0.0,0.0,,,0.12,,19852.490064137597,200,,,21,54453.41222450593,31795.89753754426,,,0.12
