MetaTest/Average/AverageReturn,shelf-place-v1/NumEpisodes,MetaTest/Average/MaxReturn,TotalEnvSteps,MetaTest/shelf-place-v1/SuccessRate,Average/TerminationRate,shelf-place-v1/AverageDiscountedReturn,GaussianMLPPolicy/LossBefore,GaussianMLPPolicy/KLBefore,MetaTest/Average/Iteration,MetaTest/shelf-place-v1/MinReturn,MetaTest/Average/MinReturn,MetaTest/shelf-place-v1/AverageReturn,MetaTest/Average/AverageDiscountedReturn,Average/MinReturn,shelf-place-v1/TerminationRate,MetaTest/Average/StdReturn,Average/MaxReturn,MetaTest/shelf-place-v1/MaxReturn,MetaTest/shelf-place-v1/Iteration,Average/Iteration,shelf-place-v1/MinReturn,Average/AverageDiscountedReturn,shelf-place-v1/AverageReturn,GaussianMLPPolicy/LossAfter,shelf-place-v1/Iteration,Average/StdReturn,shelf-place-v1/StdReturn,shelf-place-v1/SuccessRate,GaussianMLPPolicy/Entropy,MetaTest/shelf-place-v1/TerminationRate,Average/SuccessRate,GaussianMLPPolicy/dLoss,Average/AverageReturn,Iteration,MetaTest/shelf-place-v1/StdReturn,MetaTest/shelf-place-v1/NumEpisodes,shelf-place-v1/MaxReturn,Average/NumEpisodes,MetaTest/Average/SuccessRate,MetaTest/shelf-place-v1/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/TerminationRate,GaussianMLPPolicy/KLAfter
-48.8531143616104,200,-48.8531143616104,80000,0.0,0.0,-21.764014277665595,0.0010049913544207811,0.0,0,-48.8531143616104,-48.8531143616104,-48.8531143616104,-48.853114361610395,-113.83489558475564,0.0,0.0,-26.55225900006979,-48.8531143616104,0,0,-113.83489558475564,-21.764014277665595,-63.383381776065654,0.0003817627439275384,0,20.483036325274792,20.483036325274792,0.0,5.696300983428955,0.0,0.0,0.0006232286104932427,-63.383381776065654,0,0.0,1,-26.55225900006979,200,0.0,-48.853114361610395,1,0.0,0.006716629955917597
-57.635376186756105,200,-57.635376186756105,160000,0.0,0.0,-16.887018038473244,-0.00010769936488941312,0.0,1,-57.635376186756105,-57.635376186756105,-57.635376186756105,-57.635376186756126,-91.79789277218015,0.0,0.0,-23.00119312456112,-57.635376186756105,1,1,-91.79789277218015,-16.887018038473244,-45.940063566909636,-0.0008494327776134014,1,15.114184346642679,15.114184346642679,0.0,5.694196701049805,0.0,0.0,0.0007417334127239883,-45.940063566909636,1,0.0,1,-23.00119312456112,200,0.0,-57.635376186756126,1,0.0,0.009428263641893864
-29.03362579472514,200,-29.03362579472514,240000,0.0,0.0,-15.6218834484119,0.0010686058085411787,0.0,2,-29.03362579472514,-29.03362579472514,-29.03362579472514,-29.03362579472513,-95.66574910801451,0.0,0.0,-23.870035487148847,-29.03362579472514,2,2,-95.66574910801451,-15.6218834484119,-39.01791921161655,-0.00018807714513968676,2,10.705764038960252,10.705764038960252,0.0,5.70606803894043,0.0,0.0,0.0012566829536808655,-39.01791921161655,2,0.0,1,-23.870035487148847,200,0.0,-29.03362579472513,1,0.0,0.007452643010765314
-29.048916580757847,200,-29.048916580757847,320000,0.0,0.0,-13.785177311999908,0.0008162908488884568,0.0,3,-29.048916580757847,-29.048916580757847,-29.048916580757847,-29.048916580757854,-53.90039388487829,0.0,0.0,-22.566509703909414,-29.048916580757847,3,3,-53.90039388487829,-13.785177311999908,-32.948028438442606,-0.00043553096475079656,3,5.809004634172812,5.809004634172812,0.0,5.715400218963623,0.0,0.0,0.0012518218136392534,-32.948028438442606,3,0.0,1,-22.566509703909414,200,0.0,-29.048916580757854,1,0.0,0.008374704048037529
-29.26916738927678,200,-29.26916738927678,400000,0.0,0.0,-13.012283061946896,-0.0022476953454315662,0.0,4,-29.26916738927678,-29.26916738927678,-29.26916738927678,-29.269167389276767,-44.601725471452234,0.0,0.0,-21.395928666733596,-29.26916738927678,4,4,-44.601725471452234,-13.012283061946896,-30.219538410506175,-0.003940156660974026,4,3.852866559766226,3.852866559766226,0.0,5.690734386444092,0.0,0.0,0.0016924613155424595,-30.219538410506175,4,0.0,1,-21.395928666733596,200,0.0,-29.269167389276767,1,0.0,0.009108548983931541
-29.53899866518766,200,-29.53899866518766,480000,0.0,0.0,-12.637188102040993,-0.004561874084174633,0.0,5,-29.53899866518766,-29.53899866518766,-29.53899866518766,-29.538998665187663,-41.313605677506,0.0,0.0,-22.62146909804578,-29.53899866518766,5,5,-41.313605677506,-12.637188102040993,-29.134743193690834,-0.005638386122882366,5,2.8741736966524996,2.8741736966524996,0.0,5.635207176208496,0.0,0.0,0.0010765120387077332,-29.134743193690834,5,0.0,1,-22.62146909804578,200,0.0,-29.538998665187663,1,0.0,0.007738827262073755
-22.83879787951203,200,-22.83879787951203,560000,0.0,0.0,-12.207848556698645,-0.0019429275998845696,0.0,6,-22.83879787951203,-22.83879787951203,-22.83879787951203,-22.838797879512022,-35.229265500618475,0.0,0.0,-21.093658365989185,-22.83879787951203,6,6,-35.229265500618475,-12.207848556698645,-28.13747295586898,-0.0027494151145219803,6,2.6523335862956277,2.6523335862956277,0.0,5.609315872192383,0.0,0.0,0.0008064875146374106,-28.13747295586898,6,0.0,1,-21.093658365989185,200,0.0,-22.838797879512022,1,0.0,0.006573768798261881
-28.16927980592833,200,-28.16927980592833,640000,0.0,0.0,-12.00042724826758,0.0009891809895634651,0.0,7,-28.16927980592833,-28.16927980592833,-28.16927980592833,-28.169279805928323,-38.28140899473001,0.0,0.0,-19.47301167653483,-28.16927980592833,7,7,-38.28140899473001,-12.00042724826758,-27.688186044362592,-6.150022090878338e-05,7,3.106294678603439,3.106294678603439,0.0,5.622993469238281,0.0,0.0,0.0010506812104722485,-27.688186044362592,7,0.0,1,-19.47301167653483,200,0.0,-28.169279805928323,1,0.0,0.007971636950969696
-21.387762057589295,200,-21.387762057589295,720000,0.0,0.0,-11.765999583665948,-0.0030880640260875225,0.0,8,-21.387762057589295,-21.387762057589295,-21.387762057589295,-21.387762057589285,-38.110144830986094,0.0,0.0,-18.599267314137453,-21.387762057589295,8,8,-38.110144830986094,-11.765999583665948,-26.78550400396342,-0.004069130402058363,8,2.975364781125644,2.975364781125644,0.0,5.576959609985352,0.0,0.0,0.0009810663759708405,-26.78550400396342,8,0.0,1,-18.599267314137453,200,0.0,-21.387762057589285,1,0.0,0.00758931040763855
-27.21245790747963,200,-27.21245790747963,800000,0.0,0.0,-11.389937543098581,-0.0026305902283638716,0.0,9,-27.21245790747963,-27.21245790747963,-27.21245790747963,-27.212457907479653,-34.287988895608656,0.0,0.0,-19.911163644624715,-27.21245790747963,9,9,-34.287988895608656,-11.389937543098581,-26.04435016071151,-0.004515926353633404,9,2.577152610249361,2.577152610249361,0.0,5.5511322021484375,0.0,0.0,0.0018853361252695322,-26.04435016071151,9,0.0,1,-19.911163644624715,200,0.0,-27.212457907479653,1,0.0,0.008826297707855701
