Average/SuccessRate,Average/AverageReturn,push-v1/AverageDiscountedReturn,push-v1/Iteration,MetaTest/push-v1/StdReturn,push-v1/MinReturn,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/push-v1/NumEpisodes,push-v1/StdReturn,push-v1/SuccessRate,GaussianMLPPolicy/Entropy,MetaTest/push-v1/TerminationRate,MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn,MetaTest/Average/AverageReturn,GaussianMLPPolicy/KLBefore,MetaTest/push-v1/AverageDiscountedReturn,Average/MaxReturn,push-v1/AverageReturn,MetaTest/push-v1/MaxReturn,Iteration,push-v1/MaxReturn,Average/StdReturn,MetaTest/Average/Iteration,push-v1/NumEpisodes,Average/NumEpisodes,Average/AverageDiscountedReturn,GaussianMLPPolicy/KLAfter,MetaTest/push-v1/AverageReturn,Average/MinReturn,GaussianMLPPolicy/LossBefore,Average/TerminationRate,MetaTest/Average/SuccessRate,MetaTest/Average/NumEpisodes,Average/Iteration,GaussianMLPPolicy/dLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/push-v1/SuccessRate,GaussianMLPPolicy/LossAfter,push-v1/TerminationRate,MetaTest/push-v1/Iteration,MetaTest/push-v1/MinReturn
0.0,3.9852246264295808,-5.364198177430492,0,1386.1612471323172,-64.14675611582261,-59.384450938577494,0.0,80000,50,254.174051751892,0.0,5.7201619148254395,0.0,1386.1612471323172,9258.558600318302,304.08803740619265,0.0,304.0880374061926,2628.9732417671594,3.9852246264295808,9258.558600318302,0,2628.9732417671594,254.174051751892,0,200,200,-5.364198177430492,0.009557743556797504,304.08803740619265,-64.14675611582261,0.002436223207041621,0.0,0.02,50,0,0.0011337795294821262,304.0880374061926,0.02,0.001302443677559495,0.0,0,-59.384450938577494
0.005,214.46788643092432,55.73713022091527,1,,-48.101670613527055,,,160000,,703.4257189384358,0.005,5.7280097007751465,,,,,0.0,,5300.62254119368,214.46788643092432,,1,5300.62254119368,703.4257189384358,,200,200,55.73713022091527,0.008225020952522755,,-48.101670613527055,0.00017933917115442455,0.0,,,1,0.00037153047742322087,,,-0.00019219130626879632,0.0,,
0.01,889.2103544062114,229.33599733219182,2,,-40.814626978051436,,,240000,,2928.7170814611977,0.01,5.7262349128723145,,,,,0.0,,25373.118221749002,889.2103544062114,,2,25373.118221749002,2928.7170814611977,,200,200,229.33599733219182,0.007960664108395576,,-40.814626978051436,-2.8571323127835058e-05,0.0,,,2,0.00027969825350737665,,,-0.0003082695766352117,0.0,,
0.01,1460.2621714731513,431.6380248698876,3,,-36.35362856435133,,,320000,,3685.816366542138,0.01,5.693392753601074,,,,,0.0,,26911.178918430145,1460.2621714731513,,3,26911.178918430145,3685.816366542138,,200,200,431.6380248698876,0.00839571189135313,,-36.35362856435133,-4.398785677039996e-05,0.0,,,3,2.2139036445878446e-05,,,-6.61268932162784e-05,0.0,,
0.05,2450.5622782016785,669.4788890116912,4,,-30.127924595680117,,,400000,,7900.314056255417,0.05,5.690575122833252,,,,,0.0,,77608.84120313327,2450.5622782016785,,4,77608.84120313327,7900.314056255417,,200,200,669.4788890116912,0.008956086821854115,,-30.127924595680117,-4.685778094426496e-06,0.0,,,4,2.6374899334768998e-05,,,-3.1060677429195493e-05,0.0,,
0.055,3106.5734272952022,923.8428158486286,5,,-38.33001009978533,,,480000,,5419.744546754924,0.055,5.677199840545654,,,,,0.0,,30477.805823282153,3106.5734272952022,,5,30477.805823282153,5419.744546754924,,200,200,923.8428158486286,0.0016492254799231887,,-38.33001009978533,-1.1422637726354878e-05,0.0,,,5,2.7552714527701028e-06,,,-1.4177909179124981e-05,0.0,,
0.03,3003.4565496606483,916.2307864437972,6,,-27.553805080174584,,,560000,,6173.0464599663,0.03,5.663727760314941,,,,,0.0,,42449.52732611178,3003.4565496606483,,6,42449.52732611178,6173.0464599663,,200,200,916.2307864437972,0.004515626467764378,,-27.553805080174584,-1.230439193022903e-05,0.0,,,6,1.0015195584855974e-05,,,-2.2319587515085004e-05,0.0,,
0.05,5475.9892373151715,1555.867965264119,7,,-24.703032864090307,,,640000,,10995.07424896385,0.05,5.652577877044678,,,,,0.0,,100866.66120915898,5475.9892373151715,,7,100866.66120915898,10995.07424896385,,200,200,1555.867965264119,0.0001895158929983154,,-24.703032864090307,-7.659577931917738e-06,0.0,,,7,2.7040641725761816e-07,,,-7.929984349175356e-06,0.0,,
0.055,6897.440118469684,2033.3844616198935,8,,-40.27598029335339,,,720000,,11260.867094586487,0.055,5.655703067779541,,,,,0.0,,77293.5536363629,6897.440118469684,,8,77293.5536363629,11260.867094586487,,200,200,2033.3844616198935,5.610308289760724e-05,,-40.27598029335339,3.1406839298142586e-06,0.0,,,8,7.944959179440048e-08,,,3.061234338019858e-06,0.0,,
0.06,6092.092211104571,1845.0455323761398,9,,-23.84816868723724,,,800000,,14238.26243775229,0.06,5.6733317375183105,,,,,0.0,,120094.33804008234,6092.092211104571,,9,120094.33804008234,14238.26243775229,,200,200,1845.0455323761398,0.00652279332280159,,-23.84816868723724,1.8764356354949996e-05,0.0,,,9,1.343566827927134e-05,,,5.328688075678656e-06,0.0,,
0.055,8033.732235606493,2365.679787552135,10,20982.301487352357,-23.069774106803887,-20.698188847884186,0.0,880000,50,17246.62317253326,0.055,5.674046993255615,0.0,20982.301487352357,100635.43219820739,11914.07871116913,0.0,11914.078711169132,119711.630559075,8033.732235606493,100635.43219820739,10,119711.630559075,17246.62317253326,1,200,200,2365.679787552135,6.6280831561016385e-06,11914.07871116913,-23.069774106803887,1.8825985534931533e-06,0.0,0.1,50,10,9.359041541756596e-09,11914.078711169132,0.1,1.8732395119513967e-06,0.0,1,-20.698188847884186
0.085,8236.222119986563,2336.104265695453,11,,-26.287558867787332,,,960000,,18451.85158122342,0.085,5.6697998046875,,,,,0.0,,141049.69359960084,8236.222119986563,,11,141049.69359960084,18451.85158122342,,200,200,2336.104265695453,0.0007409775862470269,,-26.287558867787332,-2.980674253194593e-06,0.0,,,11,1.089626493921969e-06,,,-4.070300747116562e-06,0.0,,
0.085,9857.690834328043,2732.0884090094014,12,,-25.295201880465243,,,1040000,,21365.19519866958,0.085,5.680022239685059,,,,,0.0,,161980.43215692136,9857.690834328043,,12,161980.43215692136,21365.19519866958,,200,200,2732.0884090094014,6.862240843474865e-05,,-25.295201880465243,6.848867542430526e-06,0.0,,,12,9.731274985824712e-08,,,6.7515547925722785e-06,0.0,,
0.08,9961.098441630413,2863.9066234419274,13,,-27.40326791174229,,,1120000,,19903.400024925057,0.08,5.662168502807617,,,,,0.0,,118004.59606569933,9961.098441630413,,13,118004.59606569933,19903.400024925057,,200,200,2863.9066234419274,0.0002145167236449197,,-27.40326791174229,-1.2047456948494073e-05,0.0,,,13,3.067452780669555e-07,,,-1.2354202226561029e-05,0.0,,
0.075,7816.321082639728,2284.7652437605125,14,,-40.302976726236935,,,1200000,,13731.687327025305,0.075,5.6583781242370605,,,,,0.0,,80229.789726854,7816.321082639728,,14,80229.789726854,13731.687327025305,,200,200,2284.7652437605125,4.039009218104184e-05,,-40.302976726236935,-2.5583181013644207e-06,0.0,,,14,5.7257693697465584e-08,,,-2.6155757950618863e-06,0.0,,
0.06,8493.087972788708,2467.944617545149,15,,-20.71449306472204,,,1280000,,13151.774563277131,0.06,5.648855686187744,,,,,0.0,,93424.58882825793,8493.087972788708,,15,93424.58882825793,13151.774563277131,,200,200,2467.944617545149,0.0005434979684650898,,-20.71449306472204,-8.582446753280237e-06,0.0,,,15,8.634297046228312e-07,,,-9.445876457903069e-06,0.0,,
0.09,7915.9946611002,2299.6227875778154,16,,-28.322567653542432,,,1360000,,13130.646437545895,0.09,5.6489434242248535,,,,,0.0,,79792.43432908747,7915.9946611002,,16,79792.43432908747,13130.646437545895,,200,200,2299.6227875778154,5.486594545800472e-06,,-28.322567653542432,1.2876648725068662e-07,0.0,,,16,7.7454842539737e-09,,,1.2102100299671292e-07,0.0,,
0.075,8722.538202885427,2564.872798158342,17,,-31.4222933488511,,,1440000,,20761.9318273086,0.075,5.648825645446777,,,,,0.0,,166775.3564202095,8722.538202885427,,17,166775.3564202095,20761.9318273086,,200,200,2564.872798158342,3.979408575105481e-06,,-31.4222933488511,-3.6651081813943165e-07,0.0,,,17,5.644466227749945e-09,,,-3.721552843671816e-07,0.0,,
0.135,14011.355186885556,3824.3723848235536,18,,-32.128584994558615,,,1520000,,22748.9243471038,0.135,5.643318176269531,,,,,0.0,,116563.76022929023,14011.355186885556,,18,116563.76022929023,22748.9243471038,,200,200,3824.3723848235536,2.5736013412824832e-05,,-32.128584994558615,-4.83223902847385e-06,0.0,,,18,3.641071089077741e-08,,,-4.868649739364628e-06,0.0,,
0.065,6811.645145306639,1954.1222753189008,19,,-26.904924117786383,,,1600000,,14025.08359911391,0.065,5.6485748291015625,,,,,0.0,,127770.72958697012,6811.645145306639,,19,127770.72958697012,14025.08359911391,,200,200,1954.1222753189008,0.0011175964027643204,,-26.904924117786383,6.249982106965035e-06,0.0,,,19,1.758214693836635e-06,,,4.4917674131284e-06,0.0,,
0.09,8540.17524005054,2429.6754979035995,20,14426.55087137288,-83.01345013822505,-20.813676602540255,0.0,1680000,50,14619.873153425453,0.09,5.650162220001221,0.0,14426.55087137288,55949.18991119988,9223.195865466765,0.0,9223.195865466765,102518.35396433518,8540.17524005054,55949.18991119988,20,102518.35396433518,14619.873153425453,2,200,200,2429.6754979035995,0.00020591801148839295,9223.195865466765,-83.01345013822505,1.05791775695252e-06,0.0,0.16,50,20,2.944252628367394e-07,9223.195865466765,0.16,7.634924941157806e-07,0.0,2,-20.813676602540255
0.12,10043.073320241454,2852.087760170597,21,,-42.330027065272276,,,1760000,,17553.721418705998,0.12,5.648888111114502,,,,,0.0,,154920.9645803053,10043.073320241454,,21,154920.9645803053,17553.721418705998,,200,200,2852.087760170597,1.6197907825699076e-05,,-42.330027065272276,-2.917754954978591e-06,0.0,,,21,2.2895392248756252e-08,,,-2.940650347227347e-06,0.0,,
0.045,7549.500603507548,2211.02841219734,22,,-48.582011037584195,,,1840000,,14233.46010473164,0.045,5.641668319702148,,,,,0.0,,132657.59166140895,7549.500603507548,,22,132657.59166140895,14233.46010473164,,200,200,2211.02841219734,4.674406591220759e-05,,-48.582011037584195,-5.936287834629184e-06,0.0,,,22,6.633581506321207e-08,,,-6.002623649692396e-06,0.0,,
0.095,13198.805791085755,3750.852126241894,23,,-29.934526936433887,,,1920000,,21553.550837385745,0.095,5.6422247886657715,,,,,0.0,,124720.50974731761,13198.805791085755,,23,124720.50974731761,21553.550837385745,,200,200,3750.852126241894,3.5523778933566064e-05,,-29.934526936433887,1.4471130498350249e-06,0.0,,,23,5.021979632147122e-08,,,1.3968932535135536e-06,0.0,,
0.07,6546.33255936061,2019.3329795181808,24,,-27.853409283170166,,,2000000,,11681.68446063183,0.07,5.642881870269775,,,,,0.0,,105985.95164908342,6546.33255936061,,24,105985.95164908342,11681.68446063183,,200,200,2019.3329795181808,5.454339407151565e-05,,-27.853409283170166,4.540823397292115e-07,0.0,,,24,7.73580950408359e-08,,,3.767242446883756e-07,0.0,,
0.07,11309.726370962215,3259.2121411295625,25,,-68.31048391715372,,,2080000,,19153.459883615287,0.07,5.6425347328186035,,,,,0.0,,151019.74634197587,11309.726370962215,,25,151019.74634197587,19153.459883615287,,200,200,3259.2121411295625,2.9859633286832832e-05,,-68.31048391715372,-1.1410443221393507e-06,0.0,,,25,4.225114480504999e-08,,,-1.1832954669444007e-06,0.0,,
0.115,11352.583968092049,3150.044871228695,26,,-24.83210979454749,,,2160000,,18973.007473484584,0.115,5.64217472076416,,,,,0.0,,103610.02877462347,11352.583968092049,,26,103610.02877462347,18973.007473484584,,200,200,3150.044871228695,1.5889185306150466e-05,,-24.83210979454749,-7.963817552081309e-07,0.0,,,26,2.242256869067205e-08,,,-8.18804323898803e-07,0.0,,
0.105,9028.298188758497,2635.5952087928836,27,,-35.69659233231739,,,2240000,,15484.013680502587,0.105,5.641019344329834,,,,,0.0,,96461.76684814195,9028.298188758497,,27,96461.76684814195,15484.013680502587,,200,200,2635.5952087928836,1.0278743502567522e-05,,-35.69659233231739,-2.4312944333360065e-06,0.0,,,27,1.4506213119602762e-08,,,-2.4458006464556092e-06,0.0,,
