MetaTest/basketball-v1/Iteration,MetaTest/basketball-v1/AverageReturn,MetaTest/Average/StdReturn,TotalEnvSteps,MetaTest/basketball-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/basketball-v1/AverageDiscountedReturn,MetaTest/basketball-v1/MaxReturn,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTest/basketball-v1/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/basketball-v1/MinReturn,MetaTest/Average/TerminationRate,MetaTest/basketball-v1/StdReturn,MetaTest/Average/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/Average/NumTrajs,MetaTest/basketball-v1/NumTrajs
0,-23.616492422993247,3.774674264768122,224000,0.0,-23.61649242299324,-23.61649242299324,-17.16192381368798,0,-29.83546719997183,0.0,-23.616492422993247,-29.83546719997183,0.0,3.774674264768122,0.0,-17.16192381368798,10,10
1,-24.303509638781023,2.107328713754312,248000,0.0,-24.303509638781016,-24.303509638781016,-20.22674340363435,1,-26.629165807945885,0.0,-24.303509638781023,-26.629165807945885,0.0,2.107328713754312,0.0,-20.22674340363435,10,10
2,-26.82503114200345,1.7350606607051808,272000,0.0,-26.82503114200345,-26.82503114200345,-22.336967973272564,2,-29.304692706287888,0.0,-26.82503114200345,-29.304692706287888,0.0,1.7350606607051808,0.0,-22.336967973272564,10,10
3,-26.564968278134177,2.5873539751801418,296000,0.0,-26.564968278134188,-26.564968278134188,-19.876494122332584,3,-29.79009332743126,0.0,-26.564968278134177,-29.79009332743126,0.0,2.5873539751801418,0.0,-19.876494122332584,10,10
4,-26.481424749438396,2.079011197744919,320000,0.0,-26.481424749438396,-26.481424749438396,-21.754250093175695,4,-28.780097787900004,0.0,-26.481424749438396,-28.780097787900004,0.0,2.079011197744919,0.0,-21.754250093175695,10,10
5,-27.78538541115343,2.0002496379792056,344000,0.0,-27.785385411153435,-27.785385411153435,-22.454740915510193,5,-29.549317250714857,0.0,-27.78538541115343,-29.549317250714857,0.0,2.0002496379792056,0.0,-22.454740915510193,10,10
6,-25.10405028508756,4.7284734600828715,368000,0.0,-25.10405028508756,-25.10405028508756,-16.46408055651195,6,-31.12848074330618,0.0,-25.10405028508756,-31.12848074330618,0.0,4.7284734600828715,0.0,-16.46408055651195,10,10
7,-22.24622313172302,5.731018952919416,392000,0.0,-22.24622313172302,-22.24622313172302,-16.361957319593436,7,-30.283242529509,0.0,-22.24622313172302,-30.283242529509,0.0,5.731018952919416,0.0,-16.361957319593436,10,10
8,-20.62263401082382,4.90033162557536,416000,0.0,-20.622634010823813,-20.622634010823813,-15.80629843915405,8,-31.712284059052738,0.0,-20.62263401082382,-31.712284059052738,0.0,4.90033162557536,0.0,-15.80629843915405,10,10
9,-20.85204333552566,3.1374275913911696,440000,0.0,-20.852043335525657,-20.852043335525657,-17.389074674329922,9,-28.744436157664953,0.0,-20.85204333552566,-28.744436157664953,0.0,3.1374275913911696,0.0,-17.389074674329922,10,10
10,-18.6334351407516,1.8772159156487878,464000,0.0,-18.6334351407516,-18.6334351407516,-16.075635888282722,10,-22.41831694214306,0.0,-18.6334351407516,-22.41831694214306,0.0,1.8772159156487878,0.0,-16.075635888282722,10,10
11,-21.3665606067815,4.872156285895013,488000,0.0,-21.3665606067815,-21.3665606067815,-15.27059062070461,11,-31.23645426855867,0.0,-21.3665606067815,-31.23645426855867,0.0,4.872156285895013,0.0,-15.27059062070461,10,10
12,-22.985431770869514,5.240870857594844,512000,0.0,-22.985431770869514,-22.985431770869514,-17.469327305064258,12,-30.88067472844316,0.0,-22.985431770869514,-30.88067472844316,0.0,5.240870857594844,0.0,-17.469327305064258,10,10
13,-21.734498247422,2.67695824536169,536000,0.0,-21.73449824742199,-21.73449824742199,-18.73073138444978,13,-26.613043459411934,0.0,-21.734498247422,-26.613043459411934,0.0,2.67695824536169,0.0,-18.73073138444978,10,10
14,-21.127531433453488,4.077294833545831,560000,0.0,-21.12753143345349,-21.12753143345349,-16.88017336689905,14,-30.649449553824994,0.0,-21.127531433453488,-30.649449553824994,0.0,4.077294833545831,0.0,-16.88017336689905,10,10
15,-20.514693719301107,1.3980879740294065,584000,0.0,-20.514693719301107,-20.514693719301107,-19.098855972119935,15,-23.927211359396786,0.0,-20.514693719301107,-23.927211359396786,0.0,1.3980879740294065,0.0,-19.098855972119935,10,10
