MetaTest/button-press-topdown-v1/TerminationRate,TotalEnvSteps,MetaTest/button-press-topdown-v1/AverageDiscountedReturn,MetaTest/button-press-topdown-v1/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTest/Average/SuccessRate,MetaTest/Average/TerminationRate,MetaTest/button-press-topdown-v1/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/button-press-topdown-v1/Iteration,MetaTest/Average/NumTrajs,MetaTest/Average/Iteration,MetaTest/button-press-topdown-v1/SuccessRate,MetaTest/Average/StdReturn,MetaTest/button-press-topdown-v1/MinReturn,MetaTest/button-press-topdown-v1/AverageReturn,MetaTest/button-press-topdown-v1/StdReturn
0.0,224000,-82.69346670681861,10,-82.69346670681861,-67.17003070998138,-100.82035356568481,0.0,0.0,-67.17003070998138,-82.69346670681861,0,10,0,0.0,10.782258203490635,-100.82035356568481,-82.69346670681861,10.782258203490635
0.0,248000,-107.56398478207689,10,-107.56398478207689,-86.37199262764598,-123.80671211959013,0.0,0.0,-86.37199262764598,-107.56398478207686,1,10,1,0.0,9.69950549157332,-123.80671211959013,-107.56398478207686,9.69950549157332
0.0,272000,-73.16129574392622,10,-73.16129574392622,-38.48480333710131,-97.6682229875873,0.0,0.0,-38.48480333710131,-73.16129574392625,2,10,2,0.0,21.607002968402316,-97.6682229875873,-73.16129574392625,21.607002968402316
0.0,296000,-84.46248263929611,10,-84.46248263929611,-71.05348736015071,-94.58805222182123,0.0,0.0,-71.05348736015071,-84.46248263929613,3,10,3,0.0,8.149464056372404,-94.58805222182123,-84.46248263929613,8.149464056372404
0.0,320000,-34.11870002453403,10,-34.11870002453403,-25.665411139155708,-54.33163000220136,0.0,0.0,-25.665411139155708,-34.11870002453403,4,10,4,0.0,9.520111424368089,-54.33163000220136,-34.11870002453403,9.520111424368089
0.0,344000,-51.726120591776045,10,-51.726120591776045,-41.69050602428363,-66.8635243107018,0.0,0.0,-41.69050602428363,-51.726120591776045,5,10,5,0.0,7.803387781527993,-66.8635243107018,-51.726120591776045,7.803387781527993
0.0,368000,-34.84899424055679,10,-34.84899424055679,-32.711669965903816,-42.93749353155141,0.0,0.0,-32.711669965903816,-34.84899424055679,6,10,6,0.0,3.0520378677686297,-42.93749353155141,-34.84899424055679,3.0520378677686297
0.0,392000,-40.07400753854913,10,-40.07400753854913,-35.80215491686647,-45.16539285287296,0.0,0.0,-35.80215491686647,-40.07400753854913,7,10,7,0.0,2.741524614663766,-45.16539285287296,-40.07400753854913,2.741524614663766
0.0,416000,-29.701789852144543,10,-29.701789852144543,-22.737023973323257,-44.924795131342144,0.0,0.0,-22.737023973323257,-29.701789852144536,8,10,8,0.0,6.15014614815526,-44.924795131342144,-29.701789852144536,6.15014614815526
0.0,440000,-43.46805903413997,10,-43.46805903413997,-34.497502480567945,-53.67109066662019,0.0,0.0,-34.497502480567945,-43.46805903413997,9,10,9,0.0,5.783200430138248,-53.67109066662019,-43.46805903413997,5.783200430138248
0.0,464000,7267.671719519893,10,7267.671719519893,73213.14763040576,-102.9862922033061,0.1,0.0,73213.14763040576,7267.671719519896,10,10,10,0.1,21981.849938179792,-102.9862922033061,7267.671719519896,21981.849938179792
0.0,488000,2067.402936251013,10,2067.402936251013,21108.18161482154,-101.22606362475493,0.0,0.0,21108.18161482154,2067.4029362510137,11,10,11,0.0,6346.967237985445,-101.22606362475493,2067.4029362510137,6346.967237985445
0.0,512000,-88.53245023125037,10,-88.53245023125037,-76.73948508244688,-103.38972516945178,0.0,0.0,-76.73948508244688,-88.53245023125038,12,10,12,0.0,9.695419986218154,-103.38972516945178,-88.53245023125038,9.695419986218154
0.0,536000,-83.83473114965764,10,-83.83473114965764,-66.06662353312696,-97.58013985201869,0.0,0.0,-66.06662353312696,-83.83473114965763,13,10,13,0.0,11.490707073432059,-97.58013985201869,-83.83473114965763,11.490707073432059
0.0,560000,-85.9072169477599,10,-85.9072169477599,-65.37779691041644,-101.0054312482666,0.0,0.0,-65.37779691041644,-85.9072169477599,14,10,14,0.0,11.449638130992087,-101.0054312482666,-85.9072169477599,11.449638130992087
0.0,584000,-79.47278431312274,10,-79.47278431312274,-71.4998649165287,-88.72136798581036,0.0,0.0,-71.4998649165287,-79.47278431312276,15,10,15,0.0,5.74768479466739,-88.72136798581036,-79.47278431312276,5.74768479466739
0.0,608000,-84.74056049839842,10,-84.74056049839842,-70.75950410992914,-98.78335044912939,0.0,0.0,-70.75950410992914,-84.74056049839841,16,10,16,0.0,9.258220993390985,-98.78335044912939,-84.74056049839841,9.258220993390985
0.0,632000,-86.12268226483361,10,-86.12268226483361,-72.52643589247585,-99.9127139037449,0.0,0.0,-72.52643589247585,-86.12268226483364,17,10,17,0.0,9.491667957524061,-99.9127139037449,-86.12268226483364,9.491667957524061
0.0,656000,-82.04289121457711,10,-82.04289121457711,-66.25144919333381,-101.13194858111228,0.0,0.0,-66.25144919333381,-82.04289121457711,18,10,18,0.0,11.151275992966582,-101.13194858111228,-82.04289121457711,11.151275992966582
0.0,680000,-83.6991654226181,10,-83.6991654226181,-67.74457054023901,-101.54905689033764,0.0,0.0,-67.74457054023901,-83.69916542261808,19,10,19,0.0,9.41161281271116,-101.54905689033764,-83.69916542261808,9.41161281271116
0.0,704000,-37.52442911635138,10,-37.52442911635138,-28.269409318535626,-43.436081455439016,0.0,0.0,-28.269409318535626,-37.52442911635137,20,10,20,0.0,4.597849029843623,-43.436081455439016,-37.52442911635137,4.597849029843623
0.0,728000,-57.67078090395294,10,-57.67078090395294,-52.552876224699226,-63.3221928209206,0.0,0.0,-52.552876224699226,-57.67078090395294,21,10,21,0.0,3.507492131535226,-63.3221928209206,-57.67078090395294,3.507492131535226
0.0,752000,-36.206977942105205,10,-36.206977942105205,-28.43528471601686,-44.38457029568787,0.0,0.0,-28.43528471601686,-36.2069779421052,22,10,22,0.0,5.520736295605094,-44.38457029568787,-36.2069779421052,5.520736295605094
0.0,776000,13333.618430194369,10,13333.618430194369,73097.19805285736,-40.631926257480174,0.2,0.0,73097.19805285736,13333.618430194372,23,10,23,0.2,22183.871235143997,-40.631926257480174,13333.618430194372,22183.871235143997
0.0,800000,-44.72035836060321,10,-44.72035836060321,-31.039392071637586,-56.60491008170516,0.0,0.0,-31.039392071637586,-44.7203583606032,24,10,24,0.0,7.930615750539168,-56.60491008170516,-44.7203583606032,7.930615750539168
0.0,824000,-42.745201156906575,10,-42.745201156906575,-36.441919100593154,-49.32331064968169,0.0,0.0,-36.441919100593154,-42.745201156906575,25,10,25,0.0,3.4614057208227624,-49.32331064968169,-42.745201156906575,3.4614057208227624
0.0,848000,15163.410391126887,10,15163.410391126887,131132.00613410125,-41.783667856042946,0.1,0.0,131132.00613410125,15163.410391126896,26,10,26,0.1,38873.97937674234,-41.783667856042946,15163.410391126896,38873.97937674234
0.0,872000,-40.494315199030396,10,-40.494315199030396,-31.28647939997754,-45.517815880415604,0.1,0.0,-31.28647939997754,-40.494315199030396,27,10,27,0.1,4.140587256088576,-45.517815880415604,-40.494315199030396,4.140587256088576
0.0,896000,25990.23538099213,10,25990.23538099213,245502.89757225558,-54.356901101767214,0.2,0.0,245502.89757225558,25990.23538099214,28,10,28,0.2,73303.37907570974,-54.356901101767214,25990.23538099214,73303.37907570974
0.0,920000,-56.95320150780667,10,-56.95320150780667,-30.635054607156853,-152.157249760041,0.0,0.0,-30.635054607156853,-56.95320150780667,29,10,29,0.0,34.24041903981791,-152.157249760041,-56.95320150780667,34.24041903981791
0.0,944000,-62.91377170703246,10,-62.91377170703246,-18.863655939963863,-78.02117649427672,0.0,0.0,-18.863655939963863,-62.91377170703244,30,10,30,0.0,15.732325462275645,-78.02117649427672,-62.91377170703244,15.732325462275645
0.0,968000,998.2419112846313,10,998.2419112846313,8062.297000920775,-151.67039852159846,0.1,0.0,8062.297000920775,998.2419112846316,31,10,31,0.1,2489.6329846947747,-151.67039852159846,998.2419112846316,2489.6329846947747
0.0,992000,-53.241895274106675,10,-53.241895274106675,-32.08666175942533,-129.33761560213662,0.0,0.0,-32.08666175942533,-53.241895274106696,32,10,32,0.0,32.160296060153605,-129.33761560213662,-53.241895274106696,32.160296060153605
0.0,1016000,475.3591302878597,10,475.3591302878597,5247.847428269307,-134.48817791893921,0.0,0.0,5247.847428269307,475.3591302878599,33,10,33,0.0,1591.2624578395407,-134.48817791893921,475.3591302878599,1591.2624578395407
0.0,1040000,1552.1261820930156,10,1552.1261820930156,10619.529663057558,-148.3561666013139,0.2,0.0,10619.529663057558,1552.1261820930158,34,10,34,0.2,3445.688587281311,-148.3561666013139,1552.1261820930158,3445.688587281311
0.0,1064000,73506.6424184144,10,73506.6424184144,313658.87985691277,-110.70565941970193,0.6,0.0,313658.87985691277,73506.64241841443,35,10,35,0.6,100475.37840345854,-110.70565941970193,73506.64241841443,100475.37840345854
0.0,1088000,69914.20762586061,10,69914.20762586061,303529.4071872238,-23.252793993084158,0.7,0.0,303529.4071872238,69914.20762586061,36,10,36,0.7,111048.20451360656,-23.252793993084158,69914.20762586061,111048.20451360656
0.0,1112000,73950.36905809751,10,73950.36905809751,258160.31817464056,-21.374291498596598,0.7,0.0,258160.31817464056,73950.3690580975,37,10,37,0.7,104957.5757771418,-21.374291498596598,73950.3690580975,104957.5757771418
