TotalEnvSteps,MetaTest/button-press-topdown-wall-v1/AverageDiscountedReturn,MetaTest/button-press-topdown-wall-v1/Iteration,MetaTest/Average/Iteration,MetaTest/Average/StdReturn,MetaTest/Average/SuccessRate,MetaTest/button-press-topdown-wall-v1/NumTrajs,MetaTest/button-press-topdown-wall-v1/StdReturn,MetaTest/Average/NumTrajs,MetaTest/Average/MinReturn,MetaTest/button-press-topdown-wall-v1/TerminationRate,MetaTest/button-press-topdown-wall-v1/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/button-press-topdown-wall-v1/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/button-press-topdown-wall-v1/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/button-press-topdown-wall-v1/AverageReturn
224000,-49.400043698968965,0,0,6.985362458583133,0.0,10,6.985362458583133,10,-60.105064879536734,0.0,0.0,-39.64883023657957,-60.105064879536734,0.0,-49.40004369896895,-39.64883023657957,-49.400043698968965,-49.40004369896895
248000,-39.65596989313878,1,1,5.709313134455351,0.0,10,5.709313134455351,10,-48.622355207837074,0.0,0.0,-30.395726399266703,-48.622355207837074,0.0,-39.65596989313877,-30.395726399266703,-39.65596989313878,-39.65596989313877
272000,-68.9425115347777,2,2,3.9490696175963653,0.0,10,3.9490696175963653,10,-75.28312398993998,0.0,0.0,-63.26530498234441,-75.28312398993998,0.0,-68.9425115347777,-63.26530498234441,-68.9425115347777,-68.9425115347777
296000,-55.86454805626513,3,3,1.303056207412178,0.0,10,1.303056207412178,10,-57.96636667086066,0.0,0.0,-53.328605798100455,-57.96636667086066,0.0,-55.86454805626512,-53.328605798100455,-55.86454805626513,-55.86454805626512
320000,-76.09468835897273,4,4,18.31221980626461,0.0,10,18.31221980626461,10,-116.78658828990844,0.0,0.0,-57.07011285143265,-116.78658828990844,0.0,-76.09468835897272,-57.07011285143265,-76.09468835897273,-76.09468835897272
344000,-70.06677873165161,5,5,12.283128356284221,0.0,10,12.283128356284221,10,-99.56584704305031,0.0,0.0,-55.555916599409514,-99.56584704305031,0.0,-70.06677873165164,-55.555916599409514,-70.06677873165161,-70.06677873165164
368000,-37.73555148475227,6,6,3.298072787813627,0.0,10,3.298072787813627,10,-41.24224030407288,0.0,0.0,-32.10100982816329,-41.24224030407288,0.0,-37.735551484752264,-32.10100982816329,-37.73555148475227,-37.735551484752264
392000,6135.181206049506,7,7,18663.452240375176,0.0,10,18663.452240375176,10,-138.34651614920273,0.0,0.0,62125.47318552021,-138.34651614920273,0.0,6135.181206049503,62125.47318552021,6135.181206049506,6135.181206049503
416000,713.5032450765946,8,8,1579.7282689471035,0.0,10,1579.7282689471035,10,-105.11900419097589,0.0,0.0,5146.053588307994,-105.11900419097589,0.0,713.5032450765941,5146.053588307994,713.5032450765946,713.5032450765941
440000,21341.057348674534,9,9,64099.385446774344,0.1,10,64099.385446774344,10,-42.73145944351544,0.0,0.1,213639.21283428135,-42.73145944351544,0.0,21341.057348674527,213639.21283428135,21341.057348674534,21341.057348674527
464000,-38.54156612085419,10,10,2.8168509264623456,0.0,10,2.8168509264623456,10,-42.28147061331549,0.0,0.0,-32.90991693176193,-42.28147061331549,0.0,-38.541566120854185,-32.90991693176193,-38.54156612085419,-38.541566120854185
488000,460.6166204634831,11,11,1309.480592981967,0.0,10,1309.480592981967,10,-119.45429079282584,0.0,0.0,4315.567016918203,-119.45429079282584,0.0,460.6166204634836,4315.567016918203,460.6166204634831,460.6166204634836
512000,-70.99364629637824,12,12,16.040573406808193,0.0,10,16.040573406808193,10,-93.18804858143754,0.0,0.0,-44.48576466877122,-93.18804858143754,0.0,-70.99364629637824,-44.48576466877122,-70.99364629637824,-70.99364629637824
536000,-48.967658524511194,13,13,4.653153267845159,0.0,10,4.653153267845159,10,-57.39205816852391,0.0,0.0,-43.22730939782728,-57.39205816852391,0.0,-48.96765852451118,-43.22730939782728,-48.967658524511194,-48.96765852451118
560000,-60.36956777677567,14,14,7.902982098990116,0.0,10,7.902982098990116,10,-69.51489841934206,0.0,0.0,-42.84254579907801,-69.51489841934206,0.0,-60.36956777677567,-42.84254579907801,-60.36956777677567,-60.36956777677567
584000,-28.009320818197136,15,15,1.5289622848671665,0.0,10,1.5289622848671665,10,-30.86136353448076,0.0,0.0,-25.819029265914626,-30.86136353448076,0.0,-28.009320818197125,-25.819029265914626,-28.009320818197136,-28.009320818197125
608000,-113.45556293704803,16,16,25.927172237049277,0.0,10,25.927172237049277,10,-149.67299001484247,0.0,0.0,-65.22476191826487,-149.67299001484247,0.0,-113.45556293704806,-65.22476191826487,-113.45556293704803,-113.45556293704806
