MetaTest/button-press-topdown-wall-v1/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/button-press-topdown-wall-v1/TerminationRate,MetaTest/button-press-topdown-wall-v1/AverageReturn,MetaTest/button-press-topdown-wall-v1/SuccessRate,MetaTest/Average/NumTrajs,MetaTest/button-press-topdown-wall-v1/MaxReturn,MetaTest/button-press-topdown-wall-v1/MinReturn,MetaTest/Average/Iteration,MetaTest/Average/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/Average/StdReturn,MetaTest/button-press-topdown-wall-v1/NumTrajs,MetaTest/button-press-topdown-wall-v1/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/button-press-topdown-wall-v1/StdReturn,MetaTest/Average/AverageReturn
0,-92.29955579124292,0.0,224000,0.0,-92.29955579124291,0.0,10,-85.67881368717968,-100.39111931950129,0,0.0,-85.67881368717968,4.7331830907519,10,-92.29955579124292,-100.39111931950129,4.7331830907519,-92.29955579124291
1,-91.39479174942467,0.0,248000,0.0,-91.39479174942464,0.0,10,-85.43227810402274,-99.28123616689811,1,0.0,-85.43227810402274,3.6790675049052686,10,-91.39479174942467,-99.28123616689811,3.6790675049052686,-91.39479174942464
2,-71.73634596455017,0.0,272000,0.0,-71.73634596455018,0.0,10,-55.09421708126721,-90.16866601437057,2,0.0,-55.09421708126721,15.418576403843494,10,-71.73634596455017,-90.16866601437057,15.418576403843494,-71.73634596455018
3,20287.78200029597,0.0,296000,0.0,20287.782000295963,0.1,10,115777.04068117302,-87.52794087456563,3,0.1,115777.04068117302,41189.917503907076,10,20287.78200029597,-87.52794087456563,41189.917503907076,20287.782000295963
4,-41.9065198267402,0.0,320000,0.0,-41.906519826740194,0.0,10,-29.89152104896409,-64.37144137359495,4,0.0,-29.89152104896409,9.061945376532028,10,-41.9065198267402,-64.37144137359495,9.061945376532028,-41.906519826740194
5,12426.536242441984,0.0,344000,0.0,12426.536242441978,0.1,10,90373.81919484386,-115.52614450770996,5,0.1,90373.81919484386,27946.100260200088,10,12426.536242441984,-115.52614450770996,27946.100260200088,12426.536242441978
6,-84.96150610178415,0.0,368000,0.0,-84.96150610178418,0.0,10,-78.73705137446393,-92.24877198754744,6,0.0,-78.73705137446393,3.739313885807675,10,-84.96150610178415,-92.24877198754744,3.739313885807675,-84.96150610178418
7,8945.604318502514,0.0,392000,0.0,8945.604318502508,0.1,10,90439.71226421552,-151.75631939448544,7,0.1,90439.71226421552,27164.72816081214,10,8945.604318502514,-151.75631939448544,27164.72816081214,8945.604318502508
8,-59.43825118014796,0.0,416000,0.0,-59.43825118014795,0.0,10,-47.33016918109991,-129.1409169879697,8,0.0,-47.33016918109991,23.40051327625995,10,-59.43825118014796,-129.1409169879697,23.40051327625995,-59.43825118014795
9,18659.372236537536,0.0,440000,0.0,18659.372236537543,0.1,10,81015.47358731639,-99.1305276310866,9,0.1,81015.47358731639,27408.111188743427,10,18659.372236537536,-99.1305276310866,27408.111188743427,18659.372236537543
