MetaTest/button-press-v1/SuccessRate,MetaTest/button-press-v1/AverageDiscountedReturn,MetaTest/button-press-v1/MinReturn,MetaTest/button-press-v1/TerminationRate,MetaTest/Average/NumTrajs,MetaTest/Average/AverageReturn,MetaTest/button-press-v1/Iteration,MetaTest/Average/StdReturn,MetaTest/Average/MinReturn,MetaTest/button-press-v1/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/Average/SuccessRate,TotalEnvSteps,MetaTest/button-press-v1/NumTrajs,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/button-press-v1/StdReturn,MetaTest/button-press-v1/AverageReturn,MetaTest/Average/AverageDiscountedReturn
0.2,34465.155649584995,-106.55619845022666,0.0,10,34465.155649585,0,81947.95486284954,-106.55619845022666,273506.07370443316,273506.07370443316,0.2,224000,10,0,0.0,81947.95486284954,34465.155649585,34465.155649584995
0.0,727.7819949613688,-63.01692735266241,0.0,10,727.7819949613688,1,1661.7070857593558,-63.01692735266241,5151.543275552355,5151.543275552355,0.0,248000,10,1,0.0,1661.7070857593558,727.7819949613688,727.7819949613688
0.2,28657.03950117727,-57.42406227781976,0.0,10,28657.03950117727,2,57336.795839472965,-57.42406227781976,184912.78973075122,184912.78973075122,0.2,272000,10,2,0.0,57336.795839472965,28657.03950117727,28657.03950117727
0.3,81430.65495061813,-50.519615175571836,0.0,10,81430.65495061819,3,126799.3837259217,-50.519615175571836,371027.2604586049,371027.2604586049,0.3,296000,10,3,0.0,126799.3837259217,81430.65495061819,81430.65495061813
0.1,32140.429988841155,-103.83038197163431,0.0,10,32140.429988841166,4,62484.26203994116,-103.83038197163431,166905.1812624321,166905.1812624321,0.1,320000,10,4,0.0,62484.26203994116,32140.429988841166,32140.429988841155
0.2,26786.75113915875,-109.97228138167365,0.0,10,26786.751139158754,5,53556.98667936884,-109.97228138167365,170160.37765076454,170160.37765076454,0.2,344000,10,5,0.0,53556.98667936884,26786.751139158754,26786.75113915875
0.4,110350.23982988988,-101.9406418417377,0.0,10,110350.23982988992,6,164313.4047569609,-101.9406418417377,369623.96302787785,369623.96302787785,0.4,368000,10,6,0.0,164313.4047569609,110350.23982988992,110350.23982988988
0.2,37879.027902485235,-102.79807540276292,0.0,10,37879.02790248526,7,109843.27792473687,-102.79807540276292,367384.0164725684,367384.0164725684,0.2,392000,10,7,0.0,109843.27792473687,37879.02790248526,37879.027902485235
0.2,16388.709216510477,-106.52091025040446,0.0,10,16388.709216510484,8,30461.86859113963,-106.52091025040446,94711.3969095961,94711.3969095961,0.2,416000,10,8,0.0,30461.86859113963,16388.709216510484,16388.709216510477
0.0,3469.5697283664754,-108.24144931380408,0.0,10,3469.5697283664767,9,3135.167985642949,-108.24144931380408,8877.032813547781,8877.032813547781,0.0,440000,10,9,0.0,3135.167985642949,3469.5697283664767,3469.5697283664754
0.2,39235.570621529165,-104.01299750534857,0.0,10,39235.57062152917,10,85063.92469195511,-104.01299750534857,276442.8603293942,276442.8603293942,0.2,464000,10,10,0.0,85063.92469195511,39235.57062152917,39235.570621529165
0.2,45834.69543799146,-109.16476171039903,0.0,10,45834.69543799145,11,100502.202941536,-109.16476171039903,326630.86842524493,326630.86842524493,0.2,488000,10,11,0.0,100502.202941536,45834.69543799145,45834.69543799146
0.3,35793.88114710139,-109.81755109942858,0.0,10,35793.88114710139,12,79770.11679666785,-109.81755109942858,269463.2047132183,269463.2047132183,0.3,512000,10,12,0.0,79770.11679666785,35793.88114710139,35793.88114710139
0.1,36536.48208668159,-108.20018554287212,0.0,10,36536.48208668161,13,109909.1424855805,-108.20018554287212,366263.908784189,366263.908784189,0.1,536000,10,13,0.0,109909.1424855805,36536.48208668161,36536.48208668159
