MetaTest/dissassemble-v1/SuccessRate,MetaTest/dissassemble-v1/StdReturn,MetaTest/dissassemble-v1/AverageReturn,MetaTest/Average/StdReturn,MetaTest/dissassemble-v1/TerminationRate,MetaTest/Average/NumTrajs,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/SuccessRate,MetaTest/dissassemble-v1/AverageDiscountedReturn,MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTest/Average/MaxReturn,MetaTest/dissassemble-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/dissassemble-v1/Iteration,MetaTest/dissassemble-v1/NumTrajs,MetaTest/dissassemble-v1/MaxReturn
0.0,6.081032406456627,-37.956506766370346,6.081032406456627,0.0,10,0,-49.10685271857057,0.0,0.0,-37.95650676637034,-37.956506766370346,224000,-31.404892779446115,-49.10685271857057,-37.95650676637034,0,10,-31.404892779446115
0.0,3.3444402236650843,-29.6987765685507,3.3444402236650843,0.0,10,1,-35.376249282550475,0.0,0.0,-29.698776568550706,-29.6987765685507,248000,-24.20941705776453,-35.376249282550475,-29.698776568550706,1,10,-24.20941705776453
0.0,1.5119580685834706,-28.769205306914763,1.5119580685834706,0.0,10,2,-30.515994434988713,0.0,0.0,-28.769205306914756,-28.769205306914763,272000,-26.259427312460204,-30.515994434988713,-28.769205306914756,2,10,-26.259427312460204
0.0,3.4046885889971694,-25.610357685403255,3.4046885889971694,0.0,10,3,-29.299466628497225,0.0,0.0,-25.610357685403255,-25.610357685403255,296000,-18.39639585546377,-29.299466628497225,-25.610357685403255,3,10,-18.39639585546377
0.0,2.781430472476119,-26.393101201436252,2.781430472476119,0.0,10,4,-29.514347063904584,0.0,0.0,-26.393101201436252,-26.393101201436252,320000,-20.91672321638646,-29.514347063904584,-26.393101201436252,4,10,-20.91672321638646
0.0,2.7090412735433484,-28.142561144215506,2.7090412735433484,0.0,10,5,-31.347466203015884,0.0,0.0,-28.142561144215506,-28.142561144215506,344000,-23.10723264423891,-31.347466203015884,-28.142561144215506,5,10,-23.10723264423891
0.0,1.6547369133696337,-26.821385940547298,1.6547369133696337,0.0,10,6,-28.961069467716772,0.0,0.0,-26.821385940547295,-26.821385940547298,368000,-23.04298468032356,-28.961069467716772,-26.821385940547295,6,10,-23.04298468032356
0.0,2.7655417162474474,-25.423864651628655,2.7655417162474474,0.0,10,7,-28.88344019353407,0.0,0.0,-25.423864651628655,-25.423864651628655,392000,-20.053133013678625,-28.88344019353407,-25.423864651628655,7,10,-20.053133013678625
0.0,2.7995965833049734,-24.295281472839267,2.7995965833049734,0.0,10,8,-27.59683680234065,0.0,0.0,-24.29528147283927,-24.295281472839267,416000,-19.085532495144893,-27.59683680234065,-24.29528147283927,8,10,-19.085532495144893
0.0,2.5394101980461325,-25.725728868780333,2.5394101980461325,0.0,10,9,-30.52301713565624,0.0,0.0,-25.725728868780333,-25.725728868780333,440000,-22.545179086674995,-30.52301713565624,-25.725728868780333,9,10,-22.545179086674995
0.0,3.0245467334481804,-23.33345822467502,3.0245467334481804,0.0,10,10,-27.736608611708743,0.0,0.0,-23.33345822467502,-23.33345822467502,464000,-17.07186389986195,-27.736608611708743,-23.33345822467502,10,10,-17.07186389986195
0.0,2.192264278962109,-22.90867709015844,2.192264278962109,0.0,10,11,-25.725700636421855,0.0,0.0,-22.90867709015845,-22.90867709015844,488000,-19.743956272333207,-25.725700636421855,-22.90867709015845,11,10,-19.743956272333207
0.0,2.6595697038638435,-23.20713376586268,2.6595697038638435,0.0,10,12,-26.693845336766618,0.0,0.0,-23.207133765862675,-23.20713376586268,512000,-17.80468354476682,-26.693845336766618,-23.207133765862675,12,10,-17.80468354476682
0.0,2.304848795209637,-23.926840606361903,2.304848795209637,0.0,10,13,-27.01935512233566,0.0,0.0,-23.9268406063619,-23.926840606361903,536000,-19.973176681122133,-27.01935512233566,-23.9268406063619,13,10,-19.973176681122133
0.0,3.714669530416398,-22.966468292169044,3.714669530416398,0.0,10,14,-28.88672022804717,0.0,0.0,-22.966468292169036,-22.966468292169044,560000,-18.48097006302165,-28.88672022804717,-22.966468292169036,14,10,-18.48097006302165
0.0,3.873712955516416,-26.775214101214555,3.873712955516416,0.0,10,15,-31.171631840388883,0.0,0.0,-26.775214101214562,-26.775214101214555,584000,-18.87006381265178,-31.171631840388883,-26.775214101214562,15,10,-18.87006381265178
0.0,3.8182949617855177,-23.25390416109203,3.8182949617855177,0.0,10,16,-32.280463679342716,0.0,0.0,-23.25390416109203,-23.25390416109203,608000,-18.748744978409153,-32.280463679342716,-23.25390416109203,16,10,-18.748744978409153
0.0,3.3424433997369736,-25.49505605382274,3.3424433997369736,0.0,10,17,-31.834291794232797,0.0,0.0,-25.495056053822736,-25.49505605382274,632000,-21.79451958586459,-31.834291794232797,-25.495056053822736,17,10,-21.79451958586459
0.0,4.7425138763845185,-23.437588477615595,4.7425138763845185,0.0,10,18,-32.02920313598382,0.0,0.0,-23.437588477615595,-23.437588477615595,656000,-17.259673782953826,-32.02920313598382,-23.437588477615595,18,10,-17.259673782953826
