TotalEnvSteps,MetaTest/Average/MaxReturn,MetaTest/dissassemble-v1/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/dissassemble-v1/MinReturn,MetaTest/dissassemble-v1/StdReturn,MetaTest/dissassemble-v1/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/Average/Iteration,MetaTest/dissassemble-v1/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/NumTrajs,MetaTest/dissassemble-v1/Iteration,MetaTest/dissassemble-v1/TerminationRate,MetaTest/Average/StdReturn,MetaTest/dissassemble-v1/SuccessRate,MetaTest/dissassemble-v1/NumTrajs,MetaTest/Average/SuccessRate
224000,-35.53228839202785,-49.57577136000514,-49.57577136000514,-62.16972625069244,8.992661517334591,-49.57577136000514,-49.57577136000514,-62.16972625069244,0,-35.53228839202785,0.0,10,0,0.0,8.992661517334591,0.0,10,0.0
248000,-34.40501610604452,-38.85249704812634,-38.852497048126324,-42.4068929528773,3.011393176442993,-38.852497048126324,-38.85249704812634,-42.4068929528773,1,-34.40501610604452,0.0,10,1,0.0,3.011393176442993,0.0,10,0.0
272000,-27.80829911160713,-32.33923115343387,-32.339231153433865,-36.176823606256576,2.6467191530247143,-32.339231153433865,-32.33923115343387,-36.176823606256576,2,-27.80829911160713,0.0,10,2,0.0,2.6467191530247143,0.0,10,0.0
296000,-27.74259721281061,-31.827705252176298,-31.827705252176287,-35.79676214447693,2.67051915379213,-31.827705252176287,-31.827705252176298,-35.79676214447693,3,-27.74259721281061,0.0,10,3,0.0,2.67051915379213,0.0,10,0.0
320000,-21.681724619406186,-26.143917503972983,-26.143917503972983,-29.70027349948759,2.8514876628631316,-26.143917503972983,-26.143917503972983,-29.70027349948759,4,-21.681724619406186,0.0,10,4,0.0,2.8514876628631316,0.0,10,0.0
344000,-23.198533904057523,-26.15440930546531,-26.15440930546532,-29.689924064498,1.8230509175125915,-26.15440930546532,-26.15440930546531,-29.689924064498,5,-23.198533904057523,0.0,10,5,0.0,1.8230509175125915,0.0,10,0.0
368000,-20.613192751551434,-24.79867540452607,-24.798675404526072,-29.25201896866614,2.5582382537647925,-24.798675404526072,-24.79867540452607,-29.25201896866614,6,-20.613192751551434,0.0,10,6,0.0,2.5582382537647925,0.0,10,0.0
392000,-19.910325488379712,-23.569067350605323,-23.569067350605323,-27.090935208735633,1.755454965890685,-23.569067350605323,-23.569067350605323,-27.090935208735633,7,-19.910325488379712,0.0,10,7,0.0,1.755454965890685,0.0,10,0.0
416000,-20.985151397111252,-26.053567394722034,-26.053567394722034,-30.285478823201014,2.830567745486887,-26.053567394722034,-26.053567394722034,-30.285478823201014,8,-20.985151397111252,0.0,10,8,0.0,2.830567745486887,0.0,10,0.0
440000,-19.191954074572372,-22.32252058333825,-22.322520583338253,-25.95598156184457,1.9003435146285759,-22.322520583338253,-22.32252058333825,-25.95598156184457,9,-19.191954074572372,0.0,10,9,0.0,1.9003435146285759,0.0,10,0.0
464000,-17.142531218731317,-21.218196331332585,-21.21819633133259,-26.495286705276108,3.135588688124163,-21.21819633133259,-21.218196331332585,-26.495286705276108,10,-17.142531218731317,0.0,10,10,0.0,3.135588688124163,0.0,10,0.0
488000,-19.19058620085225,-23.825791288059435,-23.82579128805943,-27.845934873607092,2.8769216676208287,-23.82579128805943,-23.825791288059435,-27.845934873607092,11,-19.19058620085225,0.0,10,11,0.0,2.8769216676208287,0.0,10,0.0
512000,-18.341335220950928,-21.72035407933863,-21.720354079338634,-27.154976128550615,2.9410180164396147,-21.720354079338634,-21.72035407933863,-27.154976128550615,12,-18.341335220950928,0.0,10,12,0.0,2.9410180164396147,0.0,10,0.0
536000,-18.508997330757964,-22.93169825821958,-22.931698258219583,-28.143900707256762,3.7545257897915336,-22.931698258219583,-22.93169825821958,-28.143900707256762,13,-18.508997330757964,0.0,10,13,0.0,3.7545257897915336,0.0,10,0.0
560000,-20.873481319211304,-25.059279167380375,-25.05927916738037,-29.820174690303993,2.9204703391787996,-25.05927916738037,-25.059279167380375,-29.820174690303993,14,-20.873481319211304,0.0,10,14,0.0,2.9204703391787996,0.0,10,0.0
584000,-21.02024496792251,-24.785052537772824,-24.785052537772817,-29.326197313801153,2.2923749797773008,-24.785052537772817,-24.785052537772824,-29.326197313801153,15,-21.02024496792251,0.0,10,15,0.0,2.2923749797773008,0.0,10,0.0
608000,-22.3306687618991,-25.166706509395755,-25.166706509395755,-27.82146259646112,1.4282472809846696,-25.166706509395755,-25.166706509395755,-27.82146259646112,16,-22.3306687618991,0.0,10,16,0.0,1.4282472809846696,0.0,10,0.0
632000,-16.92969488139692,-22.107979140143794,-22.107979140143794,-26.94624548562511,3.2527642798869687,-22.107979140143794,-22.107979140143794,-26.94624548562511,17,-16.92969488139692,0.0,10,17,0.0,3.2527642798869687,0.0,10,0.0
656000,-18.33572255499699,-24.170250097308053,-24.17025009730806,-30.108518880930017,3.5406578048432906,-24.17025009730806,-24.170250097308053,-30.108518880930017,18,-18.33572255499699,0.0,10,18,0.0,3.5406578048432906,0.0,10,0.0
680000,-18.851961351399467,-23.16173317977715,-23.161733179777155,-28.729068717838295,3.2608326429423915,-23.161733179777155,-23.16173317977715,-28.729068717838295,19,-18.851961351399467,0.0,10,19,0.0,3.2608326429423915,0.0,10,0.0
704000,-20.974866439761076,-26.31745825321617,-26.31745825321617,-30.21611576570678,2.6671927888008704,-26.31745825321617,-26.31745825321617,-30.21611576570678,20,-20.974866439761076,0.0,10,20,0.0,2.6671927888008704,0.0,10,0.0
