MetaTest/faucet-close-v1/TerminationRate,MetaTest/faucet-close-v1/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTest/Average/Iteration,MetaTest/faucet-close-v1/StdReturn,TotalEnvSteps,MetaTest/faucet-close-v1/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/faucet-close-v1/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTest/Average/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTest/faucet-close-v1/Iteration,MetaTest/faucet-close-v1/NumTrajs,MetaTest/Average/StdReturn,MetaTest/faucet-close-v1/MinReturn,MetaTest/faucet-close-v1/AverageReturn
0.0,3984.3458553143887,0.0,0,4244.537098330045,224000,10730.71679955985,3984.34585531439,0.0,0.0,10730.71679955985,-24.235541485002674,10,3984.3458553143887,0,10,4244.537098330045,-24.235541485002674,3984.34585531439
0.0,-46.05654203465586,0.0,1,2.3632238329167086,248000,-42.042261051546426,-46.05654203465586,0.0,0.0,-42.042261051546426,-49.21002326687711,10,-46.05654203465586,1,10,2.3632238329167086,-49.21002326687711,-46.05654203465586
0.0,19.542998227362535,0.0,2,82.2252598298623,272000,189.34432055023512,19.542998227362506,0.0,0.0,189.34432055023512,-31.30370382045515,10,19.542998227362535,2,10,82.2252598298623,-31.30370382045515,19.542998227362506
0.0,3606.3559252008404,0.0,3,5091.401113505971,296000,17883.001026424714,3606.3559252008404,0.0,0.0,17883.001026424714,-59.24446477726937,10,3606.3559252008404,3,10,5091.401113505971,-59.24446477726937,3606.3559252008404
0.0,-53.38169599201444,0.0,4,4.521778905756213,320000,-45.761784666986586,-53.38169599201443,0.0,0.0,-45.761784666986586,-60.997922315403585,10,-53.38169599201444,4,10,4.521778905756213,-60.997922315403585,-53.38169599201443
0.0,278.9898437754433,0.0,5,482.3449909248653,344000,1363.5478146293806,278.98984377544343,0.0,0.0,1363.5478146293806,-23.88561327722535,10,278.9898437754433,5,10,482.3449909248653,-23.88561327722535,278.98984377544343
0.0,4166.214153435011,0.0,6,6208.962685336758,368000,20243.268506119308,4166.214153435012,0.0,0.0,20243.268506119308,-59.5843331270214,10,4166.214153435011,6,10,6208.962685336758,-59.5843331270214,4166.214153435012
0.0,8653.737934234941,0.0,7,10148.561144432308,392000,27112.87958091693,8653.737934234941,0.0,0.0,27112.87958091693,-49.545318290000154,10,8653.737934234941,7,10,10148.561144432308,-49.545318290000154,8653.737934234941
0.0,6651.693964902271,0.0,8,9320.815466462833,416000,23363.903956895556,6651.693964902273,0.0,0.0,23363.903956895556,-99.255575180619,10,6651.693964902271,8,10,9320.815466462833,-99.255575180619,6651.693964902273
0.0,5609.108210546843,0.0,9,4770.736443580485,440000,16706.76114734123,5609.108210546843,0.0,0.0,16706.76114734123,-28.549164068245446,10,5609.108210546843,9,10,4770.736443580485,-28.549164068245446,5609.108210546843
0.0,-50.43122037185187,0.0,10,7.411022489365772,464000,-40.24060391313899,-50.431220371851865,0.0,0.0,-40.24060391313899,-61.39273563710414,10,-50.43122037185187,10,10,7.411022489365772,-61.39273563710414,-50.431220371851865
0.0,26.631926549803364,0.0,11,147.38123026201407,488000,411.6058399375643,26.63192654980337,0.0,0.0,411.6058399375643,-53.93563171641539,10,26.631926549803364,11,10,147.38123026201407,-53.93563171641539,26.63192654980337
0.0,1634.3721035529218,0.0,12,3292.9897538751125,512000,10419.749066559361,1634.3721035529213,0.0,0.0,10419.749066559361,-100.75806445977221,10,1634.3721035529218,12,10,3292.9897538751125,-100.75806445977221,1634.3721035529213
0.0,193.7647594149629,0.0,13,368.6365807020738,536000,925.8939770965355,193.76475941496284,0.0,0.0,925.8939770965355,-45.32341530904941,10,193.7647594149629,13,10,368.6365807020738,-45.32341530904941,193.76475941496284
0.0,8847.296819535553,0.0,14,11229.217343946799,560000,26891.36993946908,8847.296819535553,0.0,0.0,26891.36993946908,-35.652033662966744,10,8847.296819535553,14,10,11229.217343946799,-35.652033662966744,8847.296819535553
0.0,15561.016881802516,0.1,15,17770.807841862952,584000,52254.19289501837,15561.016881802518,0.0,0.1,52254.19289501837,281.26577811155994,10,15561.016881802516,15,10,17770.807841862952,281.26577811155994,15561.016881802518
0.0,7421.277152398802,0.0,16,4696.7004710902975,608000,15786.719684721375,7421.277152398799,0.0,0.0,15786.719684721375,-44.944222441329615,10,7421.277152398802,16,10,4696.7004710902975,-44.944222441329615,7421.277152398799
0.0,5267.075982435959,0.0,17,3967.1148684540703,632000,12752.900826317184,5267.0759824359575,0.0,0.0,12752.900826317184,-15.484000836005851,10,5267.075982435959,17,10,3967.1148684540703,-15.484000836005851,5267.0759824359575
0.0,11320.107273440675,0.0,18,3852.565782440345,656000,16876.831773788606,11320.107273440677,0.0,0.0,16876.831773788606,5428.797330340923,10,11320.107273440675,18,10,3852.565782440345,5428.797330340923,11320.107273440677
0.0,8742.336972981338,0.0,19,5266.536215706411,680000,16387.3736692524,8742.33697298134,0.0,0.0,16387.3736692524,-13.78708778590137,10,8742.336972981338,19,10,5266.536215706411,-13.78708778590137,8742.33697298134
0.0,9935.784523009914,0.0,20,6826.346593482354,704000,20169.867620099736,9935.784523009916,0.0,0.0,20169.867620099736,1050.249084240036,10,9935.784523009914,20,10,6826.346593482354,1050.249084240036,9935.784523009916
0.0,18017.615088488645,0.0,21,3791.6704253733074,728000,25089.357623783893,18017.615088488645,0.0,0.0,25089.357623783893,9802.697390277006,10,18017.615088488645,21,10,3791.6704253733074,9802.697390277006,18017.615088488645
0.0,12510.829187451509,0.0,22,6705.030116511714,752000,20820.884104794815,12510.82918745151,0.0,0.0,20820.884104794815,3210.102836779777,10,12510.829187451509,22,10,6705.030116511714,3210.102836779777,12510.82918745151
0.0,17935.139521057346,0.1,23,10877.495600421295,776000,44009.368201219084,17935.13952105735,0.0,0.1,44009.368201219084,5178.832109378249,10,17935.139521057346,23,10,10877.495600421295,5178.832109378249,17935.13952105735
0.0,15742.171379145464,0.0,24,4663.893700655337,800000,23991.66593646892,15742.171379145462,0.0,0.0,23991.66593646892,6540.461717701189,10,15742.171379145464,24,10,4663.893700655337,6540.461717701189,15742.171379145462
0.0,12858.863113078574,0.0,25,8645.426354198347,824000,29245.437243497814,12858.863113078578,0.0,0.0,29245.437243497814,-15.929887129269101,10,12858.863113078574,25,10,8645.426354198347,-15.929887129269101,12858.863113078578
0.0,15209.432046409542,0.0,26,4366.1086298694845,848000,21321.83911438238,15209.432046409536,0.0,0.0,21321.83911438238,7067.21194452502,10,15209.432046409542,26,10,4366.1086298694845,7067.21194452502,15209.432046409536
0.0,13629.396378168827,0.0,27,6826.592441557937,872000,21387.745494233972,13629.396378168825,0.0,0.0,21387.745494233972,945.8474957859187,10,13629.396378168827,27,10,6826.592441557937,945.8474957859187,13629.396378168825
0.0,12958.77672265165,0.0,28,5756.513270245931,896000,18833.020630024173,12958.776722651648,0.0,0.0,18833.020630024173,623.6982195857664,10,12958.77672265165,28,10,5756.513270245931,623.6982195857664,12958.776722651648
0.0,16103.592196910817,0.0,29,4927.971254507675,920000,24806.77129054009,16103.592196910817,0.0,0.0,24806.77129054009,8132.634751455009,10,16103.592196910817,29,10,4927.971254507675,8132.634751455009,16103.592196910817
0.0,11307.24597904339,0.0,30,10055.856517442575,944000,33340.79678222446,11307.245979043391,0.0,0.0,33340.79678222446,-35.725213974897414,10,11307.24597904339,30,10,10055.856517442575,-35.725213974897414,11307.245979043391
0.0,22468.279168421406,0.1,31,10567.346809680195,968000,52072.537542036036,22468.27916842141,0.0,0.1,52072.537542036036,13344.811217570712,10,22468.279168421406,31,10,10567.346809680195,13344.811217570712,22468.27916842141
0.0,17095.27539721381,0.1,32,7781.1025047320045,992000,28033.613679509624,17095.27539721381,0.0,0.1,28033.613679509624,5445.055049105973,10,17095.27539721381,32,10,7781.1025047320045,5445.055049105973,17095.27539721381
0.0,15028.758796129081,0.0,33,7201.6705468634855,1016000,27672.1264958159,15028.758796129085,0.0,0.0,27672.1264958159,4440.162744493399,10,15028.758796129081,33,10,7201.6705468634855,4440.162744493399,15028.758796129085
0.0,18508.404848893384,0.0,34,13297.180254105293,1040000,53751.720325776085,18508.40484889338,0.0,0.0,53751.720325776085,-55.316906754319156,10,18508.404848893384,34,10,13297.180254105293,-55.316906754319156,18508.40484889338
0.0,21345.571450853662,0.2,35,14912.940994430677,1064000,60790.3671834462,21345.57145085367,0.0,0.2,60790.3671834462,2440.241907643572,10,21345.571450853662,35,10,14912.940994430677,2440.241907643572,21345.57145085367
0.0,19008.10617123775,0.1,36,10626.154764314624,1088000,44630.84370285883,19008.10617123775,0.0,0.1,44630.84370285883,3074.7034455580956,10,19008.10617123775,36,10,10626.154764314624,3074.7034455580956,19008.10617123775
0.0,8733.035027904798,0.0,37,7965.068703267472,1112000,20247.064122743544,8733.035027904803,0.0,0.0,20247.064122743544,-61.451396934680766,10,8733.035027904798,37,10,7965.068703267472,-61.451396934680766,8733.035027904803
0.0,18962.381009862875,0.1,38,12208.26121769328,1136000,50178.29826403404,18962.381009862882,0.0,0.1,50178.29826403404,-63.463431500108086,10,18962.381009862875,38,10,12208.26121769328,-63.463431500108086,18962.381009862882
0.0,22464.18665109686,0.1,39,25974.62354054272,1160000,94099.14479537845,22464.18665109686,0.0,0.1,94099.14479537845,-59.75831548631356,10,22464.18665109686,39,10,25974.62354054272,-59.75831548631356,22464.18665109686
0.0,40585.910538017044,0.2,40,41017.686755297625,1184000,137784.36839059714,40585.91053801702,0.0,0.2,137784.36839059714,17008.57121499927,10,40585.910538017044,40,10,41017.686755297625,17008.57121499927,40585.91053801702
0.0,25239.276955105477,0.2,41,24928.517110365337,1208000,98473.47106047199,25239.276955105473,0.0,0.2,98473.47106047199,5318.841565654356,10,25239.276955105477,41,10,24928.517110365337,5318.841565654356,25239.276955105473
0.0,19682.141919352507,0.1,42,28308.9183517933,1232000,100639.2031998639,19682.14191935251,0.0,0.1,100639.2031998639,-58.740277041337364,10,19682.141919352507,42,10,28308.9183517933,-58.740277041337364,19682.14191935251
0.0,9049.88228772047,0.1,43,16583.955568107183,1256000,54209.569627643854,9049.88228772047,0.0,0.1,54209.569627643854,-55.65978313946932,10,9049.88228772047,43,10,16583.955568107183,-55.65978313946932,9049.88228772047
0.0,10191.235173648336,0.0,44,7859.774560992686,1280000,19327.358115786443,10191.235173648334,0.0,0.0,19327.358115786443,-57.04768667717449,10,10191.235173648336,44,10,7859.774560992686,-57.04768667717449,10191.235173648334
0.0,26366.586771881754,0.2,45,37886.01324464484,1304000,136708.9713938934,26366.58677188176,0.0,0.2,136708.9713938934,-61.0484622283564,10,26366.586771881754,45,10,37886.01324464484,-61.0484622283564,26366.58677188176
0.0,3358.4094780527835,0.0,46,5175.813721631844,1328000,16819.857226864257,3358.409478052784,0.0,0.0,16819.857226864257,-60.94111787682766,10,3358.4094780527835,46,10,5175.813721631844,-60.94111787682766,3358.409478052784
0.0,10890.844314010987,0.0,47,6483.593131319069,1352000,17769.75573551856,10890.844314010987,0.0,0.0,17769.75573551856,-57.91835786695712,10,10890.844314010987,47,10,6483.593131319069,-57.91835786695712,10890.844314010987
0.0,30428.59921134271,0.3,48,34924.28529326365,1376000,134060.61089289974,30428.5992113427,0.0,0.3,134060.61089289974,9708.82704612971,10,30428.59921134271,48,10,34924.28529326365,9708.82704612971,30428.5992113427
0.0,19468.995405518588,0.2,49,12553.683076243107,1400000,51788.184278463996,19468.99540551859,0.0,0.2,51788.184278463996,-54.37186843828637,10,19468.995405518588,49,10,12553.683076243107,-54.37186843828637,19468.99540551859
0.0,12917.88950731316,0.2,50,15256.266534356075,1424000,44541.93655480653,12917.88950731316,0.0,0.2,44541.93655480653,-53.026965862549694,10,12917.88950731316,50,10,15256.266534356075,-53.026965862549694,12917.88950731316
