MetaTest/faucet-open-v1/SuccessRate,MetaTest/faucet-open-v1/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/faucet-open-v1/AverageReturn,MetaTest/faucet-open-v1/MaxReturn,TotalEnvSteps,MetaTest/faucet-open-v1/NumTrajs,MetaTest/faucet-open-v1/Iteration,MetaTest/Average/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/faucet-open-v1/MinReturn,MetaTest/Average/NumTrajs,MetaTest/faucet-open-v1/StdReturn,MetaTest/Average/StdReturn,MetaTest/Average/AverageReturn,MetaTest/faucet-open-v1/AverageDiscountedReturn,MetaTest/Average/Iteration
0.0,0.0,-25.799661684089642,-35.425239552517525,0.0,-30.206710675587495,-25.799661684089642,224000,10,0,0.0,-30.206710675587498,-35.425239552517525,10,3.6590444418575525,3.6590444418575525,-30.206710675587495,-30.206710675587498,0
0.0,0.0,-46.00182366806406,-49.94987534885077,0.0,-47.60998619715916,-46.00182366806406,248000,10,1,0.0,-47.60998619715916,-49.94987534885077,10,1.3991362040371178,1.3991362040371178,-47.60998619715916,-47.60998619715916,1
0.8,0.0,-17.659014663335185,-30.31718013137009,0.0,-21.77878682404514,-17.659014663335185,272000,10,2,0.8,-21.77878682404514,-30.31718013137009,10,4.137707507553634,4.137707507553634,-21.77878682404514,-21.77878682404514,2
0.1,0.0,17056.87547079248,-21.9620081214415,0.0,3789.5804037707385,17056.87547079248,296000,10,3,0.1,3789.5804037707376,-21.9620081214415,10,6529.90976966991,6529.90976966991,3789.5804037707385,3789.5804037707376,3
0.0,0.0,906.9310137447826,-54.50651805511236,0.0,279.9183065664062,906.9310137447826,320000,10,4,0.0,279.91830656640633,-54.50651805511236,10,412.30776849284666,412.30776849284666,279.9183065664062,279.91830656640633,4
0.0,0.0,492.30949606655514,-50.599857834851754,0.0,44.87718439216329,492.30949606655514,344000,10,5,0.0,44.87718439216333,-50.599857834851754,10,178.19499278226266,178.19499278226266,44.87718439216329,44.87718439216333,5
0.0,0.0,4871.780197193366,-38.40908621342159,0.0,1324.6660380353321,4871.780197193366,368000,10,6,0.0,1324.6660380353321,-38.40908621342159,10,1532.2495035865493,1532.2495035865493,1324.6660380353321,1324.6660380353321,6
0.0,0.0,13631.381850533771,-63.71555981909643,0.0,2462.672634503497,13631.381850533771,392000,10,7,0.0,2462.6726345034967,-63.71555981909643,10,4032.046204781933,4032.046204781933,2462.672634503497,2462.6726345034967,7
0.0,0.0,11924.196799290441,-62.619511231253824,0.0,2520.689012764874,11924.196799290441,416000,10,8,0.0,2520.6890127648735,-62.619511231253824,10,3568.714291503399,3568.714291503399,2520.689012764874,2520.6890127648735,8
0.2,0.0,125591.39574655337,536.5562687658037,0.0,26862.47341952339,125591.39574655337,440000,10,9,0.2,26862.47341952338,536.5562687658037,10,36286.81366302511,36286.81366302511,26862.47341952339,26862.47341952338,9
0.0,0.0,25738.22215377039,515.3850819053853,0.0,8568.913165789061,25738.22215377039,464000,10,10,0.0,8568.91316578906,515.3850819053853,10,7222.305344245506,7222.305344245506,8568.913165789061,8568.91316578906,10
0.2,0.0,44594.68102304639,-36.290811058625046,0.0,12738.378610591737,44594.68102304639,488000,10,11,0.2,12738.37861059174,-36.290811058625046,10,12914.71495164557,12914.71495164557,12738.378610591737,12738.37861059174,11
0.0,0.0,47480.4008699426,-41.85582667087393,0.0,13507.297222021589,47480.4008699426,512000,10,12,0.0,13507.297222021585,-41.85582667087393,10,13149.341775062925,13149.341775062925,13507.297222021589,13507.297222021585,12
0.0,0.0,-38.78281638200272,-53.71564271472793,0.0,-43.28708642881927,-38.78281638200272,536000,10,13,0.0,-43.287086428819265,-53.71564271472793,10,4.243225207609041,4.243225207609041,-43.28708642881927,-43.287086428819265,13
0.0,0.0,-38.655620916474234,-53.65378969932737,0.0,-43.71385019867721,-38.655620916474234,560000,10,14,0.0,-43.713850198677214,-53.65378969932737,10,4.479226098761504,4.479226098761504,-43.71385019867721,-43.713850198677214,14
0.0,0.0,-40.36105604461161,-54.78969899683663,0.0,-47.732920839040275,-40.36105604461161,584000,10,15,0.0,-47.73292083904026,-54.78969899683663,10,5.110616955075607,5.110616955075607,-47.732920839040275,-47.73292083904026,15
0.0,0.0,-39.00153817638967,-49.33671361347687,0.0,-44.878104849932,-39.00153817638967,608000,10,16,0.0,-44.87810484993201,-49.33671361347687,10,3.282004118757685,3.282004118757685,-44.878104849932,-44.87810484993201,16
0.0,0.0,1336.9667811000943,-54.96496669763412,0.0,237.38863291383964,1336.9667811000943,632000,10,17,0.0,237.38863291383967,-54.96496669763412,10,458.6070577394653,458.6070577394653,237.38863291383964,237.38863291383967,17
0.0,0.0,3686.9361773971095,-79.58201763920873,0.0,943.4861843593638,3686.9361773971095,656000,10,18,0.0,943.4861843593635,-79.58201763920873,10,1533.2316657063213,1533.2316657063213,943.4861843593638,943.4861843593635,18
0.0,0.0,19366.668317468062,-97.32485725111795,0.0,3802.136868991537,19366.668317468062,680000,10,19,0.0,3802.136868991536,-97.32485725111795,10,6023.784705423042,6023.784705423042,3802.136868991537,3802.136868991536,19
