MetaTest/Average/Iteration,MetaTest/hammer-v1/NumTrajs,MetaTest/hammer-v1/StdReturn,TotalEnvSteps,MetaTest/Average/StdReturn,MetaTest/hammer-v1/Iteration,MetaTest/hammer-v1/MinReturn,MetaTest/Average/NumTrajs,MetaTest/Average/MaxReturn,MetaTest/hammer-v1/AverageDiscountedReturn,MetaTest/hammer-v1/TerminationRate,MetaTest/hammer-v1/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/hammer-v1/SuccessRate,MetaTest/Average/MinReturn,MetaTest/hammer-v1/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/SuccessRate
0,10,4.023025554082179,224000,4.023025554082179,0,-31.93608709485531,10,-19.516769998325625,-25.68235998112879,0.0,-25.68235998112879,-25.68235998112879,-25.68235998112879,0.0,-31.93608709485531,-19.516769998325625,0.0,0.0
1,10,4.15661586853759,248000,4.15661586853759,1,-32.12645488992547,10,-16.560281746305687,-22.951673465674,0.0,-22.95167346567399,-22.951673465674,-22.95167346567399,0.0,-32.12645488992547,-16.560281746305687,0.0,0.0
2,10,4.814529344813955,272000,4.814529344813955,2,-27.52087215327948,10,-14.679947391857372,-21.783009864686086,0.0,-21.783009864686086,-21.783009864686086,-21.783009864686086,0.0,-27.52087215327948,-14.679947391857372,0.0,0.0
3,10,5.6713187616559395,296000,5.6713187616559395,3,-29.456027560964845,10,-11.210265108890349,-17.912860059619835,0.0,-17.91286005961983,-17.912860059619835,-17.91286005961983,0.0,-29.456027560964845,-11.210265108890349,0.0,0.0
4,10,5.187703480552386,320000,5.187703480552386,4,-27.87347809515797,10,-8.946754913177184,-18.90196146497565,0.0,-18.901961464975642,-18.90196146497565,-18.901961464975642,0.0,-27.87347809515797,-8.946754913177184,0.0,0.0
5,10,31.5546403454893,344000,31.5546403454893,5,-119.32621996594995,10,-7.275022783519546,-26.152920790011922,0.0,-26.152920790011912,-26.152920790011922,-26.152920790011912,0.0,-119.32621996594995,-7.275022783519546,0.0,0.0
6,10,12.01717095814937,368000,12.01717095814937,6,-50.20278231627002,10,-14.618529072347476,-30.513388850551273,0.0,-30.51338885055127,-30.513388850551273,-30.51338885055127,0.0,-50.20278231627002,-14.618529072347476,0.0,0.0
7,10,6.779421890383231,392000,6.779421890383231,7,-57.287031484262336,10,-32.78885186343378,-50.685722524932984,0.0,-50.68572252493297,-50.685722524932984,-50.68572252493297,0.0,-57.287031484262336,-32.78885186343378,0.0,0.0
8,10,6.488884143903574,416000,6.488884143903574,8,-36.492674536293954,10,-16.319941703154043,-26.101203758556796,0.0,-26.101203758556796,-26.101203758556796,-26.101203758556796,0.0,-36.492674536293954,-16.319941703154043,0.0,0.0
9,10,15.35185695510855,440000,15.35185695510855,9,-77.72854992003982,10,-21.501173580440224,-34.3292510372387,0.0,-34.32925103723869,-34.3292510372387,-34.32925103723869,0.0,-77.72854992003982,-21.501173580440224,0.0,0.0
10,10,672.8279250627161,464000,672.8279250627161,10,-40.22643936917399,10,2214.414754544255,196.01404795192033,0.0,196.01404795192033,196.01404795192033,196.01404795192033,0.0,-40.22643936917399,2214.414754544255,0.0,0.0
11,10,6.548556588710447,488000,6.548556588710447,11,-32.774364008269025,10,-12.978558637493647,-24.027112328209295,0.0,-24.027112328209295,-24.027112328209295,-24.027112328209295,0.0,-32.774364008269025,-12.978558637493647,0.0,0.0
12,10,8.663118991710876,512000,8.663118991710876,12,-133.0469875786184,10,-97.29463369774824,-113.95845845424518,0.0,-113.95845845424518,-113.95845845424518,-113.95845845424518,0.0,-133.0469875786184,-97.29463369774824,0.0,0.0
13,10,6.900372884073161,536000,6.900372884073161,13,-43.26104786355763,10,-22.138746298444783,-31.60593779639516,0.0,-31.60593779639516,-31.60593779639516,-31.60593779639516,0.0,-43.26104786355763,-22.138746298444783,0.0,0.0
14,10,7.274525195245252,560000,7.274525195245252,14,-63.90320754319182,10,-37.03944619794919,-50.167683968808866,0.0,-50.167683968808866,-50.167683968808866,-50.167683968808866,0.0,-63.90320754319182,-37.03944619794919,0.0,0.0
15,10,14.706365286187905,584000,14.706365286187905,15,-89.5321990924699,10,-41.950083314946745,-81.4005042443084,0.0,-81.40050424430842,-81.4005042443084,-81.40050424430842,0.0,-89.5321990924699,-41.950083314946745,0.0,0.0
16,10,13.624692859458523,608000,13.624692859458523,16,-51.905306171204955,10,-6.850290333207014,-27.608908437876277,0.0,-27.608908437876273,-27.608908437876277,-27.608908437876273,0.0,-51.905306171204955,-6.850290333207014,0.0,0.0
17,10,15.154710661516463,632000,15.154710661516463,17,-55.03843900830524,10,-4.106816744467256,-36.77593286354541,0.0,-36.77593286354539,-36.77593286354541,-36.77593286354539,0.0,-55.03843900830524,-4.106816744467256,0.0,0.0
18,10,6.291505477718207,656000,6.291505477718207,18,-65.7462944046631,10,-48.61558152374327,-58.17834687728744,0.0,-58.178346877287446,-58.17834687728744,-58.178346877287446,0.0,-65.7462944046631,-48.61558152374327,0.0,0.0
19,10,7.461996035973126,680000,7.461996035973126,19,-69.71332114421746,10,-45.826910121388195,-53.62809528538669,0.0,-53.62809528538669,-53.62809528538669,-53.62809528538669,0.0,-69.71332114421746,-45.826910121388195,0.0,0.0
20,10,13.250188169702817,704000,13.250188169702817,20,-37.58614868329173,10,11.235323329915042,-11.921153018786642,0.0,-11.921153018786637,-11.921153018786642,-11.921153018786637,0.0,-37.58614868329173,11.235323329915042,0.0,0.0
21,10,12.980809992954264,728000,12.980809992954264,21,-30.741762953778903,10,12.294696630406673,-13.221538679817446,0.0,-13.221538679817447,-13.221538679817446,-13.221538679817447,0.0,-30.741762953778903,12.294696630406673,0.0,0.0
22,10,1377.7667609562352,752000,1377.7667609562352,22,-90.78788655736196,10,3978.146535426075,636.6210569772999,0.0,636.6210569772996,636.6210569772999,636.6210569772996,0.0,-90.78788655736196,3978.146535426075,0.0,0.0
23,10,39.93415309093709,776000,39.93415309093709,23,-107.9818833516015,10,8.054588568747462,-47.53773318826357,0.0,-47.53773318826358,-47.53773318826357,-47.53773318826358,0.0,-107.9818833516015,8.054588568747462,0.0,0.0
24,10,26.261307190404025,800000,26.261307190404025,24,-103.7713033838174,10,-6.941469814543092,-81.4158550119977,0.0,-81.41585501199769,-81.4158550119977,-81.41585501199769,0.0,-103.7713033838174,-6.941469814543092,0.0,0.0
25,10,26.601085458553342,824000,26.601085458553342,25,-103.77385255337781,10,-16.5963063696617,-63.877459439762504,0.0,-63.877459439762504,-63.877459439762504,-63.877459439762504,0.0,-103.77385255337781,-16.5963063696617,0.0,0.0
26,10,25.5346275439968,848000,25.5346275439968,26,-107.41186125631909,10,-24.652951889523155,-52.74068332969341,0.0,-52.7406833296934,-52.74068332969341,-52.7406833296934,0.0,-107.41186125631909,-24.652951889523155,0.0,0.0
27,10,18.400495081889304,872000,18.400495081889304,27,-91.92579039320071,10,-36.10449518734269,-78.66363144764256,0.0,-78.66363144764257,-78.66363144764256,-78.66363144764257,0.0,-91.92579039320071,-36.10449518734269,0.0,0.0
28,10,24.053802192064822,896000,24.053802192064822,28,-98.24041440467114,10,-29.755352045181787,-54.4747991433393,0.0,-54.474799143339304,-54.4747991433393,-54.474799143339304,0.0,-98.24041440467114,-29.755352045181787,0.0,0.0
29,10,33.10499873682704,920000,33.10499873682704,29,-104.6675703917985,10,-11.753421430918882,-69.64497266908498,0.0,-69.64497266908498,-69.64497266908498,-69.64497266908498,0.2,-104.6675703917985,-11.753421430918882,0.0,0.2
30,10,21.403891930250342,944000,21.403891930250342,30,-58.55676315965877,10,6.2915396045348535,-30.104636313693227,0.0,-30.104636313693213,-30.104636313693227,-30.104636313693213,0.0,-58.55676315965877,6.2915396045348535,0.0,0.0
