TotalEnvSteps,MetaTest/hammer-v1/MaxReturn,MetaTest/hammer-v1/NumTrajs,MetaTest/Average/NumTrajs,MetaTest/hammer-v1/TerminationRate,MetaTest/Average/TerminationRate,MetaTest/Average/StdReturn,MetaTest/hammer-v1/StdReturn,MetaTest/hammer-v1/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/Average/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/hammer-v1/MinReturn,MetaTest/hammer-v1/Iteration,MetaTest/hammer-v1/SuccessRate,MetaTest/hammer-v1/AverageDiscountedReturn
224000,-17.57739961482887,10,10,0.0,0.0,2.963292072892305,2.963292072892305,-21.003156656530866,0,-21.00315665653087,-28.204975344547787,-17.57739961482887,-21.003156656530866,0.0,-28.204975344547787,0,0.0,-21.00315665653087
248000,-17.853389586995963,10,10,0.0,0.0,3.001589217332112,3.001589217332112,-21.784399938733895,1,-21.784399938733895,-27.327087027140003,-17.853389586995963,-21.784399938733895,0.0,-27.327087027140003,1,0.0,-21.784399938733895
272000,-18.209482757273957,10,10,0.0,0.0,3.2199777183935243,3.2199777183935243,-22.955612583146916,2,-22.955612583146916,-30.429466292290524,-18.209482757273957,-22.955612583146916,0.0,-30.429466292290524,2,0.0,-22.955612583146916
296000,-7.841527711754808,10,10,0.0,0.0,2.583375746833864,2.583375746833864,-9.295852784741268,3,-9.295852784741266,-16.754464165818437,-7.841527711754808,-9.295852784741268,0.0,-16.754464165818437,3,0.0,-9.295852784741266
320000,-6.252518435421921,10,10,0.0,0.0,0.916402594957548,0.916402594957548,-7.408705020740607,4,-7.408705020740603,-9.11002184321536,-6.252518435421921,-7.408705020740607,0.0,-9.11002184321536,4,0.0,-7.408705020740603
344000,-5.918124575377152,10,10,0.0,0.0,0.7821364372994315,0.7821364372994315,-7.021071402286159,5,-7.021071402286161,-8.283801767284423,-5.918124575377152,-7.021071402286159,0.0,-8.283801767284423,5,0.0,-7.021071402286161
368000,-5.0068901002183575,10,10,0.0,0.0,0.8909896952242581,0.8909896952242581,-6.267648736948338,6,-6.267648736948338,-7.5413926945425676,-5.0068901002183575,-6.267648736948338,0.0,-7.5413926945425676,6,0.0,-6.267648736948338
392000,-9.218006159855332,10,10,0.0,0.0,0.968878908914463,0.968878908914463,-10.530291535461584,7,-10.530291535461583,-11.988393916065807,-9.218006159855332,-10.530291535461584,0.0,-11.988393916065807,7,0.0,-10.530291535461583
416000,-8.24996395143986,10,10,0.0,0.0,1.0306657374019785,1.0306657374019785,-9.954032091300425,8,-9.954032091300423,-11.911422722895422,-8.24996395143986,-9.954032091300425,0.0,-11.911422722895422,8,0.0,-9.954032091300423
440000,-5.637615358758098,10,10,0.0,0.0,1.2415729090087047,1.2415729090087047,-7.576341441804201,9,-7.576341441804201,-9.647246782078046,-5.637615358758098,-7.576341441804201,0.0,-9.647246782078046,9,0.0,-7.576341441804201
