MetaTest/Average/MinReturn,MetaTest/handle-press-v1/AverageDiscountedReturn,MetaTest/handle-press-v1/MinReturn,MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTest/handle-press-v1/StdReturn,MetaTest/Average/StdReturn,MetaTest/handle-press-v1/AverageReturn,MetaTest/Average/Iteration,MetaTest/handle-press-v1/TerminationRate,MetaTest/handle-press-v1/SuccessRate,MetaTest/handle-press-v1/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/Average/NumTrajs,MetaTest/Average/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/handle-press-v1/Iteration,MetaTest/handle-press-v1/NumTrajs
-107.94699601136747,89.36097978786972,-107.94699601136747,89.36097978786977,224000,434.1713852596449,434.1713852596449,89.36097978786977,0,0.0,0.0,1358.6774841876909,0.0,1358.6774841876909,10,0.0,89.36097978786972,0,10
-85.37847995857454,765.5555069060108,-85.37847995857454,765.5555069060108,248000,793.6128692487745,793.6128692487745,765.5555069060108,1,0.0,0.0,2376.9634053135906,0.0,2376.9634053135906,10,0.0,765.5555069060108,1,10
-105.8188909204668,305.9602462449105,-105.8188909204668,305.9602462449106,272000,495.3171013298695,495.3171013298695,305.9602462449106,2,0.0,0.0,1136.1205859433453,0.0,1136.1205859433453,10,0.0,305.9602462449105,2,10
-20.960904486812534,2185.429382680525,-20.960904486812534,2185.4293826805256,296000,2184.823387861875,2184.823387861875,2185.4293826805256,3,0.0,0.0,6315.544721850587,0.0,6315.544721850587,10,0.0,2185.429382680525,3,10
-105.20380780643562,39.44118153024721,-105.20380780643562,39.44118153024726,320000,369.5427030627576,369.5427030627576,39.44118153024726,4,0.0,0.0,1145.407908972721,0.0,1145.407908972721,10,0.0,39.44118153024721,4,10
-111.25448385493895,321.316315203385,-111.25448385493895,321.316315203385,344000,588.2620596575772,588.2620596575772,321.316315203385,5,0.0,0.0,1367.9434053533093,0.0,1367.9434053533093,10,0.0,321.316315203385,5,10
-103.34506571201089,121.2265307838392,-103.34506571201089,121.22653078383925,368000,329.1456697711199,329.1456697711199,121.22653078383925,6,0.0,0.0,876.3605222589225,0.0,876.3605222589225,10,0.0,121.2265307838392,6,10
-111.18375898177432,146.42988525651452,-111.18375898177432,146.42988525651464,392000,485.33304980367853,485.33304980367853,146.42988525651464,7,0.0,0.0,1118.862760608016,0.0,1118.862760608016,10,0.0,146.42988525651452,7,10
-111.1230676086728,300.8886949238996,-111.1230676086728,300.8886949238993,416000,534.067867978738,534.067867978738,300.8886949238993,8,0.0,0.0,1374.4968904066775,0.0,1374.4968904066775,10,0.0,300.8886949238996,8,10
-104.49823223082349,108.20053647316645,-104.49823223082349,108.20053647316635,440000,404.8547006814374,404.8547006814374,108.20053647316635,9,0.0,0.0,1135.3398518970992,0.0,1135.3398518970992,10,0.0,108.20053647316645,9,10
-106.18128732788097,322.87082611384085,-106.18128732788097,322.87082611384074,464000,622.1167454115811,622.1167454115811,322.87082611384074,10,0.0,0.0,1642.7743533254052,0.0,1642.7743533254052,10,0.0,322.87082611384085,10,10
-109.75515540307315,10.02638753415338,-109.75515540307315,10.026387534153352,488000,157.103446996464,157.103446996464,10.026387534153352,11,0.0,0.0,386.8249975804512,0.0,386.8249975804512,10,0.0,10.02638753415338,11,10
-107.89291988148443,520.638978643244,-107.89291988148443,520.638978643244,512000,632.2532428287952,632.2532428287952,520.638978643244,12,0.0,0.0,1620.7567311553894,0.0,1620.7567311553894,10,0.0,520.638978643244,12,10
-108.08153650152379,234.5796836042564,-108.08153650152379,234.5796836042563,536000,539.9322553873297,539.9322553873297,234.5796836042563,13,0.0,0.0,1466.168632427064,0.0,1466.168632427064,10,0.0,234.5796836042564,13,10
-108.24040957432094,67.3453033520948,-108.24040957432094,67.34530335209479,560000,307.56159299365333,307.56159299365333,67.34530335209479,14,0.0,0.0,878.6923339781499,0.0,878.6923339781499,10,0.0,67.3453033520948,14,10
-111.69524575853995,104.62861845707596,-111.69524575853995,104.62861845707576,584000,401.14883446952086,401.14883446952086,104.62861845707576,15,0.0,0.0,1117.0799874398672,0.0,1117.0799874398672,10,0.0,104.62861845707596,15,10
-101.82775360306593,292.8901749535329,-101.82775360306593,292.8901749535328,608000,512.1754189880877,512.1754189880877,292.8901749535328,16,0.0,0.0,1372.1427653645203,0.0,1372.1427653645203,10,0.0,292.8901749535329,16,10
-108.89746464501876,165.51525953380082,-108.89746464501876,165.5152595338009,632000,476.0808709977465,476.0808709977465,165.5152595338009,17,0.0,0.0,1122.1261966589998,0.0,1122.1261966589998,10,0.0,165.51525953380082,17,10
-110.30152306091128,114.05690087977496,-110.30152306091128,114.05690087977504,656000,587.0648270562275,587.0648270562275,114.05690087977504,18,0.0,0.0,1873.3337553329648,0.0,1873.3337553329648,10,0.0,114.05690087977496,18,10
-110.04072033503894,227.82311844812625,-110.04072033503894,227.82311844812625,680000,585.4030812082681,585.4030812082681,227.82311844812625,19,0.0,0.0,1601.8104302051065,0.0,1601.8104302051065,10,0.0,227.82311844812625,19,10
-109.98461242193933,265.40615095269175,-109.98461242193933,265.4061509526914,704000,476.958174911924,476.958174911924,265.4061509526914,20,0.0,0.0,1122.649151289863,0.0,1122.649151289863,10,0.0,265.40615095269175,20,10
-108.86555006522262,342.76375471606514,-108.86555006522262,342.7637547160648,728000,561.2759023914779,561.2759023914779,342.7637547160648,21,0.0,0.0,1368.0485033075515,0.0,1368.0485033075515,10,0.0,342.76375471606514,21,10
-107.21199438114037,2.0170265685017754,-107.21199438114037,2.017026568501687,752000,294.65912027754194,294.65912027754194,2.017026568501687,22,0.0,0.0,885.284866041339,0.0,885.284866041339,10,0.0,2.0170265685017754,22,10
-110.65351271886894,25.057993185158864,-110.65351271886894,25.057993185159056,776000,364.5204651686917,364.5204651686917,25.057993185159056,23,0.0,0.0,1117.2080503066456,0.0,1117.2080503066456,10,0.0,25.057993185158864,23,10
-110.93869593621172,27.696045372548564,-110.93869593621172,27.69604537254864,800000,252.9634273441572,252.9634273441572,27.69604537254864,24,0.0,0.0,640.1006401587117,0.0,640.1006401587117,10,0.0,27.696045372548564,24,10
-101.87733416234038,242.89649058656738,-101.87733416234038,242.89649058656738,824000,495.3785767390952,495.3785767390952,242.89649058656738,25,0.0,0.0,1357.3651071825957,0.0,1357.3651071825957,10,0.0,242.89649058656738,25,10
-111.2509808921896,136.62625336633295,-111.2509808921896,136.626253366333,848000,444.4604109703405,444.4604109703405,136.626253366333,26,0.0,0.0,1136.0984744302377,0.0,1136.0984744302377,10,0.0,136.62625336633295,26,10
-106.7433259871573,57.1619199505878,-106.7433259871573,57.161919950587865,872000,287.3658003371929,287.3658003371929,57.161919950587865,27,0.0,0.0,633.0746666038558,0.0,633.0746666038558,10,0.0,57.1619199505878,27,10
