MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/Average/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTest/handle-press-v1/AverageDiscountedReturn,MetaTest/handle-press-v1/Iteration,MetaTest/Average/SuccessRate,MetaTest/handle-press-v1/AverageReturn,MetaTest/handle-press-v1/TerminationRate,MetaTest/handle-press-v1/StdReturn,MetaTest/handle-press-v1/SuccessRate,MetaTest/Average/StdReturn,MetaTest/handle-press-v1/NumTrajs,MetaTest/handle-press-v1/MinReturn,MetaTest/handle-press-v1/MaxReturn
3387.0117039967604,19152.88559769021,0,-110.34033784393677,0.0,224000,10,3387.01170399676,3387.01170399676,0,0.0,3387.0117039967604,0.0,5690.830869040927,0.0,5690.830869040927,10,-110.34033784393677,19152.88559769021
377.9972030064697,1621.4372681249417,1,-109.97979907972906,0.0,248000,10,377.9972030064697,377.9972030064697,1,0.0,377.9972030064697,0.0,608.2894146300022,0.0,608.2894146300022,10,-109.97979907972906,1621.4372681249417
-94.45041018772514,-26.077877062175407,2,-119.40087578449844,0.0,272000,10,-94.45041018772517,-94.45041018772517,2,0.0,-94.45041018772514,0.0,25.833532279819845,0.0,25.833532279819845,10,-119.40087578449844,-26.077877062175407
14483.698928151667,56385.80015393133,3,-18.85063275686719,0.0,296000,10,14483.698928151673,14483.698928151673,3,0.0,14483.698928151667,0.0,19269.64409086133,0.0,19269.64409086133,10,-18.85063275686719,56385.80015393133
43621.98882208513,72325.22451854612,4,1874.358612135994,0.0,320000,10,43621.98882208513,43621.98882208513,4,0.0,43621.98882208513,0.0,19959.972437199718,0.0,19959.972437199718,10,1874.358612135994,72325.22451854612
46057.40346039535,66774.4096065724,5,19747.031408038823,0.0,344000,10,46057.403460395355,46057.403460395355,5,0.0,46057.40346039535,0.0,15267.24406507777,0.0,15267.24406507777,10,19747.031408038823,66774.4096065724
40929.713945125884,61773.747413515106,6,2882.8617997086285,0.0,368000,10,40929.713945125884,40929.713945125884,6,0.0,40929.713945125884,0.0,19870.378491309497,0.0,19870.378491309497,10,2882.8617997086285,61773.747413515106
34876.90859485151,63496.946819238205,7,1167.7431082424966,0.0,392000,10,34876.90859485151,34876.90859485151,7,0.0,34876.90859485151,0.0,26714.788207616162,0.0,26714.788207616162,10,1167.7431082424966,63496.946819238205
32342.276748700657,52485.50746668528,8,-24.013618665911878,0.0,416000,10,32342.276748700657,32342.276748700657,8,0.0,32342.276748700657,0.0,21216.87472587938,0.0,21216.87472587938,10,-24.013618665911878,52485.50746668528
35873.16834634364,52532.05789209238,9,-13.292884438736014,0.0,440000,10,35873.16834634366,35873.16834634366,9,0.0,35873.16834634364,0.0,20141.0649025465,0.0,20141.0649025465,10,-13.292884438736014,52532.05789209238
520.1902124105633,1382.2984345077418,10,-67.93943967681068,0.0,464000,10,520.1902124105636,520.1902124105636,10,0.0,520.1902124105633,0.0,542.0956066812378,0.0,542.0956066812378,10,-67.93943967681068,1382.2984345077418
11861.690112418388,49187.55949058005,11,-55.11117711810356,0.0,488000,10,11861.69011241839,11861.69011241839,11,0.0,11861.690112418388,0.0,18720.04282026967,0.0,18720.04282026967,10,-55.11117711810356,49187.55949058005
35755.40828739032,56956.25511411301,12,1682.5189580105314,0.0,512000,10,35755.408287390324,35755.408287390324,12,0.0,35755.40828739032,0.0,18424.195751701394,0.0,18424.195751701394,10,1682.5189580105314,56956.25511411301
53301.04341022143,87017.79739312585,13,1214.4852091741159,0.0,536000,10,53301.04341022143,53301.04341022143,13,0.0,53301.04341022143,0.0,20495.101967701372,0.0,20495.101967701372,10,1214.4852091741159,87017.79739312585
536.8422350488885,1364.69179144804,14,-69.85337401873173,0.0,560000,10,536.8422350488886,536.8422350488886,14,0.0,536.8422350488885,0.0,619.2185517632653,0.0,619.2185517632653,10,-69.85337401873173,1364.69179144804
52989.63997184376,71382.5928260766,15,4306.215982831114,0.0,584000,10,52989.63997184378,52989.63997184378,15,0.0,52989.63997184376,0.0,17750.804295903392,0.0,17750.804295903392,10,4306.215982831114,71382.5928260766
26621.9732440258,64280.058972426865,16,-13.699257679995151,0.0,608000,10,26621.9732440258,26621.9732440258,16,0.0,26621.9732440258,0.0,26788.580308993503,0.0,26788.580308993503,10,-13.699257679995151,64280.058972426865
43760.56457430176,73632.25521250577,17,2404.9452927024117,0.0,632000,10,43760.56457430177,43760.56457430177,17,0.0,43760.56457430176,0.0,21655.461090888326,0.0,21655.461090888326,10,2404.9452927024117,73632.25521250577
44576.826438766104,84917.48977117427,18,-13.843386243836388,0.0,656000,10,44576.82643876612,44576.82643876612,18,0.0,44576.826438766104,0.0,25074.044433235955,0.0,25074.044433235955,10,-13.843386243836388,84917.48977117427
39700.731492749896,54800.827279789315,19,-11.097040965389644,0.0,680000,10,39700.73149274991,39700.73149274991,19,0.0,39700.731492749896,0.0,16715.06796572861,0.0,16715.06796572861,10,-11.097040965389644,54800.827279789315
35994.64158425136,64236.83704929253,20,11786.138612395709,0.0,704000,10,35994.64158425136,35994.64158425136,20,0.0,35994.64158425136,0.0,18886.562007173863,0.0,18886.562007173863,10,11786.138612395709,64236.83704929253
44684.78669117751,66346.74149891672,21,1925.6583806569363,0.0,728000,10,44684.78669117753,44684.78669117753,21,0.0,44684.78669117751,0.0,16590.96240367925,0.0,16590.96240367925,10,1925.6583806569363,66346.74149891672
41928.800631873426,84009.84431798385,22,1202.8187345767615,0.0,752000,10,41928.80063187342,41928.80063187342,22,0.0,41928.800631873426,0.0,26514.941827752547,0.0,26514.941827752547,10,1202.8187345767615,84009.84431798385
27791.47743288976,62262.638537176135,23,-66.5150725181163,0.0,776000,10,27791.47743288976,27791.47743288976,23,0.0,27791.47743288976,0.0,23286.152544996345,0.0,23286.152544996345,10,-66.5150725181163,62262.638537176135
53795.74431799065,148770.21291968177,24,-16.698924005269852,0.0,800000,10,53795.744317990655,53795.744317990655,24,0.3,53795.74431799065,0.0,55146.5727059759,0.3,55146.5727059759,10,-16.698924005269852,148770.21291968177
32465.736486799025,132632.8391831804,25,-58.8718077492432,0.0,824000,10,32465.736486799018,32465.736486799018,25,0.1,32465.736486799025,0.0,42521.26624067425,0.1,42521.26624067425,10,-58.8718077492432,132632.8391831804
24911.382115886525,72716.99136915342,26,2174.0893433876795,0.0,848000,10,24911.382115886525,24911.382115886525,26,0.0,24911.382115886525,0.0,22410.879686803084,0.0,22410.879686803084,10,2174.0893433876795,72716.99136915342
13514.712800528447,45812.159174006134,27,-63.282064563409335,0.0,872000,10,13514.712800528441,13514.712800528441,27,0.0,13514.712800528447,0.0,16359.015284148962,0.0,16359.015284148962,10,-63.282064563409335,45812.159174006134
8937.860885249558,34606.08564211558,28,-27.111484284064915,0.0,896000,10,8937.860885249556,8937.860885249556,28,0.0,8937.860885249558,0.0,11028.479301674373,0.0,11028.479301674373,10,-27.111484284064915,34606.08564211558
18605.090770355448,75234.03905982821,29,-36.15449196493964,0.0,920000,10,18605.090770355448,18605.090770355448,29,0.0,18605.090770355448,0.0,26105.89273622783,0.0,26105.89273622783,10,-36.15449196493964,75234.03905982821
48011.64937956658,155028.17836157125,30,-49.98550213792941,0.0,944000,10,48011.64937956661,48011.64937956661,30,0.0,48011.64937956658,0.0,65144.36928590027,0.0,65144.36928590027,10,-49.98550213792941,155028.17836157125
43720.11429119502,137628.75676731215,31,-12.308419098193543,0.0,968000,10,43720.11429119506,43720.11429119506,31,0.3,43720.11429119502,0.0,50023.88441490654,0.3,50023.88441490654,10,-12.308419098193543,137628.75676731215
32573.960284598907,132388.6015354007,32,-53.86700856388221,0.0,992000,10,32573.960284598917,32573.960284598917,32,0.1,32573.960284598907,0.0,48007.70638537642,0.1,48007.70638537642,10,-53.86700856388221,132388.6015354007
69403.87844890995,141328.5055219543,33,1192.8764438181468,0.0,1016000,10,69403.87844890998,69403.87844890998,33,0.0,69403.87844890995,0.0,43631.006638117986,0.0,43631.006638117986,10,1192.8764438181468,141328.5055219543
43130.893959321795,121398.93489323033,34,1439.8149498174255,0.0,1040000,10,43130.893959321795,43130.893959321795,34,0.0,43130.893959321795,0.0,39083.95162572436,0.0,39083.95162572436,10,1439.8149498174255,121398.93489323033
52975.15962243786,143370.6572316846,35,3174.5140037182487,0.0,1064000,10,52975.15962243786,52975.15962243786,35,0.1,52975.15962243786,0.0,43410.26245150287,0.1,43410.26245150287,10,3174.5140037182487,143370.6572316846
122619.48311547205,209656.23217775463,36,15815.416333714713,0.0,1088000,10,122619.48311547205,122619.48311547205,36,0.6,122619.48311547205,0.0,69628.03226010296,0.6,69628.03226010296,10,15815.416333714713,209656.23217775463
106066.0974457822,179384.83315705293,37,29293.11328204961,0.0,1112000,10,106066.09744578223,106066.09744578223,37,0.5,106066.0974457822,0.0,52154.27087638021,0.5,52154.27087638021,10,29293.11328204961,179384.83315705293
58010.806353282394,144628.3839142509,38,-24.080216706241636,0.0,1136000,10,58010.806353282394,58010.806353282394,38,0.3,58010.806353282394,0.0,45870.56270352988,0.3,45870.56270352988,10,-24.080216706241636,144628.3839142509
110096.20579443462,275082.71024191275,39,13470.042319828806,0.0,1160000,10,110096.20579443456,110096.20579443456,39,0.8,110096.20579443462,0.0,68567.1716159309,0.8,68567.1716159309,10,13470.042319828806,275082.71024191275
92941.10834728029,270701.4554855339,40,-15.269544729855056,0.0,1184000,10,92941.10834728027,92941.10834728027,40,0.7,92941.10834728029,0.0,108719.22359865866,0.7,108719.22359865866,10,-15.269544729855056,270701.4554855339
102737.18464639169,185173.2879486281,41,1676.5745152725717,0.0,1208000,10,102737.18464639167,102737.18464639167,41,0.6,102737.18464639169,0.0,59304.308163010974,0.6,59304.308163010974,10,1676.5745152725717,185173.2879486281
106985.3836757299,229368.6752272892,42,2172.7100878422166,0.0,1232000,10,106985.38367572994,106985.38367572994,42,0.6,106985.3836757299,0.0,89015.17879212053,0.6,89015.17879212053,10,2172.7100878422166,229368.6752272892
100146.00842903148,224815.39317918668,43,16592.616269415263,0.0,1256000,10,100146.00842903148,100146.00842903148,43,0.2,100146.00842903148,0.0,61930.17897636393,0.2,61930.17897636393,10,16592.616269415263,224815.39317918668
163049.56460696383,277863.0901124992,44,-17.185193417721198,0.0,1280000,10,163049.56460696377,163049.56460696377,44,0.7,163049.56460696383,0.0,85740.82895166951,0.7,85740.82895166951,10,-17.185193417721198,277863.0901124992
113103.77565423427,270058.722560369,45,2164.380920829816,0.0,1304000,10,113103.77565423427,113103.77565423427,45,0.4,113103.77565423427,0.0,82119.53721804557,0.4,82119.53721804557,10,2164.380920829816,270058.722560369
110101.19282990531,243996.89673974464,46,3856.1319755381433,0.0,1328000,10,110101.19282990531,110101.19282990531,46,0.5,110101.19282990531,0.0,86801.1653826447,0.5,86801.1653826447,10,3856.1319755381433,243996.89673974464
23410.41957471417,83265.41488465111,47,-28.700137977264628,0.0,1352000,10,23410.419574714168,23410.419574714168,47,0.1,23410.41957471417,0.0,30559.704342319026,0.1,30559.704342319026,10,-28.700137977264628,83265.41488465111
27146.451146261523,98661.51066115893,48,-39.17292245597808,0.0,1376000,10,27146.451146261523,27146.451146261523,48,0.0,27146.451146261523,0.0,36103.60473070941,0.0,36103.60473070941,10,-39.17292245597808,98661.51066115893
1263.1568030546346,3124.1207007199755,49,-19.193387186132565,0.0,1400000,10,1263.156803054634,1263.156803054634,49,0.0,1263.1568030546346,0.0,910.658676780586,0.0,910.658676780586,10,-19.193387186132565,3124.1207007199755
23.087547068943973,676.8475856533146,50,-63.15761817809103,0.0,1424000,10,23.087547068943923,23.087547068943923,50,0.0,23.087547068943973,0.0,218.03741880164156,0.0,218.03741880164156,10,-63.15761817809103,676.8475856533146
324.8140501836677,2150.879232125185,51,-56.594165678717324,0.0,1448000,10,324.8140501836678,324.8140501836678,51,0.0,324.8140501836677,0.0,749.492311291406,0.0,749.492311291406,10,-56.594165678717324,2150.879232125185
38957.40828110964,117966.56717979869,52,-69.89184179250624,0.0,1472000,10,38957.40828110963,38957.40828110963,52,0.0,38957.40828110964,0.0,48369.447950400034,0.0,48369.447950400034,10,-69.89184179250624,117966.56717979869
71445.37084729108,223081.98892290966,53,-26.019287934276313,0.0,1496000,10,71445.37084729111,71445.37084729111,53,0.7,71445.37084729108,0.0,69183.8480350141,0.7,69183.8480350141,10,-26.019287934276313,223081.98892290966
135944.5989716581,245850.47830250164,54,-19.62374617459291,0.0,1520000,10,135944.59897165807,135944.59897165807,54,0.8,135944.5989716581,0.0,79005.3238734702,0.8,79005.3238734702,10,-19.62374617459291,245850.47830250164
116000.68272541983,211840.85053992018,55,15050.679566838315,0.0,1544000,10,116000.6827254198,116000.6827254198,55,0.3,116000.68272541983,0.0,67107.17080355242,0.3,67107.17080355242,10,15050.679566838315,211840.85053992018
160396.0148428386,232213.70679044348,56,20173.55650711246,0.0,1568000,10,160396.01484283854,160396.01484283854,56,0.7,160396.0148428386,0.0,74379.89006318059,0.7,74379.89006318059,10,20173.55650711246,232213.70679044348
113399.62323449952,195590.84046158133,57,22909.75682035865,0.0,1592000,10,113399.62323449955,113399.62323449955,57,0.3,113399.62323449952,0.0,45792.01856212878,0.3,45792.01856212878,10,22909.75682035865,195590.84046158133
143422.50129515197,264425.0779466557,58,2403.4304972119985,0.0,1616000,10,143422.50129515195,143422.50129515195,58,0.5,143422.50129515197,0.0,102107.35278629305,0.5,102107.35278629305,10,2403.4304972119985,264425.0779466557
149934.28458997444,268340.17151434085,59,-17.668043713062794,0.0,1640000,10,149934.2845899744,149934.2845899744,59,0.5,149934.28458997444,0.0,100367.6820635559,0.5,100367.6820635559,10,-17.668043713062794,268340.17151434085
96972.23297926773,213156.79419739507,60,4358.101763652082,0.0,1664000,10,96972.23297926775,96972.23297926775,60,0.5,96972.23297926773,0.0,71976.7149106842,0.5,71976.7149106842,10,4358.101763652082,213156.79419739507
143228.44855273564,284293.31060599955,61,10730.471065487915,0.0,1688000,10,143228.44855273567,143228.44855273567,61,0.7,143228.44855273564,0.0,97394.91591617785,0.7,97394.91591617785,10,10730.471065487915,284293.31060599955
1115.2107476341284,10731.734883363202,62,-76.43000457800409,0.0,1712000,10,1115.2107476341278,1115.2107476341278,62,0.0,1115.2107476341284,0.0,3213.237795633472,0.0,3213.237795633472,10,-76.43000457800409,10731.734883363202
140088.4776318719,268844.6563588726,63,1448.0830777253987,0.0,1736000,10,140088.4776318719,140088.4776318719,63,0.5,140088.4776318719,0.0,82804.3101624233,0.5,82804.3101624233,10,1448.0830777253987,268844.6563588726
154868.34091860914,230657.68504137965,64,49747.43398130543,0.0,1760000,10,154868.34091860917,154868.34091860917,64,0.6,154868.34091860914,0.0,60346.20219049063,0.6,60346.20219049063,10,49747.43398130543,230657.68504137965
126588.86468390017,265771.53776783735,65,56291.872392487494,0.0,1784000,10,126588.86468390012,126588.86468390012,65,0.2,126588.86468390017,0.0,69905.05029926855,0.2,69905.05029926855,10,56291.872392487494,265771.53776783735
132007.4382845349,270485.8713187287,66,1431.6041108667603,0.0,1808000,10,132007.43828453496,132007.43828453496,66,0.5,132007.4382845349,0.0,84997.3167519932,0.5,84997.3167519932,10,1431.6041108667603,270485.8713187287
151671.6271308369,258245.77420949566,67,24616.79725614425,0.0,1832000,10,151671.62713083692,151671.62713083692,67,0.6,151671.6271308369,0.0,72974.4591967495,0.6,72974.4591967495,10,24616.79725614425,258245.77420949566
106505.06525640524,223031.44870770827,68,-26.653080598144403,0.0,1856000,10,106505.06525640524,106505.06525640524,68,0.6,106505.06525640524,0.0,82299.6866320968,0.6,82299.6866320968,10,-26.653080598144403,223031.44870770827
72108.49070898231,256912.15303877456,69,-29.02415326770553,0.0,1880000,10,72108.49070898231,72108.49070898231,69,0.4,72108.49070898231,0.0,92807.94637328692,0.4,92807.94637328692,10,-29.02415326770553,256912.15303877456
80104.95050485076,225141.32309127162,70,-83.19211177854982,0.0,1904000,10,80104.9505048508,80104.9505048508,70,0.4,80104.95050485076,0.0,96829.55369085137,0.4,96829.55369085137,10,-83.19211177854982,225141.32309127162
95411.15387210922,255615.2971128245,71,-54.21348715403254,0.0,1928000,10,95411.1538721092,95411.1538721092,71,0.4,95411.15387210922,0.0,114164.89210614534,0.4,114164.89210614534,10,-54.21348715403254,255615.2971128245
157095.4322346438,270911.489401686,72,3564.8394762218554,0.0,1952000,10,157095.4322346438,157095.4322346438,72,0.9,157095.4322346438,0.0,85519.7747094776,0.9,85519.7747094776,10,3564.8394762218554,270911.489401686
143449.6241223729,237894.99255220196,73,3978.0898358421146,0.0,1976000,10,143449.62412237283,143449.62412237283,73,0.7,143449.6241223729,0.0,74858.03777041208,0.7,74858.03777041208,10,3978.0898358421146,237894.99255220196
160863.6864336878,251164.74687465053,74,78613.69065373797,0.0,2000000,10,160863.68643368778,160863.68643368778,74,0.7,160863.6864336878,0.0,57970.264624821866,0.7,57970.264624821866,10,78613.69065373797,251164.74687465053
86130.95376729348,238889.32758543143,75,4493.609851437261,0.0,2024000,10,86130.95376729345,86130.95376729345,75,0.7,86130.95376729348,0.0,92855.98170621572,0.7,92855.98170621572,10,4493.609851437261,238889.32758543143
123512.51176392261,246008.0178164099,76,-21.173013690392544,0.0,2048000,10,123512.5117639226,123512.5117639226,76,0.6,123512.51176392261,0.0,78445.45275625148,0.6,78445.45275625148,10,-21.173013690392544,246008.0178164099
164690.5091825797,248256.02746453197,77,28298.33393968505,0.0,2072000,10,164690.50918257973,164690.50918257973,77,0.9,164690.5091825797,0.0,69511.41124499077,0.9,69511.41124499077,10,28298.33393968505,248256.02746453197
78906.32083040492,237240.53026781522,78,-42.420802889604296,0.0,2096000,10,78906.32083040493,78906.32083040493,78,0.4,78906.32083040492,0.0,92286.20159383501,0.4,92286.20159383501,10,-42.420802889604296,237240.53026781522
167085.48505109185,241331.1534390966,79,-28.20709331822362,0.0,2120000,10,167085.48505109185,167085.48505109185,79,0.8,167085.48505109185,0.0,76415.53785908133,0.8,76415.53785908133,10,-28.20709331822362,241331.1534390966
196341.81547631713,282291.36337005405,80,37514.37906757414,0.0,2144000,10,196341.81547631705,196341.81547631705,80,0.7,196341.81547631713,0.0,88729.48329598729,0.7,88729.48329598729,10,37514.37906757414,282291.36337005405
176485.30827731348,296229.7143995564,81,-44.00024702591675,0.0,2168000,10,176485.30827731348,176485.30827731348,81,0.8,176485.30827731348,0.0,97443.00113780332,0.8,97443.00113780332,10,-44.00024702591675,296229.7143995564
82599.04491981606,223579.98228273253,82,-56.742391258734266,0.0,2192000,10,82599.0449198161,82599.0449198161,82,0.4,82599.04491981606,0.0,83378.91905530936,0.4,83378.91905530936,10,-56.742391258734266,223579.98228273253
76772.14282248744,200234.45658299653,83,-56.758541767236956,0.0,2216000,10,76772.14282248745,76772.14282248745,83,0.4,76772.14282248744,0.0,83155.4421204794,0.4,83155.4421204794,10,-56.758541767236956,200234.45658299653
136403.62636484747,269081.73545432783,84,-51.857564028218064,0.0,2240000,10,136403.6263648474,136403.6263648474,84,0.4,136403.62636484747,0.0,109226.90454793017,0.4,109226.90454793017,10,-51.857564028218064,269081.73545432783
