MetaTest/Average/SuccessRate,MetaTest/handle-pull-side-v1/Iteration,MetaTest/handle-pull-side-v1/NumTrajs,MetaTest/handle-pull-side-v1/StdReturn,MetaTest/Average/MinReturn,MetaTest/handle-pull-side-v1/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/handle-pull-side-v1/MaxReturn,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/NumTrajs,MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTest/handle-pull-side-v1/SuccessRate,MetaTest/handle-pull-side-v1/TerminationRate,MetaTest/handle-pull-side-v1/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/handle-pull-side-v1/AverageReturn
0.0,0,10,5.8301555957554605,-81.76896878324408,-81.76896878324408,0.0,-64.59555214958071,-64.59555214958071,0,-74.26833163702206,10,-74.26833163702204,224000,0.0,0.0,-74.26833163702206,5.8301555957554605,-74.26833163702204
0.0,1,10,983.3249389002598,-136.9477615536821,-136.9477615536821,0.0,2393.1084554188556,2393.1084554188556,1,643.5093930280976,10,643.5093930280982,248000,0.0,0.0,643.5093930280976,983.3249389002598,643.5093930280982
0.0,2,10,382.14114471231176,-133.62548302910608,-133.62548302910608,0.0,935.8678021187937,935.8678021187937,2,129.07331101217787,10,129.07331101217784,272000,0.0,0.0,129.07331101217787,382.14114471231176,129.07331101217784
0.0,3,10,13681.42820799391,-66.2623059707449,-66.2623059707449,0.0,45722.635472920265,45722.635472920265,3,6721.5447289255635,10,6721.5447289255635,296000,0.0,0.0,6721.5447289255635,13681.42820799391,6721.5447289255635
0.0,4,10,2306.8611657927963,-64.01851515831676,-64.01851515831676,0.0,6772.21717041469,6772.21717041469,4,1971.7538375282045,10,1971.7538375282052,320000,0.0,0.0,1971.7538375282045,2306.8611657927963,1971.7538375282052
0.0,5,10,13650.307333817778,-68.3103856753812,-68.3103856753812,0.0,45520.795125794844,45520.795125794844,5,4572.446899925586,10,4572.446899925584,344000,0.0,0.0,4572.446899925586,13650.307333817778,4572.446899925584
0.0,6,10,18137.27499621295,-36.97496325319544,-36.97496325319544,0.0,45048.48732245887,45048.48732245887,6,22479.807439658412,10,22479.80743965841,368000,0.0,0.0,22479.807439658412,18137.27499621295,22479.80743965841
0.0,7,10,16072.534215600444,-47.089674995193626,-47.089674995193626,0.0,46065.5251925372,46065.5251925372,7,15873.936341888813,10,15873.93634188881,392000,0.0,0.0,15873.936341888813,16072.534215600444,15873.93634188881
0.0,8,10,21752.70615482793,-50.924697825720315,-50.924697825720315,0.0,46054.576935612895,46054.576935612895,8,22199.372086369003,10,22199.372086369003,416000,0.0,0.0,22199.372086369003,21752.70615482793,22199.372086369003
0.0,9,10,18066.31063677055,-14.653978344548786,-14.653978344548786,0.0,45977.44259345764,45977.44259345764,9,31619.411103332804,10,31619.41110333281,440000,0.0,0.0,31619.411103332804,18066.31063677055,31619.41110333281
0.0,10,10,17780.37643765001,-43.21869883809335,-43.21869883809335,0.0,45747.18278696251,45747.18278696251,10,11713.822591083324,10,11713.822591083324,464000,0.0,0.0,11713.822591083324,17780.37643765001,11713.822591083324
0.0,11,10,20104.50134851288,-22.379768203948657,-22.379768203948657,0.0,45984.90802215652,45984.90802215652,11,27059.882437480333,10,27059.882437480333,488000,0.0,0.0,27059.882437480333,20104.50134851288,27059.882437480333
0.0,12,10,18799.276512458997,-31.905521366062818,-31.905521366062818,0.0,45789.863916983544,45789.863916983544,12,14300.421922374497,10,14300.421922374502,512000,0.0,0.0,14300.421922374497,18799.276512458997,14300.421922374502
