MetaTest/Average/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/handle-pull-side-v1/MaxReturn,MetaTest/Average/MinReturn,MetaTest/handle-pull-side-v1/NumTrajs,MetaTest/handle-pull-side-v1/AverageDiscountedReturn,TotalEnvSteps,MetaTest/handle-pull-side-v1/Iteration,MetaTest/handle-pull-side-v1/StdReturn,MetaTest/Average/AverageReturn,MetaTest/handle-pull-side-v1/AverageReturn,MetaTest/handle-pull-side-v1/MinReturn,MetaTest/handle-pull-side-v1/TerminationRate,MetaTest/Average/Iteration,MetaTest/Average/SuccessRate,MetaTest/Average/TerminationRate,MetaTest/handle-pull-side-v1/SuccessRate,MetaTest/Average/NumTrajs,MetaTest/Average/MaxReturn
3.8206203023216636,-34.50156597697532,-28.229651469832056,-43.99064878812246,10,-34.50156597697532,224000,0,3.8206203023216636,-34.501565976975314,-34.501565976975314,-43.99064878812246,0.0,0,0.0,0.0,0.0,10,-28.229651469832056
17459.05753063969,18706.608084845902,45489.70650255825,-48.50950330358217,10,18706.608084845902,248000,1,17459.05753063969,18706.60808484591,18706.60808484591,-48.50950330358217,0.0,1,0.0,0.0,0.0,10,45489.70650255825
14438.525101569043,16336.29021823104,39200.44191693553,678.4397007342529,10,16336.29021823104,272000,2,14438.525101569043,16336.290218231046,16336.290218231046,678.4397007342529,0.0,2,0.0,0.0,0.0,10,39200.44191693553
15398.813970013876,10871.984981937323,45723.83715347648,-49.1717448672423,10,10871.984981937323,296000,3,15398.813970013876,10871.984981937328,10871.984981937328,-49.1717448672423,0.0,3,0.0,0.0,0.0,10,45723.83715347648
18864.243714795688,22203.502041255615,45738.040622181026,-40.36182609732377,10,22203.502041255615,320000,4,18864.243714795688,22203.502041255615,22203.502041255615,-40.36182609732377,0.0,4,0.0,0.0,0.0,10,45738.040622181026
2101.1766991826476,1125.764223551504,6287.9168183357515,-157.48922268449255,10,1125.764223551504,344000,5,2101.1766991826476,1125.7642235515043,1125.7642235515043,-157.48922268449255,0.0,5,0.0,0.0,0.0,10,6287.9168183357515
10579.253349690669,4162.980981388562,35764.84963477934,-65.35466469134055,10,4162.980981388562,368000,6,10579.253349690669,4162.980981388562,4162.980981388562,-65.35466469134055,0.0,6,0.0,0.0,0.0,10,35764.84963477934
10829.707607509928,5697.537651021966,37490.33003688352,-65.96823906814836,10,5697.537651021966,392000,7,10829.707607509928,5697.537651021963,5697.537651021963,-65.96823906814836,0.0,7,0.0,0.0,0.0,10,37490.33003688352
14660.787474448089,13302.209446935321,35199.910711085904,-153.94571557619264,10,13302.209446935321,416000,8,14660.787474448089,13302.209446935327,13302.209446935327,-153.94571557619264,0.0,8,0.0,0.0,0.0,10,35199.910711085904
10852.624068384084,4204.784868983271,36509.022219582694,-136.18416433636642,10,4204.784868983271,440000,9,10852.624068384084,4204.784868983267,4204.784868983267,-136.18416433636642,0.0,9,0.0,0.0,0.0,10,36509.022219582694
12928.480421445212,6058.130211316021,43545.50033033257,-64.44652018085647,10,6058.130211316021,464000,10,12928.480421445212,6058.130211316022,6058.130211316022,-64.44652018085647,0.0,10,0.0,0.0,0.0,10,43545.50033033257
