TotalEnvSteps,MetaTest/Average/MaxReturn,MetaTest/lever-pull-v1/StdReturn,MetaTest/Average/StdReturn,MetaTest/lever-pull-v1/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/Average/MinReturn,MetaTest/lever-pull-v1/AverageReturn,MetaTest/lever-pull-v1/MaxReturn,MetaTest/Average/NumTrajs,MetaTest/lever-pull-v1/NumTrajs,MetaTest/Average/TerminationRate,MetaTest/lever-pull-v1/Iteration,MetaTest/lever-pull-v1/SuccessRate,MetaTest/lever-pull-v1/TerminationRate,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/lever-pull-v1/MinReturn
224000,-9.720208454100826,2.798971227273785,2.798971227273785,-15.158892397368103,-15.158892397368097,0.0,-21.10790606687227,-15.158892397368097,-9.720208454100826,10,10,0.0,0,0.0,0.0,0,-15.158892397368103,-21.10790606687227
248000,-11.906160902658987,2.7941491772727765,2.7941491772727765,-15.447248332707346,-15.447248332707352,0.0,-20.73020656118993,-15.447248332707352,-11.906160902658987,10,10,0.0,1,0.0,0.0,1,-15.447248332707346,-20.73020656118993
272000,-7.469709375136922,4.820740912798149,4.820740912798149,-12.893461157022696,-12.893461157022696,0.0,-19.51309467014375,-12.893461157022696,-7.469709375136922,10,10,0.0,2,0.0,0.0,2,-12.893461157022696,-19.51309467014375
296000,-7.867881670099599,4.282501078487488,4.282501078487488,-13.398012343010063,-13.398012343010063,0.0,-21.310179114217373,-13.398012343010063,-7.867881670099599,10,10,0.0,3,0.0,0.0,3,-13.398012343010063,-21.310179114217373
320000,-6.355396755738721,3.797930456746287,3.797930456746287,-14.371369313870966,-14.371369313870966,0.0,-20.03639867704714,-14.371369313870966,-6.355396755738721,10,10,0.0,4,0.0,0.0,4,-14.371369313870966,-20.03639867704714
344000,-7.168933547582198,2.9601438974300547,2.9601438974300547,-10.968643486282897,-10.968643486282897,0.0,-16.655290399574906,-10.968643486282897,-7.168933547582198,10,10,0.0,5,0.0,0.0,5,-10.968643486282897,-16.655290399574906
368000,-6.549246888123322,1.4470912331373154,1.4470912331373154,-8.619588014498962,-8.619588014498964,0.0,-11.223758674394428,-8.619588014498964,-6.549246888123322,10,10,0.0,6,0.0,0.0,6,-8.619588014498962,-11.223758674394428
392000,-6.297211117051686,1.2000666968604354,1.2000666968604354,-8.68253992502646,-8.682539925026457,0.0,-10.60325602395292,-8.682539925026457,-6.297211117051686,10,10,0.0,7,0.0,0.0,7,-8.68253992502646,-10.60325602395292
416000,-7.098858454056496,1.2174347762168019,1.2174347762168019,-8.911874528879698,-8.9118745288797,0.0,-10.728223795261297,-8.9118745288797,-7.098858454056496,10,10,0.0,8,0.0,0.0,8,-8.911874528879698,-10.728223795261297
440000,-4.541699993103222,2.053549124559939,2.053549124559939,-7.933492594729152,-7.933492594729151,0.0,-10.560540827555789,-7.933492594729151,-4.541699993103222,10,10,0.0,9,0.0,0.0,9,-7.933492594729152,-10.560540827555789
464000,-5.458972797199015,2.0604254564800693,2.0604254564800693,-9.259592174944352,-9.259592174944354,0.0,-12.596628938017975,-9.259592174944354,-5.458972797199015,10,10,0.0,10,0.0,0.0,10,-9.259592174944352,-12.596628938017975
488000,-4.308722205658569,2.4181555581997602,2.4181555581997602,-7.243525574800911,-7.24352557480091,0.0,-12.300840809537783,-7.24352557480091,-4.308722205658569,10,10,0.0,11,0.0,0.0,11,-7.243525574800911,-12.300840809537783
512000,-3.6551083970292675,1.750797849612714,1.750797849612714,-6.4423088759653435,-6.4423088759653435,0.0,-9.122429959351546,-6.4423088759653435,-3.6551083970292675,10,10,0.0,12,0.0,0.0,12,-6.4423088759653435,-9.122429959351546
536000,-5.4925072009377045,1.7137095188136975,1.7137095188136975,-7.903866108963126,-7.903866108963126,0.0,-10.901513070363846,-7.903866108963126,-5.4925072009377045,10,10,0.0,13,0.0,0.0,13,-7.903866108963126,-10.901513070363846
560000,-3.0895313036084406,1.8950623267378301,1.8950623267378301,-5.970034535906024,-5.970034535906022,0.0,-9.579828133300268,-5.970034535906022,-3.0895313036084406,10,10,0.0,14,0.0,0.0,14,-5.970034535906024,-9.579828133300268
584000,-3.1062842870071163,2.231401379941363,2.231401379941363,-7.32974253787435,-7.32974253787435,0.0,-10.522273860389516,-7.32974253787435,-3.1062842870071163,10,10,0.0,15,0.0,0.0,15,-7.32974253787435,-10.522273860389516
608000,-2.967220627320553,1.9133884918889181,1.9133884918889181,-5.863621102689093,-5.863621102689096,0.0,-9.157351380704473,-5.863621102689096,-2.967220627320553,10,10,0.0,16,0.0,0.0,16,-5.863621102689093,-9.157351380704473
632000,-3.1894915081741053,1.7890139860191614,1.7890139860191614,-6.14025253542896,-6.140252535428961,0.0,-9.659245175226278,-6.140252535428961,-3.1894915081741053,10,10,0.0,17,0.0,0.0,17,-6.14025253542896,-9.659245175226278
656000,-3.2610269324760726,2.105917278929813,2.105917278929813,-6.906239805587414,-6.906239805587414,0.0,-9.426306222779493,-6.906239805587414,-3.2610269324760726,10,10,0.0,18,0.0,0.0,18,-6.906239805587414,-9.426306222779493
680000,-2.979293846662941,1.7965892268502264,1.7965892268502264,-5.683757333078992,-5.683757333078992,0.0,-8.313767991856258,-5.683757333078992,-2.979293846662941,10,10,0.0,19,0.0,0.0,19,-5.683757333078992,-8.313767991856258
