MetaTest/plate-slide-back-v1/SuccessRate,TotalEnvSteps,MetaTest/plate-slide-back-v1/StdReturn,MetaTest/plate-slide-back-v1/NumTrajs,MetaTest/plate-slide-back-v1/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/plate-slide-back-v1/AverageReturn,MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/Iteration,MetaTest/plate-slide-back-v1/TerminationRate,MetaTest/plate-slide-back-v1/MinReturn,MetaTest/plate-slide-back-v1/Iteration,MetaTest/plate-slide-back-v1/AverageDiscountedReturn,MetaTest/Average/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/SuccessRate
0.0,224000,0.6078195231402008,10,-34.16294788534803,-35.474809539156155,-35.474809539156155,0.6078195231402008,-34.16294788534803,-36.20177409145081,0.0,0,0.0,-36.20177409145081,0,-35.47480953915617,10,-35.47480953915617,0.0
0.0,248000,0.6662278493215906,10,-46.19830339855261,-47.7469214900356,-47.7469214900356,0.6662278493215906,-46.19830339855261,-48.363794759686265,0.0,1,0.0,-48.363794759686265,1,-47.74692149003558,10,-47.74692149003558,0.0
0.0,272000,0.6023060460277024,10,-38.17904866052719,-39.462346050989666,-39.462346050989666,0.6023060460277024,-38.17904866052719,-40.69289039462289,0.0,2,0.0,-40.69289039462289,2,-39.46234605098967,10,-39.46234605098967,0.0
0.0,296000,0.20997090294471146,10,-26.01410734243532,-26.245193496976633,-26.245193496976633,0.20997090294471146,-26.01410734243532,-26.713300272097893,0.0,3,0.0,-26.713300272097893,3,-26.245193496976633,10,-26.245193496976633,0.0
0.0,320000,0.2062150266313364,10,-32.06924045012323,-32.459023331397404,-32.459023331397404,0.2062150266313364,-32.06924045012323,-32.727650154499926,0.0,4,0.0,-32.727650154499926,4,-32.45902333139742,10,-32.45902333139742,0.0
0.0,344000,1.3246439663620706,10,-25.88370766792365,-27.54566203323097,-27.54566203323097,1.3246439663620706,-25.88370766792365,-31.15304400435572,0.0,5,0.0,-31.15304400435572,5,-27.54566203323096,10,-27.54566203323096,0.0
0.0,368000,16.346173478412677,10,-16.705322145738833,-30.29625493041985,-30.29625493041985,16.346173478412677,-16.705322145738833,-59.98237229210624,0.0,6,0.0,-59.98237229210624,6,-30.296254930419856,10,-30.296254930419856,0.0
0.0,392000,150.60927337457827,10,483.0598841999952,39.159767346040525,39.159767346040525,150.60927337457827,483.0598841999952,-36.79621399264536,0.0,7,0.0,-36.79621399264536,7,39.15976734604054,10,39.15976734604054,0.0
0.0,416000,18.323861862757653,10,-22.632876808133393,-48.576636476289515,-48.576636476289515,18.323861862757653,-22.632876808133393,-76.00670553134741,0.0,8,0.0,-76.00670553134741,8,-48.57663647628951,10,-48.57663647628951,0.0
0.0,440000,433.37816438633456,10,1390.9011823190558,92.95457823928442,92.95457823928442,433.37816438633456,1390.9011823190558,-95.01225933116042,0.0,9,0.0,-95.01225933116042,9,92.95457823928432,10,92.95457823928432,0.0
0.0,464000,6.819925987196765,10,-20.679315822403453,-33.05979106511463,-33.05979106511463,6.819925987196765,-20.679315822403453,-41.607213480431085,0.0,10,0.0,-41.607213480431085,10,-33.05979106511463,10,-33.05979106511463,0.0
0.0,488000,19.161866852631487,10,-28.772453380216874,-49.5966079037667,-49.5966079037667,19.161866852631487,-28.772453380216874,-81.35936214261145,0.0,11,0.0,-81.35936214261145,11,-49.596607903766696,10,-49.596607903766696,0.0
0.0,512000,8.423325600424027,10,-15.143378232187814,-26.233572024440008,-26.233572024440008,8.423325600424027,-15.143378232187814,-39.18160097443038,0.0,12,0.0,-39.18160097443038,12,-26.233572024440008,10,-26.233572024440008,0.0
0.0,536000,1262.6723023879388,10,4173.208239400388,602.8608309578165,602.8608309578165,1262.6723023879388,4173.208239400388,-25.629003884178193,0.0,13,0.0,-25.629003884178193,13,602.8608309578165,10,602.8608309578165,0.0
0.0,560000,710.1153565993415,10,3776.7052444763353,2676.6311799075693,2676.6311799075693,710.1153565993415,3776.7052444763353,1208.0231382649113,0.0,14,0.0,1208.0231382649113,14,2676.6311799075693,10,2676.6311799075693,0.0
0.0,584000,1025.1767654888874,10,3073.605297761233,1067.123201891254,1067.123201891254,1025.1767654888874,3073.605297761233,-21.514467363096458,0.0,15,0.0,-21.514467363096458,15,1067.1232018912542,10,1067.1232018912542,0.0
0.0,608000,9.587327314087597,10,-17.10730946756395,-23.895370714267884,-23.895370714267884,9.587327314087597,-17.10730946756395,-52.02216112006678,0.0,16,0.0,-52.02216112006678,16,-23.895370714267887,10,-23.895370714267887,0.0
0.0,632000,2666.8226366959343,10,7388.399844265303,1525.835647067292,1525.835647067292,2666.8226366959343,7388.399844265303,-40.73488172812262,0.0,17,0.0,-40.73488172812262,17,1525.8356470672918,10,1525.8356470672918,0.0
0.0,656000,4409.0014526137575,10,13196.553857732313,2969.6230820265123,2969.6230820265123,4409.0014526137575,13196.553857732313,-50.226461613363455,0.0,18,0.0,-50.226461613363455,18,2969.6230820265127,10,2969.6230820265127,0.0
0.1,680000,1340.0983653149738,10,3191.386951974472,833.9716933305015,833.9716933305015,1340.0983653149738,3191.386951974472,-89.91324962151815,0.0,19,0.0,-89.91324962151815,19,833.9716933305015,10,833.9716933305015,0.1
0.0,704000,2.427906732067756,10,-18.1825683245051,-21.79318481258439,-21.79318481258439,2.427906732067756,-18.1825683245051,-24.762239687514608,0.0,20,0.0,-24.762239687514608,20,-21.79318481258439,10,-21.79318481258439,0.0
0.0,728000,738.7316060536081,10,2061.3672536420127,488.1160687973282,488.1160687973282,738.7316060536081,2061.3672536420127,-73.54171014078013,0.0,21,0.0,-73.54171014078013,21,488.1160687973278,10,488.1160687973278,0.0
0.0,752000,570.1572735952158,10,2583.35300129077,1659.448413865902,1659.448413865902,570.1572735952158,2583.35300129077,778.8814768501826,0.0,22,0.0,778.8814768501826,22,1659.4484138659016,10,1659.4484138659016,0.0
0.0,776000,886.3273694269689,10,3077.3946339806093,1838.6640441800814,1838.6640441800814,886.3273694269689,3077.3946339806093,-17.441367859239186,0.0,23,0.0,-17.441367859239186,23,1838.6640441800814,10,1838.6640441800814,0.0
0.0,800000,618.2607476779561,10,2540.4675066129935,1518.0356643192742,1518.0356643192742,618.2607476779561,2540.4675066129935,431.66936477208674,0.0,24,0.0,431.66936477208674,24,1518.0356643192742,10,1518.0356643192742,0.0
0.0,824000,918.591549296925,10,3011.625517761806,1670.0344510943487,1670.0344510943487,918.591549296925,3011.625517761806,-17.121102194697936,0.0,25,0.0,-17.121102194697936,25,1670.0344510943492,10,1670.0344510943492,0.0
0.0,848000,1196.9199856169573,10,2753.8235961316145,1159.2233504856376,1159.2233504856376,1196.9199856169573,2753.8235961316145,-47.66331221698054,0.0,26,0.0,-47.66331221698054,26,1159.2233504856376,10,1159.2233504856376,0.0
0.1,872000,1571.9901756076395,10,4103.240271926228,961.8697409180564,961.8697409180564,1571.9901756076395,4103.240271926228,-92.57554653082374,0.0,27,0.0,-92.57554653082374,27,961.8697409180568,10,961.8697409180568,0.1
0.0,896000,74.66229141060738,10,178.02531763308878,-34.70180865498386,-34.70180865498386,74.66229141060738,178.02531763308878,-96.97800624524672,0.0,28,0.0,-96.97800624524672,28,-34.70180865498389,10,-34.70180865498389,0.0
0.0,920000,15.881568196263398,10,-24.59071100294458,-43.37805424914634,-43.37805424914634,15.881568196263398,-24.59071100294458,-61.720988039298305,0.0,29,0.0,-61.720988039298305,29,-43.37805424914634,10,-43.37805424914634,0.0
0.0,944000,3.426322467709992,10,-25.68164426265522,-30.204938631460333,-30.204938631460333,3.426322467709992,-25.68164426265522,-37.41544263490102,0.0,30,0.0,-37.41544263490102,30,-30.204938631460344,10,-30.204938631460344,0.0
0.1,968000,2673.726652376879,10,8849.471709567142,829.2202583284039,829.2202583284039,2673.726652376879,8849.471709567142,-126.81002658551687,0.0,31,0.0,-126.81002658551687,31,829.2202583284043,10,829.2202583284043,0.1
0.0,992000,14.054970011537291,10,-16.837645084146978,-29.01643949895007,-29.01643949895007,14.054970011537291,-16.837645084146978,-52.908364042666776,0.0,32,0.0,-52.908364042666776,32,-29.016439498950074,10,-29.016439498950074,0.0
0.0,1016000,5.408984713147344,10,-28.461156804231134,-40.988434523622814,-40.988434523622814,5.408984713147344,-28.461156804231134,-50.278702813809055,0.0,33,0.0,-50.278702813809055,33,-40.988434523622814,10,-40.988434523622814,0.0
0.0,1040000,0.3349045413473459,10,-71.60305344214531,-72.4736885434102,-72.4736885434102,0.3349045413473459,-71.60305344214531,-73.03130901152316,0.0,34,0.0,-73.03130901152316,34,-72.47368854341023,10,-72.47368854341023,0.0
0.0,1064000,12.303119944299146,10,-18.89618197066338,-35.657472843308035,-35.657472843308035,12.303119944299146,-18.89618197066338,-53.22847252065497,0.0,35,0.0,-53.22847252065497,35,-35.657472843308035,10,-35.657472843308035,0.0
0.0,1088000,19.45095466362424,10,-16.972220024167918,-37.18356007393883,-37.18356007393883,19.45095466362424,-16.972220024167918,-59.95651056724599,0.0,36,0.0,-59.95651056724599,36,-37.183560073938814,10,-37.183560073938814,0.0
0.0,1112000,19.639482966406078,10,-17.425112844168538,-32.86349281201464,-32.86349281201464,19.639482966406078,-17.425112844168538,-68.59266138233457,0.0,37,0.0,-68.59266138233457,37,-32.86349281201463,10,-32.86349281201463,0.0
0.0,1136000,18.530364894219346,10,-37.56480909956199,-77.56037347435503,-77.56037347435503,18.530364894219346,-37.56480909956199,-96.39949398743096,0.0,38,0.0,-96.39949398743096,38,-77.56037347435506,10,-77.56037347435506,0.0
0.0,1160000,4.281741531157019,10,-26.005306049777182,-32.95461522226838,-32.95461522226838,4.281741531157019,-26.005306049777182,-40.49316465886208,0.0,39,0.0,-40.49316465886208,39,-32.95461522226837,10,-32.95461522226837,0.0
0.0,1184000,4.15233354522015,10,-16.57894386325735,-21.85539472655053,-21.85539472655053,4.15233354522015,-16.57894386325735,-28.34447165420617,0.0,40,0.0,-28.34447165420617,40,-21.85539472655052,10,-21.85539472655052,0.0
0.0,1208000,461.68720647870464,10,1462.3025605626312,149.28292420776955,149.28292420776955,461.68720647870464,1462.3025605626312,-143.37743433123433,0.0,41,0.0,-143.37743433123433,41,149.28292420776955,10,149.28292420776955,0.0
0.0,1232000,504.5652278601614,10,1084.3079577589335,275.7581301434451,275.7581301434451,504.5652278601614,1084.3079577589335,-80.28318415323982,0.0,42,0.0,-80.28318415323982,42,275.75813014344527,10,275.75813014344527,0.0
0.0,1256000,31.72618424529927,10,-19.68201815378195,-45.85615667045671,-45.85615667045671,31.72618424529927,-19.68201815378195,-107.66587253230247,0.0,43,0.0,-107.66587253230247,43,-45.85615667045673,10,-45.85615667045673,0.0
0.0,1280000,2220.056849971244,10,7364.797583251176,705.5298984239954,705.5298984239954,2220.056849971244,7364.797583251176,-108.1447266049815,0.0,44,0.0,-108.1447266049815,44,705.5298984239954,10,705.5298984239954,0.0
0.0,1304000,44.46149508175045,10,90.16819718278099,-9.937155120906365,-9.937155120906365,44.46149508175045,90.16819718278099,-78.84549078894686,0.0,45,0.0,-78.84549078894686,45,-9.937155120906358,10,-9.937155120906358,0.0
0.0,1328000,122.46798133711458,10,332.6568031977878,23.89113833182068,23.89113833182068,122.46798133711458,332.6568031977878,-104.19143583100819,0.0,46,0.0,-104.19143583100819,46,23.891138331820624,10,23.891138331820624,0.0
0.0,1352000,690.3723747181707,10,1852.5418467711092,379.10295735002927,379.10295735002927,690.3723747181707,1852.5418467711092,-80.35014272853199,0.0,47,0.0,-80.35014272853199,47,379.1029573500292,10,379.1029573500292,0.0
