MetaTest/Average/Iteration,MetaTest/window-close-v1/AverageReturn,MetaTest/Average/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/window-close-v1/TerminationRate,MetaTest/window-close-v1/MinReturn,TotalEnvSteps,MetaTest/window-close-v1/AverageDiscountedReturn,MetaTest/window-close-v1/Iteration,MetaTest/window-close-v1/SuccessRate,MetaTest/window-close-v1/NumTrajs,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/SuccessRate,MetaTest/window-close-v1/StdReturn,MetaTest/Average/StdReturn,MetaTest/window-close-v1/MaxReturn
0,-27.210053601402954,10,-27.210053601402954,-27.210053601402954,-29.055530226471753,0.0,-29.055530226471753,224000,-27.210053601402954,0,0.0,10,-23.969952808596254,0.0,0.0,1.3379737753549044,1.3379737753549044,-23.969952808596254
1,232.55389958448018,10,232.55389958448032,232.55389958448018,-24.95729579828231,0.0,-24.95729579828231,248000,232.55389958448032,1,0.0,10,2502.9240652118574,0.0,0.0,756.79783992229,756.79783992229,2502.9240652118574
2,2222.716967600462,10,2222.7169676004623,2222.716967600462,-17.426517142460398,0.0,-17.426517142460398,272000,2222.7169676004623,2,0.0,10,3840.101633655713,0.0,0.0,1384.114494335716,1384.114494335716,3840.101633655713
3,1693.7752239334882,10,1693.7752239334884,1693.7752239334882,-57.357953062435804,0.0,-57.357953062435804,296000,1693.7752239334884,3,0.0,10,3680.049990072895,0.0,0.0,1754.1928871109558,1754.1928871109558,3680.049990072895
4,1232.7343723202728,10,1232.7343723202732,1232.7343723202728,-116.53605547980334,0.0,-116.53605547980334,320000,1232.7343723202732,4,0.0,10,3408.994119070174,0.0,0.0,1577.949545617983,1577.949545617983,3408.994119070174
5,1045.433323638376,10,1045.4333236383757,1045.433323638376,-127.74844454909426,0.0,-127.74844454909426,344000,1045.4333236383757,5,0.0,10,2887.370260358502,0.0,0.0,888.6749732905024,888.6749732905024,2887.370260358502
6,2199.649476907856,10,2199.649476907856,2199.649476907856,-62.328960241118175,0.0,-62.328960241118175,368000,2199.649476907856,6,0.0,10,3700.6721764019394,0.0,0.0,1526.953411737205,1526.953411737205,3700.6721764019394
7,19201.874433747627,10,19201.874433747613,19201.874433747627,-59.36059253891284,0.0,-59.36059253891284,392000,19201.874433747613,7,0.1,10,163267.50960723538,0.0,0.1,48238.486343397,48238.486343397,163267.50960723538
8,13292.28876630844,10,13292.288766308435,13292.28876630844,-129.98476986666728,0.0,-129.98476986666728,416000,13292.288766308435,8,0.1,10,124384.29764699264,0.0,0.1,37056.37826496545,37056.37826496545,124384.29764699264
9,-31.038845345590282,10,-31.03884534559028,-31.038845345590282,-64.99302960704404,0.0,-64.99302960704404,440000,-31.03884534559028,9,0.7,10,-21.33189574309694,0.0,0.7,12.150420093789748,12.150420093789748,-21.33189574309694
