MetaTest/button-press-wall-v1/MaxReturn,MetaTest/Average/Iteration,policy/LossAfter,policy/Entropy,MetaTest/button-press-wall-v1/TerminationRate,MetaTest/button-press-wall-v1/AverageDiscountedReturn,MetaTest/Average/AverageReturn,Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/button-press-wall-v1/Iteration,MetaTest/Average/StdReturn,button-press-wall-v1/NumEpisodes,Average/TerminationRate,MetaTest/Average/MaxReturn,button-press-wall-v1/AverageDiscountedReturn,Average/StdReturn,policy/dLoss,button-press-wall-v1/MaxReturn,button-press-wall-v1/Iteration,button-press-wall-v1/StdReturn,TotalEnvSteps,Average/MinReturn,MetaTest/button-press-wall-v1/SuccessRate,button-press-wall-v1/MinReturn,policy/KL,Average/SuccessRate,MetaTest/button-press-wall-v1/MinReturn,MetaTest/Average/SuccessRate,button-press-wall-v1/SuccessRate,Average/NumEpisodes,LinearFeatureBaseline/ExplainedVariance,MetaTest/button-press-wall-v1/AverageReturn,MetaTest/Average/TerminationRate,Average/Iteration,MetaTest/Average/NumEpisodes,button-press-wall-v1/TerminationRate,MetaTest/button-press-wall-v1/StdReturn,Average/MaxReturn,button-press-wall-v1/AverageReturn,MetaTest/button-press-wall-v1/NumEpisodes,policy/KLBefore,policy/LossBefore,Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn
-45.71732927862971,0,-0.042098828,5.6828337,0.0,-61.188586476766375,-61.18858647676639,-22.23385925230418,-71.76366254066379,0,7.640609805318484,100,0.0,-45.71732927862971,-22.23385925230418,8.729555010984953,0.021438958,-38.652501516948384,0,8.729555010984953,20000,-79.30684638557106,0.0,-79.30684638557106,0.0062819635,0.0,-71.76366254066379,0.0,0.0,100,0.4658991487983246,-61.18858647676639,0.0,0,10,0.0,7.640609805318484,-38.652501516948384,-60.31185810588218,10,0.0,-0.02065987,-60.31185810588218,-61.188586476766375
,,-0.03520936,5.6855493,,,,-19.208923235956266,,,,100,0.0,,-19.208923235956266,8.816190122560894,0.01886467,-34.088547365470696,1,8.816190122560894,40000,-68.65237035635872,,-68.65237035635872,0.021843307,0.0,,,0.0,100,0.4783285135365408,,,1,,0.0,,-34.088547365470696,-50.56472416720483,,0.0,-0.01634469,-50.56472416720483,
,,-1.8863055,5.678596,,,,167.6109542868517,,,,100,0.0,,167.6109542868517,1890.867054946626,2.6416445,16327.362748609492,2,1890.867054946626,60000,-57.42447016051501,,-57.42447016051501,0.01113579,0.01,,,0.01,100,0.12858164722983612,,,2,,0.0,,16327.362748609492,283.5732952346387,,0.0,0.7553391,283.5732952346387,
,,-4.2032986,5.6764627,,,,632.9625519873756,,,,100,0.0,,632.9625519873756,4623.753343346728,5.420062,31224.544449852478,3,4623.753343346728,80000,-50.701975867882474,,-50.701975867882474,0.010744522,0.01,,,0.01,100,0.13104215926161988,,,3,,0.0,,31224.544449852478,1261.399211764347,,0.0,1.2167633,1261.399211764347,
,,-6.5756955,5.6604543,,,,1319.7102070614221,,,,100,0.0,,1319.7102070614221,5074.749639315846,4.700889,22493.496281466447,4,5074.749639315846,100000,-45.61865468681055,,-45.61865468681055,0.008183983,0.06,,,0.06,100,0.1082863392246799,,,4,,0.0,,22493.496281466447,2735.2609207313326,,0.0,-1.8748063,2735.2609207313326,
,,-3.6088603,5.6545844,,,,1537.6342103914537,,,,100,0.0,,1537.6342103914537,8838.957430758608,6.5793552,74655.83594319469,5,8838.957430758608,120000,-63.05974708898692,,-63.05974708898692,0.0066733626,0.03,,,0.03,100,0.14352666441850193,,,5,,0.0,,74655.83594319469,3040.5691922773294,,0.0,2.9704952,3040.5691922773294,
,,-5.798325,5.664193,,,,2429.4030797441087,,,,100,0.0,,2429.4030797441087,26005.881043371704,15.499556,184878.38498071113,6,26005.881043371704,140000,-40.39634905234737,,-40.39634905234737,0.005417316,0.04,,,0.04,100,0.36020019526154023,,,6,,0.0,,184878.38498071113,6173.187174686601,,0.0,9.701231,6173.187174686601,
,,-15.859238,5.6723013,,,,4359.554617198694,,,,100,0.0,,4359.554617198694,22377.506469075008,19.69385,150917.41307212343,7,22377.506469075008,160000,-44.8438614773359,,-44.8438614773359,0.005585936,0.04,,,0.04,100,0.26159055341166415,,,7,,0.0,,150917.41307212343,8916.528729163596,,0.0,3.8346126,8916.528729163596,
,,-28.082432,5.6748133,,,,3031.115388021237,,,,100,0.0,,3031.115388021237,13878.625743525423,11.935913,101531.4730766463,8,13878.625743525423,180000,-49.98566063587524,,-49.98566063587524,0.006181321,0.06,,,0.06,100,0.19636613081667298,,,8,,0.0,,101531.4730766463,5777.0522728825135,,0.0,-16.146519,5777.0522728825135,
,,5.37065,5.6682744,,,,4739.389877195658,,,,100,0.0,,4739.389877195658,32061.610761397063,19.981838,273452.3789966188,9,32061.610761397063,200000,-41.098854684184445,,-41.098854684184445,0.0046919305,0.05,,,0.05,100,0.3096941831259351,,,9,,0.0,,273452.3789966188,9593.264809802035,,0.0,25.352488,9593.264809802035,
41250.202372385174,1,-31.802094,5.6636057,0.0,7898.614577832088,7898.614577832088,3078.54398459679,-33.92000227272868,1,12721.531372555519,100,0.0,41250.202372385174,3078.54398459679,25581.992027417295,21.03825,244020.70434071953,10,25581.992027417295,220000,-46.93132227220164,0.0,-46.93132227220164,0.00675464,0.05,-33.92000227272868,0.0,0.05,100,0.27378737734427316,7898.614577832088,0.0,10,10,0.0,12721.531372555519,244020.70434071953,6262.323758310124,10,0.0,-10.763844,6262.323758310124,7898.614577832088
,,-19.195282,5.654905,,,,4612.8231151746495,,,,100,0.0,,4612.8231151746495,22178.94009560735,14.983769,155036.37857338373,11,22178.94009560735,240000,-39.949551285345265,,-39.949551285345265,0.0081542125,0.05,,,0.05,100,0.339076818893147,,,11,,0.0,,155036.37857338373,8223.07158537596,,0.0,-4.2115126,8223.07158537596,
,,-9.512913,5.6470723,,,,4681.690438198086,,,,100,0.0,,4681.690438198086,14311.278263430355,10.116303,81730.72120145713,12,14311.278263430355,260000,-42.306726818182696,,-42.306726818182696,0.0055173007,0.04,,,0.04,100,0.17140144684202407,,,12,,0.0,,81730.72120145713,7842.479816002309,,0.0,0.60339063,7842.479816002309,
,,-9.232441,5.6452637,,,,8129.024087028232,,,,100,0.0,,8129.024087028232,40982.58174314086,29.64776,300464.947234493,13,40982.58174314086,280000,-34.34798672146154,,-34.34798672146154,0.005678373,0.09,,,0.09,100,0.3026525347960004,,,13,,0.0,,300464.947234493,16495.171973156896,,0.0,20.41532,16495.171973156896,
