MetaTest/coffee-button-v1/SuccessRate,policy/KLBefore,MetaTest/Average/MinReturn,Average/StdReturn,MetaTest/Average/Iteration,MetaTest/coffee-button-v1/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/SuccessRate,policy/Entropy,Average/MinReturn,Average/AverageReturn,policy/LossBefore,coffee-button-v1/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn,Average/MaxReturn,Average/SuccessRate,coffee-button-v1/SuccessRate,MetaTest/coffee-button-v1/NumEpisodes,MetaTest/Average/AverageReturn,coffee-button-v1/StdReturn,Average/NumEpisodes,policy/LossAfter,coffee-button-v1/NumEpisodes,MetaTest/Average/MaxReturn,coffee-button-v1/TerminationRate,Average/Iteration,MetaTest/coffee-button-v1/MinReturn,MetaTest/coffee-button-v1/AverageDiscountedReturn,policy/KL,MetaTest/Average/TerminationRate,MetaTest/coffee-button-v1/MaxReturn,coffee-button-v1/Iteration,MetaTest/coffee-button-v1/StdReturn,Average/AverageDiscountedReturn,coffee-button-v1/AverageReturn,TotalEnvSteps,policy/dLoss,MetaTest/Average/StdReturn,Average/TerminationRate,coffee-button-v1/MinReturn,MetaTest/coffee-button-v1/TerminationRate,coffee-button-v1/MaxReturn,MetaTest/coffee-button-v1/Iteration,LinearFeatureBaseline/ExplainedVariance
0.0,0.0,-63.748707309217124,8.24512908156742,0,-54.65953586478886,10,0.0,5.676856,-71.15369943733445,-53.42736155264285,-0.011961488,-20.80205084347127,-54.65953586478886,-35.74421428712646,0.0,0.0,10,-54.65953586478886,8.24512908156742,100,-0.028492127,100,-45.38125402795488,0.0,0,-63.748707309217124,-54.65953586478886,0.006069532,0.0,-45.38125402795488,0,6.40216006082423,-20.80205084347127,-53.42736155264285,20000,0.016530639,6.40216006082423,0.0,-71.15369943733445,0.0,-35.74421428712646,0,0.4747678921115158
,0.0,,1597.391806143274,,,,,5.6613517,-68.35803390606767,224.38119806896214,-0.8395941,95.54494022762702,,13199.945593029252,0.01,0.01,,,1597.391806143274,100,-2.820157,100,,0.0,1,,,0.008978636,,,1,,95.54494022762702,224.38119806896214,40000,1.9805629,,0.0,-68.35803390606767,,13199.945593029252,,0.08482617163766037
,0.0,,4352.138701816463,,,,,5.640879,-57.16643557870397,1151.6484067049555,3.3285515,524.9468554039132,,34691.84889623679,0.1,0.1,,,4352.138701816463,100,-1.3385093,100,,0.0,2,,,0.009228236,,,2,,524.9468554039132,1151.6484067049555,60000,4.667061,,0.0,-57.16643557870397,,34691.84889623679,,0.15089702629223933
,0.0,,30267.73180278016,,,,,5.6144094,-51.33417519908585,5901.167363627116,-14.870759,1931.0414356611695,,266924.5041910922,0.06,0.06,,,30267.73180278016,100,-35.32514,100,,0.0,3,,,0.0063720206,,,3,,1931.0414356611695,5901.167363627116,80000,20.454384,,0.0,-51.33417519908585,,266924.5041910922,,0.38101941353483004
,0.0,,32579.998936238968,,,,,5.5742564,-58.79442767884913,8819.652613857164,-3.2144687,3024.5323503017876,,244113.57112116835,0.14,0.14,,,32579.998936238968,100,-35.4875,100,,0.0,4,,,0.009136502,,,4,,3024.5323503017876,8819.652613857164,100000,32.27303,,0.0,-58.79442767884913,,244113.57112116835,,0.2965535879901712
,0.0,,12342.43339398927,,,,,5.5423713,-52.60549176848315,5375.062572933601,11.142412,2445.619120268096,,77576.36230490287,0.12,0.12,,,12342.43339398927,100,1.2404437,100,,0.0,5,,,0.0034935523,,,5,,2445.619120268096,5375.062572933601,120000,9.901968,,0.0,-52.60549176848315,,77576.36230490287,,0.151198118495396
,0.0,,25988.47638184705,,,,,5.534416,-47.5536972895777,6924.370562652584,2.3048937,2625.499298217145,,234645.06882908707,0.17,0.17,,,25988.47638184705,100,-12.854397,100,,0.0,6,,,0.006395948,,,6,,2625.499298217145,6924.370562652584,140000,15.15929,,0.0,-47.5536972895777,,234645.06882908707,,0.29330072931241125
,0.0,,49155.68773665266,,,,,5.5258517,-54.998991012948984,12717.1644708773,-14.1808,4970.142709523355,,333792.7291928903,0.15,0.15,,,49155.68773665266,100,-39.450542,100,,0.0,7,,,0.007384084,,,7,,4970.142709523355,12717.1644708773,160000,25.269741,,0.0,-54.998991012948984,,333792.7291928903,,0.3557101112632455
,0.0,,11557.3427874451,,,,,5.515266,-57.788284723404104,4406.82453404517,-2.2348313,2174.7093704631757,,100138.98040192523,0.1,0.1,,,11557.3427874451,100,-7.5567594,100,,0.0,8,,,0.0061688414,,,8,,2174.7093704631757,4406.82453404517,180000,5.321928,,0.0,-57.788284723404104,,100138.98040192523,,0.18130129680092644
,0.0,,44230.74851184276,,,,,5.503738,-51.79193100221931,15664.346937100916,-19.014162,5881.984898563283,,301706.1205943401,0.24,0.24,,,44230.74851184276,100,-51.444977,100,,0.0,9,,,0.00559014,,,9,,5881.984898563283,15664.346937100916,200000,32.430817,,0.0,-51.79193100221931,,301706.1205943401,,0.29843600626924627
0.3,0.0,-39.69837585403931,33168.94381772922,1,20987.38263351758,10,0.3,5.4858556,-46.92256475300777,10167.909624770167,36.185112,4598.099865013694,20987.382633517584,219540.30231794805,0.15,0.15,10,20987.38263351758,33168.94381772922,100,13.598728,100,197369.77645132964,0.0,10,-39.69837585403931,20987.382633517584,0.0063535664,0.0,197369.77645132964,10,58917.60533211544,4598.099865013694,10167.909624770167,220000,22.586384,58917.60533211544,0.0,-46.92256475300777,0.0,219540.30231794805,1,0.330844835919761
,0.0,,31284.296597480465,,,,,5.470576,-59.471890209504615,8148.943462521423,3.114575,3412.0483765610693,,246704.19161337538,0.12,0.12,,,31284.296597480465,100,-19.240326,100,,0.0,11,,,0.005288231,,,11,,3412.0483765610693,8148.943462521423,240000,22.3549,,0.0,-59.471890209504615,,246704.19161337538,,0.27343214979156816
,0.0,,61695.084709629715,,,,,5.4604564,-53.8375473581742,20821.68007246369,57.70925,7765.466289555343,,316623.5675971379,0.21,0.21,,,61695.084709629715,100,8.174175,100,,0.0,12,,,0.005343805,,,12,,7765.466289555343,20821.68007246369,260000,49.535076,,0.0,-53.8375473581742,,316623.5675971379,,0.43705978657069566
,0.0,,21170.19145937465,,,,,5.4436164,-45.37953952665544,10008.73053694344,-3.6919782,4827.185401508724,,108659.24492627232,0.26,0.26,,,21170.19145937465,100,-16.781393,100,,0.0,13,,,0.0074398513,,,13,,4827.185401508724,10008.73053694344,280000,13.089415,,0.0,-45.37953952665544,,108659.24492627232,,0.21076542913932217
,0.0,,29153.933610671316,,,,,5.431052,-45.97326239139292,17227.734994856837,36.34087,7604.794436583221,,97828.26043895776,0.47,0.47,,,29153.933610671316,100,11.284493,100,,0.0,14,,,0.005556219,,,14,,7604.794436583221,17227.734994856837,300000,25.056377,,0.0,-45.97326239139292,,97828.26043895776,,0.18311268611180187
,0.0,,57667.62147082902,,,,,5.406556,-65.23234961764159,25396.903983639775,-58.966312,10167.76301378497,,293512.5456601684,0.31,0.31,,,57667.62147082902,100,-102.11361,100,,0.0,15,,,0.006001619,,,15,,10167.76301378497,25396.903983639775,320000,43.147297,,0.0,-65.23234961764159,,293512.5456601684,,0.360177012040403
