Average/SuccessRate,Average/TerminationRate,policy/Entropy,MetaTest/Average/MinReturn,Average/Iteration,Average/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/coffee-button-v1/AverageDiscountedReturn,policy/KL,coffee-button-v1/Iteration,Average/StdReturn,MetaTest/coffee-button-v1/StdReturn,Average/NumEpisodes,coffee-button-v1/StdReturn,MetaTest/Average/StdReturn,coffee-button-v1/SuccessRate,MetaTest/coffee-button-v1/MaxReturn,Average/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/coffee-button-v1/SuccessRate,MetaTest/coffee-button-v1/AverageReturn,coffee-button-v1/AverageReturn,policy/LossBefore,coffee-button-v1/NumEpisodes,LinearFeatureBaseline/ExplainedVariance,coffee-button-v1/TerminationRate,TotalEnvSteps,policy/KLBefore,Average/AverageReturn,MetaTest/Average/AverageReturn,MetaTest/coffee-button-v1/TerminationRate,coffee-button-v1/MaxReturn,MetaTest/Average/AverageDiscountedReturn,policy/dLoss,policy/LossAfter,MetaTest/Average/Iteration,MetaTest/coffee-button-v1/MinReturn,MetaTest/coffee-button-v1/NumEpisodes,coffee-button-v1/MinReturn,MetaTest/Average/SuccessRate,Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/coffee-button-v1/Iteration,coffee-button-v1/AverageDiscountedReturn
0.0,0.0,5.6655045,-75.24113328064671,0,-28.995024768557435,-37.67408051496268,-57.13652379091511,0.0067404006,0,8.344662625701515,11.745664671886258,100,8.344662625701515,11.745664671886258,0.0,-37.67408051496268,-19.199825221879678,10,0.0,-57.13652379091509,-49.83694335197355,-0.022446364,100,0.5920073338463067,0.0,20000,0.0,-49.83694335197355,-57.13652379091509,0.0,-28.995024768557435,-57.13652379091511,0.012392066,-0.03483843,0,-75.24113328064671,10,-69.53392736556845,0.0,-69.53392736556845,0.0,0,-19.199825221879678
0.0,0.0,5.654465,,1,10293.016158007613,,,0.01999978,1,1557.765318418144,,100,1557.765318418144,,0.0,,133.42573532434017,,,,255.55356687019798,-0.18707539,100,0.11455341782023709,0.0,40000,0.0,255.55356687019798,,,10293.016158007613,,2.2077298,-2.3948052,,,,-65.08270378951076,,-65.08270378951076,,,133.42573532434017
0.03,0.0,5.645991,,2,16162.670428883917,,,0.009393371,2,2948.0452364134912,,100,2948.0452364134912,,0.03,,373.3824917885343,,,,977.7842602408498,3.815407,100,0.11991368359762089,0.0,60000,0.0,977.7842602408498,,,16162.670428883917,,3.5440407,0.27136642,,,,-50.52716112642999,,-50.52716112642999,,,373.3824917885343
0.11,0.0,5.637375,,3,58045.02818642811,,,0.0065349266,3,8840.923316686503,,100,8840.923316686503,,0.11,,1758.86484561292,,,,4091.4905601017563,-1.9310594,100,0.20181709233324363,0.0,80000,0.0,4091.4905601017563,,,58045.02818642811,,8.214455,-10.1455145,,,,-52.27368329887404,,-52.27368329887404,,,1758.86484561292
0.2,0.0,5.626157,,4,104256.55007438142,,,0.006570346,4,13516.585231650586,,100,13516.585231650586,,0.2,,2334.432777518062,,,,5546.628232591121,-0.09585938,100,0.16288185739836425,0.0,100000,0.0,5546.628232591121,,,104256.55007438142,,11.997928,-12.093787,,,,-46.516322423097776,,-46.516322423097776,,,2334.432777518062
0.17,0.0,5.619675,,5,89635.86227403722,,,0.0048279203,5,15990.539407204718,,100,15990.539407204718,,0.17,,2588.165200777163,,,,6598.626377761401,15.058555,100,0.20598316795898153,0.0,120000,0.0,6598.626377761401,,,89635.86227403722,,13.003897,2.0546577,,,,-55.300054996824095,,-55.300054996824095,,,2588.165200777163
0.26,0.0,5.6111574,,6,69222.47858067376,,,0.0058473716,6,10748.762036774799,,100,10748.762036774799,,0.26,,2340.47158804045,,,,4942.785412041087,3.5646703,100,0.17089693226863767,0.0,140000,0.0,4942.785412041087,,,69222.47858067376,,9.585358,-6.0206876,,,,-44.522988884612026,,-44.522988884612026,,,2340.47158804045
0.25,0.0,5.592977,,7,75301.50434128073,,,0.0044675195,7,14479.354969312126,,100,14479.354969312126,,0.25,,3105.8785239916265,,,,7105.378165771935,19.409008,100,0.19514001814014126,0.0,160000,0.0,7105.378165771935,,,75301.50434128073,,12.068502,7.340506,,,,-46.461183719199774,,-46.461183719199774,,,3105.8785239916265
0.23,0.0,5.5892572,,8,57049.20641057426,,,0.0042822245,8,9355.788226332159,,100,9355.788226332159,,0.23,,1906.8216929642613,,,,4364.378557277899,5.9662404,100,0.11126307572842431,0.0,180000,0.0,4364.378557277899,,,57049.20641057426,,8.052065,-2.085825,,,,-53.18089952323409,,-53.18089952323409,,,1906.8216929642613
0.4,0.0,5.5807467,,9,56965.8800477356,,,0.00549526,9,8751.366014428582,,100,8751.366014428582,,0.4,,2245.82537128569,,,,4838.081849674448,6.3054376,100,0.13465629593387551,0.0,200000,0.0,4838.081849674448,,,56965.8800477356,,4.270194,2.0352437,,,,-40.78985253030864,,-40.78985253030864,,,2245.82537128569
