MetaTest/Average/AverageReturn,Average/Iteration,MetaTest/door-lock-v1/AverageReturn,Average/MinReturn,door-lock-v1/StdReturn,MetaTest/door-lock-v1/MaxReturn,door-lock-v1/SuccessRate,policy/LossAfter,MetaTest/door-lock-v1/Iteration,MetaTest/door-lock-v1/TerminationRate,MetaTest/door-lock-v1/NumEpisodes,door-lock-v1/MaxReturn,Average/TerminationRate,MetaTest/Average/TerminationRate,MetaTest/Average/SuccessRate,TotalEnvSteps,MetaTest/door-lock-v1/StdReturn,policy/KL,MetaTest/door-lock-v1/AverageDiscountedReturn,MetaTest/Average/MinReturn,Average/StdReturn,door-lock-v1/Iteration,door-lock-v1/AverageDiscountedReturn,door-lock-v1/NumEpisodes,policy/LossBefore,MetaTest/door-lock-v1/SuccessRate,MetaTest/door-lock-v1/MinReturn,Average/AverageDiscountedReturn,MetaTest/Average/StdReturn,LinearFeatureBaseline/ExplainedVariance,Average/NumEpisodes,MetaTest/Average/MaxReturn,MetaTest/Average/Iteration,MetaTest/Average/NumEpisodes,door-lock-v1/MinReturn,Average/MaxReturn,door-lock-v1/AverageReturn,MetaTest/Average/AverageDiscountedReturn,policy/Entropy,policy/dLoss,Average/AverageReturn,Average/SuccessRate,policy/KLBefore,door-lock-v1/TerminationRate
-62.81944139844995,0,-62.81944139844995,-86.54557770308018,10.422431913825442,-46.50302676962969,0.0,-0.055733714,0,0.0,10,-41.222157099269246,0.0,0.0,0.0,20000,9.503643829858339,0.015349567,-62.819441398449975,-79.87578771892301,10.422431913825442,0,-24.2516427909681,100,-0.020269694,0.0,-79.87578771892301,-24.2516427909681,9.503643829858339,0.6079363495234218,100,-46.50302676962969,0,10,-86.54557770308018,-41.222157099269246,-61.65014676479347,-62.819441398449975,5.688668,0.03546402,-61.65014676479347,0.0,0.0,0.0
,1,,-73.70767478891966,248.83156474452676,,0.0,-0.3834547,,,,2376.1776189605257,0.0,,,40000,,0.02041229,,,248.83156474452676,1,-9.900586492087418,100,-0.09218035,,,-9.900586492087418,,0.1624148387756016,100,,,,-73.70767478891966,2376.1776189605257,-14.509128906613775,,5.6706624,0.29127437,-14.509128906613775,0.0,0.0,0.0
,2,,-56.97080816146951,278.84208376453233,,0.06,-0.23579904,,,,1185.2156763054431,0.0,,,60000,,0.006426628,,,278.84208376453233,2,29.3588798942215,100,0.088061206,,,29.3588798942215,,0.1165881770851589,100,,,,-56.97080816146951,1185.2156763054431,81.18368737514696,,5.6468816,0.32386026,81.18368737514696,0.06,0.0,0.0
,3,,-49.01543199095345,333.8459871912745,,0.0,-0.44507706,,,,1672.1919436477453,0.0,,,80000,,0.006460938,,,333.8459871912745,3,41.16599324642955,100,-0.024199633,,,41.16599324642955,,0.12709269239758392,100,,,,-49.01543199095345,1672.1919436477453,107.1552089222093,,5.6319127,0.42087743,107.1552089222093,0.0,0.0,0.0
,4,,-48.85496440221713,620.5678360177864,,0.01,-0.17787538,,,,4468.241246963304,0.0,,,100000,,0.006751494,,,620.5678360177864,4,103.8631800324106,100,0.45855,,,103.8631800324106,,0.15419769614423173,100,,,,-48.85496440221713,4468.241246963304,232.72719141078508,,5.611776,0.6364254,232.72719141078508,0.01,0.0,0.0
,5,,-52.88739077713749,727.3980666916917,,0.06,-0.4393996,,,,3844.335395632815,0.0,,,120000,,0.0058174143,,,727.3980666916917,5,95.43267482394103,100,0.22150488,,,95.43267482394103,,0.15768255972350798,100,,,,-52.88739077713749,3844.335395632815,233.64450340277347,,5.6119227,0.66090447,233.64450340277347,0.06,0.0,0.0
,6,,-51.114388294004385,2788.81049657312,,0.04,-5.801814,,,,24939.816079544125,0.0,,,140000,,0.0076702638,,,2788.81049657312,6,208.08693801959708,100,-3.02065,,,208.08693801959708,,0.2191331088070093,100,,,,-51.114388294004385,24939.816079544125,532.6962320608809,,5.57534,2.7811642,532.6962320608809,0.04,0.0,0.0
,7,,-60.205417180511226,2182.73198018137,,0.06,-3.1761,,,,19175.802890808445,0.0,,,160000,,0.009528531,,,2182.73198018137,7,141.61478147666122,100,-1.2342805,,,141.61478147666122,,0.15109880662781283,100,,,,-60.205417180511226,19175.802890808445,369.3262206535826,,5.539174,1.9418195,369.3262206535826,0.06,0.0,0.0
,8,,-62.4717603746135,3504.366954538663,,0.05,-0.90557575,,,,31302.56708558196,0.0,,,180000,,0.004972901,,,3504.366954538663,8,205.24828582242498,100,1.9259547,,,205.24828582242498,,0.14438729143749196,100,,,,-62.4717603746135,31302.56708558196,615.0546576310214,,5.5168557,2.8315306,615.0546576310214,0.05,0.0,0.0
,9,,-53.99470107928477,1082.6715962105534,,0.07,-0.5893988,,,,7810.510644978449,0.0,,,200000,,0.006107057,,,1082.6715962105534,9,119.86507282393246,100,0.11826211,,,119.86507282393246,,0.1263689251952571,100,,,,-53.99470107928477,7810.510644978449,246.4685256234151,,5.4942474,0.7076609,246.4685256234151,0.07,0.0,0.0
6.328381022144762,10,6.328381022144762,-48.07283203362525,3566.5601213951395,338.5680180151087,0.03,-4.335929,1,0.0,10,35282.0898932262,0.0,0.0,0.1,220000,110.98002936317084,0.0068776924,6.328381022144792,-41.33554815167984,3566.5601213951395,10,153.70346686220861,100,-2.16622,0.1,-41.33554815167984,153.70346686220861,110.98002936317084,0.17028054017066763,100,338.5680180151087,1,10,-48.07283203362525,35282.0898932262,528.4687574531322,6.328381022144792,5.475263,2.169709,528.4687574531322,0.03,0.0,0.0
,11,,-65.19180073503684,8966.629877800979,,0.1,-8.296735,,,,89193.10947363391,0.0,,,240000,,0.0077918847,,,8966.629877800979,11,306.85051116685486,100,0.45757344,,,306.85051116685486,,0.20930551854644042,100,,,,-65.19180073503684,89193.10947363391,1080.684770845668,,5.4584756,8.754309,1080.684770845668,0.1,0.0,0.0
