MetaTest/door-lock-v1/MaxReturn,MetaTest/Average/MinReturn,Average/Iteration,Average/AverageDiscountedReturn,door-lock-v1/NumEpisodes,Average/NumEpisodes,TotalEnvSteps,MetaTest/Average/Iteration,door-lock-v1/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/door-lock-v1/NumEpisodes,door-lock-v1/MaxReturn,Average/TerminationRate,door-lock-v1/StdReturn,MetaTest/Average/MaxReturn,policy/KLBefore,MetaTest/door-lock-v1/MinReturn,MetaTest/Average/SuccessRate,door-lock-v1/SuccessRate,policy/LossBefore,MetaTest/door-lock-v1/AverageDiscountedReturn,policy/LossAfter,MetaTest/door-lock-v1/SuccessRate,Average/MinReturn,MetaTest/door-lock-v1/TerminationRate,Average/AverageReturn,policy/dLoss,MetaTest/door-lock-v1/StdReturn,door-lock-v1/TerminationRate,Average/SuccessRate,MetaTest/Average/NumEpisodes,door-lock-v1/Iteration,MetaTest/door-lock-v1/AverageReturn,policy/Entropy,MetaTest/Average/StdReturn,door-lock-v1/MinReturn,Average/StdReturn,MetaTest/door-lock-v1/Iteration,door-lock-v1/AverageDiscountedReturn,Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,policy/KL,LinearFeatureBaseline/ExplainedVariance
-48.455757629228245,-76.48998838466991,0,-23.50849760184484,100,100,20000,0,-60.120044696131025,0.0,10,-34.571370818711614,0.0,8.615679004175675,-48.455757629228245,0.0,-76.48998838466991,0.0,0.0,-0.012340262,-61.178598262038136,-0.03948351,0.0,-81.80417066066836,0.0,-60.120044696131025,0.027143247,8.689568836687261,0.0,0.0,10,0,-61.17859826203812,5.6768465,8.689568836687261,-81.80417066066836,8.615679004175675,0,-23.50849760184484,-34.571370818711614,-61.178598262038136,-61.17859826203812,0.01605636,0.5991970564539054
,,1,-16.145745091833593,100,100,40000,,-35.12623405066658,,,598.3103312109625,0.0,68.55331914917319,,0.0,,,0.0,-0.056726392,,-0.15432818,,-72.44221816739058,,-35.12623405066658,0.097601786,,0.0,0.0,,1,,5.674859,,-72.44221816739058,68.55331914917319,,-16.145745091833593,598.3103312109625,,,0.024304437,0.09663620836883369
,,2,18.809108275293354,100,100,60000,,37.44480587574731,,,1105.0004326201934,0.0,234.44866095485077,,0.0,,,0.01,0.06666084,,-0.31423065,,-54.993072202609405,,37.44480587574731,0.3808915,,0.0,0.01,,2,,5.6627116,,-54.993072202609405,234.44866095485077,,18.809108275293354,1105.0004326201934,,,0.0089754285,0.11349412457957953
,,3,54.2830241379115,100,100,80000,,147.3800051842483,,,2786.050365060998,0.0,433.8482335079248,,0.0,,,0.01,-0.17364316,,-0.60203636,,-55.89669674171357,,147.3800051842483,0.4283932,,0.0,0.01,,3,,5.6514897,,-55.89669674171357,433.8482335079248,,54.2830241379115,2786.050365060998,,,0.0054828757,0.08633343011963934
,,4,91.69191706274798,100,100,100000,,167.28749338228897,,,1738.6324248643255,0.0,362.6856987494024,,0.0,,,0.01,0.30479786,,-0.22282432,,-48.63137020503884,,167.28749338228897,0.52762216,,0.0,0.01,,4,,5.638084,,-48.63137020503884,362.6856987494024,,91.69191706274798,1738.6324248643255,,,0.0057544936,0.12431340827657644
,,5,29.89384396187589,100,100,120000,,57.45934884605845,,,1027.3964193322813,0.0,233.7816662374794,,0.0,,,0.0,0.07567405,,-0.06540254,,-54.99387165341315,,57.45934884605845,0.1410766,,0.0,0.0,,5,,5.641457,,-54.99387165341315,233.7816662374794,,29.89384396187589,1027.3964193322813,,,0.0073968177,0.12503097920223216
,,6,123.73366839336636,100,100,140000,,296.8367881759982,,,8287.138331534385,0.0,1049.3745893964833,,0.0,,,0.02,0.43446815,,-0.7730041,,-45.90164118576268,,296.8367881759982,1.2074723,,0.0,0.02,,6,,5.6171546,,-45.90164118576268,1049.3745893964833,,123.73366839336636,8287.138331534385,,,0.006055051,0.1605716085421688
,,7,49.21153180433634,100,100,160000,,98.62747291948006,,,1384.4810900351702,0.0,284.2303160505284,,0.0,,,0.01,-0.3352645,,-0.459279,,-43.945714156497665,,98.62747291948006,0.1240145,,0.0,0.01,,7,,5.596786,,-43.945714156497665,284.2303160505284,,49.21153180433634,1384.4810900351702,,,0.00794674,0.1689228874735863
,,8,136.495344843647,100,100,180000,,257.05916774557846,,,2583.633452703072,0.0,474.61866730365205,,0.0,,,0.0,0.22919668,,-0.44272655,,-45.91235476444904,,257.05916774557846,0.6719232,,0.0,0.0,,8,,5.596229,,-45.91235476444904,474.61866730365205,,136.495344843647,2583.633452703072,,,0.009041669,0.12550497289573326
,,9,75.21009340525154,100,100,200000,,137.23852282497273,,,1786.6807190236002,0.0,361.4445344554386,,0.0,,,0.0,0.1247206,,-0.19507226,,-49.68311026634263,,137.23852282497273,0.31979287,,0.0,0.0,,9,,5.583361,,-49.68311026634263,361.4445344554386,,75.21009340525154,1786.6807190236002,,,0.008916252,0.091377686886986
570.521621335232,-40.3441435579207,10,132.64334131226218,100,100,220000,1,273.8271622717223,0.0,10,6840.709296153299,0.0,790.9064808412322,570.521621335232,0.0,-40.3441435579207,0.0,0.01,0.4415981,88.3671224749909,-0.442627,0.0,-48.56737627117493,0.0,273.8271622717223,0.88422513,236.90210695699895,0.0,0.01,10,10,88.36712247499086,5.5615363,236.90210695699895,-48.56737627117493,790.9064808412322,1,132.64334131226218,6840.709296153299,88.3671224749909,88.36712247499086,0.008150333,0.10801354881923408
,,11,143.7856559127502,100,100,240000,,264.5492737344145,,,2094.518634299638,0.0,442.7794863111135,,0.0,,,0.0,0.5322301,,0.0076988284,,-46.47388931483432,,264.5492737344145,0.52453125,,0.0,0.0,,11,,5.547646,,-46.47388931483432,442.7794863111135,,143.7856559127502,2094.518634299638,,,0.004860041,0.15025700197671366
,,12,73.49618678028632,100,100,260000,,155.35247556092236,,,1792.7843844877912,0.0,390.6588977690513,,0.0,,,0.01,-0.48479337,,-0.8697584,,-43.67119280640311,,155.35247556092236,0.38496506,,0.0,0.01,,12,,5.528533,,-43.67119280640311,390.6588977690513,,73.49618678028632,1792.7843844877912,,,0.009836068,0.15593683876856224
,,13,152.58837238059456,100,100,280000,,316.73476472274285,,,5004.584257594839,0.0,685.8992068745451,,0.0,,,0.02,0.52825373,,-0.14447549,,-57.14325529229008,,316.73476472274285,0.67272925,,0.0,0.02,,13,,5.5367427,,-57.14325529229008,685.8992068745451,,152.58837238059456,5004.584257594839,,,0.0051296763,0.12700408582941292
,,14,229.17287087512847,100,100,300000,,515.3346479352984,,,5644.705339382772,0.0,1123.8896464369682,,0.0,,,0.0,1.7812414,,0.5649699,,-49.873240354918764,,515.3346479352984,1.2162715,,0.0,0.0,,14,,5.5174565,,-49.873240354918764,1123.8896464369682,,229.17287087512847,5644.705339382772,,,0.0054876436,0.13032902267044666
,,15,165.23634373556104,100,100,320000,,276.4591963543769,,,2107.246504973418,0.0,503.11366377486337,,0.0,,,0.0,0.615738,,0.066042185,,-48.9599160410828,,276.4591963543769,0.5496958,,0.0,0.0,,15,,5.485992,,-48.9599160410828,503.11366377486337,,165.23634373556104,2107.246504973418,,,0.004889315,0.1793229833606278
,,16,293.60866057925386,100,100,340000,,537.3243403606061,,,5817.4312581580625,0.0,1132.1623708833604,,0.0,,,0.01,0.19618417,,-1.1794146,,-44.75122485026208,,537.3243403606061,1.3755988,,0.0,0.01,,16,,5.4703193,,-44.75122485026208,1132.1623708833604,,293.60866057925386,5817.4312581580625,,,0.00425385,0.2568294910887401
,,17,332.02350005950933,100,100,360000,,669.8800780404268,,,10716.761950898188,0.0,1436.5425259640665,,0.0,,,0.0,-2.2940407,,-3.7037034,,-52.60823180551698,,669.8800780404268,1.4096627,,0.0,0.0,,17,,5.4582744,,-52.60823180551698,1436.5425259640665,,332.02350005950933,10716.761950898188,,,0.0056294133,0.22528601389237857
,,18,374.63497301344853,100,100,380000,,706.038093545751,,,5721.250580837764,0.0,1159.340313155675,,0.0,,,0.01,0.012590625,,-1.6633008,,-51.04534913574726,,706.038093545751,1.6758914,,0.0,0.01,,18,,5.440583,,-51.04534913574726,1159.340313155675,,374.63497301344853,5721.250580837764,,,0.005861788,0.20558816599356955
