Average/TerminationRate,MetaTest/Average/MinReturn,handle-pull-v1/SuccessRate,policy/Entropy,Average/StdReturn,handle-pull-v1/StdReturn,MetaTest/Average/TerminationRate,Average/AverageDiscountedReturn,Average/AverageReturn,Average/MaxReturn,handle-pull-v1/AverageDiscountedReturn,handle-pull-v1/AverageReturn,MetaTest/Average/SuccessRate,policy/KL,TotalEnvSteps,MetaTest/handle-pull-v1/MinReturn,policy/LossAfter,MetaTest/handle-pull-v1/SuccessRate,policy/LossBefore,MetaTest/Average/NumEpisodes,handle-pull-v1/TerminationRate,Average/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,LinearFeatureBaseline/ExplainedVariance,MetaTest/Average/AverageReturn,Average/MinReturn,MetaTest/handle-pull-v1/TerminationRate,MetaTest/Average/StdReturn,MetaTest/handle-pull-v1/NumEpisodes,handle-pull-v1/NumEpisodes,MetaTest/handle-pull-v1/AverageReturn,policy/dLoss,MetaTest/Average/Iteration,MetaTest/handle-pull-v1/Iteration,handle-pull-v1/Iteration,Average/SuccessRate,MetaTest/handle-pull-v1/MaxReturn,handle-pull-v1/MinReturn,Average/Iteration,policy/KLBefore,MetaTest/handle-pull-v1/AverageDiscountedReturn,MetaTest/handle-pull-v1/StdReturn,handle-pull-v1/MaxReturn
0.0,-74.19065621260594,0.0,5.688064,11.377349781618594,11.377349781618594,0.0,-22.086993768867195,-59.35544553375497,-36.34422994551545,-22.086993768867195,-59.35544553375497,0.0,0.008661537,20000,-74.19065621260594,-0.042336952,0.0,-0.010280834,10,0.0,100,-60.661700827864635,-48.35978852570385,0.4466539029358815,-60.66170082786465,-83.89314046206272,0.0,7.396864259579293,10,100,-60.66170082786465,0.03205612,0,0,0,0.0,-48.35978852570385,-83.89314046206272,0,0.0,-60.661700827864635,7.396864259579293,-36.34422994551545
0.0,,0.0,5.6736975,277.29945864185595,277.29945864185595,,1.117167208451634,-4.585159603881064,2412.8565344872436,1.117167208451634,-4.585159603881064,,0.02175888,40000,,-0.15963241,,0.16993086,,0.0,100,,,0.11269121563644025,,-76.58291583364714,,,,100,,0.32956326,,,1,0.0,,-76.58291583364714,1,0.0,,,2412.8565344872436
0.0,,0.0,5.687218,2119.080650329764,2119.080650329764,,251.46502806694687,566.7275424910912,20273.72357493577,251.46502806694687,566.7275424910912,,0.009708354,60000,,-2.0343304,,0.65496486,,0.0,100,,,0.15797649679028236,,-54.06960381871462,,,,100,,2.6892953,,,2,0.0,,-54.06960381871462,2,0.0,,,20273.72357493577
0.0,,0.0,5.6886744,900.3742692434462,900.3742692434462,,192.022947754415,518.8431350821409,3393.4337723365065,192.022947754415,518.8431350821409,,0.015838932,80000,,-0.9137043,,0.3202582,,0.0,100,,,0.20490661583458625,,-48.456686642659456,,,,100,,1.2339625,,,3,0.0,,-48.456686642659456,3,0.0,,,3393.4337723365065
0.0,,0.0,5.6814723,1550.384600589508,1550.384600589508,,518.9342976538801,1158.59450218469,6560.404620156341,518.9342976538801,1158.59450218469,,0.0075485865,100000,,-0.04001797,,2.0060422,,0.0,100,,,0.12196912567794593,,-47.67445431042156,,,,100,,2.0460603,,,4,0.0,,-47.67445431042156,4,0.0,,,6560.404620156341
0.0,,0.01,5.658508,9536.690035669937,9536.690035669937,,844.6584359341816,2148.4922763350687,95292.30367588763,844.6584359341816,2148.4922763350687,,0.005638971,120000,,-15.444184,,-7.721719,,0.0,100,,,0.2463776523889747,,-63.60501432964058,,,,100,,7.7224655,,,5,0.01,,-63.60501432964058,5,0.0,,,95292.30367588763
0.0,,0.0,5.6390862,2108.6266753733,2108.6266753733,,613.1701066714196,1349.7470134224102,8026.897503243771,613.1701066714196,1349.7470134224102,,0.006618911,140000,,-2.1266582,,-0.8025957,,0.0,100,,,0.23385959640111253,,-60.32897093658555,,,,100,,1.3240626,,,6,0.0,,-60.32897093658555,6,0.0,,,8026.897503243771
0.0,,0.0,5.636645,2692.09451056769,2692.09451056769,,1093.494502084807,2256.326566250414,10703.253838580336,1093.494502084807,2256.326566250414,,0.0052872123,160000,,-4.10868,,-1.825147,,0.0,100,,,0.20964070845855554,,-56.75125015563832,,,,100,,2.2835326,,,7,0.0,,-56.75125015563832,7,0.0,,,10703.253838580336
0.0,,0.0,5.655622,2468.8445153777457,2468.8445153777457,,793.3955882000423,1622.916613457158,10219.485906930244,793.3955882000423,1622.916613457158,,0.007316825,180000,,-0.15579219,,1.807289,,0.0,100,,,0.25628013415827844,,-58.960456970458495,,,,100,,1.9630812,,,8,0.0,,-58.960456970458495,8,0.0,,,10219.485906930244
0.0,,0.0,5.648232,2949.6350551144983,2949.6350551144983,,1131.5335913349063,2115.7650311244065,13630.861251349892,1131.5335913349063,2115.7650311244065,,0.0042794594,200000,,-4.2274494,,-2.174847,,0.0,100,,,0.3191872046019346,,-48.58661273974347,,,,100,,2.0526025,,,9,0.0,,-48.58661273974347,9,0.0,,,13630.861251349892
0.0,-32.170340332199515,0.0,5.6266937,4204.163739859279,4204.163739859279,0.0,1367.5975191056389,2957.9723481335623,17315.307380390528,1367.5975191056389,2957.9723481335623,0.0,0.0031959242,220000,-32.170340332199515,0.62957346,0.0,4.304833,10,0.0,100,3643.4542297212915,8757.714721119517,0.2147721205407983,3643.4542297212924,-43.42060675480565,0.0,3405.6839187535006,10,100,3643.4542297212924,3.6752596,1,1,10,0.0,8757.714721119517,-43.42060675480565,10,0.0,3643.4542297212915,3405.6839187535006,17315.307380390528
0.0,,0.0,5.6115746,5020.494184768391,5020.494184768391,,1647.0517641818149,3479.5026562250277,24130.953890490746,1647.0517641818149,3479.5026562250277,,0.00365754,240000,,-0.72761875,,3.1397984,,0.0,100,,,0.34491105544276235,,-50.784083657758735,,,,100,,3.867417,,,11,0.0,,-50.784083657758735,11,0.0,,,24130.953890490746
0.0,,0.0,5.578476,8982.142065309557,8982.142065309557,,1834.188081512483,4181.626702225161,82524.06996666068,1834.188081512483,4181.626702225161,,0.0053186393,260000,,-7.5331826,,0.8453031,,0.0,100,,,0.22998459829621576,,-43.77318344301482,,,,100,,8.378486,,,12,0.0,,-43.77318344301482,12,0.0,,,82524.06996666068
0.0,,0.0,5.5733333,4701.0888006661235,4701.0888006661235,,1719.0681492951524,3955.58154175232,18506.18397016535,1719.0681492951524,3955.58154175232,,0.006738954,280000,,-8.061641,,-3.836517,,0.0,100,,,0.20112896931396984,,-30.55232528187349,,,,100,,4.2251234,,,13,0.0,,-30.55232528187349,13,0.0,,,18506.18397016535
0.0,,0.0,5.554675,5536.2290045461605,5536.2290045461605,,2361.584969292396,5105.640719855841,25809.122938781573,2361.584969292396,5105.640719855841,,0.00635518,300000,,0.48078594,,5.120558,,0.0,100,,,0.2185384412715894,,-36.31043709555548,,,,100,,4.639772,,,14,0.0,,-36.31043709555548,14,0.0,,,25809.122938781573
0.0,,0.0,5.542191,6059.842329563603,6059.842329563603,,1821.5677070331535,3914.2059533137067,26833.247035015836,1821.5677070331535,3914.2059533137067,,0.0049330737,320000,,-7.5312366,,-1.6737531,,0.0,100,,,0.37342724218444967,,-39.18394623088192,,,,100,,5.8574834,,,15,0.0,,-39.18394623088192,15,0.0,,,26833.247035015836
0.0,,0.0,5.5446773,8437.77386373049,8437.77386373049,,2651.6701274114703,5948.330259873203,72105.25073231343,2651.6701274114703,5948.330259873203,,0.005971886,340000,,-8.1345825,,-0.6647016,,0.0,100,,,0.30358953049371673,,-30.450138947259813,,,,100,,7.469881,,,16,0.0,,-30.450138947259813,16,0.0,,,72105.25073231343
0.0,,0.01,5.5289235,11364.030568992483,11364.030568992483,,3063.601952495236,7730.103710023755,99601.10816933107,3063.601952495236,7730.103710023755,,0.0066942694,360000,,2.8728516,,13.621603,,0.0,100,,,0.23964608676359345,,-29.6007155880386,,,,100,,10.748752,,,17,0.01,,-29.6007155880386,17,0.0,,,99601.10816933107
0.0,,0.0,5.512727,7061.892501147337,7061.892501147337,,3024.149900346665,6755.810533320395,30441.7876855361,3024.149900346665,6755.810533320395,,0.007903359,380000,,-0.81294376,,5.082539,,0.0,100,,,0.23794986812130403,,-30.96635377737661,,,,100,,5.895483,,,18,0.0,,-30.96635377737661,18,0.0,,,30441.7876855361
0.0,,0.0,5.4787593,8686.147796364223,8686.147796364223,,3720.7404415130063,8858.88200755235,30692.629418129498,3720.7404415130063,8858.88200755235,,0.0069245766,400000,,-9.892785,,-1.9820406,,0.0,100,,,0.3602642315314796,,-18.020512010554647,,,,100,,7.9107447,,,19,0.0,,-18.020512010554647,19,0.0,,,30692.629418129498
0.0,-16.049519376153818,0.01,5.452164,10023.514164056847,10023.514164056847,0.0,5024.481331184088,11900.811690874547,50360.38641491703,5024.481331184088,11900.811690874547,0.0,0.006160527,420000,-16.049519376153818,-5.1640506,0.0,4.504519,10,0.0,100,8828.56476029562,26547.289042748733,0.2849173106595668,8828.564760295616,-18.594328145149625,0.0,9715.729500494685,10,100,8828.564760295616,9.66857,2,2,20,0.01,26547.289042748733,-18.594328145149625,20,0.0,8828.56476029562,9715.729500494685,50360.38641491703
0.0,,0.01,5.415809,17315.81561435732,17315.81561435732,,5312.171131008591,13482.71457662914,149717.39755465335,5312.171131008591,13482.71457662914,,0.008141731,440000,,-22.475582,,-8.893562,,0.0,100,,,0.29233971227534017,,-16.661729838081843,,,,100,,13.58202,,,21,0.01,,-16.661729838081843,21,0.0,,,149717.39755465335
0.0,,0.0,5.394353,9313.821777085763,9313.821777085763,,5005.617336279819,12097.296657223296,36343.274636444956,5005.617336279819,12097.296657223296,,0.0067514605,460000,,-7.5177565,,3.1679,,0.0,100,,,0.27081352348799437,,-15.473711208820143,,,,100,,10.685657,,,22,0.0,,-15.473711208820143,22,0.0,,,36343.274636444956
0.0,,0.04,5.3456597,18932.743338756467,18932.743338756467,,6073.278488299177,16162.6918728118,99732.8624963723,6073.278488299177,16162.6918728118,,0.006901718,480000,,-15.385325,,6.3405595,,0.0,100,,,0.3168852163092596,,-21.24000399293492,,,,100,,21.725885,,,23,0.04,,-21.24000399293492,23,0.0,,,99732.8624963723
0.0,,0.03,5.3008966,17016.10043397386,17016.10043397386,,6993.710147843418,17570.373111334637,98518.61901976445,6993.710147843418,17570.373111334637,,0.0050439546,500000,,-21.34093,,-5.0048,,0.0,100,,,0.31061991107479914,,-17.79916139046944,,,,100,,16.336132,,,24,0.03,,-17.79916139046944,24,0.0,,,98518.61901976445
0.0,,0.06,5.275916,19312.57584574191,19312.57584574191,,7945.324198715718,20775.063108311326,114507.65983183186,7945.324198715718,20775.063108311326,,0.007680187,520000,,-12.353619,,8.662075,,0.0,100,,,0.3114677268696894,,-15.19424483001441,,,,100,,21.015694,,,25,0.06,,-15.19424483001441,25,0.0,,,114507.65983183186
0.0,,0.09,5.242467,24295.10099483256,24295.10099483256,,7823.104476690214,20807.633467041258,133955.13608466595,7823.104476690214,20807.633467041258,,0.00642921,540000,,-8.5889435,,12.537706,,0.0,100,,,0.38045419351922294,,-16.681192726612043,,,,100,,21.12665,,,26,0.09,,-16.681192726612043,26,0.0,,,133955.13608466595
0.0,,0.06,5.2090635,19738.013016356683,19738.013016356683,,8650.836184217438,22985.45910567378,102179.73966102833,8650.836184217438,22985.45910567378,,0.0070306505,560000,,-14.753507,,0.24062812,,0.0,100,,,0.22011873122650083,,-22.76725888160133,,,,100,,14.994135,,,27,0.06,,-22.76725888160133,27,0.0,,,102179.73966102833
0.0,,0.1,5.1863656,19617.203342449582,19617.203342449582,,8437.346181690715,20536.57876757881,105051.09049850512,8437.346181690715,20536.57876757881,,0.0067110504,580000,,-1.023418,,14.164036,,0.0,100,,,0.2708484803912632,,-16.747314529802814,,,,100,,15.187454,,,28,0.1,,-16.747314529802814,28,0.0,,,105051.09049850512
0.0,,0.15,5.143985,19115.306527851666,19115.306527851666,,10314.37982073713,24101.19922123187,118985.94199511003,10314.37982073713,24101.19922123187,,0.0058402224,600000,,-39.746075,,-19.004038,,0.0,100,,,0.35008828720459007,,-17.604848759389565,,,,100,,20.742037,,,29,0.15,,-17.604848759389565,29,0.0,,,118985.94199511003
0.0,8023.888793309682,0.18,5.1162844,23725.312216757444,23725.312216757444,0.0,10749.491807372735,28539.762667387535,132687.30635717907,10749.491807372735,28539.762667387535,0.0,0.006849827,620000,8023.888793309682,-4.698297,0.0,19.967285,10,0.0,100,24664.205907964697,42953.59070568932,0.23579852717357097,24664.205907964693,-13.06337925523937,0.0,9624.403060294457,10,100,24664.205907964693,24.665583,3,3,30,0.18,42953.59070568932,-13.06337925523937,30,0.0,24664.205907964697,9624.403060294457,132687.30635717907
0.0,,0.18,5.0543184,23730.372610852603,23730.372610852603,,10393.654152893487,28181.01650556727,122160.4616024631,10393.654152893487,28181.01650556727,,0.005419186,640000,,-37.439465,,-13.73635,,0.0,100,,,0.2632389453006342,,-36.751999172010024,,,,100,,23.703114,,,31,0.18,,-36.751999172010024,31,0.0,,,122160.4616024631
0.0,,0.29,5.0148673,24643.82277578935,24643.82277578935,,13550.462351976028,34816.22037303696,109448.27428197752,13550.462351976028,34816.22037303696,,0.0065487074,660000,,-51.96919,,-19.371979,,0.0,100,,,0.32219450086498347,,-15.664753845701009,,,,100,,32.59721,,,32,0.29,,-15.664753845701009,32,0.0,,,109448.27428197752
0.0,,0.14,4.985345,28116.69873322394,28116.69873322394,,12042.528607978988,32031.747785274583,158909.98115076427,12042.528607978988,32031.747785274583,,0.009176076,680000,,-26.782925,,3.29175,,0.0,100,,,0.25039767868870844,,1287.0206670078394,,,,100,,30.074675,,,33,0.14,,1287.0206670078394,33,0.0,,,158909.98115076427
0.0,,0.22,4.949624,34370.83165807308,34370.83165807308,,12172.300072465563,32197.535012081327,204384.65871641095,12172.300072465563,32197.535012081327,,0.0051787826,700000,,-69.2967,,-40.462776,,0.0,100,,,0.2840529530330992,,-30.47663790622975,,,,100,,28.833923,,,34,0.22,,-30.47663790622975,34,0.0,,,204384.65871641095
0.0,,0.32,4.926399,27225.676521633486,27225.676521633486,,14058.656670127952,36966.334308265155,135082.35071830868,14058.656670127952,36966.334308265155,,0.0073580598,720000,,-39.3731,,-16.465513,,0.0,100,,,0.318669655410006,,-28.815198731023486,,,,100,,22.907587,,,35,0.32,,-28.815198731023486,35,0.0,,,135082.35071830868
0.0,,0.39,4.918129,26974.96868009691,26974.96868009691,,16784.67142766772,40995.392043198124,123533.96263100755,16784.67142766772,40995.392043198124,,0.008029248,740000,,-23.967321,,2.5186937,,0.0,100,,,0.3910775000790945,,-32.53680096711786,,,,100,,26.486015,,,36,0.39,,-32.53680096711786,36,0.0,,,123533.96263100755
0.0,,0.3,4.9031787,36955.96730058338,36955.96730058338,,15537.485959422342,42250.491561256655,170236.36872527114,15537.485959422342,42250.491561256655,,0.0044803433,760000,,-47.70943,,-10.7637,,0.0,100,,,0.3869358549267935,,2578.1155827401917,,,,100,,36.945732,,,37,0.3,,2578.1155827401917,37,0.0,,,170236.36872527114
0.0,,0.37,4.911836,35330.74925142575,35330.74925142575,,16001.784342101475,42809.17716265781,163590.5320856254,16001.784342101475,42809.17716265781,,0.0072703133,780000,,-20.269918,,13.614512,,0.0,100,,,0.40622494839047685,,220.354950595981,,,,100,,33.88443,,,38,0.37,,220.354950595981,38,0.0,,,163590.5320856254
0.0,,0.43,4.8713884,45792.71188273526,45792.71188273526,,19589.0657347066,54840.878941050105,213041.75869814152,19589.0657347066,54840.878941050105,,0.0077038184,800000,,-32.967136,,14.136469,,0.0,100,,,0.34097194366111816,,1303.515140509316,,,,100,,47.103607,,,39,0.43,,1303.515140509316,39,0.0,,,213041.75869814152
0.0,7802.831586624683,0.44,4.8328166,41731.04806787793,41731.04806787793,0.0,19921.16203354271,53711.47150620064,199845.4158447992,19921.16203354271,53711.47150620064,0.4,0.0069130836,820000,7802.831586624683,-11.3349,0.4,20.0708,10,0.0,100,47295.28183409678,96818.60146501473,0.4278079815477436,47295.281834096764,3633.698531131164,0.0,31137.377321980737,10,100,47295.281834096764,31.4057,4,4,40,0.44,96818.60146501473,3633.698531131164,40,0.0,47295.28183409678,31137.377321980737,199845.4158447992
0.0,,0.52,4.799348,41420.214555998,41420.214555998,,20873.125914203396,56859.05510692802,171174.52700941305,20873.125914203396,56859.05510692802,,0.007430305,840000,,-41.88347,,-5.287994,,0.0,100,,,0.4024095940448479,,-31.63897878777486,,,,100,,36.595474,,,41,0.52,,-31.63897878777486,41,0.0,,,171174.52700941305
0.0,,0.43,4.7852025,50212.668691739,50212.668691739,,20205.279191790483,60401.76230106989,192359.34124989246,20205.279191790483,60401.76230106989,,0.0061988733,860000,,-5.8176627,,26.209475,,0.0,100,,,0.4935427169654557,,2901.561293989691,,,,100,,32.027138,,,42,0.43,,2901.561293989691,42,0.0,,,192359.34124989246
0.0,,0.45,4.774625,47835.71798170619,47835.71798170619,,20986.830474058177,63667.20099302519,202875.14545345158,20986.830474058177,63667.20099302519,,0.0070128096,880000,,-52.87787,,-13.765425,,0.0,100,,,0.41522440593950016,,-34.89914190482902,,,,100,,39.112442,,,43,0.45,,-34.89914190482902,43,0.0,,,202875.14545345158
0.0,,0.54,4.7832117,47164.611913017296,47164.611913017296,,21249.550626631644,65406.45019611647,205524.83098267333,21249.550626631644,65406.45019611647,,0.007256296,900000,,-39.426086,,-0.5607875,,0.0,100,,,0.40626494591084183,,5103.791574334027,,,,100,,38.8653,,,44,0.54,,5103.791574334027,44,0.0,,,205524.83098267333
0.0,,0.55,4.7767076,49552.78734954464,49552.78734954464,,24171.976158654794,71762.89052088081,237517.69324313983,24171.976158654794,71762.89052088081,,0.006397086,920000,,-85.07145,,-40.272438,,0.0,100,,,0.49778605283478905,,5133.036989856952,,,,100,,44.79901,,,45,0.55,,5133.036989856952,45,0.0,,,237517.69324313983
0.0,,0.51,4.7579274,58770.14233571182,58770.14233571182,,24004.118988453316,73603.46802551424,231931.72413637192,24004.118988453316,73603.46802551424,,0.0073003722,940000,,-93.612885,,-43.854412,,0.0,100,,,0.5392117464199166,,5100.816036086122,,,,100,,49.758472,,,46,0.51,,5100.816036086122,46,0.0,,,231931.72413637192
0.0,,0.51,4.729924,55497.79928419592,55497.79928419592,,23454.473425842225,71780.91376552143,213222.77193251884,23454.473425842225,71780.91376552143,,0.0051763933,960000,,-62.763344,,-22.591322,,0.0,100,,,0.5048237847124872,,-33.26170721700831,,,,100,,40.17202,,,47,0.51,,-33.26170721700831,47,0.0,,,213222.77193251884
0.0,,0.63,4.7125826,59963.9878668105,59963.9878668105,,29539.91468635661,90859.54944425618,235678.7702259261,29539.91468635661,90859.54944425618,,0.0061643356,980000,,-104.98155,,-41.64785,,0.0,100,,,0.5583775497601933,,6810.3801846108145,,,,100,,63.333702,,,48,0.63,,6810.3801846108145,48,0.0,,,235678.7702259261
0.0,,0.6,4.7195435,60761.086456424724,60761.086456424724,,27864.567563093617,87972.60880050041,226369.1714336293,27864.567563093617,87972.60880050041,,0.00689039,1000000,,-57.3809,,-9.272503,,0.0,100,,,0.5090293434658635,,4444.196075427198,,,,100,,48.1084,,,49,0.6,,4444.196075427198,49,0.0,,,226369.1714336293
0.0,2084.8865323463006,0.44,4.735091,66345.11914774867,66345.11914774867,0.0,20529.74253246181,69756.6382181462,239759.43069080607,20529.74253246181,69756.6382181462,0.6,0.0065189074,1020000,2084.8865323463006,-85.865425,0.6,-41.233986,10,0.0,100,77979.42174516358,180417.34148070728,0.5775855791613598,77979.42174516358,1923.4737462136711,0.0,55403.907446478865,10,100,77979.42174516358,44.63144,5,5,50,0.44,180417.34148070728,1923.4737462136711,50,0.0,77979.42174516358,55403.907446478865,239759.43069080607
0.0,,0.65,4.757809,60367.99735487505,60367.99735487505,,28413.384173839055,94076.95231742733,233758.85067605108,28413.384173839055,94076.95231742733,,0.007866615,1040000,,-47.971176,,-7.417719,,0.0,100,,,0.49169783235796083,,-26.85478162263196,,,,100,,40.55346,,,51,0.65,,-26.85478162263196,51,0.0,,,233758.85067605108
0.0,,0.63,4.734726,66032.65309107384,66032.65309107384,,29767.895586940325,97777.98551928837,246567.3840413631,29767.895586940325,97777.98551928837,,0.005182064,1060000,,-54.57427,,-1.2015438,,0.0,100,,,0.5478967196917555,,1678.7196727157843,,,,100,,53.372726,,,52,0.63,,1678.7196727157843,52,0.0,,,246567.3840413631
0.0,,0.49,4.715258,64887.961146300746,64887.961146300746,,23381.693520987985,82541.99017211299,238892.55724293305,23381.693520987985,82541.99017211299,,0.005806828,1080000,,-58.307674,,-10.751312,,0.0,100,,,0.45600265834569065,,3008.1501286031844,,,,100,,47.556362,,,53,0.49,,3008.1501286031844,53,0.0,,,238892.55724293305
