Average/MinReturn,MetaTest/pick-out-of-hole-v1/MinReturn,pick-out-of-hole-v1/StdReturn,MetaTest/Average/TerminationRate,pick-out-of-hole-v1/NumEpisodes,policy/Entropy,MetaTest/Average/StdReturn,Average/AverageReturn,policy/dLoss,MetaTest/pick-out-of-hole-v1/AverageDiscountedReturn,Average/StdReturn,MetaTest/pick-out-of-hole-v1/SuccessRate,pick-out-of-hole-v1/AverageReturn,MetaTest/pick-out-of-hole-v1/StdReturn,MetaTest/pick-out-of-hole-v1/AverageReturn,MetaTest/pick-out-of-hole-v1/NumEpisodes,Average/TerminationRate,policy/LossBefore,Average/NumEpisodes,TotalEnvSteps,MetaTest/Average/MaxReturn,MetaTest/Average/SuccessRate,pick-out-of-hole-v1/AverageDiscountedReturn,policy/LossAfter,Average/SuccessRate,pick-out-of-hole-v1/Iteration,MetaTest/Average/NumEpisodes,MetaTest/Average/Iteration,pick-out-of-hole-v1/MaxReturn,pick-out-of-hole-v1/SuccessRate,Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,pick-out-of-hole-v1/MinReturn,pick-out-of-hole-v1/TerminationRate,Average/AverageDiscountedReturn,MetaTest/pick-out-of-hole-v1/Iteration,MetaTest/pick-out-of-hole-v1/MaxReturn,MetaTest/pick-out-of-hole-v1/TerminationRate,policy/KL,LinearFeatureBaseline/ExplainedVariance,policy/KLBefore,MetaTest/Average/AverageReturn,Average/Iteration,MetaTest/Average/MinReturn
-135.6806360357519,-127.88954868497979,17.65460330256086,0.0,100,5.6902018,15.749575807408238,-91.89552015611116,0.039357256,-96.58774009061634,17.65460330256086,0.0,-91.89552015611116,15.749575807408238,-96.58774009061634,10,0.0,-0.035495516,100,20000,-73.94481441815815,0.0,-35.41314189464178,-0.07485277,0.0,0,10,0,-56.45064752048101,0.0,-56.45064752048101,-96.58774009061634,-135.6806360357519,0.0,-35.41314189464178,0,-73.94481441815815,0.0,0.005474356,0.4198864961851798,0.0,-96.58774009061634,0,-127.88954868497979
-146.89853581853612,,17.24765804848547,,100,5.6828084,,-80.32887980767424,0.024644922,,17.24765804848547,,-80.32887980767424,,,,0.0,-0.02173296,100,40000,,,-31.867259042732016,-0.046377882,0.0,1,,,-36.798561381963104,0.0,-36.798561381963104,,-146.89853581853612,0.0,-31.867259042732016,,,,0.013580286,0.44503705746483135,0.0,,1,
-121.5540286707085,,14.054029443084215,,100,5.6719995,,-61.81426292829528,0.016213285,,14.054029443084215,,-61.81426292829528,,,,0.0,0.0039800233,100,60000,,,-26.235855141011047,-0.012233261,0.0,2,,,-36.40607138533743,0.0,-36.40607138533743,,-121.5540286707085,0.0,-26.235855141011047,,,,0.017876217,0.3913942592077331,0.0,,2,
-93.73161492598479,,11.77820487381391,,100,5.677378,,-59.32962558990188,0.023447206,,11.77820487381391,,-59.32962558990188,,,,0.0,-0.009791663,100,80000,,,-23.780933745867287,-0.03323887,0.0,3,,,-38.790809515278994,0.0,-38.790809515278994,,-93.73161492598479,0.0,-23.780933745867287,,,,0.021912886,0.3978221964650843,0.0,,3,
-87.23189142866237,,11.763016972309318,,100,5.672709,,-51.53893423861363,0.020115511,,11.763016972309318,,-51.53893423861363,,,,0.0,0.0009105911,100,100000,,,-22.455953326774214,-0.01920492,0.0,4,,,-31.06897122567459,0.0,-31.06897122567459,,-87.23189142866237,0.0,-22.455953326774214,,,,0.021774396,0.43645645992978654,0.0,,4,
-87.54822087785469,,10.331846142005189,,100,5.660232,,-54.96074697235563,0.017211193,,10.331846142005189,,-54.96074697235563,,,,0.0,-0.012958478,100,120000,,,-22.084197832703794,-0.030169671,0.0,5,,,-33.748776751124986,0.0,-33.748776751124986,,-87.54822087785469,0.0,-22.084197832703794,,,,0.019565443,0.5085987339274209,0.0,,5,
-74.69619106113454,,9.287206480837957,,100,5.6390815,,-48.66320411273806,0.0114939315,,9.287206480837957,,-48.66320411273806,,,,0.0,0.0011031388,100,140000,,,-21.56024481796594,-0.010390793,0.0,6,,,-35.8821470938636,0.0,-35.8821470938636,,-74.69619106113454,0.0,-21.56024481796594,,,,0.015268643,0.5076752671946734,0.0,,6,
-71.63596335956468,,8.586570766426064,,100,5.625814,,-48.28815970889445,0.007423107,,8.586570766426064,,-48.28815970889445,,,,0.0,-0.0007711914,100,160000,,,-19.949224803638163,-0.0081942985,0.0,7,,,-29.205681693888163,0.0,-29.205681693888163,,-71.63596335956468,0.0,-19.949224803638163,,,,0.009416223,0.400441841731348,0.0,,7,
-80.94289020146117,,7.306345894058041,,100,5.6198277,,-45.984548009109496,0.0051345574,,7.306345894058041,,-45.984548009109496,,,,0.0,-0.009486795,100,180000,,,-19.872300163228793,-0.014621353,0.0,8,,,-35.25345833934623,0.0,-35.25345833934623,,-80.94289020146117,0.0,-19.872300163228793,,,,0.010707831,0.3909952951894893,0.0,,8,
-73.67572115257357,,8.309289203010792,,100,5.603431,,-45.11560278779663,0.004577524,,8.309289203010792,,-45.11560278779663,,,,0.0,-0.0121132275,100,200000,,,-19.628791787107133,-0.016690752,0.0,9,,,-34.57568373507776,0.0,-34.57568373507776,,-73.67572115257357,0.0,-19.628791787107133,,,,0.016908472,0.48717703330928763,0.0,,9,
-78.56532107080257,-67.14925599342497,9.274447364472731,0.0,100,5.5888605,8.116357352125313,-53.719467119414794,0.00873021,-51.258595088961656,9.274447364472731,0.0,-53.719467119414794,8.116357352125313,-51.25859508896165,10,0.0,-0.0041794092,100,220000,-41.871832625655465,0.0,-21.080003749970157,-0.012909619,0.0,10,10,1,-38.27280660244138,0.0,-38.27280660244138,-51.258595088961656,-78.56532107080257,0.0,-21.080003749970157,1,-41.871832625655465,0.0,0.022641247,0.4937970115632726,0.0,-51.25859508896165,10,-67.14925599342497
-67.97972689663122,,6.058968628879919,,100,5.581515,,-45.40584533039558,0.010459117,,6.058968628879919,,-45.40584533039558,,,,0.0,-0.009749196,100,240000,,,-19.714281382793754,-0.020208312,0.0,11,,,-35.955488324599585,0.0,-35.955488324599585,,-67.97972689663122,0.0,-19.714281382793754,,,,0.022415917,0.45075475692279254,0.0,,11,
-79.60162358483318,,10.058391833778856,,100,5.5726447,,-51.546745647432935,0.015484141,,10.058391833778856,,-51.546745647432935,,,,0.0,-0.005976819,100,260000,,,-20.346003718370106,-0.02146096,0.0,12,,,-33.97556016469946,0.0,-33.97556016469946,,-79.60162358483318,0.0,-20.346003718370106,,,,0.022740377,0.41057044825464284,0.0,,12,
-71.98043009481681,,6.276618969760842,,100,5.56491,,-43.69052576453639,0.0061292634,,6.276618969760842,,-43.69052576453639,,,,0.0,-0.00039293212,100,280000,,,-18.860152276810958,-0.0065221954,0.0,13,,,-32.45161154963093,0.0,-32.45161154963093,,-71.98043009481681,0.0,-18.860152276810958,,,,0.009684654,0.43723328408623663,0.0,,13,
-70.2735338665323,,6.765937048645559,,100,5.560783,,-43.167501198593975,0.005974167,,6.765937048645559,,-43.167501198593975,,,,0.0,0.0014208268,100,300000,,,-18.587039492821344,-0.0045533404,0.0,14,,,-32.93691923730647,0.0,-32.93691923730647,,-70.2735338665323,0.0,-18.587039492821344,,,,0.010329937,0.46516845594642897,0.0,,14,
-54.814924931435385,,4.399922194372115,,100,5.55631,,-42.380704013263596,0.002477605,,4.399922194372115,,-42.380704013263596,,,,0.0,-0.00375559,100,320000,,,-18.496133310767643,-0.006233195,0.0,15,,,-33.57496071369981,0.0,-33.57496071369981,,-54.814924931435385,0.0,-18.496133310767643,,,,0.0019139855,0.41566218242717323,0.0,,15,
-53.198870497440744,,4.57402421070502,,100,5.549533,,-41.38921419253502,-0.00075912196,,4.57402421070502,,-41.38921419253502,,,,0.0,-0.0063548204,100,340000,,,-18.32408651322591,-0.0055956985,0.0,16,,,-33.46891110891741,0.0,-33.46891110891741,,-53.198870497440744,0.0,-18.32408651322591,,,,0.008218164,0.44313627055336235,0.0,,16,
-68.92659987465271,,7.702164953205333,,100,5.5503693,,-45.17803783739015,0.012397241,,7.702164953205333,,-45.17803783739015,,,,0.0,-0.0071719605,100,360000,,,-18.73365676298615,-0.019569201,0.0,17,,,-33.92928508743991,0.0,-33.92928508743991,,-68.92659987465271,0.0,-18.73365676298615,,,,0.021557821,0.46775243322364657,0.0,,17,
