pick-out-of-hole-v1/AverageReturn,TotalEnvSteps,pick-out-of-hole-v1/StdReturn,Average/AverageDiscountedReturn,pick-out-of-hole-v1/MaxReturn,Average/AverageReturn,Average/MaxReturn,MetaTest/pick-out-of-hole-v1/StdReturn,policy/dLoss,MetaTest/pick-out-of-hole-v1/TerminationRate,MetaTest/Average/Iteration,pick-out-of-hole-v1/SuccessRate,MetaTest/pick-out-of-hole-v1/AverageReturn,Average/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,policy/Entropy,MetaTest/Average/AverageReturn,MetaTest/Average/NumEpisodes,policy/KLBefore,policy/LossAfter,Average/NumEpisodes,MetaTest/pick-out-of-hole-v1/AverageDiscountedReturn,Average/SuccessRate,MetaTest/pick-out-of-hole-v1/MaxReturn,MetaTest/Average/SuccessRate,Average/TerminationRate,pick-out-of-hole-v1/Iteration,LinearFeatureBaseline/ExplainedVariance,Average/MinReturn,MetaTest/pick-out-of-hole-v1/SuccessRate,MetaTest/pick-out-of-hole-v1/NumEpisodes,MetaTest/pick-out-of-hole-v1/Iteration,MetaTest/pick-out-of-hole-v1/MinReturn,MetaTest/Average/MinReturn,pick-out-of-hole-v1/MinReturn,MetaTest/Average/StdReturn,policy/LossBefore,pick-out-of-hole-v1/TerminationRate,pick-out-of-hole-v1/AverageDiscountedReturn,policy/KL,MetaTest/Average/MaxReturn,Average/Iteration,pick-out-of-hole-v1/NumEpisodes
-93.39146174729493,20000,15.652987465124816,-35.98023280334687,-57.99552964037137,-93.39146174729493,-57.99552964037137,7.493846811265538,0.023572275,0.0,0,0.0,-90.91666454720871,15.652987465124816,-90.9166645472087,0.0,5.669204,-90.91666454720871,10,0.0,-0.04114301,100,-90.9166645472087,0.0,-80.79441940613896,0.0,0.0,0,0.34170632330560424,-134.11078949819182,0.0,10,0,-102.17201947228392,-102.17201947228392,-134.11078949819182,7.493846811265538,-0.017570736,0.0,-35.98023280334687,0.004650379,-80.79441940613896,0,100
-79.35617914031171,40000,16.11292347065743,-31.526083857333305,-43.16973046812465,-79.35617914031171,-43.16973046812465,,0.03175758,,,0.0,,16.11292347065743,,,5.673251,,,0.0,-0.048652306,100,,0.0,,,0.0,1,0.4223221631266397,-115.66411885861699,,,,,,-115.66411885861699,,-0.016894726,0.0,-31.526083857333305,0.014763449,,1,100
-63.935115670198265,60000,12.950552826543154,-26.471846109069485,-40.617950778505566,-63.935115670198265,-40.617950778505566,,0.023663249,,,0.0,,12.950552826543154,,,5.674909,,,0.0,-0.06327076,100,,0.0,,,0.0,2,0.3548176232162291,-112.39078655229527,,,,,,-112.39078655229527,,-0.039607514,0.0,-26.471846109069485,0.014291668,,2,100
-53.31849435793742,80000,9.01763547773016,-22.828907256230785,-33.75982964770906,-53.31849435793742,-33.75982964770906,,0.012262883,,,0.0,,9.01763547773016,,,5.66511,,,0.0,-0.027749121,100,,0.0,,,0.0,3,0.44929103206139454,-74.45963476530446,,,,,,-74.45963476530446,,-0.0154862385,0.0,-22.828907256230785,0.016346944,,3,100
-50.62533507382662,100000,11.510230891084941,-22.343376859231366,-32.51268076871764,-50.62533507382662,-32.51268076871764,,0.017394517,,,0.0,,11.510230891084941,,,5.6510763,,,0.0,-0.027924497,100,,0.0,,,0.0,4,0.48546203115877395,-89.12963345330094,,,,,,-89.12963345330094,,-0.01052998,0.0,-22.343376859231366,0.021439174,,4,100
-56.639566605436286,120000,12.185158059910224,-22.8178130046381,-36.03616021756696,-56.639566605436286,-36.03616021756696,,0.01600651,,,0.0,,12.185158059910224,,,5.6338677,,,0.0,-0.030813169,100,,0.0,,,0.0,5,0.482699777581309,-100.0762589922263,,,,,,-100.0762589922263,,-0.014806659,0.0,-22.8178130046381,0.024764523,,5,100
-46.92099851882153,140000,9.494997036118365,-20.847728192481746,-32.0657835612601,-46.92099851882153,-32.0657835612601,,0.014972631,,,0.0,,9.494997036118365,,,5.618815,,,0.0,-0.020805506,100,,0.0,,,0.0,6,0.5001875807218303,-83.19242805190933,,,,,,-83.19242805190933,,-0.005832875,0.0,-20.847728192481746,0.021366999,,6,100
-51.7587925530672,160000,10.330722628424391,-21.008662083843706,-35.340953442764125,-51.7587925530672,-35.340953442764125,,0.013177348,,,0.0,,10.330722628424391,,,5.6039577,,,0.0,-0.01922884,100,,0.0,,,0.0,7,0.5202655797370199,-86.11805666329712,,,,,,-86.11805666329712,,-0.0060514924,0.0,-21.008662083843706,0.01823547,,7,100
-43.11017043345989,180000,6.184939286491132,-19.08604216595803,-32.48806159943943,-43.11017043345989,-32.48806159943943,,0.0027458793,,,0.0,,6.184939286491132,,,5.591952,,,0.0,-0.009405582,100,,0.0,,,0.0,8,0.4086180022020307,-66.97390216415091,,,,,,-66.97390216415091,,-0.006659703,0.0,-19.08604216595803,0.006749971,,8,100
-43.97963873859972,200000,6.2535116694125925,-19.0746004114382,-35.20737316277835,-43.97963873859972,-35.20737316277835,,-0.0032288565,,,0.0,,6.2535116694125925,,,5.5797653,,,0.0,-0.0033143295,100,,0.0,,,0.0,9,0.3690289899132122,-71.06100768060847,,,,,,-71.06100768060847,,-0.006543186,0.0,-19.0746004114382,0.005677259,,9,100
-50.22737386879666,220000,9.444211078913543,-20.21988416074028,-33.685105931663536,-50.22737386879666,-33.685105931663536,8.401189355375925,0.01073266,0.0,1,0.0,-51.0956020475297,9.444211078913543,-51.0956020475297,0.0,5.56348,-51.0956020475297,10,0.0,-0.016274069,100,-51.0956020475297,0.0,-38.89061382728629,0.0,0.0,10,0.45212488631762704,-87.24661359780896,0.0,10,1,-67.2189412063575,-67.2189412063575,-87.24661359780896,8.401189355375925,-0.005541408,0.0,-20.21988416074028,0.024301112,-38.89061382728629,10,100
-46.37274291960644,240000,7.020948741624129,-20.169339154682106,-33.13777806951761,-46.37274291960644,-33.13777806951761,,0.013311023,,,0.0,,7.020948741624129,,,5.5504155,,,0.0,-0.014323313,100,,0.0,,,0.0,11,0.5053605447601939,-65.46408193903659,,,,,,-65.46408193903659,,-0.0010122894,0.0,-20.169339154682106,0.025369797,,11,100
-49.424355679859154,260000,8.482178481678025,-20.013454785137114,-35.145432550805694,-49.424355679859154,-35.145432550805694,,0.013876443,,,0.0,,8.482178481678025,,,5.54365,,,0.0,-0.018402563,100,,0.0,,,0.0,12,0.43203419617584193,-78.5867564340542,,,,,,-78.5867564340542,,-0.0045261206,0.0,-20.013454785137114,0.016726907,,12,100
-42.976443715795114,280000,5.365621904861022,-18.70734021751788,-34.79099429967877,-42.976443715795114,-34.79099429967877,,-0.0010298118,,,0.0,,5.365621904861022,,,5.530719,,,0.0,-0.0067021293,100,,0.0,,,0.0,13,0.42653161537934703,-60.349364982833265,,,,,,-60.349364982833265,,-0.007731941,0.0,-18.70734021751788,0.005044649,,13,100
-42.52481716762393,300000,5.951864915369708,-18.598954169263244,-32.61806125358672,-42.52481716762393,-32.61806125358672,,-0.001815747,,,0.0,,5.951864915369708,,,5.5090766,,,0.0,-0.0075103273,100,,0.0,,,0.0,14,0.4915858768695406,-66.18775349543992,,,,,,-66.18775349543992,,-0.009326074,0.0,-18.598954169263244,0.01473851,,14,100
-49.778172905433046,320000,8.775420931342195,-19.702632783883377,-34.541683953328075,-49.778172905433046,-34.541683953328075,,0.00661499,,,0.0,,8.775420931342195,,,5.4962106,,,0.0,-0.004485739,100,,0.0,,,0.0,15,0.42135257005165605,-76.75023287799775,,,,,,-76.75023287799775,,0.0021292511,0.0,-19.702632783883377,0.020343393,,15,100
-41.863697527489,340000,4.907927126298681,-18.446407175679987,-33.12637003360957,-41.863697527489,-33.12637003360957,,0.0054991655,,,0.0,,4.907927126298681,,,5.486015,,,0.0,-0.010420299,100,,0.0,,,0.0,16,0.4584626310989012,-55.849004058618455,,,,,,-55.849004058618455,,-0.0049211336,0.0,-18.446407175679987,0.019593352,,16,100
-48.35449957098607,360000,8.530201784615997,-19.306839393627428,-34.762230227569994,-48.35449957098607,-34.762230227569994,,0.010924787,,,0.0,,8.530201784615997,,,5.4760385,,,0.0,-0.019310439,100,,0.0,,,0.0,17,0.4460818215465042,-75.03838719627248,,,,,,-75.03838719627248,,-0.008385652,0.0,-19.306839393627428,0.025146097,,17,100
