TotalEnvSteps,pick-place-v1/MaxReturn,Average/SuccessRate,policy/dLoss,pick-place-v1/StdReturn,MetaTest/Average/SuccessRate,policy/Entropy,Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,Average/TerminationRate,pick-place-v1/SuccessRate,policy/KLBefore,policy/KL,pick-place-v1/AverageDiscountedReturn,pick-place-v1/TerminationRate,Average/MaxReturn,MetaTest/pick-place-v1/MinReturn,MetaTest/pick-place-v1/SuccessRate,MetaTest/pick-place-v1/AverageDiscountedReturn,pick-place-v1/MinReturn,MetaTest/Average/StdReturn,MetaTest/Average/Iteration,MetaTest/pick-place-v1/Iteration,MetaTest/pick-place-v1/AverageReturn,MetaTest/pick-place-v1/MaxReturn,MetaTest/Average/NumEpisodes,pick-place-v1/AverageReturn,MetaTest/pick-place-v1/TerminationRate,Average/MinReturn,Average/AverageReturn,Average/NumEpisodes,pick-place-v1/NumEpisodes,MetaTest/pick-place-v1/StdReturn,pick-place-v1/Iteration,Average/StdReturn,LinearFeatureBaseline/ExplainedVariance,Average/AverageDiscountedReturn,policy/LossAfter,MetaTest/Average/MinReturn,policy/LossBefore,MetaTest/pick-place-v1/NumEpisodes,MetaTest/Average/AverageDiscountedReturn
20000,-39.23829791404867,0.0,0.033205792,16.46696045686258,0.0,5.686401,0,0.0,-68.00283777566614,-47.85824565235532,0.0,0.0,0.0,0.005796643,-24.54040610342983,0.0,-39.23829791404867,-81.60612865297082,0.0,-68.00283777566615,-112.30661896886643,12.415647526513087,0,0,-68.00283777566614,-47.85824565235532,10,-70.28049514788763,0.0,-112.30661896886643,-70.28049514788763,100,100,12.415647526513087,0,16.46696045686258,0.36242809300579126,-24.54040610342983,-0.05977317,-81.60612865297082,-0.026567379,10,-68.00283777566615
40000,-32.14299961548095,0.0,0.01670247,15.129316417462741,,5.6866217,1,,,,0.0,0.0,0.0,0.009139576,-20.901042786644044,0.0,-32.14299961548095,,,,-94.39265648296417,,,,,,,-57.311804527402764,,-94.39265648296417,-57.311804527402764,100,100,,1,15.129316417462741,0.35687657620514335,-20.901042786644044,-0.03499444,,-0.018291969,,
60000,-23.865247949306614,0.0,0.017681003,17.355564686464746,,5.6716714,2,,,,0.0,0.0,0.0,0.019065576,-20.08964748710487,0.0,-23.865247949306614,,,,-107.47020099430961,,,,,,,-55.514297539050055,,-107.47020099430961,-55.514297539050055,100,100,,2,17.355564686464746,0.5424764050459956,-20.08964748710487,-0.025660379,,-0.007979376,,
80000,529.4961158908619,0.0,0.05350161,60.41675091651674,,5.6385427,3,,,,0.0,0.0,0.0,0.011789401,-17.9666502704706,0.0,529.4961158908619,,,,-96.47009500589952,,,,,,,-43.1856592851282,,-96.47009500589952,-43.1856592851282,100,100,,3,60.41675091651674,0.1318942635770608,-17.9666502704706,0.009206909,,0.06270852,,
100000,-12.33921736770106,0.0,0.008270342,14.303953790244078,,5.618525,4,,,,0.0,0.0,0.0,0.014586434,-18.22450672670145,0.0,-12.33921736770106,,,,-96.15400003386985,,,,,,,-47.38067344083797,,-96.15400003386985,-47.38067344083797,100,100,,4,14.303953790244078,0.39918451093325324,-18.22450672670145,-0.024866594,,-0.016596252,,
120000,-27.362088956504817,0.0,0.021548044,14.299670330934273,,5.6151514,5,,,,0.0,0.0,0.0,0.010348225,-18.79713893464386,0.0,-27.362088956504817,,,,-87.03155463870894,,,,,,,-51.61102630235944,,-87.03155463870894,-51.61102630235944,100,100,,5,14.299670330934273,0.4882670911041137,-18.79713893464386,-0.032082215,,-0.01053417,,
140000,55.93479408217427,0.0,0.004359763,15.02296668177675,,5.6123114,6,,,,0.0,0.0,0.0,0.010465304,-16.097489708749553,0.0,55.93479408217427,,,,-82.30673217024149,,,,,,,-41.31660015319682,,-82.30673217024149,-41.31660015319682,100,100,,6,15.02296668177675,0.34488465409907043,-16.097489708749553,-0.017934177,,-0.013574414,,
160000,102.49050183814694,0.0,0.025257958,24.02689582863684,,5.607264,7,,,,0.0,0.0,0.0,0.017148664,-18.963018793558817,0.0,102.49050183814694,,,,-98.08067837360936,,,,,,,-49.11367426090168,,-98.08067837360936,-49.11367426090168,100,100,,7,24.02689582863684,0.3428031578024906,-18.963018793558817,-0.047223784,,-0.021965826,,
180000,-25.313756456803983,0.0,0.004770115,12.98051722920464,,5.598315,8,,,,0.0,0.0,0.0,0.002298317,-16.62860932953007,0.0,-25.313756456803983,,,,-86.95191672109883,,,,,,,-43.126018393949245,,-86.95191672109883,-43.126018393949245,100,100,,8,12.98051722920464,0.4288748098452213,-16.62860932953007,-0.023978692,,-0.019208577,,
200000,-23.472365009110206,0.0,0.000103778206,10.297674964486436,,5.5896907,9,,,,0.0,0.0,0.0,0.003313298,-16.021268632692898,0.0,-23.472365009110206,,,,-83.37401200641763,,,,,,,-40.422897610006764,,-83.37401200641763,-40.422897610006764,100,100,,9,10.297674964486436,0.3921639308916337,-16.021268632692898,-0.0061896606,,-0.0060858824,,
