MetaTest/Average/Iteration,Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/pick-place-wall-v1/Iteration,Average/SuccessRate,MetaTest/pick-place-wall-v1/AverageDiscountedReturn,policy/Entropy,policy/LossBefore,pick-place-wall-v1/AverageReturn,pick-place-wall-v1/TerminationRate,pick-place-wall-v1/NumEpisodes,policy/KLBefore,MetaTest/Average/SuccessRate,MetaTest/Average/StdReturn,MetaTest/pick-place-wall-v1/TerminationRate,MetaTest/pick-place-wall-v1/StdReturn,MetaTest/pick-place-wall-v1/SuccessRate,LinearFeatureBaseline/ExplainedVariance,pick-place-wall-v1/MinReturn,policy/LossAfter,pick-place-wall-v1/StdReturn,MetaTest/Average/MaxReturn,Average/TerminationRate,pick-place-wall-v1/AverageDiscountedReturn,Average/MaxReturn,Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,Average/MinReturn,Average/AverageDiscountedReturn,Average/StdReturn,policy/KL,MetaTest/pick-place-wall-v1/NumEpisodes,MetaTest/Average/MinReturn,MetaTest/Average/NumEpisodes,MetaTest/pick-place-wall-v1/MaxReturn,pick-place-wall-v1/Iteration,MetaTest/pick-place-wall-v1/AverageReturn,pick-place-wall-v1/SuccessRate,Average/NumEpisodes,policy/dLoss,MetaTest/pick-place-wall-v1/MinReturn,pick-place-wall-v1/MaxReturn,TotalEnvSteps,MetaTest/Average/AverageReturn
0,0,0.0,0,0.0,-56.9398494106101,5.6614046,-0.022909159,-63.41963869108183,0.0,100,0.0,0.0,10.957555895928934,0.0,10.957555895928934,0.0,0.34997898777165715,-99.74754354000235,-0.045384247,14.93875201075915,-41.212296613895745,0.0,-21.84681511545283,-32.36226980175263,-63.41963869108183,-56.9398494106101,-99.74754354000235,-21.84681511545283,14.93875201075915,0.0055478523,10,-77.06742181917829,10,-41.212296613895745,0,-56.9398494106101,0.0,100,0.022475088,-77.06742181917829,-32.36226980175263,20000,-56.9398494106101
,1,,,0.0,,5.670074,-0.0009893677,-49.702938806445545,0.0,100,0.0,,,,,,0.2930629179713822,-81.07768312675998,-0.018744322,14.062486383181652,,0.0,-18.02600781887065,-11.006346209527232,-49.702938806445545,,-81.07768312675998,-18.02600781887065,14.062486383181652,0.0115861315,,,,,1,,0.0,100,0.017754953,,-11.006346209527232,40000,
,2,,,0.0,,5.6776814,-0.021141192,-45.1209864108629,0.0,100,0.0,,,,,,0.23145268730814117,-82.96213243486766,-0.035819538,13.501715546298552,,0.0,-16.820361347825965,9.589302537862038,-45.1209864108629,,-82.96213243486766,-16.820361347825965,13.501715546298552,0.011698342,,,,,2,,0.0,100,0.014678346,,9.589302537862038,60000,
,3,,,0.0,,5.669561,-0.0015861938,-41.32286453866653,0.0,100,0.0,,,,,,0.2128552629238849,-83.25870052948294,-0.020564191,22.754623132482266,,0.0,-15.911026617581108,141.37003072509202,-41.32286453866653,,-83.25870052948294,-15.911026617581108,22.754623132482266,0.00957877,,,,,3,,0.0,100,0.018977998,,141.37003072509202,80000,
,4,,,0.0,,5.6488824,-0.018248212,-38.07699997138879,0.0,100,0.0,,,,,,0.29699255277536896,-83.59664775091895,-0.025925415,18.585723792972484,,0.0,-14.80063264176635,72.42440533986357,-38.07699997138879,,-83.59664775091895,-14.80063264176635,18.585723792972484,0.0057714875,,,,,4,,0.0,100,0.007677203,,72.42440533986357,100000,
,5,,,0.0,,5.6420603,-0.008287123,-35.01105835049043,0.0,100,0.0,,,,,,0.37890315110944905,-75.52472744880221,-0.030443842,30.9485441867285,,0.0,-14.04676914202583,178.4039056582116,-35.01105835049043,,-75.52472744880221,-14.04676914202583,30.9485441867285,0.004816052,,,,,5,,0.0,100,0.02215672,,178.4039056582116,120000,
,6,,,0.0,,5.6276727,0.0021733704,-36.368382868306306,0.0,100,0.0,,,,,,0.26745256902024905,-106.03811544195328,-0.034080092,41.32828404654598,,0.0,-14.67695848082476,162.5509911571789,-36.368382868306306,,-106.03811544195328,-14.67695848082476,41.32828404654598,0.0074482756,,,,,6,,0.0,100,0.036253463,,162.5509911571789,140000,
,7,,,0.0,,5.610621,-0.0076030823,-39.96168635091804,0.0,100,0.0,,,,,,0.23577724355799978,-78.94034054908536,-0.0360695,24.57396532859527,,0.0,-15.655686950604574,102.4250717601344,-39.96168635091804,,-78.94034054908536,-15.655686950604574,24.57396532859527,0.011317555,,,,,7,,0.0,100,0.028466418,,102.4250717601344,160000,
,8,,,0.0,,5.5921226,0.010117975,-36.65817282229323,0.0,100,0.0,,,,,,0.28478658291368564,-81.27991958571303,-0.0032778624,26.495729780456013,,0.0,-14.651442811749543,129.13055248307626,-36.65817282229323,,-81.27991958571303,-14.651442811749543,26.495729780456013,0.008699872,,,,,8,,0.0,100,0.0133958375,,129.13055248307626,180000,
,9,,,0.0,,5.585025,0.014399072,-37.071915108804426,0.0,100,0.0,,,,,,0.2805988427090036,-77.4267161525643,-0.0065135374,28.152508403815514,,0.0,-14.959848089092786,184.45063219784512,-37.071915108804426,,-77.4267161525643,-14.959848089092786,28.152508403815514,0.010318249,,,,,9,,0.0,100,0.02091261,,184.45063219784512,200000,
