MetaTest/plate-slide-back-side-v1/MinReturn,MetaTest/plate-slide-back-side-v1/SuccessRate,MetaTest/Average/StdReturn,TotalEnvSteps,plate-slide-back-side-v1/MaxReturn,Average/AverageReturn,Average/NumEpisodes,MetaTest/plate-slide-back-side-v1/Iteration,MetaTest/Average/MaxReturn,plate-slide-back-side-v1/Iteration,plate-slide-back-side-v1/AverageReturn,MetaTest/plate-slide-back-side-v1/NumEpisodes,Average/StdReturn,MetaTest/plate-slide-back-side-v1/MaxReturn,Average/TerminationRate,plate-slide-back-side-v1/MinReturn,Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,plate-slide-back-side-v1/SuccessRate,plate-slide-back-side-v1/TerminationRate,Average/Iteration,plate-slide-back-side-v1/AverageDiscountedReturn,MetaTest/plate-slide-back-side-v1/AverageDiscountedReturn,plate-slide-back-side-v1/StdReturn,Average/SuccessRate,Average/MaxReturn,policy/LossBefore,policy/LossAfter,MetaTest/Average/SuccessRate,policy/Entropy,MetaTest/Average/NumEpisodes,MetaTest/plate-slide-back-side-v1/StdReturn,MetaTest/plate-slide-back-side-v1/TerminationRate,policy/KLBefore,MetaTest/plate-slide-back-side-v1/AverageReturn,MetaTest/Average/Iteration,Average/MinReturn,plate-slide-back-side-v1/NumEpisodes,policy/dLoss,LinearFeatureBaseline/ExplainedVariance,policy/KL,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn
-85.64815934991312,0.0,8.927761726971442,20000,-48.480366598172196,-76.32019539887472,100,0,-57.8517048329829,0,-76.32019539887472,10,9.752630020537225,-57.8517048329829,0.0,-101.15043509501713,-29.581785047706973,-85.64815934991312,0.0,0.0,0,-29.581785047706973,-71.96963805126921,9.752630020537225,0.0,-48.480366598172196,-0.021986093,-0.05046862,0.0,5.695962,10,8.927761726971442,0.0,0.0,-71.96963805126921,0,-101.15043509501713,100,0.028482527,0.5145887529011008,0.006934024,0.0,-71.96963805126921,-71.96963805126921
,,,40000,-44.1753808295549,-63.63704452856527,100,,,1,-63.63704452856527,,8.880061364143723,,0.0,-83.7766661717915,-25.65012936006386,,0.0,0.0,1,-25.65012936006386,,8.880061364143723,0.0,-44.1753808295549,-0.013319785,-0.03927971,,5.706376,,,,0.0,,,-83.7766661717915,100,0.025959926,0.565883846562883,0.022338526,,,
,,,60000,75.2619821065534,-41.00109060537648,100,,,2,-41.00109060537648,,16.920298835971995,,0.0,-67.88096297881826,-18.709984434975144,,0.0,0.0,2,-18.709984434975144,,16.920298835971995,0.0,75.2619821065534,0.00042302857,-0.026408887,,5.6854377,,,,0.0,,,-67.88096297881826,100,0.026831916,0.2641882061358888,0.03738547,,,
,,,80000,1315.4680290955587,9.708161682679878,100,,,3,9.708161682679878,,191.74039029569258,,0.0,-44.27074844181849,-1.391965909830203,,0.0,0.0,3,-1.391965909830203,,191.74039029569258,0.0,1315.4680290955587,-0.002238208,-0.22324751,,5.653129,,,,0.0,,,-44.27074844181849,100,0.2210093,0.12536420989766228,0.007595491,,,
,,,100000,2961.2995731487235,68.95377421237188,100,,,4,68.95377421237188,,353.9959297530088,,0.0,-44.92390172051915,21.279284223237973,,0.0,0.0,4,21.279284223237973,,353.9959297530088,0.0,2961.2995731487235,0.08294009,-0.2734205,,5.61103,,,,0.0,,,-44.92390172051915,100,0.3563606,0.055946614605026035,0.00740289,,,
,,,120000,3505.45394213939,32.45119260996524,100,,,5,32.45119260996524,,372.9150228333163,,0.0,-39.67663394341327,7.201174134586807,,0.0,0.0,5,7.201174134586807,,372.9150228333163,0.0,3505.45394213939,-0.25253066,-0.512109,,5.610061,,,,0.0,,,-39.67663394341327,100,0.25957832,0.052292941509895496,0.0071068276,,,
,,,140000,15582.837754406155,373.17977499088823,100,,,6,373.17977499088823,,1751.1012556050798,,0.0,-43.10749500942385,106.86124152186781,,0.02,0.0,6,106.86124152186781,,1751.1012556050798,0.02,15582.837754406155,0.05179375,-2.4375937,,5.563212,,,,0.0,,,-43.10749500942385,100,2.4893875,0.1578787434770299,0.008366323,,,
,,,160000,9410.214939594958,180.76227793693866,100,,,7,180.76227793693866,,997.5776160894586,,0.0,-38.266066579381985,49.922135322036866,,0.01,0.0,7,49.922135322036866,,997.5776160894586,0.01,9410.214939594958,-0.08465586,-0.9701844,,5.537635,,,,0.0,,,-38.266066579381985,100,0.8855285,0.34206028518114284,0.00811087,,,
,,,180000,4909.017799144216,192.0936219470528,100,,,8,192.0936219470528,,748.8470436603017,,0.0,-33.53598724050306,67.03375031462919,,0.0,0.0,8,67.03375031462919,,748.8470436603017,0.0,4909.017799144216,-0.39468202,-1.2070965,,5.527066,,,,0.0,,,-33.53598724050306,100,0.8124144,0.10902976933463582,0.011975066,,,
,,,200000,45341.778131910265,528.7388611319706,100,,,9,528.7388611319706,,4534.031824716345,,0.0,-45.09184671617297,154.8180852201455,,0.01,0.0,9,154.8180852201455,,4534.031824716345,0.01,45341.778131910265,0.78603673,-4.0906835,,5.5043335,,,,0.0,,,-45.09184671617297,100,4.8767204,0.23680978574060896,0.0059782853,,,
