MetaTest/push-v1/AverageDiscountedReturn,policy/Entropy,MetaTest/push-v1/AverageReturn,push-v1/AverageDiscountedReturn,MetaTest/Average/MinReturn,Average/MaxReturn,MetaTest/Average/TerminationRate,push-v1/NumEpisodes,MetaTest/Average/MaxReturn,MetaTest/Average/AverageReturn,push-v1/StdReturn,Average/MinReturn,Average/StdReturn,MetaTest/push-v1/Iteration,push-v1/SuccessRate,Average/AverageDiscountedReturn,MetaTest/push-v1/StdReturn,MetaTest/Average/NumEpisodes,push-v1/MinReturn,MetaTest/push-v1/NumEpisodes,MetaTest/push-v1/SuccessRate,MetaTest/push-v1/MinReturn,policy/LossAfter,policy/KL,MetaTest/Average/AverageDiscountedReturn,MetaTest/push-v1/MaxReturn,Average/TerminationRate,push-v1/AverageReturn,policy/LossBefore,push-v1/MaxReturn,Average/SuccessRate,TotalEnvSteps,policy/dLoss,LinearFeatureBaseline/ExplainedVariance,MetaTest/Average/SuccessRate,push-v1/TerminationRate,MetaTest/Average/Iteration,MetaTest/Average/StdReturn,Average/NumEpisodes,policy/KLBefore,Average/Iteration,push-v1/Iteration,Average/AverageReturn,MetaTest/push-v1/TerminationRate
-55.874412224301956,5.688683,-55.874412224301956,-23.491553338096466,-69.50526684696696,-40.97638219929712,0.0,100,-42.11215924359248,-55.874412224301956,9.742667167950483,-88.81547291634607,9.742667167950483,0,0.0,-23.491553338096466,8.855741513656989,10,-88.81547291634607,10,0.0,-69.50526684696696,-0.042332817,0.007301452,-55.874412224301956,-42.11215924359248,0.0,-62.5805120992209,-0.016674228,-40.97638219929712,0.0,20000,0.025658589,0.4400860260232624,0.0,0.0,0,8.855741513656989,100,0.0,0,0,-62.5805120992209,0.0
,5.691604,,-18.189977599815276,,-23.47422394395247,,100,,,9.195655565878553,-68.27695051595592,9.195655565878553,,0.0,-18.189977599815276,,,-68.27695051595592,,,,-0.028977213,0.018876981,,,0.0,-46.71274758747679,-0.011534288,-23.47422394395247,0.0,40000,0.017442927,0.5345000097319834,,0.0,,,100,0.0,1,1,-46.71274758747679,
,5.6838737,,7.687335723360897,,876.7394451105746,,100,,,159.07019069483636,-58.72907871104613,159.07019069483636,,0.0,7.687335723360897,,,-58.72907871104613,,,,-0.2060956,0.013615113,,,0.0,20.18487728018317,0.07049673,876.7394451105746,0.0,60000,0.27659234,0.22124109640654877,,0.0,,,100,0.0,2,2,20.18487728018317,
,5.6803064,,21.48790614644674,,2248.1821908922147,,100,,,297.4130309829037,-47.538165064849956,297.4130309829037,,0.03,21.48790614644674,,,-47.538165064849956,,,,-0.55565,0.013703521,,,0.0,54.115034695729626,-0.1623581,2248.1821908922147,0.03,80000,0.3932919,0.127012329792494,,0.0,,,100,0.0,3,3,54.115034695729626,
,5.664307,,14.939023684687468,,1005.9896811313597,,100,,,164.94933464700622,-58.737400137383965,164.94933464700622,,0.01,14.939023684687468,,,-58.737400137383965,,,,-0.040137794,0.01081055,,,0.0,37.96001866586077,0.09592359,1005.9896811313597,0.01,100000,0.13606139,0.1588864282468646,,0.0,,,100,0.0,4,4,37.96001866586077,
,5.6363044,,40.2803846058573,,3973.8059665107944,,100,,,470.1330264207577,-42.30744031150961,470.1330264207577,,0.0,40.2803846058573,,,-42.30744031150961,,,,-0.60642344,0.007889772,,,0.0,116.39024579752885,0.04336113,3973.8059665107944,0.0,120000,0.64978456,0.10268939096407703,,0.0,,,100,0.0,5,5,116.39024579752885,
,5.5999784,,81.08680302021195,,3461.2084421637283,,100,,,521.5745778313226,-45.75011945549835,521.5745778313226,,0.01,81.08680302021195,,,-45.75011945549835,,,,0.039870117,0.0098011885,,,0.0,180.5086877632649,0.56574064,3461.2084421637283,0.01,140000,0.5258705,0.16505010731015113,,0.0,,,100,0.0,6,6,180.5086877632649,
,5.5729623,,133.30994109909295,,9426.32703614495,,100,,,1245.267188225746,-60.36038027513174,1245.267188225746,,0.03,133.30994109909295,,,-60.36038027513174,,,,-0.4488461,0.0071036704,,,0.0,349.244192739708,0.84464025,9426.32703614495,0.03,160000,1.2934864,0.1540209628918331,,0.0,,,100,0.0,7,7,349.244192739708,
,5.559883,,70.86001919909276,,3385.2675642203253,,100,,,559.098301177927,-58.85027269314003,559.098301177927,,0.01,70.86001919909276,,,-58.85027269314003,,,,-1.3806361,0.009802233,,,0.0,137.7854325873578,-0.7586812,3385.2675642203253,0.01,180000,0.6219549,0.11088362797925344,,0.0,,,100,0.0,8,8,137.7854325873578,
,5.554566,,223.88956717572793,,19239.350707293088,,100,,,2256.067443099825,-44.917689484857,2256.067443099825,,0.03,223.88956717572793,,,-44.917689484857,,,,-3.6642547,0.0052164793,,,0.0,566.647511209689,-1.2893085,19239.350707293088,0.03,200000,2.374946,0.18195996375181323,,0.0,,,100,0.0,9,9,566.647511209689,
